书名,评分,评价人数,作者,出版社,url
HarryPotterandthePrisonerofAzkaban,10.0,(17人评价),作者/译者： J.K. Rowling ,出版信息：  Bloomsbury Publishing PLC / 2004-10-04 / 154.0,https://book.douban.com/subject/2231942/
哈利·波特与密室:全彩绘本,10.0,(39人评价),作者/译者： [英]J.K.罗琳/著、[英]吉姆·凯/绘 ,出版信息：  马爱农、马爱新 / 人民文学出版社 / 2016-12,https://book.douban.com/subject/27594558/
HarryPotterPagetoScreen:TheCompleteFilmmakingJourney,9.9,(144人评价),作者/译者： Bob McCabe ,出版信息：  HarperCollins / 2011-11-1 / GBP 75.00,https://book.douban.com/subject/6872645/
HarryPotterFilmWizardry,9.8,(153人评价),作者/译者： Brian Sibley ,出版信息：  Collins Design / 2010-10-19 / $39.99,https://book.douban.com/subject/4751521/
HarryPotterandtheDeathlyHallows,9.8,(62人评价),作者/译者： J. K. Rowling ,出版信息：  Scholastic Inc. / 2013-8-27 / USD 16.99,https://book.douban.com/subject/21993092/
HarryPotterandtheGobletofFire-Book4,9.7,(110人评价),"作者/译者： Rowling, J. K.; Kazu Kibuishi (Illustrator), Mary GrandPre (Illustrator) ","出版信息：  Scholastic, Inc. / 2013-8 / $ 16.94",https://book.douban.com/subject/21993091/
HarryPotterPaperbackBoxSet:Books#1-7,9.7,(54人评价),作者/译者： J K Rowling ,出版信息：  Arthur A. Levine Books / 2009-7-1 / GBP 66.80,https://book.douban.com/subject/3784383/
哈利·波特与阿兹卡班囚徒:全彩绘本,9.7,(47人评价),作者/译者： [英] J.K.罗琳著/、[英]吉姆·凯,出版信息： 绘 / 马爱农、马爱新 / 人民文学出版社,https://book.douban.com/subject/27594560/
HarryPotterandtheGobletofFire,9.7,(75人评价),作者/译者： ,出版信息： J.K. Rowling / 2004-7 / 122.00元,https://book.douban.com/subject/2174704/
哈利·波特,9.7,(47444人评价),作者/译者： J.K.罗琳 (J.K.Rowling) / 苏农、马爱农、马爱新 ,出版信息：  人民文学出版社 / 2008-12-1 / 498.00元,https://book.douban.com/subject/24531956/
哈利·波特与魔法石（全彩绘本）,9.6,(107人评价),作者/译者： [英]J.K.罗琳 / 苏农 ,出版信息：  人民文学出版社 / 2016-1 / 89.00元,https://book.douban.com/subject/26709843/
TheCompleteHarryPotterCollection,9.6,(62人评价),作者/译者： J. K. Rowling ,出版信息：  Bloomsbury Publishing PLC / 2008-10-6 / GBP 59.99,https://book.douban.com/subject/3410007/
