书名,评分,评价人数,作者,出版社,url
"GettingReal:TheSmarter,Faster,EasierWaytoBuildaSuccessfulWebApplication",9.1,(959人评价),作者/译者： Jason Fried、Heinemeier David Hansson、Matthew Linderman ,出版信息：  37signals / 2009-11-18 / USD 24.99,https://book.douban.com/subject/3567853/
"HandbookofUsabilityTesting:HowtoPlan,Design,andConductEffectiveTests",9.0,(65人评价),作者/译者： Jeffrey Rubin、Dana Chisnell ,出版信息：  Wiley / 2008-5-12 / USD 60.00,https://book.douban.com/subject/3990626/
DesigningInteractions,9.0,(508人评价),作者/译者： Bill Moggridge ,出版信息：  MIT Press / 2006-11-24 / GBP 30.95,https://book.douban.com/subject/1894206/
高性能网站建设进阶指南:Web开发者性能优化最佳实践,8.9,(404人评价),作者/译者： Steve Souders / 口碑网前端团队 ,出版信息：  电子工业出版社 / 2010年4月 / 49.80元,https://book.douban.com/subject/4719162/
AboutFace2.0:TheEssentialsofInteractionDesign,8.9,(92人评价),作者/译者： Alan Cooper、Robert M. Reimann ,出版信息：  Wiley; 1st edition / 2003-3-17 / $35.00,https://book.douban.com/subject/1313472/
AProjectGuidetoUXDesign:Foruserexperiencedesignersinthefieldorinthemaking,8.9,(34人评价),作者/译者： Russ Unger、Carolyn Chandler ,出版信息：  New Riders Press / 2009-3-23 / USD 39.99,https://book.douban.com/subject/3421275/
Inspired:HowToCreateProductsCustomersLove,8.8,(104人评价),作者/译者： Marty Cagan ,出版信息：  SVPG Press / 2008-6-18 / USD 29.95,https://book.douban.com/subject/3802046/
改变心理学的40项研究:探索心理学研究的历史,8.8,(3160人评价),作者/译者： 〔美〕Roger R Hock著 / 白学军等 ,出版信息：  中国轻工业出版社 / 2004-1-1 / 26.00元,https://book.douban.com/subject/1147347/
AboutFace3：交互设计精髓,8.8,(501人评价),作者/译者： [美] 艾伦·库伯、[美] 罗伯特·瑞宁、[美] 大伟·克洛林 / 刘松涛 ,出版信息：  电子工业出版社 / 2012-3-1 / 98.00元,https://book.douban.com/subject/10557282/
设计的法则,8.7,(272人评价),"作者/译者： 威廉·立德威尔(William Lidwell) (作者), 克里蒂娜·霍顿(Kritina Holden) (作者), 吉尔·巴特勒(Jill Butler) / 李婵 ",出版信息：  辽宁科学技术出版社 / 2010-3 / 88.00元,https://book.douban.com/subject/4845129/
