书名,评分,评价人数,作者,出版社,url
TheVisualDisplayofQuantitativeInformation,9.1,(213人评价),作者/译者： Edward R. Tufte ,出版信息：  Graphics Pr / 2001-1 / USD 40.00,https://book.douban.com/subject/1316642/
浪潮之巅,9.0,(29121人评价),作者/译者： 吴军 ,出版信息：  电子工业出版社 / 2011-8 / 55.00元,https://book.douban.com/subject/6709783/
DesigningInteractions,9.0,(508人评价),作者/译者： Bill Moggridge ,出版信息：  MIT Press / 2006-11-24 / GBP 30.95,https://book.douban.com/subject/1894206/
AboutFace2.0:TheEssentialsofInteractionDesign,8.9,(92人评价),作者/译者： Alan Cooper、Robert M. Reimann ,出版信息：  Wiley; 1st edition / 2003-3-17 / $35.00,https://book.douban.com/subject/1313472/
101DesignMethods:AStructuredApproachforDrivingInnovationinYourOrganization,8.9,(74人评价),作者/译者： Vijay Kumar ,出版信息：  Wiley / 2012-10-9 / USD 34.95,https://book.douban.com/subject/11228565/
DesigningwiththeMindinMind:SimpleGuidetoUnderstandingUserInterfaceDesignRules,8.9,(92人评价),作者/译者： Jeff Johnson ,出版信息：  Morgan Kaufmann / 2010-06-09 / GBP 30.99,https://book.douban.com/subject/4741480/
IDEOMethodCards:51WaystoInspireDesign,8.9,(113人评价),作者/译者： ,出版信息： IDEO / William Stout / 2003-11,https://book.douban.com/subject/3430960/
AProjectGuidetoUXDesign:Foruserexperiencedesignersinthefieldorinthemaking,8.9,(34人评价),作者/译者： Russ Unger、Carolyn Chandler ,出版信息：  New Riders Press / 2009-3-23 / USD 39.99,https://book.douban.com/subject/3421275/
AboutFace:TheEssentialsofInteractionDesign,8.9,(51人评价),作者/译者： Alan Cooper、Robert Reimann、David Cronin、Christopher Noessel ,出版信息：  Wiley / 2014-9-2 / USD 50.00,https://book.douban.com/subject/25983558/
設計思考改造世界,8.9,(44人评价),作者/译者： Tim Brown ,出版信息：  聯經出版公司 / 2010-09-01 / NTD360元,https://book.douban.com/subject/5263559/
ThisisServiceDesignThinking:Basics-Tools-Cases,8.8,(121人评价),"作者/译者： Schneider, Jakob ",出版信息：  BIS Publishers / 2011-5-1 / USD 59.00,https://book.douban.com/subject/5397784/
WebFormDesign:FillingintheBlanks,8.8,(63人评价),作者/译者： Luke Wroblewski ,出版信息：  Rosenfeld Media / 2008-5-2 / GBP 25.00,https://book.douban.com/subject/3063496/
认知与设计:理解UI设计准则（第2版）,8.8,(492人评价),作者/译者： Jeff Johnson / 张一宁、王军锋 ,出版信息：  人民邮电出版社 / 2014-8-1 / CNY 69.00,https://book.douban.com/subject/25932290/
AboutFace3：交互设计精髓,8.8,(501人评价),作者/译者： [美] 艾伦·库伯、[美] 罗伯特·瑞宁、[美] 大伟·克洛林 / 刘松涛 ,出版信息：  电子工业出版社 / 2012-3-1 / 98.00元,https://book.douban.com/subject/10557282/
数学之美,8.7,(11573人评价),作者/译者： 吴军 ,出版信息：  人民邮电出版社 / 2012-5-1 / 45.00元,https://book.douban.com/subject/10750155/
黑客与画家:硅谷创业之父PaulGraham文集,8.7,(20183人评价),作者/译者： [美] Paul Graham / 阮一峰 ,出版信息：  人民邮电出版社 / 2011-4 / 49.00元,https://book.douban.com/subject/6021440/
Web界面设计,8.7,(632人评价),作者/译者： Bill Scott、Theresa Neil / 李松峰 ,出版信息：  电子工业出版社 / 2009年7月 / 80.00元,https://book.douban.com/subject/3821157/
