书名,评分,评价人数,作者,出版社,url
MySQL基础教程,9.5,(16人评价),作者/译者： [日]西泽梦路 / 卢克贵 ,出版信息：  人民邮电出版社 / 2020-1 / 129元,https://book.douban.com/subject/34953410/
TheSmashingBook,9.5,(26人评价),作者/译者： Jacob Gube、Dmitry Fadeev、Chris Spooner、Darius A Monsef IV、Alessandro Cattaneo、Steven Snell、David Leggett、Andrew Maier、Kayla Knight、Yves Peters、René Schmidt、Smashing Magazine editorial team、Vitaly Friedman、Sven Lennartz ,出版信息：  2009 / $ 29.90 / € 23.90,https://book.douban.com/subject/4237831/
氢的传奇:人类的伟大发现,9.4,(31人评价),作者/译者： 约翰·里格登 / 傅川宁 ,出版信息：  外语教学与研究出版社 / 2008-4 / 21.00元,https://book.douban.com/subject/3106645/
Ruby元编程,9.4,(510人评价),作者/译者： [意] Paolo Perrotta / 廖志刚、陈睿杰 ,出版信息：  华中科技大学出版社 / 2012-1-10 / 56.00元,https://book.douban.com/subject/7056800/
HighPerformanceBrowserNetworking:Whateverywebdevelopershouldknowaboutnetworkingandwebperformance,9.4,(91人评价),作者/译者： Ilya Grigorik ,出版信息：  O'Reilly Media / 2013-8-22 / USD 29.99,https://book.douban.com/subject/21866396/
JavaScript高级程序设计:第2版,9.4,(516人评价),作者/译者： Nicholas Zakas / 李松峰、曹力 ,出版信息：  人民邮电出版社 / 2010-7 / 89.00元,https://book.douban.com/subject/4886879/
"ppkonJavaScript,1/e",9.3,(53人评价),作者/译者： Peter-Paul Koch ,出版信息：  New Riders Press / 2006-09-20 / USD 44.99,https://book.douban.com/subject/1808399/
深入理解ES6,9.3,(329人评价),作者/译者： 【美】Nicholas C. Zakas / 刘振涛 ,出版信息：  电子工业出版社 / 2017-7-1 / CNY 99.00,https://book.douban.com/subject/27072230/
你不知道的JavaScript（上卷）,9.3,(939人评价),作者/译者： [美] Kyle Simpson / 赵望野、梁杰 ,出版信息：  人民邮电出版社 / 2015-4 / 49.00元,https://book.douban.com/subject/26351021/
JavaScript高级程序设计（第3版）,9.3,(2509人评价),作者/译者： [美] Nicholas C. Zakas / 李松峰、曹力 ,出版信息：  人民邮电出版社 / 2012-3-29 / 99.00元,https://book.douban.com/subject/10546125/
RubyonRails3Tutorial:LearnRailsbyExample,9.3,(121人评价),作者/译者： Michael Hartl ,出版信息：  Addison-Wesley Professional / 2010-12-16 / USD 39.99,https://book.douban.com/subject/5263109/
SecretsoftheJavaScriptNinja,9.3,(198人评价),作者/译者： John Resig、Bear Bibeault ,出版信息：  Manning Publications / 2013-1-17 / USD 16.99,https://book.douban.com/subject/3176860/
DjangoByExample,9.3,(30人评价),作者/译者： Antonio Mele ,出版信息：  Packt Publishing / 2015-11-30 / GBP 28.99,https://book.douban.com/subject/26679450/
