书名,评分,评价人数,作者,出版社,url
撒哈拉的故事,9.2,(111494人评价),作者/译者： 三毛 ,出版信息：  哈尔滨出版社 / 2003-8 / 15.80元,https://book.douban.com/subject/1060068/
哭泣的骆驼,8.9,(49432人评价),作者/译者： 三毛 ,出版信息：  哈尔滨出版社 / 2003-6 / 15.80元,https://book.douban.com/subject/1029111/
梦里花落知多少,8.8,(84429人评价),作者/译者： 三毛 ,出版信息：  北京十月文艺出版社 / 2007-6 / 28.00元,https://book.douban.com/subject/2070844/
撒哈拉的故事,9.3,(56485人评价),作者/译者： 三毛 ,出版信息：  北京十月文艺出版社 / 2011-1-7 / 24.00元,https://book.douban.com/subject/6710437/
撒哈拉的故事,9.2,(8939人评价),作者/译者： 三毛 ,出版信息：  北京十月文艺出版社 / 2017-3-1 / CNY 35.00,https://book.douban.com/subject/26997048/
雨季不再来,8.7,(45765人评价),作者/译者： 三毛 ,出版信息：  北京十月文艺出版社 / 2007-7 / 28.00元,https://book.douban.com/subject/2136140/
撒哈拉的故事,9.0,(189374人评价),作者/译者： 三毛 ,出版信息：  皇冠出版社 / 1976 / 160 TWD,https://book.douban.com/subject/1361264/
温柔的夜,9.1,(18326人评价),作者/译者： 三毛 ,出版信息：  北京十月文艺出版社 / 2007-5 / 28.00元,https://book.douban.com/subject/2068249/
万水千山走遍,8.8,(38713人评价),作者/译者： 三毛 ,出版信息：  哈尔滨出版社 / 2003-08 / 13.80,https://book.douban.com/subject/1036490/
亲爱的三毛,8.9,(1313人评价),作者/译者： 三毛 ,出版信息：  北京十月文艺出版社 / 2017-3 / 32,https://book.douban.com/subject/26997185/
稻草人手记,8.9,(16848人评价),作者/译者： 三毛 ,出版信息：  北京十月文艺出版社 / 2009-3 / 18.00元,https://book.douban.com/subject/3607117/
梦里花落知多少,9.0,(11950人评价),作者/译者： 三毛 ,出版信息：  北京十月文艺出版社 / 2011-7-1 / 24.00元,https://book.douban.com/subject/6558707/
雨季不再来,8.5,(1886人评价),作者/译者： 三毛 ,出版信息：  北京十月文艺出版社 / 2017-3 / 35,https://book.douban.com/subject/26995850/
