书名,评分,评价人数,作者,出版社,url
超・殺人事件―推理作家の苦悩:新潮文庫,9.6,(37人评价),作者/译者： 東野圭吾 / 新潮社 ,出版信息：  2004/04 / 460円,https://book.douban.com/subject/3420316/
日本经典卡通超级酷乐猫普通话配音16碟装(VCD),9.4,(23人评价),作者/译者： ,出版信息：  辽宁文化艺术音像 / 1900-01-01 / 97.0,https://book.douban.com/subject/1569425/
官场现形记（全两册）,9.4,(132人评价),作者/译者： 李宝嘉 ,出版信息：  華東師範大學出版社 / 2018-8 / 99.00元,https://book.douban.com/subject/30309482/
东野圭吾精品集(全4册):四大巅峰杰作,9.3,(60人评价),作者/译者： [日] 东野圭吾 / 刘子倩 ,出版信息：  南海出版公司 / 2013-8 / 135.00元,https://book.douban.com/subject/25710267/
解“语”:语文老师教给青少年的《论语》课,9.3,(44人评价),作者/译者： 赵震 ,出版信息：  北京联合出版公司 / 2017-12 / 38.00元,https://book.douban.com/subject/27594706/
此生有美自芳华:朱光潜美学精选集（彩插典藏本）,9.3,(198人评价),作者/译者： 朱光潜 ,出版信息：  北京联合出版公司 / 2017-6-1 / 39.80元,https://book.douban.com/subject/27044650/
四楼的玻璃柱,9.3,(55人评价),作者/译者： ,出版信息： 张叶 / 万卷出版公司 / 2021-2,https://book.douban.com/subject/35396659/
1984,9.3,(181369人评价),作者/译者： [英] 乔治·奥威尔 / 刘绍铭 ,出版信息：  北京十月文艺出版社 / 2010-4-1 / 28.00,https://book.douban.com/subject/4820710/
同級生,9.3,(5961人评价),作者/译者： 中村明日美子 ,出版信息：  茜新社 / 2007 / 650円,https://book.douban.com/subject/3095638/
飘,9.3,(177240人评价),作者/译者： [美国] 玛格丽特·米切尔 / 李美华 ,出版信息：  译林出版社 / 2000-9 / 40.00元,https://book.douban.com/subject/1068920/
迟开的玫瑰或胡闹:02小说卷（下）,9.3,(73人评价),作者/译者： 汪曾祺 ,出版信息：  中信出版集团 / 2017-8-1 / 58.00,https://book.douban.com/subject/27064479/
张曼娟成语学堂系列1,9.3,(54人评价),作者/译者： 张曼娟 主编 ,出版信息：  中信出版集团 / 2018-12 / 140,https://book.douban.com/subject/30415186/
不起眼女主角培育法GirlsSide,9.3,(31人评价),作者/译者： 丸戶史明、深崎暮人 / 鄭人彥 ,出版信息：  台灣角川 / 2015-11-11 / NT$180,https://book.douban.com/subject/26616072/
白夜行（下）:東野圭吾作品集12-13,9.2,(1463人评价),作者/译者： 東野圭吾 / 劉姿君 ,出版信息：  獨步文化 / 2007年 / NTD340元,https://book.douban.com/subject/2266498/
嫌疑犯X的獻身(獨步九週年紀念版):東野圭吾作品集08,9.2,(230人评价),作者/译者： 東野圭吾 / 劉子倩 ,出版信息：  獨步文化 / 2015-1-31 / NT$380,https://book.douban.com/subject/26298063/
罗生门,9.2,(7493人评价),作者/译者： 芥川龙之介 / 赵玉皎 ,出版信息：  云南人民出版社 / 2015-8-7 / 68.00元,https://book.douban.com/subject/26627837/
UndertheMidnightSun,9.2,(27人评价),作者/译者： Keigo Higashino、東野圭吾 ,出版信息：  Minotaur Books / 2016-11-8 / GBP 18.51,https://book.douban.com/subject/26812658/
东野圭吾天王套装:(解忧杂货店+白夜行+嫌疑人X的献身+恶意),9.2,(220人评价),作者/译者： ,出版信息： 东野圭吾 / 南海出版公司 / 2014-6-1,https://book.douban.com/subject/26745556/
流星の絆,9.1,(77人评价),作者/译者： 東野圭吾 ,出版信息：  講談社 / 2011-4 /  880,https://book.douban.com/subject/6539059/
白夜行（上）:東野圭吾作品集12,9.1,(1778人评价),作者/译者： 東野圭吾 / 劉姿君 ,出版信息：  獨步文化 / 2008-11-28 / NTD360元,https://book.douban.com/subject/2266490/
此间风雅,9.1,(164人评价),作者/译者： 汪曾祺 ,出版信息：  天津人民出版社 / 2018-3 / 49.80元,https://book.douban.com/subject/30203909/
商店照明,9.1,(487人评价),作者/译者： 陆燕、姚梦明 ,出版信息：  复旦大学出版社 / 2004-11 / 17.00元,https://book.douban.com/subject/1614439/
红手指,9.1,(11人评价),作者/译者： ,出版信息： [日] 东野圭吾 / 于壮 / 南海出版公司,https://book.douban.com/subject/34778576/
白夜行,9.1,(342013人评价),作者/译者： [日] 东野圭吾 / 刘姿君 ,出版信息：  南海出版公司 / 2013-1-1 / 39.50元,https://book.douban.com/subject/10554308/
中国近代史,9.0,(328人评价),作者/译者： 蒋廷黻 ,出版信息：  北京时代华文书局 / 2017-10 / 39.80,https://book.douban.com/subject/27166446/
怪物研究所：超治愈的怪物手账,9.0,(77人评价),作者/译者： 康米姑娘 ,出版信息：  机械工业出版社 / 2018-3 / 35.00元,https://book.douban.com/subject/30169857/
嫌疑人X的献身,9.0,(70500人评价),作者/译者： [日]东野圭吾 / 刘子倩 ,出版信息：  南海出版公司 / 2014-6-1 / 35.00元,https://book.douban.com/subject/25924253/
一九八四,9.0,(145人评价),作者/译者： [英] 乔治·奥威尔 / 晏天 ,出版信息：  湖南文艺出版社 / 2018-5 / 45.00元,https://book.douban.com/subject/30153077/
星星与猫,9.0,(35人评价),作者/译者： 刘小备 ,出版信息：  重庆出版社 / 2020-12 / 53,https://book.douban.com/subject/35264779/
金色梦乡,9.0,(22307人评价),作者/译者： [日] 伊坂幸太郎 / 李彦桦 ,出版信息：  译林出版社 / 2010-9 / 35.00元,https://book.douban.com/subject/5038409/
心,9.0,(443人评价),作者/译者： [日] 夏目漱石 / 黄悦生 ,出版信息：  江苏凤凰文艺出版社 / 2021-3-30 / 45.00元,https://book.douban.com/subject/35336609/
局外人,9.0,(161884人评价),作者/译者： [法] 阿尔贝·加缪 / 柳鸣九 ,出版信息：  上海译文出版社 / 2010-8 / 22.00元,https://book.douban.com/subject/4908885/
安妮日记,9.0,(270人评价),作者/译者： 安妮·弗兰克 / 王辰 ,出版信息：  江西人民出版社 / 2018-1 / 39.00元,https://book.douban.com/subject/30121303/
