书名,评分,评价人数,作者,出版社,url
珍爱生命小学生性健康教育读本六年级下册,9.9,(77人评价),作者/译者： 刘文利 ,出版信息：  北京师范大学出版社 / 2017-3-1 / CNY 10.00,https://book.douban.com/subject/27014560/
中学性教育教案库,9.8,(19人评价),作者/译者： ,出版信息： 中国人民大学出版社有限公司 / 2015-2-1 / 66.6,https://book.douban.com/subject/26319251/
亲密关系,9.3,(8524人评价),作者/译者： [美] 罗兰·米勒 (Rowland S. Miller) / 王伟平 译、彭凯平 校 ,出版信息：  人民邮电出版社 / 2015-6 / 138.00元,https://book.douban.com/subject/26585065/
甜蜜恋爱课：建立亲密关系的爱情指南:交个靠谱男友，谈段有效恋爱,9.3,(33人评价),作者/译者： 贝加 ,出版信息：  南海出版社 / 2020-8 / 55.00元,https://book.douban.com/subject/35139831/
家庭与夫妻治疗:案例与分析,9.3,(87人评价),作者/译者： [美] Salvador Minuchin、[美] Michael P. Nichols / 李维榕、胡赤怡、卢建平、陈珏 ,出版信息：  华东理工大学出版社 / 2007-11 / 39.00元,https://book.douban.com/subject/2303751/
《亲密关系》（第7版，英文版）,9.3,(50人评价),作者/译者： [美]罗兰·米勒（Rowland S. Miller） ,出版信息：  人民邮电出版社 / 2017-3 / 108.00,https://book.douban.com/subject/27072923/
第二性（合卷本）,9.2,(3432人评价),作者/译者： [法] 西蒙娜·德·波伏瓦 / 郑克鲁 ,出版信息：  上海译文出版社 / 2014-1 / 138.00,https://book.douban.com/subject/25822104/
ConsciousLoving:TheJourneytoCo-Commitment,9.2,(12人评价),作者/译者： Gay Hendricks、Kathlyn Hendricks ,出版信息：  Bantam / 1992-2-1 / USD 16.00,https://book.douban.com/subject/2388592/
房思琪的初恋乐园,9.2,(247283人评价),作者/译者： 林奕含 ,出版信息：  北京联合出版公司 / 2018-1 / 45.00元,https://book.douban.com/subject/27614904/
爱的智慧,9.2,(21人评价),作者/译者： （美）罗宾 诺伍德 / 周美娇、田晓维 ,出版信息：  北方文艺出版社 / 2002 / 14.60元,https://book.douban.com/subject/1543437/
两性之间:世界连环画漫画经典大系,9.2,(194人评价),作者/译者： 洪佩奇 / 陆永昶 ,出版信息：  译林出版社 / 2005-4 / 6.00元,https://book.douban.com/subject/1265832/
男人要有责任感女人才有安全感,9.2,(25人评价),作者/译者： [加]埃利奥特•卡茨 / 唐明秋 ,出版信息：  汕头大学出版社 / 2010-12 / 25.00元,https://book.douban.com/subject/5360866/
你天生就是性愛女神:喚醒愛、智慧、性能量的十堂課,9.2,(91人评价),作者/译者： 李安妮 ,出版信息：  晨星出版有限公司 / 2010-6-7 / NT$300,https://book.douban.com/subject/24755040/
