书名,评分,评价人数,作者,出版社,url
三国志集解（全八册）,10.0,(114人评价),作者/译者： 陈寿 / 卢弼 集解、钱剑夫 整理 ,出版信息：  上海古籍出版社 / 2012-6 / 560.00元,https://book.douban.com/subject/10581158/
中国古代史概要一览图,9.9,(90人评价),作者/译者： 陆季翔 编绘 ,出版信息：  南京大学出版社 / 2005-10 / 5.50,https://book.douban.com/subject/3998143/
裴松之注三国志（套装上下册）,9.8,(41人评价),作者/译者： ,出版信息： 裴松之 注解 / 2009-12 / 126.00元,https://book.douban.com/subject/4748927/
资治通鉴,9.8,(1294人评价),作者/译者： 司马光 ,出版信息：  中华书局 / 2011-8 / 498.00元,https://book.douban.com/subject/6790302/
見證：改革開放三十年:China’sThirtyYears,9.8,(35人评价),作者/译者： 中國攝影師協會 ,出版信息：  牛津大學出版社 / 2009-11 / HK$398,https://book.douban.com/subject/4209565/
春秋左传注(修订本),9.8,(211人评价),作者/译者： 杨伯峻 ,出版信息：  中华书局 / 2017-1 / 198元,https://book.douban.com/subject/26977116/
隋唐制度渊源略论稿:陈寅恪文集4,9.8,(60人评价),作者/译者： 陈寅恪 ,出版信息：  上海古籍出版社 / 1982年 / 1.05元,https://book.douban.com/subject/3205925/
中国历史地图集,9.8,(215人评价),作者/译者： 谭其骧 ,出版信息：  中国地图出版社 / 1996-6 / 688,https://book.douban.com/subject/4211237/
体国经野之道,9.7,(156人评价),作者/译者： 周振鹤 ,出版信息：  上海人民出版社 / 2019-6 / 68.00元,https://book.douban.com/subject/33950530/
资治通鉴:传世经典文白对照,9.7,(683人评价),作者/译者： 司马光 / 沈志华、张宏儒 ,出版信息：  中华书局 / 2013-1 / 788.00元,https://book.douban.com/subject/3746915/
二十五史简明读本（全15册）,9.7,(116人评价),作者/译者： 李国章、赵昌平、等 ,出版信息：  上海古籍出版社 / 2018-7 / 680,https://book.douban.com/subject/30303327/
三国志（上下册）,9.7,(350人评价),作者/译者： （晋）陈寿 撰，（宋）裴松之 注 ,出版信息：  中华书局 / 2011-1-1 / 83.00元,https://book.douban.com/subject/5403729/
三朝北盟会编（全二册）,9.6,(72人评价),作者/译者： [宋]徐梦莘 ,出版信息：  上海古籍出版社 / 2008 / 270.00元,https://book.douban.com/subject/3093436/
中国历史地图集（全八册）,9.6,(1567人评价),作者/译者： 谭其骧 ,出版信息：  中国地图出版社 / 1982-10 / 482.00元,https://book.douban.com/subject/1055304/
东晋门阀政治,9.6,(77人评价),作者/译者： 田余庆 ,出版信息：  北京大学出版社 / 1996-5 / 18.00元,https://book.douban.com/subject/4239101/
陈寅恪集:全14册,9.6,(403人评价),作者/译者： 陈寅恪 ,出版信息：  生活·读书·新知三联书店 / 2009-9 / 998.00元,https://book.douban.com/subject/4086800/
你好小朋友:秋山亮二写真集,9.6,(873人评价),作者/译者： [日]秋山 亮二 ,出版信息：  小西六写真工业株式会社 / 1983-4-12 / JPY 3087,https://book.douban.com/subject/25914783/
将无同:中古史研究论文集,9.6,(522人评价),作者/译者： 胡宝国 ,出版信息：  中华书局 / 2020-1 / 66.00元,https://book.douban.com/subject/34893711/
读史方舆纪要,9.6,(418人评价),作者/译者： （清）顾祖禹、施和金、贺次君 ,出版信息：  中华书局 / 2005-3-1 / 596.00元,https://book.douban.com/subject/1314467/
胡耀邦文选,9.6,(110人评价),作者/译者： 胡耀邦 ,出版信息：  人民出版社 / 2015-11-1 / CNY 99.00,https://book.douban.com/subject/26667958/
隋唐制度渊源略论稿唐代政治史述论稿,9.6,(1483人评价),作者/译者： 陈寅恪 ,出版信息：  生活·读书·新知三联书店 / 2001-4 / 40.00元,https://book.douban.com/subject/1017795/
史记:韩兆琦评注本,9.6,(610人评价),作者/译者： 司马迁 / 韩兆琦 ,出版信息：  岳麓书社 / 2012-10-1 / 98.00元,https://book.douban.com/subject/6779397/
春秋大事表,9.6,(71人评价),作者/译者： （清）顾栋高、吴树平 ,出版信息：  中华书局 / 1993 / CNY 286.00,https://book.douban.com/subject/2161870/
续资治通鉴长编（全二十册）,9.6,(193人评价),作者/译者： 李焘 撰、上海师范大学古籍整理研究所、华东师范大学古籍整理研究所 点校 ,出版信息：  中华书局 / 2004-9 / 980.00元,https://book.douban.com/subject/1577735/
姚著中国史,9.6,(194人评价),作者/译者： 姚大中 ,出版信息：  华夏出版社 / 2017-1-1 / CNY 398.00,https://book.douban.com/subject/26961138/
中国史纲,9.6,(67人评价),作者/译者： 张荫麟 ,出版信息：  商务印书馆 / 2015-12 / 42.00,https://book.douban.com/subject/6308039/
史记（点校本二十四史修订本）,9.6,(499人评价),作者/译者： 司马迁 著、裴骃 集解、司马贞 索隐、张守节 正义 / 点校本《史记》修订组 ,出版信息：  中华书局 / 2013-8 / 590.00元,https://book.douban.com/subject/25660928/
明史讲义,9.6,(23人评价),作者/译者： 孟森 ,出版信息：  民主与建设出版社 / 2015-6 / 32.00元,https://book.douban.com/subject/26822719/
筚路维艰:中国社会主义路径的五次选择,9.6,(1595人评价),作者/译者： 萧冬连 ,出版信息：  社会科学文献出版社 / 2014-10-1 / CNY 45.00,https://book.douban.com/subject/26171466/
春秋左传注（全四册）:春秋左传注,9.6,(1288人评价),作者/译者： 杨伯峻 ,出版信息：  中华书局 / 2009-10 / 178.00元,https://book.douban.com/subject/4146127/
中国历代政治得失,9.5,(745人评价),作者/译者： 钱穆 ,出版信息：  生活·读书·新知三联书店 / 2018-10 / 49.00元,https://book.douban.com/subject/30206893/
秦汉地方行政制度:中国地方行政制度史甲部,9.5,(62人评价),作者/译者： 严耕望 著 ,出版信息：  低音·北京联合出版公司 / 2020-6 / 108.00元,https://book.douban.com/subject/34660492/
