书名,评分,评价人数,作者,出版社,url
古代汉语:典藏本,10.0,(121人评价),作者/译者： 王力(主编) ,出版信息：  中华书局 / 2016-9-1 / 196.00,https://book.douban.com/subject/26944970/
红楼梦,9.8,(7364人评价),作者/译者： 曹雪芹 ,出版信息：  人民文学出版社 / 2018-1-1 / CNY 260.00,https://book.douban.com/subject/30137806/
山川面目,9.8,(27人评价),作者/译者： 李琬 ,出版信息：  漓江出版社 / 2021-1 / 42.00元,https://book.douban.com/subject/35402314/
红楼梦脂评汇校本,9.8,(1485人评价),作者/译者： 曹雪芹、吴铭恩 汇校、脂砚斋 ,出版信息：  北方联合出版传媒集团 万卷出版公司 / 2013-10 / 180.00元,https://book.douban.com/subject/25757313/
唐诗鉴赏辞典（新一版）,9.7,(529人评价),作者/译者： 俞平伯 ,出版信息：  上海辞书出版社 / 2013-8 / 98.00元,https://book.douban.com/subject/25793097/
红楼梦:脂本汇校套装全二册,9.7,(3608人评价),作者/译者： 曹雪芹 ,出版信息：  三秦出版社 / 2016-11-1 / 88.00元,https://book.douban.com/subject/27053166/
鲁迅全集,9.7,(2133人评价),作者/译者： 鲁迅 ,出版信息：  同心出版社 / 2014-5-1 / 388.00元,https://book.douban.com/subject/25898626/
三国演义,9.6,(352人评价),作者/译者： 罗贯中 ,出版信息：  人民文学出版社 / 2018-1 / 185.00元,https://book.douban.com/subject/30137812/
汪曾祺全集（全十二卷）,9.6,(512人评价),作者/译者： 汪曾祺、（编辑 ）季红真、刘伟 等 ,出版信息：  人民文学出版社 / 2019-1-10 / 1280.00元,https://book.douban.com/subject/30421553/
三体:十周年纪念版,9.6,(1567人评价),作者/译者： 刘慈欣 ,出版信息：  重庆出版社 / 2017-8 / 288.00元,https://book.douban.com/subject/27077612/
我的团长我的团（上下册）,9.6,(805人评价),作者/译者： 兰晓龙 ,出版信息：  人民文学出版社 / 2018-1 / 99.00元,https://book.douban.com/subject/30197331/
亮剑,9.6,(78人评价),作者/译者： 都梁 ,出版信息：  浙江教育出版社 / 2020-6 / 48.00元,https://book.douban.com/subject/35065631/
无愁河的浪荡汉子·朱雀城,9.6,(192人评价),作者/译者： 黄永玉 ,出版信息：  人民文学出版社 / 2013-8-1 / CNY 156.00,https://book.douban.com/subject/26296723/
坟,9.6,(6328人评价),作者/译者： 鲁迅 ,出版信息：  人民文学出版社 / 2006-12 / 16.00元,https://book.douban.com/subject/1974029/
孔乙己,9.6,(2074人评价),作者/译者： 鲁迅 原著 程十髮 繪畫 ,出版信息：  連環畫出版社 / 2011-8 / 38元,https://book.douban.com/subject/6872620/
呐喊:呐喊,9.5,(2285人评价),作者/译者： 鲁迅 ,出版信息：  译林出版社 / 2013-11-1 / 10.8,https://book.douban.com/subject/25745773/
史记,9.5,(5316人评价),作者/译者： 司马迁 ,出版信息：  中华书局 / 2006-6 / 28.00元,https://book.douban.com/subject/1836555/
茶馆,9.5,(362人评价),作者/译者： 老舍 ,出版信息：  作家出版社 / 2017-3 / 25,https://book.douban.com/subject/26991822/
大学,9.5,(502人评价),作者/译者： 刘强 ,出版信息：  纺织工业 / 2007-3 / 26.80元,https://book.douban.com/subject/2037610/
唐诗百话,9.5,(453人评价),作者/译者： 施蛰存 ,出版信息：  华东师范大学出版社 / 1996-5 / 39.80元,https://book.douban.com/subject/1049464/
药,9.5,(930人评价),作者/译者： ,出版信息： 鲁迅原著 / 1979-12,https://book.douban.com/subject/26881522/
白鹿原,9.5,(1074人评价),作者/译者： 陈忠实 ,出版信息：  人民文学出版社 / 2017-8 / 45.00,https://book.douban.com/subject/27201243/
天龙八部,9.5,(5136人评价),作者/译者： 金庸 ,出版信息：  广州出版社 / 2011-11 / 123.00元,https://book.douban.com/subject/6969074/
史记（全十册）,9.5,(19471人评价),作者/译者： 司马迁、张守节 / （索隐）司马贞，（正义）张守节 ,出版信息：  中华书局 / 1982-11 / 125.00,https://book.douban.com/subject/1077847/
北京人(精),9.5,(305人评价),作者/译者： 曹禺 ,出版信息：  北京十月文艺出版社 / 2018-2 / 36.00元,https://book.douban.com/subject/30161036/
鲁迅全集（2005最新修订版）:全十八卷,9.5,(4704人评价),作者/译者： 鲁迅 / 有2012年第4次印本 ,出版信息：  人民文学出版社 / 2005-11 / 990.00元,https://book.douban.com/subject/1442720/
陶庵梦忆,9.5,(838人评价),作者/译者： 张岱 / 栾保群 注解 ,出版信息：  紫禁城出版社 / 2011-9 / 56.00元,https://book.douban.com/subject/7057187/
胡适文集:全12册,9.5,(190人评价),作者/译者： 胡适 / 欧阳哲生 编 ,出版信息：  北京大学出版社 / 2013-11-7 / 1180.00,https://book.douban.com/subject/24878449/
天是真的,9.5,(224人评价),作者/译者： 陈雨吟 ,出版信息：  百花洲文艺出版社 / 2021-3 / 68.00元,https://book.douban.com/subject/35402337/
梦溪笔谈,9.5,(52人评价),作者/译者： 沈括 / 诸雨辰译注 ,出版信息：  中华书局 / 2016-11-2 / 54.00元,https://book.douban.com/subject/26913867/
世说新语,9.5,(241人评价),作者/译者： ［南朝宋］刘义庆 著  ［南朝梁］刘孝标 注  徐传武 校点 ,出版信息：  上海古籍出版社 / 2013-8 / 35.00元,https://book.douban.com/subject/24883397/
中国文学传统,9.5,(342人评价),作者/译者： 朱刚 ,出版信息：  高等教育出版社 / 2018-5-1 / 32.00,https://book.douban.com/subject/30346702/
四世同堂:（足本）,9.5,(873人评价),作者/译者： 老舍 / 毕冰宾（黑马） ,出版信息：  人民文学出版社 / 2018-6-1 / 92.00元,https://book.douban.com/subject/30247696/
大明王朝1566,9.4,(3363人评价),作者/译者： 刘和平 ,出版信息：  花城出版社 / 2016-7 / 88.00元,https://book.douban.com/subject/26925171/
呐喊:鲁迅短篇小说集,9.4,(5031人评价),作者/译者： 鲁迅 ,出版信息：  天津人民出版社 / 2016-1 / 32.00元,https://book.douban.com/subject/26710670/
诗经,9.4,(21380人评价),作者/译者： 孔丘 编订 ,出版信息：  北京出版社 / 2006-7 / 19.90元,https://book.douban.com/subject/1883245/
彷徨:陈丹青推荐版本,9.4,(3077人评价),作者/译者： 鲁迅 ,出版信息：  天津人民出版社 / 2016-1 / 32.00元,https://book.douban.com/subject/26710671/
活着,9.4,(15234人评价),作者/译者： 余华 ,出版信息：  北京十月文艺出版社 / 2017-6-1 / 35.00元,https://book.douban.com/subject/27064488/
羊道三部曲(共3册),9.4,(1605人评价),作者/译者： [中国] 李娟 ,出版信息：  中信出版社 / 2017-8-1 / 135.00元,https://book.douban.com/subject/27116878/
宋词三百首,9.4,(3087人评价),作者/译者： 武玉成，顾丛龙 注 ,出版信息：  人民文学出版社 / 2004-08 / 18.00元,https://book.douban.com/subject/1006967/
野草,9.4,(26542人评价),作者/译者： 鲁迅 ,出版信息：  人民文学出版社 / 1973-3 / 0.20元,https://book.douban.com/subject/1915958/
文心雕龙,9.4,(1133人评价),作者/译者： [南朝梁]刘勰、黄霖 导读、黄霖 整理集评 ,出版信息：  上海古籍出版社 / 2008-12-1 / 22.00元,https://book.douban.com/subject/3427162/
故事新编,9.4,(22044人评价),作者/译者： 鲁迅 ,出版信息：  人民文学出版社 / 1973-12-01 / 0.31 元,https://book.douban.com/subject/2046909/
三体全集:地球往事三部曲,9.4,(92364人评价),作者/译者： 刘慈欣 ,出版信息：  重庆出版社 / 2012-1-1 / 168.00元,https://book.douban.com/subject/6518605/
宋词鉴赏辞典,9.4,(1984人评价),作者/译者： 夏承焘、等 ,出版信息：  上海辞书出版社 / 2003-8-1 / 78.00元,https://book.douban.com/subject/1132550/
受戒,9.4,(807人评价),作者/译者： 汪曾祺 ,出版信息：  天津人民出版社 / 2015-8 / 36.00元,https://book.douban.com/subject/26581332/
我这一辈子:人民艺术家老舍最诙谐幽默的中短篇小说,9.4,(477人评价),作者/译者： ,出版信息： 北京联合出版公司 / 2015-6-21 / 28,https://book.douban.com/subject/26691229/
围城,9.3,(6579人评价),作者/译者： 钱锺书 ,出版信息：  人民文学出版社 / 2017-6 / 36.00,https://book.douban.com/subject/27070488/
寻找家园（增订版）,9.3,(2949人评价),作者/译者： 高尔泰 ,出版信息：  北京十月文艺出版社 / 2011-6 / 36.00元,https://book.douban.com/subject/6534897/
四世同堂,9.3,(22695人评价),作者/译者： 老舍 ,出版信息：  北京十月文艺出版社 / 2008-07 / 36.00元,https://book.douban.com/subject/3183775/
三体Ⅱ:黑暗森林,9.3,(237698人评价),作者/译者： 刘慈欣 ,出版信息：  重庆出版社 / 2008-5 / 32.00,https://book.douban.com/subject/3066477/
笑傲江湖,9.3,(4497人评价),作者/译者： 金庸 ,出版信息：  广州出版社 / 2011-11 / 98.00元,https://book.douban.com/subject/4832584/
草房子:曹文轩纯美小说系列,9.3,(3216人评价),作者/译者： 曹文轩 ,出版信息：  江苏少年儿童出版社 / 2005-4 / 15.00元,https://book.douban.com/subject/25953676/
围城/人·兽·鬼,9.3,(1220人评价),作者/译者： 钱锺书 ,出版信息：  生活·读书·新知三联书店 / 2009-11 / 29.50元,https://book.douban.com/subject/4054726/
沉默的大多数,9.3,(282人评价),作者/译者： 王小波 ,出版信息：  北京十月文艺出版社 / 2021-1 / 59.00,https://book.douban.com/subject/34974501/
狂人日记:鲁迅小说集,9.3,(644人评价),作者/译者： 鲁迅 ,出版信息：  海南出版社 / 2017-1 / 28.00,https://book.douban.com/subject/26937509/
雷雨,9.3,(1902人评价),作者/译者： 曹禺 ,出版信息：  北京十月文艺出版社 / 2017-12 / 36.00,https://book.douban.com/subject/30214955/
老子,9.3,(896人评价),作者/译者： 老子 / 汤漳平、王朝华 ,出版信息：  中华书局 / 2014-7 / 23,https://book.douban.com/subject/25957575/
文心雕龙注(上下),9.3,(1254人评价),作者/译者： 刘勰、范文澜  注 / 范文澜（注） ,出版信息：  人民文学出版社 / 2006-1-1 / 45.00元,https://book.douban.com/subject/1181370/
撒哈拉的故事,9.3,(56479人评价),作者/译者： 三毛 ,出版信息：  北京十月文艺出版社 / 2011-1-7 / 24.00元,https://book.douban.com/subject/6710437/
苏轼十讲,9.3,(965人评价),作者/译者： 朱刚 ,出版信息：  上海三联书店 / 2019-7 / 58.00元,https://book.douban.com/subject/33411346/
传习录,9.3,(2657人评价),作者/译者： [明] 王阳明撰 / 于自力、孔薇、杨骅骁 ,出版信息：  中州古籍出版社 / 2008-1 / 32.00元,https://book.douban.com/subject/3007268/
张枣诗文集:（全五卷）,9.3,(139人评价),作者/译者： 张枣 ,出版信息：  四川文艺出版社 / 2021-3 / 218.00元,https://book.douban.com/subject/35324211/
古文观止（套装上下册）,9.3,(295人评价),作者/译者： 钟基、李先银、王身钢 译注 ,出版信息：  中华书局 / 2011-5 / 60.00元,https://book.douban.com/subject/6534688/
呼兰河传,9.3,(327人评价),作者/译者： 萧红 ,出版信息：  北京时代华文书局 / 2018-1-1 / 39.8,https://book.douban.com/subject/27609033/
中国小说史略,9.3,(5293人评价),作者/译者： 鲁迅 ,出版信息：  上海古籍出版社 / 1998-01-01 / 12.90,https://book.douban.com/subject/1203363/
棋王树王孩子王:TheKingofChessThekingofTreesTheKingofChildren,9.3,(1135人评价),作者/译者： 阿城 ,出版信息：  人民文学出版社 / 2015-10 / 39.00元,https://book.douban.com/subject/26382501/
受戒:汪曾祺自选集,9.3,(17100人评价),作者/译者： 汪曾祺 ,出版信息：  漓江出版社 / 1987-10 / 3.95元,https://book.douban.com/subject/1760432/
三国演义（全二册）,9.3,(136802人评价),作者/译者： [明] 罗贯中 ,出版信息：  人民文学出版社 / 1998-05 / 39.50元,https://book.douban.com/subject/1019568/
骆驼祥子,9.3,(1750人评价),作者/译者： 老舍 ,出版信息：  天津人民出版社 / 2017-1-1 / 29.00,https://book.douban.com/subject/26935998/
笑傲江湖（全四册）,9.3,(5960人评价),作者/译者： 金庸 ,出版信息：  广州出版社 花城出版社 / 2008-3 / 86.00元,https://book.douban.com/subject/1212910/
文心,9.3,(966人评价),作者/译者： 夏丏尊、叶圣陶 ,出版信息：  开明出版社 / 2017-9-30 / 48.00元,https://book.douban.com/subject/27154464/
我的团长我的团（上部）,9.3,(5069人评价),作者/译者： 兰晓龙 ,出版信息：  新星出版社 / 2009-1 / 35.00,https://book.douban.com/subject/3297466/
叶嘉莹说汉魏六朝诗,9.3,(1323人评价),作者/译者： 叶嘉莹 ,出版信息：  中华书局 / 2007-1 / 49.00元,https://book.douban.com/subject/1961670/
洛阳伽蓝记,9.3,(742人评价),作者/译者： 杨衒之 / 尚荣 注释 ,出版信息：  中华书局 / 2012-1 / 27.00元,https://book.douban.com/subject/10488582/
楚辞,9.3,(1409人评价),作者/译者： 屈原 等 / 林家骊 注释 ,出版信息：  中华书局 / 2010-6 / 23.00元,https://book.douban.com/subject/4917220/
