书名,评分,评价人数,作者,出版社,url
第三帝国的到来:第三帝国三部曲01,9.4,(1767人评价),作者/译者： [英] 理查德·J. 埃文斯 / 赖丽薇 ,出版信息：  九州出版社 / 2020-2 / 145.00元,https://book.douban.com/subject/34928222/
奥斯维辛:一部历史,9.5,(4447人评价),作者/译者： [英] 劳伦斯·里斯 / 刘爽 ,出版信息：  广西师范大学出版社 / 2016-9 / 64.00元,https://book.douban.com/subject/26861418/
她来自马里乌波尔,9.1,(353人评价),作者/译者： [德]娜塔莎·沃丁 / [德]祁沁雯 ,出版信息：  新星出版社 / 2021-3 / 58.00元,https://book.douban.com/subject/35379215/
被淹没和被拯救的,9.3,(4048人评价),作者/译者： [意] 普里莫·莱维 / 杨晨光 / 三辉图书,出版信息： 上海三联书店 / 2013-3 / 32.00元,https://book.douban.com/subject/20441569/
南京大屠杀:第二次世界大战中被遗忘的大浩劫,9.5,(5606人评价),作者/译者： [美] 张纯如 / 谭春霞、焦国林 ,出版信息：  中信出版社 / 2013-1 / 49.00元,https://book.douban.com/subject/20440053/
世界的凛冬:世纪三部曲2,8.8,(22109人评价),作者/译者： [英] 肯·福莱特 / 陈杰 ,出版信息：  江苏凤凰文艺出版社 / 2017-3-1 / 132.00（全三册）,https://book.douban.com/subject/26957760/
偷书贼,8.7,(3562人评价),作者/译者： [澳]马库斯·苏萨克 / 陶泽慧 ,出版信息：  北京十月文艺出版社 / 2018-11-1 / 68.00,https://book.douban.com/subject/30225784/
野蛮大陆:第二次世界大战后的欧洲,9.0,(3090人评价),作者/译者： [英] 基思·罗威 / 黎英亮 ,出版信息：  社会科学文献出版社 / 2015-7 / 72.00元,https://book.douban.com/subject/26354440/
第三帝国的兴亡:纳粹德国史,9.0,(411人评价),作者/译者： [美] 威廉·夏伊勒 / 董乐山 等 ,出版信息：  译林出版社 / 2020-5 / 238.00元,https://book.douban.com/subject/34907824/
艾希曼在耶路撒冷:一份关于平庸的恶的报告,8.6,(3253人评价),作者/译者： [美] 汉娜·阿伦特 / 安尼 ,出版信息：  译林出版社 / 2017-1 / 59,https://book.douban.com/subject/26834183/
奥斯维辛集中营的志愿者:一份来自波兰卧底的报告,8.8,(258人评价),作者/译者： [波兰]维托尔德·皮莱茨基 / 黄煜文 ,出版信息：  世界图书出版公司 / 2015-12 / 42.00元,https://book.douban.com/subject/26667196/
当权的第三帝国:第三帝国三部曲02,9.3,(1100人评价),作者/译者： [英] 理查德·J. 埃文斯 / 哲理庐 ,出版信息：  九州出版社 / 2020-2 / 179.00元,https://book.douban.com/subject/34925415/
灰塔笔记,8.8,(679人评价),作者/译者： ,出版信息： 空灯流远 / 2014-12-14 / 50,https://book.douban.com/subject/34984575/
我是女兵，也是女人,9.0,(3258人评价),作者/译者： [白俄] S·A·阿列克谢耶维奇 / 吕宁思 ,出版信息：  九州出版社 / 2015-9 / 55.00,https://book.douban.com/subject/26602467/
活着回来的男人:一个普通日本兵的二战及战后生命史,8.5,(2461人评价),作者/译者： [日] 小熊英二 / 黄耀进 ,出版信息：  广西师范大学出版社 / 2017-1 / 62.00元,https://book.douban.com/subject/26897187/
1945年的六个月:从盟友到对抗,9.1,(48人评价),作者/译者： [美]迈克尔·多布斯 / 董旻杰、王小伟 ,出版信息：  社会科学文献出版社 / 2021-2 / 92.00,https://book.douban.com/subject/35232623/
拥抱战败:第二次世界大战后的日本,9.1,(1260人评价),作者/译者： [美] 约翰·W·道尔 / 胡博 ,出版信息：  生活·读书·新知三联书店 / 2015-8 / 70.00元,https://book.douban.com/subject/26418529/
朗读者,8.7,(4955人评价),作者/译者： [德] 本哈德·施林克 / 钱定平 ,出版信息：  译林出版社 / 2012-8 / 28.00元,https://book.douban.com/subject/10583781/
休战,8.9,(562人评价),作者/译者： [意] 普里莫·莱维 / 杨晨光 ,出版信息：  中信出版集团 / 2018-11 / 55.00元,https://book.douban.com/subject/30253082/
战时的第三帝国:第三帝国三部曲03,9.2,(404人评价),作者/译者： 理查德·J.埃文斯 / 陈壮、赵丁 ,出版信息：  九州出版社 / 2020-8 / 189.00 元,https://book.douban.com/subject/35134992/
燃烧的大洋:1941—1942，从突袭珍珠港到中途岛战役,8.9,(106人评价),作者/译者： [美]伊恩·托尔 / 徐彬、王斌、王晓 ,出版信息：  中信出版集团 / 2020-9 / 98,https://book.douban.com/subject/34988830/
忘记我,8.4,(25人评价),作者/译者： 徐风 ,出版信息：  译林出版社 / 2021-4 / 68.00,https://book.douban.com/subject/35426708/
高堡奇人,7.6,(2724人评价),作者/译者： [美] 菲利普·迪克 / 李广荣 ,出版信息：  译林出版社 / 2017-10 / 39.80,https://book.douban.com/subject/27039411/
安妮日记,8.1,(8324人评价),作者/译者： 安妮.弗兰克 / 彭淮栋 ,出版信息：  海南出版社 / 1996-12 / 19.80元,https://book.douban.com/subject/1042434/
巴黎烧了吗?,8.8,(3880人评价),作者/译者： [美] 拉莱·科林斯、[法] 多米尼克·拉皮埃尔 / 董乐山 ,出版信息：  译林出版社 / 2013-3 / 38.00元,https://book.douban.com/subject/21329239/
穿条纹睡衣的男孩,9.0,(553人评价),作者/译者： (爱尔兰)约翰·伯恩 / 李亚飞 ,出版信息：  湖南文艺出版社 / 2020-5 / 45.00 元,https://book.douban.com/subject/34908367/
所有我们看不见的光,8.9,(3482人评价),作者/译者： [美] 安东尼·多尔 / 高环宇 ,出版信息：  中信出版集团 / 2015-8 / 42.00元,https://book.douban.com/subject/26431326/
钢琴师:二战期间华沙幸存记,9.1,(1184人评价),作者/译者： (波)瓦迪斯瓦夫.什皮尔曼 ,出版信息：  人民文学出版社 / 2004-1 / 12.00,https://book.douban.com/subject/1051314/
第二次世界大战战史,8.9,(1209人评价),作者/译者： 李德•哈特 (Basil H.Liddell Hart) / 钮先钟 ,出版信息：  上海人民出版社 / 2009-3-1 / 75.00元,https://book.douban.com/subject/3610090/
日本人为何选择了战争,8.2,(2656人评价),作者/译者： [日]加藤阳子 / 章霖 ,出版信息：  浙江人民出版社 / 2019-9 / 69.00元,https://book.douban.com/subject/34204669/
纳粹集中营史,9.6,(19人评价),作者/译者： 尼古拉斯·瓦克斯曼 / 柴茁 ,出版信息：  社会科学文献出版社 / 2021-1 / 212.00,https://book.douban.com/subject/35191821/
来自纳粹地狱的报告:奥斯维辛犹太医生纪述,8.8,(1377人评价),作者/译者： [匈]米克洛斯·尼斯利 / 刘建波 ,出版信息：  北京联合出版公司 / 2015-9 / 32.00元,https://book.douban.com/subject/26586326/
企鹅欧洲史·地狱之行:1914-1949,9.1,(782人评价),作者/译者： [英] 伊恩·克肖 / 林华 ,出版信息：  中信出版集团·新思文化 / 2018-12 / 89.00元,https://book.douban.com/subject/27184989/
巨人的碰撞:一部全新的苏德战争史,9.6,(68人评价),作者/译者： [美] 戴维·M. 格兰茨、[美] 乔纳森·M. 豪斯 / 赵玮、赵国星 ,出版信息：  江苏凤凰文艺出版社 / 2020-8-28 / 169.8,https://book.douban.com/subject/35127632/
南京大屠杀:第二次世界大战中被遗忘的大浩劫,9.5,(2112人评价),作者/译者： [美]张纯如（Iris Chang） / 谭春霞、焦国林 ,出版信息：  中信出版社 / 2015-8 / 49.00元,https://book.douban.com/subject/26545308/
失焦,9.0,(1471人评价),作者/译者： [匈]罗伯特·卡帕 / 徐振锋 ,出版信息：  广西师范大学出版社 / 2017-10-1 / 52.00,https://book.douban.com/subject/27156016/
被遗忘的士兵:一个德国士兵的苏德战争回忆录,9.0,(1455人评价),作者/译者： [法] 盖伊·萨杰 / 杨华钢 ,出版信息：  新华出版社 / 2009-1 / 36.00元,https://book.douban.com/subject/3418938/
风的女儿:二战德国女飞行员的交错人生,9.7,(24人评价),作者/译者： [英]克莱尔•马利（Clare Mully） / 姜洁 ,出版信息：  生活·读书·新知三联书店 / 2021-3-31 / 78,https://book.douban.com/subject/35048542/
纳粹军官的犹太妻子:大屠杀中的一个幸存奇迹,9.0,(134人评价),作者/译者： [英] 伊迪丝·汉恩·比尔、[美] 苏珊·德沃金 / 翁海贞 ,出版信息：  新星出版社 / 2020-5 / 52.00元,https://book.douban.com/subject/34976033/
布达佩斯之围:第二次世界大战中的一百天,0.0,(少于10人评价),作者/译者： [匈牙利] 翁格瓦利·克里斯蒂安 / 陆大鹏、刘晓晖 ,出版信息：  社会科学文献出版社 / 2021-5 / 108.00,https://book.douban.com/subject/35450896/
亢奋战:纳粹嗑药史,8.3,(1119人评价),作者/译者： [德] 诺曼·奥勒 / 强朝晖 ,出版信息：  社会科学文献出版社 / 2018-10 / 69.00元,https://book.douban.com/subject/30230911/
零年：1945:现代世界诞生的时刻,8.7,(2402人评价),作者/译者： [荷] 伊恩·布鲁玛 / 倪韬 ,出版信息：  广西师范大学出版社 / 2015-1 / 68.00,https://book.douban.com/subject/26298832/
我还是想你，妈妈,8.7,(2379人评价),作者/译者： S·A·阿列克谢耶维奇 / 晴朗李寒 ,出版信息：  九州出版社 / 2015-9 / 45.00,https://book.douban.com/subject/26591790/
像自由一样美丽:犹太人集中营遗存的儿童画作,8.8,(6500人评价),作者/译者： 林达 ,出版信息：  生活·读书·新知三联书店 / 2007-9 / 38.00元,https://book.douban.com/subject/2282097/
纳粹医生:医学屠杀与种族灭绝心理学,8.3,(400人评价),作者/译者： [美] 罗伯特·杰伊·利夫顿 / 王毅、刘伟 ,出版信息：  江苏凤凰文艺出版社 / 2016-10 / 118.00元,https://book.douban.com/subject/26865732/
最长的一天:1944诺曼底登陆,9.0,(310人评价),作者/译者： [美] 科尼利厄斯·瑞恩 / 李文俊、陶洁、申慧辉、董旻杰（译校） ,出版信息：  中信出版集团·新思文化 / 2018-6 / 52.00元,https://book.douban.com/subject/27138726/
曼哈顿海滩,8.7,(32人评价),作者/译者： [美]珍妮弗·伊根（Jennifer Egan） / 宋瑛堂 ,出版信息：  新星出版社 / 2021-3-1 / 58,https://book.douban.com/subject/35364936/
永恒的边缘:世纪三部曲3,7.8,(10645人评价),作者/译者： [英] 肯·福莱特 / 陈杰 ,出版信息：  江苏凤凰文艺出版社 / 2017-5 / 168.00（全三册）,https://book.douban.com/subject/27025715/
被淹没与被拯救的,9.5,(1133人评价),作者/译者： [意] 普里莫·莱维 / 杨晨光 ,出版信息：  中信出版集团 / 2017-10 / 45.00元,https://book.douban.com/subject/27016167/
拉贝日记,8.3,(794人评价),作者/译者： [德] 约翰·拉贝 / 《拉贝日记》翻译组 ,出版信息：  江苏人民出版社 / 1997-10 / 36.00,https://book.douban.com/subject/1019945/
第二次世界大战回忆录（全六卷）,8.7,(856人评价),作者/译者： 温斯顿·丘吉尔 / 吴万沈等 ,出版信息：  南方出版社 / 2003-4-1 / 298.0,https://book.douban.com/subject/1000531/
慕尼黑,8.3,(76人评价),作者/译者： [英] 罗伯特·哈里斯 / 王林菁 ,出版信息：  社会科学文献出版社 / 2020-9 / 59.00,https://book.douban.com/subject/35114061/
战起1938,8.0,(1544人评价),作者/译者： 疯丢子 ,出版信息：  江苏文艺出版社 / 2013-12-1 / 46.80,https://book.douban.com/subject/25791940/
风暴前线:二战中的拉丁美洲,7.5,(38人评价),作者/译者： 玛丽·乔·麦克科纳希 / 任逸飞 ,出版信息：  山西人民出版社 / 2020-10 / 88.00,https://book.douban.com/subject/35245612/
被涂污的鸟:ANovel,8.3,(1189人评价),作者/译者： [美] 耶日·科辛斯基 / 莫雅平 ,出版信息：  上海人民出版社 / 2019-3 / 56.00,https://book.douban.com/subject/30397063/
战争时期日本精神史:1931-1945,7.5,(553人评价),作者/译者： [日] 鹤见俊辅 / 邱振瑞 ,出版信息：  北京日报出版社 / 2019-9 / 65.00,https://book.douban.com/subject/34835561/
这是不是个人,8.9,(702人评价),作者/译者： [意] 普里莫·莱维 / 沈萼梅 ,出版信息：  人民文学出版社 / 2016-3-1 / 39.00,https://book.douban.com/subject/26666138/
反败为胜:印缅战场对日决战1942—1945,0.0,(10人评价),作者/译者： 【英】威廉·斯利姆 / 蒋经飞 ,出版信息：  新华出版社 / 2021-5 / 98.00元,https://book.douban.com/subject/35407472/
隆美尔战时文件,9.3,(255人评价),作者/译者： 【英】李德•哈特 / 钮先钟 ,出版信息：  民主与建设出版社 / 2015-9 / 49.80元,https://book.douban.com/subject/26600365/
欧洲争夺战,0.0,(少于10人评价),作者/译者： [澳]切斯特·威尔莫特（Chester Wilmot） / 钮先钟 ,出版信息：  新华出版社 / 2021-3 / 168.00元,https://book.douban.com/subject/35226760/
日本帝国衰亡史：1936—1945（全4册）,8.5,(344人评价),作者/译者： [美] 约翰·托兰 / 郭伟强 / 三辉图书 ,出版信息：  中信出版社 / 2015-9 / 98.00,https://book.douban.com/subject/26433353/
