书名,评分,评价人数,作者,出版社,url
编织万维网,9.6,(29人评价),作者/译者： ［英］蒂姆・伯纳斯―李、蒂姆·伯纳斯-李、马克·菲谢蒂 / 张宇宏/萧风 ,出版信息：  上海译文出版社 / 1999-12 / 13.0,https://book.douban.com/subject/1031060/
变现思维：自我增值的8堂营销课（沃顿商学院演讲嘉宾，美国营销协会艾菲奖、中国广告长城奖得主全新力作）,9.6,(30人评价),作者/译者： 廖恒 ,出版信息：  民主与建设出版社 / 2021-3 / 46.80元,https://book.douban.com/subject/35373883/
UNIX网络编程:第1卷:套接口API(第3版),9.5,(1009人评价),作者/译者： 史蒂文斯、芬纳、鲁道夫 / 杨继张 ,出版信息：  清华大学出版社 / 2006-1 / 98.00元,https://book.douban.com/subject/1500149/
TheManager'sPath:AGuideforTechLeadersNavigatingGrowthandChange,9.5,(153人评价),作者/译者： Camille Fournier ,出版信息：  O′Reilly / 2017-3-24 / GBP 27.99,https://book.douban.com/subject/26997855/
公司理财,9.4,(1002人评价),作者/译者： [美] 斯蒂芬 A. 罗斯、[美] 伦道夫 W. 威斯特菲尔德、[美] 杰弗利 F. 杰富 / 吴世农、沈艺峰、王志强 等 ,出版信息：  机械工业出版社 / 2012-1 / 88.00元,https://book.douban.com/subject/10441759/
计算机网络（原书第7版）:自顶向下方法,9.4,(421人评价),作者/译者： James F. Kurose、Keith W. Ross / 陈鸣 ,出版信息：  机械工业出版社 / 2018-6 / 89.00元,https://book.douban.com/subject/30280001/
大眾媒體的實在,9.4,(15人评价),作者/译者： Niklas Luhmann ,出版信息：  左岸文化 / 2006 / 250,https://book.douban.com/subject/4713047/
算法导论（原书第2版）,9.3,(5116人评价),作者/译者： [美] Thomas H.Cormen、Charles E.Leiserson、Ronald L.Rivest、Clifford Stein / 潘金贵 等 ,出版信息：  机械工业出版社 / 2006-9 / 85.00元,https://book.douban.com/subject/1885170/
数据赋能:数字化营销与运营新实战,9.3,(38人评价),作者/译者： ,出版信息： 宋星 / 2021-1-1 / 118.60,https://book.douban.com/subject/35332765/
脸书故事,9.3,(22人评价),作者/译者： [英]丹尼尔·米勒（Daniel Miller） / 段采薏、丁依然、董晨宇 ,出版信息：  北京大学出版社 / 2020-10-1 / 59,https://book.douban.com/subject/35143537/
ComputerNetworking:ATop-DownApproach,9.3,(167人评价),作者/译者： James F. Kurose、Keith W. Ross ,出版信息：  Pearson / 2012-3-5 / USD 171.60,https://book.douban.com/subject/10573157/
Java编程思想:英文版·第4版,9.3,(171人评价),作者/译者： 埃克尔 ,出版信息：  机械工业出版社 / 2007-5-1 / 79.00元,https://book.douban.com/subject/2061172/
奇云:媒介即存有,9.2,(119人评价),作者/译者： [美]约翰·杜海姆·彼得斯 / 邓建国 ,出版信息：  复旦大学出版社 / 2020-12 / 88,https://book.douban.com/subject/35275311/
掘金大数据:电信数据金矿详解、挖掘及应用,9.2,(308人评价),作者/译者： 程新洲、朱常波、晁昆 ,出版信息：  机械工业出版社 / 2019-1 / 59.00元,https://book.douban.com/subject/30405895/
"WorkingBackwards:Insights,Stories,andSecretsfromInsideAmazon",9.2,(21人评价),作者/译者： ,出版信息： Colin Bryar、Bill Carr / St. Martin's Press / 2021-2-9,https://book.douban.com/subject/35363202/
领域驱动设计:软件核心复杂性应对之道,9.2,(236人评价),作者/译者： 埃文斯 / 赵俐、盛海艳、刘霞 ,出版信息：  人民邮电出版社 / 2010-11 / 69.00元,https://book.douban.com/subject/5344973/
浪潮之巅（下册）,9.2,(638人评价),作者/译者： 吴军 ,出版信息：  人民邮电出版社 / 2013-6 / 45.00元,https://book.douban.com/subject/24740308/
浪潮之巅（第三版）（上下册）,9.2,(1508人评价),作者/译者： 吴军 ,出版信息：  人民邮电出版社 / 2016-5 / 99.00元,https://book.douban.com/subject/26792439/
浪潮之巅（第2版）（套装上下册）,9.2,(3192人评价),作者/译者： 吴军 ,出版信息：  人民邮电出版社 / 2013-7 / 80.00元,https://book.douban.com/subject/24738302/
