书名,评分,评价人数,作者,出版社,url
原动画基础教程:动画人的生存手册,9.6,(1763人评价),作者/译者： 理查德·威廉姆斯 / 邓晓娥 ,出版信息：  中国青年出版社 / 2006-1 / 128.00元,https://book.douban.com/subject/1485731/
InteractionofColor:RevisedandExpandedEdition,9.4,(34人评价),作者/译者： Josef Albers ,出版信息：  Yale University Press / 2006-5-15 / USD 16.00,https://book.douban.com/subject/2128991/
SeeYourselfSensing:RedefiningHumanPerception,9.3,(20人评价),"作者/译者： Schwartzman, Madeline ",出版信息：  Black Dog Publishing / 2011-6-24 / 24.95 GBP,https://book.douban.com/subject/6701607/
DataFlow2:VisualizingInformationinGraphicDesign,9.1,(56人评价),"作者/译者： Klanten, Robert; Ehmann, Sven; Bourquin, Nicolas ",出版信息：  dgv / 2010-3-30 / USD 78.00,https://book.douban.com/subject/4195708/
故事板:运动的艺术,9.1,(23人评价),作者/译者： [美] Mark Simon ,出版信息：  人民邮电出版社 / 2011-12 / 79.00元,https://book.douban.com/subject/6998852/
TheVisualDisplayofQuantitativeInformation,9.1,(213人评价),作者/译者： Edward R. Tufte ,出版信息：  Graphics Pr / 2001-1 / USD 40.00,https://book.douban.com/subject/1316642/
交互设计：原理与方法,9.1,(53人评价),作者/译者： 顾振宇 ,出版信息：  清华大学出版社 / 2016-11-1 / 88,https://book.douban.com/subject/26978939/
UniversalPrinciplesofDesign,9.0,(75人评价),作者/译者： William Lidwell、Kritina Holden、Jill Butler ,出版信息：  Rockport Publishers / 2003-10-01 / USD 40.00,https://book.douban.com/subject/1920714/
全景探秘游戏设计艺术,9.0,(490人评价),作者/译者： Jesse Schell / 吕阳、蒋韬、唐文 ,出版信息：  电子工业出版社 / 2010-6 / 69.00元,https://book.douban.com/subject/4837351/
"LearningProcessing:ABeginner'sGuidetoProgrammingImages,Animation,andInteraction(MorganKaufmannSeriesin",9.0,(190人评价),作者/译者： Daniel Shiffman ,出版信息：  Morgan Kaufmann / 2008-08-15 / USD 49.95,https://book.douban.com/subject/3143256/
AProjectGuidetoUXDesign:Foruserexperiencedesignersinthefieldorinthemaking,8.9,(34人评价),作者/译者： Russ Unger、Carolyn Chandler ,出版信息：  New Riders Press / 2009-3-23 / USD 39.99,https://book.douban.com/subject/3421275/
