书名,评分,评价人数,作者,出版社,url
"TheAnimator'sSurvivalKit:AManualofMethods,Principles,andFormulasforClassical,Computer,Games,StopMotion,andI",9.6,(96人评价),作者/译者： Richard Williams ,"出版信息：  Faber & Faber / 07 January, 2002 / $30.00",https://book.douban.com/subject/1437888/
理解漫画,9.4,(867人评价),作者/译者： [美] 麦克劳德 / 万旻 ,出版信息：  人民邮电出版社 / 2010-4 / 49.00元,https://book.douban.com/subject/4727293/
SmartThings:UbiquitousComputingUserExperienceDesign,9.4,(13人评价),作者/译者： Mike Kuniavsky ,出版信息：  Morgan Kaufmann / 2010 / USD 39.95,https://book.douban.com/subject/4125086/
Before&After:HowtoDesignCoolStuff(v.2),9.3,(43人评价),作者/译者： John McWade ,出版信息：  Peachpit Press / 2009-11-21 / USD 39.99,https://book.douban.com/subject/4442575/
iOSHumanInterfaceGuidelines:UserExperience,9.3,(121人评价),作者/译者： ,出版信息： Apple / free,https://book.douban.com/subject/10465946/
SeeYourselfSensing:RedefiningHumanPerception,9.3,(20人评价),"作者/译者： Schwartzman, Madeline ",出版信息：  Black Dog Publishing / 2011-6-24 / 24.95 GBP,https://book.douban.com/subject/6701607/
MassiveChange,9.2,(24人评价),作者/译者： Bruce Mau、Jennifer Leonard、Institute Without Boundaries ,出版信息：  Phaidon Press / 2004-10-1 / USD 35.00,https://book.douban.com/subject/1344178/
TheNatureofCode:SimulatingNaturalSystemswithProcessing,9.2,(129人评价),作者/译者： Daniel Shiffman ,出版信息：  The Nature of Code / 2012-12-13 / GBP 19.95,https://book.douban.com/subject/20452058/
TheElementsofUserExperience:User-CenteredDesignfortheWebandBeyond,9.2,(39人评价),作者/译者： Jesse James Garrett ,出版信息：  New Riders / 2010-12-26 / USD 44.99,https://book.douban.com/subject/4287111/
数字时代儿童产品设计,9.2,(69人评价),作者/译者： [美] Debra Levin Gelman / 倪裕伟 ,出版信息：  华中科技大学出版社 / 2017-10-1 / 72.80,https://book.douban.com/subject/27144862/
設計的法則:100個影響認知、增加美感，讓設計更好的關鍵法則,9.2,(69人评价),作者/译者： 威廉‧立德威（William Lidwell）、克汀娜‧荷登（Kritina Holden）、吉兒‧巴特勒（Jill Butler） / 呂亨英 ,出版信息：  原點出版社 / 2008-07-25 / 新台幣600元,https://book.douban.com/subject/3154020/
GenerativeGestaltung:Entwerfen.Programmieren.Visualisieren,9.2,(13人评价),作者/译者： Hartmut Bohnacker、Benedikt Gross、Julia Laub、Claudius Lazzeroni ,"出版信息：  Hermann Schmidt Verlag / 2009 / EUR 75,00",https://book.douban.com/subject/4117833/
设计中的设计|全本,9.1,(8402人评价),作者/译者： [日] 原研哉 / 纪江红、朱锷 ,出版信息：  广西师范大学出版社 / 2010-09 / 98.00元,https://book.douban.com/subject/4230237/
HTMLandCSS:DesignandBuildWebsites,9.1,(207人评价),作者/译者： Jon Duckett ,出版信息：  Wiley / 2011-11-8 / USD 29.99,https://book.douban.com/subject/6585090/
设计模式:可复用面向对象软件的基础,9.1,(3030人评价),作者/译者： [美] Erich Gamma、Richard Helm、Ralph Johnson、John Vlissides / 李英军、马晓星、蔡敏、刘建中 等 ,出版信息：  机械工业出版社 / 2000-9 / 35.00元,https://book.douban.com/subject/1052241/
TheVisualDisplayofQuantitativeInformation,9.1,(213人评价),作者/译者： Edward R. Tufte ,出版信息：  Graphics Pr / 2001-1 / USD 40.00,https://book.douban.com/subject/1316642/
"ThisIsServiceDesignThinking:Basics,Tools,Cases",9.1,(61人评价),作者/译者： Marc Stickdorn ,出版信息：  Wiley / 2012-1-11 / 253.00元,https://book.douban.com/subject/6915786/
DATAVISUALIZATION:Convey\Clarify\Construct,9.1,(39人评价),作者/译者： ,出版信息： dowork publishing / dowork / 2011-11,https://book.douban.com/subject/7014933/
JavaScript语言精粹,9.1,(1902人评价),作者/译者： Douglas Crockford / 赵泽欣、鄢学鹍 ,出版信息：  电子工业出版社 / 2009-4 / 35.00元,https://book.douban.com/subject/3590768/
交互设计：原理与方法,9.1,(53人评价),作者/译者： 顾振宇 ,出版信息：  清华大学出版社 / 2016-11-1 / 88,https://book.douban.com/subject/26978939/
"GettingReal:TheSmarter,Faster,EasierWaytoBuildaSuccessfulWebApplication",9.1,(959人评价),作者/译者： Jason Fried、Heinemeier David Hansson、Matthew Linderman ,出版信息：  37signals / 2009-11-18 / USD 24.99,https://book.douban.com/subject/3567853/
浪潮之巅,9.0,(29121人评价),作者/译者： 吴军 ,出版信息：  电子工业出版社 / 2011-8 / 55.00元,https://book.douban.com/subject/6709783/
社会心理学:（第8版）,9.0,(21023人评价),作者/译者： [美] 戴维·迈尔斯 / 张智勇、乐国安、侯玉波 等 ,出版信息：  人民邮电出版社 / 2006-1 / 68.00元,https://book.douban.com/subject/1476651/
工程心理学与人的作业:(原书第4版),9.0,(29人评价),作者/译者： 克里斯托弗 D.威肯斯、贾斯廷 G. 霍兰兹、西蒙•班伯里 / 张侃、孙向红 ,出版信息：  机械工业出版社 / 2014-8-9 / 85.00元,https://book.douban.com/subject/25943583/
"HandbookofUsabilityTesting:HowtoPlan,Design,andConductEffectiveTests",9.0,(65人评价),作者/译者： Jeffrey Rubin、Dana Chisnell ,出版信息：  Wiley / 2008-5-12 / USD 60.00,https://book.douban.com/subject/3990626/
"ArticulatingDesignDecisions:CommunicatewithStakeholders,KeepYourSanity,andDelivertheBestUserExperience",9.0,(31人评价),作者/译者： ,出版信息： Tom Greever / O'Reilly Media / USD 34.99,https://book.douban.com/subject/26588403/
"LearningProcessing:ABeginner'sGuidetoProgrammingImages,Animation,andInteraction(MorganKaufmannSeriesin",9.0,(190人评价),作者/译者： Daniel Shiffman ,出版信息：  Morgan Kaufmann / 2008-08-15 / USD 49.95,https://book.douban.com/subject/3143256/
EnvisioningInformation,9.0,(216人评价),作者/译者： Edward R. Tufte ,出版信息：  Graphics Pr / 1990-12-31 / GBP 30.00,https://book.douban.com/subject/1861189/
Processing:AProgrammingHandbookforVisualDesignersandArtists,9.0,(193人评价),作者/译者： Casey Reas、Ben Fry ,出版信息：  MIT Press / 2007-9-28 / GBP 35.95,https://book.douban.com/subject/2043236/
DesigningInteractions,9.0,(508人评价),作者/译者： Bill Moggridge ,出版信息：  MIT Press / 2006-11-24 / GBP 30.95,https://book.douban.com/subject/1894206/
"TheWallStreetJournalGuidetoInformationGraphics:TheDosandDon'tsofPresentingData,Facts,andFigures",9.0,(50人评价),作者/译者： Dona M. Wong ,出版信息：  W. W. Norton & Company / 2010-1 / USD 29.95,https://book.douban.com/subject/4776049/
"ActionableGamification:BeyondPoints,Badges,andLeaderboards",9.0,(22人评价),作者/译者： Yu-kai Chou ,出版信息：  Octalysis Media / 2015-5-13 / USD 22.22,https://book.douban.com/subject/26430405/
"YouCanDrawin30Days:TheFun,EasyWayToLearnToDrawInOneMonthOrLess:TheFun,EasyWaytoMasterDrawing,fr",8.9,(148人评价),作者/译者： Mark Kistler ,出版信息：  Da Capo Lifelong Books / 2011-1-8 / GBP 11.99,https://book.douban.com/subject/4411193/
AboutFace:TheEssentialsofInteractionDesign,8.9,(51人评价),作者/译者： Alan Cooper、Robert Reimann、David Cronin、Christopher Noessel ,出版信息：  Wiley / 2014-9-2 / USD 50.00,https://book.douban.com/subject/25983558/
TheDesignofEverydayThings:RevisedandExpandedEdition,8.9,(268人评价),作者/译者： Don Norman ,出版信息：  Basic Books / 2013-11-5 / USD 17.99,https://book.douban.com/subject/21983611/
101DesignMethods:AStructuredApproachforDrivingInnovationinYourOrganization,8.9,(74人评价),作者/译者： Vijay Kumar ,出版信息：  Wiley / 2012-10-9 / USD 34.95,https://book.douban.com/subject/11228565/
InformationGraphics,8.9,(34人评价),作者/译者： Sandra Rendgen ,出版信息：  Taschen / 2012-5-27 / USD 69.99,https://book.douban.com/subject/10505146/
DesigningfortheDigitalAge:HowtoCreateHuman-CenteredProductsandServices,8.9,(33人评价),作者/译者： Kim Goodwin ,出版信息：  John Wiley & Sons / 2009-3-13 / GBP 57.50,https://book.douban.com/subject/3792134/
写给大家看的设计书（第4版）,8.9,(338人评价),作者/译者： [美] Robin Williams / 苏金国、李　盼 等 ,出版信息：  人民邮电出版社 / 2015-11 / 79.00元,https://book.douban.com/subject/26657933/
"ThoughtsonInteractionDesign,SecondEdition",8.9,(14人评价),作者/译者： Jon Kolko ,出版信息：  Morgan Kaufmann / 2011-2-8 / USD 31.95,https://book.douban.com/subject/6533760/
IDEOMethodCards:51WaystoInspireDesign,8.9,(113人评价),作者/译者： ,出版信息： IDEO / William Stout / 2003-11,https://book.douban.com/subject/3430960/
TheDesignofEverydayThings,8.9,(41人评价),作者/译者： Donald Norman ,出版信息：  Currency / 1990-02-01 / USD 15.95,https://book.douban.com/subject/1817085/
设计的125条通用法则（全本）,8.9,(63人评价),作者/译者： ［美］威廉·立德威尔（William Lidwell）、［美］克里蒂娜·霍顿（Kritina Holden）、［美］吉尔·巴特勒（Jill Butler） / 陈丽丽、吴奕俊 ,出版信息：  中国画报出版社 / 2019-5 / 168,https://book.douban.com/subject/30475363/
产品设计手绘技法,8.9,(595人评价),作者/译者： [荷]库斯•艾森（Koos Eissen) ,出版信息：  中国青年出版社 / 2009-2-1 / 118.00元,https://book.douban.com/subject/3675797/
AxureRP7原型设计精髓,8.9,(47人评价),作者/译者： [美]Ezra Schwartz、[美]Elizabeth Srail / 七印部落 ,出版信息：  华中科技大学出版社 / 2015-9-1 / 96.00元,https://book.douban.com/subject/26591499/
OnIntelligence:HowaNewUnderstandingoftheBrainwillLeadtotheCreationofTrulyIntelligentMachines,8.9,(174人评价),作者/译者： Jeff Hawkins、Sandra Blakeslee ,出版信息：  Times Books / 2004-10-03 / USD 25.00,https://book.douban.com/subject/1356949/
ThoughtlessActs?:ObservationsonIntuitiveDesign,8.8,(41人评价),作者/译者： Jane Fulton Suri、Ideo ,出版信息：  Chronicle Books / 2005-03-30 / USD 29.95,https://book.douban.com/subject/1366830/
Designsystems:Apracticalguidetocreatingdesignlanguagesfordigitalproducts.,8.8,(65人评价),作者/译者： ,出版信息： ,https://book.douban.com/subject/27180431/
TheVisualMiscellaneum:AColorfulGuidetotheWorld'sMostConsequentialTrivia,8.8,(70人评价),作者/译者： David McCandless ,出版信息：  Harper Design / 2009-11-10 / USD 26.99,https://book.douban.com/subject/4135234/
CreativeConfidence:UnleashingtheCreativePotentialWithinUsAll,8.8,(92人评价),作者/译者： Tom Kelley、David Kelley ,出版信息：  Crown Business / 2013-10-15 / GBP 23.50,https://book.douban.com/subject/21981230/
认知与设计:理解UI设计准则（第2版）,8.8,(492人评价),作者/译者： Jeff Johnson / 张一宁、王军锋 ,出版信息：  人民邮电出版社 / 2014-8-1 / CNY 69.00,https://book.douban.com/subject/25932290/
产品设计手绘:感知×构思×呈现,8.8,(20人评价),作者/译者： ,出版信息： 张婷 / 人民邮电出版社 / 2013-9,https://book.douban.com/subject/25891149/
PictureThis:HowPicturesWork,8.8,(217人评价),作者/译者： Molly Bang ,出版信息：  Chronicle Books / 2004-10-26 / CAD 14.99,https://book.douban.com/subject/1340897/
认知心理学及其启示,8.8,(460人评价),作者/译者： 约翰•R•安德森 / 秦裕林、程瑶、周海燕 ,出版信息：  人民邮电出版社 / 2012-1-1 / 88.00元,https://book.douban.com/subject/7067149/
HeadFirstHTML与CSS、XHTML（中文版）,8.8,(885人评价),作者/译者： Elisabeth Freeman、Eric Freeman / 林旺、张晓坤 ,出版信息：  中国电力出版社 / 2008-4 / 79.00元,https://book.douban.com/subject/3040870/
精益创业实战（第2版）,8.8,(852人评价),作者/译者： Ash Maurya / 张玳 ,出版信息：  图灵文化发展有限公司 / 2013-1 / 39.00元,https://book.douban.com/subject/20505765/
ObservingtheUserExperience:APractitioner'sGuidetoUserResearch,8.8,(20人评价),作者/译者： Elizabeth Goodman Ph.D.  School of Information  University of California Berkeley、Mike Kuniavsky、Andrea Moed ,出版信息：  Morgan Kaufmann / 2012-9-21 / USD 59.95,https://book.douban.com/subject/11543181/
AboutFace3：交互设计精髓,8.8,(501人评价),作者/译者： [美] 艾伦·库伯、[美] 罗伯特·瑞宁、[美] 大伟·克洛林 / 刘松涛 ,出版信息：  电子工业出版社 / 2012-3-1 / 98.00元,https://book.douban.com/subject/10557282/
HTML&CSS设计与构建网站,8.8,(445人评价),作者/译者： [美] Jon Duckett / 刘涛、陈学敏 ,出版信息：  清华大学出版社 / 2013-1 / 59.80元,https://book.douban.com/subject/21338365/
DesigningtheObvious:ACommonSenseApproachtoWebApplicationDesign,8.7,(14人评价),作者/译者： Robert Hoekman Jr. ,出版信息：  New Riders Press / 2006-10-22 / USD 39.99,https://book.douban.com/subject/1922035/
