书名,评分,评价人数,作者,出版社,url
羊道·深山夏牧场,9.1,(3459人评价),作者/译者： 李娟 ,出版信息：  上海文艺出版社 / 2012-8-25 / 24.00元,https://book.douban.com/subject/11602263/
深夜食堂01,9.1,(17878人评价),作者/译者： [日] 安倍夜郎 / 陈颖 ,出版信息：  湖南文艺出版社 / 2013-1 / 25.00元,https://book.douban.com/subject/20470917/
有生之年非听不可的1001张唱片,9.1,(292人评价),作者/译者： 罗伯特•迪默里、Robert Dimery / 张阅、邵逸 ,出版信息：  中央编译出版社 / 2013-8 / 228.00元,https://book.douban.com/subject/24845006/
亦舒精选集（套装共4册）,9.1,(33人评价),作者/译者： 亦舒 ,出版信息：  南海出版社 / 2002-12 / 71.00元,https://book.douban.com/subject/24749295/
哭泣的駱駝,9.0,(4376人评价),作者/译者： 三毛 ,出版信息：  皇冠出版社 / 1977-8 / 160 TWD,https://book.douban.com/subject/1361263/
悉达多,9.0,(32834人评价),作者/译者： [德] 赫尔曼·黑塞 / 杨玉功 译、丁君君 校 ,出版信息：  上海人民出版社 / 2009-3 / 20.00,https://book.douban.com/subject/3406401/
局外人,9.0,(161902人评价),作者/译者： [法] 阿尔贝·加缪 / 柳鸣九 ,出版信息：  上海译文出版社 / 2010-8 / 22.00元,https://book.douban.com/subject/4908885/
寻路中国:从乡村到工厂的自驾之旅,9.0,(45573人评价),作者/译者： [美] 彼得·海斯勒 / 李雪顺 ,出版信息：  上海译文出版社 / 2011-1 / 33.00元,https://book.douban.com/subject/5414391/
重读古典,8.9,(113人评价),作者/译者： 李书磊 ,出版信息：  中国广播电视出版社 / 1997-04 / 10.00,https://book.douban.com/subject/1055709/
玫瑰念珠,8.9,(45人评价),作者/译者： 鍾玲玲、钟玲玲 ,出版信息：  三人出版 / 1997 / 港币八十元,https://book.douban.com/subject/1358449/
此生未完成:一个母亲、妻子、女儿的生命日记,8.9,(18720人评价),作者/译者： 于娟 ,出版信息：  湖南科技出版社 / 2011-5 / 26.00元,https://book.douban.com/subject/6397275/
二十首情诗与绝望的歌,8.8,(8352人评价),作者/译者： 聂鲁达 / 李宗荣 ,出版信息：  中国社会科学出版社 / 2003-1 / 20.00,https://book.douban.com/subject/1045352/
陆犯焉识,8.8,(48702人评价),作者/译者： 严歌苓 ,出版信息：  作家出版社 / 2011-10 / 35.00元,https://book.douban.com/subject/6880158/
品味#1,8.8,(10人评价),作者/译者： ,出版信息： 章小蕙 / TERESA / 2001-07,https://book.douban.com/subject/1419358/
朝花夕拾,8.8,(107人评价),作者/译者： 亦舒 ,出版信息：  天地圖書 / 2008 / hk 68.00,https://book.douban.com/subject/4013744/
