书名,评分,评价人数,作者,出版社,url
人文传统(二):文艺复兴—启蒙运动(全彩插图本),9.8,(83人评价),作者/译者： （美）GLORIA K. FIERO、孙有中 ,出版信息：  外语教学与研究出版社 / 2014-1-1 / 108,https://book.douban.com/subject/25806782/
察举制度变迁史稿,9.8,(29人评价),作者/译者： 阎步克 ,出版信息：  北京师范大学出版社 / 2021-1-1 / 89.00元,https://book.douban.com/subject/35237020/
中国社会各阶级的分析,9.8,(97人评价),作者/译者： 毛泽东 ,出版信息：  人民出版社 / 1975-12 / 0.05元,https://book.douban.com/subject/35039831/
与狼共度,9.6,(28人评价),作者/译者： (加)法利·莫厄特 / 刘捷、董清林 ,出版信息：  北岳文艺出版社 / 1998年5月 / 10.00,https://book.douban.com/subject/1291207/
谈美,9.6,(50人评价),作者/译者： 朱光潜 ,出版信息：  开明出版社 / 2018-10-15 / 42.00,https://book.douban.com/subject/30346611/
入木:黄永玉版画艺术,9.6,(22人评价),作者/译者： 黄永玉 著；北京画院 编 ,出版信息：  广西师范大学出版社 / 2020-8 / 380.00元,https://book.douban.com/subject/35167964/
一九四九:在华西方人眼中的上海解放,9.6,(27人评价),作者/译者： 王向韬 ,出版信息：  上海书店出版社 / 2020-9 / 58,https://book.douban.com/subject/35239625/
20世纪中国语言学方法论研究,9.6,(45人评价),作者/译者： 陈保亚 ,出版信息：  商务印书馆 / 2015-12 / 108.00元,https://book.douban.com/subject/26709634/
四风街:一条老街的百年变迁史,9.6,(26人评价),作者/译者： [法] 杰西·马格纳、[法] 马加利·阿蒂奥格比 / 法小珂 ,出版信息：  未读·浙江教育出版社 / 2021-4-1 / 88,https://book.douban.com/subject/35418465/
胡适文集:全12册,9.5,(190人评价),作者/译者： 胡适 / 欧阳哲生 编 ,出版信息：  北京大学出版社 / 2013-11-7 / 1180.00,https://book.douban.com/subject/24878449/
雕刻时光,9.5,(4816人评价),作者/译者： [苏] 安德烈·塔可夫斯基 / 张晓东 ,出版信息：  南海出版公司 / 2016-5 / 45.00元,https://book.douban.com/subject/26435510/
田园诗与狂想曲:关中模式与前近代社会的再认识,9.5,(247人评价),作者/译者： 秦晖、金雁 ,出版信息：  江苏凤凰文艺出版社 / 2019-1 / 78.00,https://book.douban.com/subject/30422816/
