书名,评分,评价人数,作者,出版社,url
我的伯父伯母周恩来邓颖超,9.6,(118人评价),作者/译者： 周秉德 ,出版信息：  金城出版社 / 2018-1 / 98.00,https://book.douban.com/subject/27624320/
朱镕基上海讲话实录,9.5,(141人评价),作者/译者： 《朱镕基上海讲话实录》编辑组 编 ,出版信息：  人民出版社 / 2013-8 / 95.00元,https://book.douban.com/subject/25697234/
在峡江的转弯处:陈行甲人生笔记,9.5,(697人评价),作者/译者： 陈行甲 ,出版信息：  人民日报出版社 / 2021-1-10 / 48.00元,https://book.douban.com/subject/35317149/
兰波评传:履风的通灵人与盗火者,9.4,(94人评价),作者/译者： [法]伊夫·博纳富瓦 / 杜卿 ,出版信息：  上海社会科学院出版社 / 2021-4 / 78.00元,https://book.douban.com/subject/35280444/
创新的先知:约瑟夫·熊彼得传,9.4,(131人评价),作者/译者： [美] 托马斯·麦克劳 / 陈叶盛、周端明、蔡静 ,出版信息：  中信出版社 / 2010-11 / 80.00元,https://book.douban.com/subject/4931700/
我在伊朗长大,9.4,(6259人评价),作者/译者： 玛赞·莎塔碧 / 马爱农、左涛 ,出版信息：  生活·读书·新知三联书店 / 2010-1 / 39.00元,https://book.douban.com/subject/4071859/
先知三部曲（全新插图修订本）:武装的先知：托洛茨基1879—1921；被解除武装的先知：托洛茨基1921—19,9.4,(465人评价),作者/译者： 【波】伊萨克•多伊彻 / 王国龙、周任辛、施用勤等 ,出版信息：  中央编译出版社 / 2013-2 / 258.00元,https://book.douban.com/subject/20537674/
米塞斯大传,9.4,(163人评价),作者/译者： 【德】约尔格·吉多·许尔斯曼 / 黄华侨等 ,出版信息：  上海社会科学院出版社 / 2016-8 / 145.00元,https://book.douban.com/subject/26857930/
维特根斯坦传（插图版）:天才之为责任,9.4,(442人评价),作者/译者： [英] 瑞·蒙克 / 王宇光 ,出版信息：  浙江大学出版社 / 2014-4 / 168.00元,https://book.douban.com/subject/25817581/
曾文正公家书,9.4,(322人评价),作者/译者： （清）曾国藩 著、（清）李瀚章 编撰、（清）李鸿章 校刊 ,出版信息：  中国书店 / 2011-9 / 58.00元,https://book.douban.com/subject/6853265/
慈禧全传,9.4,(980人评价),作者/译者： 高阳 ,出版信息：  新星出版社 / 2015-6 / 398.00元,https://book.douban.com/subject/26305373/
毛泽东选集第一卷:第一卷,9.4,(13634人评价),作者/译者： 毛泽东 ,出版信息：  人民出版社 / 1991-6 / 40.00元,https://book.douban.com/subject/1139360/
纳博科夫传:俄罗斯时期,9.4,(70人评价),作者/译者： [新西兰]布赖恩·博伊德 / 刘佳林 ,出版信息：  广西师范大学出版社 / 2019-7 / 158.00元（全二册）,https://book.douban.com/subject/33426141/
左宗棠全传,9.4,(95人评价),作者/译者： 秦翰才 ,出版信息：  中华书局 / 2016-6-1 / 68,https://book.douban.com/subject/26855019/
苏东坡新传,9.4,(1146人评价),作者/译者： 李一冰 ,出版信息：  后浪丨四川人民出版社 / 2020-7 / 168.00元,https://book.douban.com/subject/34996404/
孫立人傳（上、下）,9.3,(32人评价),作者/译者： 沈克勤 ,出版信息：  學生書局 / 1998年2月初版  2005年6月增订一版 / 520.00元,https://book.douban.com/subject/4178577/
亚当·斯密传:现代经济学之父的思想,9.3,(55人评价),作者/译者： [英] 杰西·诺曼 / 李烨 ,出版信息：  中信出版集团 / 2021-1 / 88,https://book.douban.com/subject/35324429/
历史的事实:库比茨克回忆希特勒,9.3,(58人评价),作者/译者： 奥古斯都·库比茨克 / 纪永滨、杨菁 ,出版信息：  陕西人民出版社 / 2014-12-1 / CNY 33.80,https://book.douban.com/subject/26248115/
从文自传:沈从文散文新编,9.3,(368人评价),作者/译者： 沈从文 ,出版信息：  人民文学出版社 / 2017-3-1 / 20,https://book.douban.com/subject/27033676/
中国天主教史人物传,9.3,(40人评价),作者/译者： 方豪 ,出版信息：  宗教文化出版社 / 2007-8 / 38.00元,https://book.douban.com/subject/2288540/
乔伊斯传（上下册）,9.3,(133人评价),作者/译者： [美] 理查德·艾尔曼 / 金隄、王振平、李汉林 ,出版信息：  北京十月文艺出版社 / 2006-2 / 68.00元,https://book.douban.com/subject/1791839/
知晓我姓名,9.3,(2687人评价),作者/译者： [美]香奈儿·米勒 / 陈毓飞 / 世纪文景,出版信息： 上海人民出版社 / 2020-8 / 59.00元,https://book.douban.com/subject/35093999/
威廉·华兹华斯传,9.3,(25人评价),作者/译者： (英) 斯蒂芬·吉尔 / 朱玉 ,出版信息：  广西师范大学出版社 / 2020-11 / 186.00元,https://book.douban.com/subject/35092869/
自由主义思想大师-以撒.柏林传,9.2,(31人评价),作者/译者： Michael lgnatieff / 高毅、高煜 ,出版信息：  立緒 / 2003-8 / NT$ 400,https://book.douban.com/subject/1359528/
权力之路:林登·约翰逊传1,9.2,(311人评价),作者/译者： [美]罗伯特·A.卡洛 / 何雨珈 ,出版信息：  猫头鹰文化·四川文艺出版社 / 2018-5 / 168.00元,https://book.douban.com/subject/30141311/
