书名,评分,评价人数,作者,出版社,url
福尔摩斯探案全集,9.4,(5715人评价),作者/译者： （英）阿瑟・柯南道尔 / 贺天同 ,出版信息：  中国电影出版社 / 2003-1 / 80.00元,https://book.douban.com/subject/1214416/
社会心理学,9.4,(3307人评价),作者/译者： [美] 戴维·迈尔斯 / 侯玉波、乐国安、张志勇 ,出版信息：  人民邮电出版社 / 2014-10-1 / 368.00元,https://book.douban.com/subject/25982198/
亲密关系,9.3,(8524人评价),作者/译者： [美] 罗兰·米勒 (Rowland S. Miller) / 王伟平 译、彭凯平 校 ,出版信息：  人民邮电出版社 / 2015-6 / 138.00元,https://book.douban.com/subject/26585065/
Elephant&Piggie:IAmInvitedtoaParty,9.3,(16人评价),"作者/译者： Willems, Mo ",出版信息：  Walker Books / 2012-5 / 68.00元,https://book.douban.com/subject/11382816/
人际沟通分析学:人际沟通分析学,9.2,(27人评价),作者/译者： 杨眉、[瑞典]托马斯·欧瑞嘉 ,出版信息：  中国人民大学出版社 / 2013-4 / 32.00元,https://book.douban.com/subject/24298017/
TheBroCode,9.2,(266人评价),作者/译者： Barney Stinson ,出版信息：  Touchstone / 2008-10-14 / GBP 8.99,https://book.douban.com/subject/3256124/
明朝那些事儿,9.2,(25515人评价),作者/译者： 当年明月 ,出版信息：  浙江人民出版社 / 2011-12-1 / 208.60,https://book.douban.com/subject/7163250/
赢得朋友:赢得朋友,9.2,(33人评价),作者/译者： 戴尔·卡耐基 / 陈宏 ,出版信息：  学林出版社 / 2007-12 / 22.80元,https://book.douban.com/subject/2016485/
个人形成论:我的心理治疗观,9.1,(1382人评价),作者/译者： [美] 卡尔·R·罗杰斯 / 杨广学、尤娜、潘福勤 ,出版信息：  中国人民大学出版社 / 2004-7-1 / 35.00元,https://book.douban.com/subject/1218321/
狼人杀(从入门到封神),9.1,(43人评价),作者/译者： 长尾 ,出版信息：  浙江科学技术出版社 / 2018-1-1 / 58.00,https://book.douban.com/subject/30131815/
九型人格的智慧,9.1,(57人评价),作者/译者： 唐·理查德·里索、拉斯·赫德森 / 谭苗 ,出版信息：  上海文艺出版社 / 2014-8-1 / 49,https://book.douban.com/subject/25934230/
外婆再见(精):和孩子一起面对失亲之痛,9.1,(17人评价),作者/译者： [英] 梅兰妮·沃尔什 文/图 / 王芳 ,出版信息：  北京联合出版公司 / 2017-6 / 58.00元,https://book.douban.com/subject/27100539/
包法利夫人,9.0,(6327人评价),作者/译者： 福楼拜 / 李健吾 ,出版信息：  人民文学出版社 / 2003-1-1 / CNY 28.00,https://book.douban.com/subject/25897678/
人際歷程取向治療:整合模式,9.0,(11人评价),作者/译者： EDWARD TEYBER、FAITH HOLMES MCCLURE ,出版信息：  新加坡商聖智學習亞洲私人有限公司 / 2012-1-1 / 550,https://book.douban.com/subject/20413212/
亲密关系:（第5版）,9.0,(15049人评价),作者/译者： 罗兰•米勒 (Rowland Miller)、丹尼尔•珀尔曼 (Daniel Perlman) / 王伟平 ,出版信息：  人民邮电出版社 / 2011-1-1 / 68.00元,https://book.douban.com/subject/5952488/
态度改变与社会影响,9.0,(2173人评价),作者/译者： 菲利普·津巴多 (Philip G. Zimbardo)、迈克尔·利佩 (Michael R. Leippe) / 邓羽、肖莉、唐小艳 等 ,出版信息：  人民邮电出版社 / 2007-11-1 / 68.00元,https://book.douban.com/subject/2328178/
人際溝通分析練習法,9.0,(68人评价),作者/译者： Ian Stewart、Vann Joines / 易之新 ,出版信息：  張老師文化事業股份有限公司 / 1999年 / 420台幣,https://book.douban.com/subject/3123668/
GettingLoveRight,9.0,(10人评价),作者/译者： Gorski ,出版信息：  Simon & Schuster / 1993-8 / 118.00元,https://book.douban.com/subject/2383393/
超越死亡:恩宠与勇气,9.0,(3506人评价),作者/译者： [美] 肯·威尔伯 / 胡因梦、刘清彦 译、许金声 审校 ,出版信息：  生活·读书·新知三联书店 / 2006-3 / 39.00元,https://book.douban.com/subject/1761759/
高难度谈话Ⅱ:感恩反馈,9.0,(58人评价),作者/译者： ,出版信息： ［美］道格拉斯·斯通、［美］希拉·汉 / 王甜甜 / 2017-8,https://book.douban.com/subject/27085992/
社会心理学:（第8版）,9.0,(21020人评价),作者/译者： [美] 戴维·迈尔斯 / 张智勇、乐国安、侯玉波 等 ,出版信息：  人民邮电出版社 / 2006-1 / 68.00元,https://book.douban.com/subject/1476651/
沟通的艺术（插图修订第15版）:看入人里，看出人外,9.0,(1268人评价),作者/译者： [美] 罗纳德·B·阿德勒、拉塞尔·F·普罗科特 / 黄素菲、李恩、王敏 ,出版信息：  后浪丨北京联合出版公司 / 2017-10 / 88.00元,https://book.douban.com/subject/27117578/
720°全景沟通,9.0,(47人评价),作者/译者： 马修·麦肯(Matthew McKay)、玛莎•戴维斯、派瑞克•范宁 ,出版信息：  灵思泉 / 2010-6 / 39.80元,https://book.douban.com/subject/4860865/
权力与领导（第5版）:如何影响他人，怎样激发正能量,8.9,(343人评价),作者/译者： [美]詹姆斯·克劳森（James G. Clawson） / 马昕 ,出版信息：  世界图书出版公司·后浪出版公司 / 2015-2 / 52.00元,https://book.douban.com/subject/26288194/
我们的内心冲突,8.9,(522人评价),作者/译者： 卡伦·霍妮、Horney Karen / 俆光兴 ,出版信息：  上海锦绣文章出版社 / 2008-5 / 24.00元,https://book.douban.com/subject/3117143/
狂热分子:群众运动圣经,8.9,(11856人评价),作者/译者： [美] 埃里克·霍弗 / 梁永安 ,出版信息：  广西师范大学出版社 / 2011-6 / 34.00元,https://book.douban.com/subject/3057556/
合作的进化,8.9,(1563人评价),作者/译者： 罗伯特·阿克塞尔罗德 / 吴坚忠 ,出版信息：  上海人民出版社 / 2007-8 / 23.00元,https://book.douban.com/subject/2259198/
百年孤独,8.9,(52651人评价),作者/译者： [哥伦比亚] 加西亚·马尔克斯 / 黄锦炎、沈国正、陈泉 ,出版信息：  上海译文出版社 / 1989-10 / 12.70元,https://book.douban.com/subject/1786670/
影响力:你为什么会说“是”？,8.9,(5368人评价),作者/译者： [美] 罗伯特·B. 西奥迪尼 / 张力慧 ,出版信息：  中国社会科学出版社 / 2001-12 / 38.00元,https://book.douban.com/subject/1005576/
當男孩遇見女孩,8.9,(335人评价),作者/译者： 約書亞.哈里斯 / 葉嬋芬 ,出版信息：  中國學園 / 2013-1-1 / 28.00,https://book.douban.com/subject/3221766/
如何说孩子才会听，怎么听孩子才肯说,8.8,(3578人评价),作者/译者： [美]阿黛尔•法伯 伊莱恩•玛兹丽施 / 安燕玲 ,出版信息：  中央编译出版社 / 2007-11 / 26.80元,https://book.douban.com/subject/2275635/
被討厭的勇氣:自我啟發之父「阿德勒」的教導,8.8,(2141人评价),作者/译者： 岸見一郎、古賀史健 / 葉小燕 ,出版信息：  究竟出版 / 2014-10-30 / NTS 300.00,https://book.douban.com/subject/26176538/
查理九世26·雪山巨魔:雪山巨魔,8.8,(400人评价),作者/译者： 雷欧幻像 ,出版信息：  浙江少年儿童出版社 / 2016-3-1 / 15.00元,https://book.douban.com/subject/26768987/
極端自我就是王:奸的好人系列6,8.8,(229人评价),作者/译者： 李民傑 / 江健勇 ,出版信息：  平凡企管 / 2009 / HK$147,https://book.douban.com/subject/3813981/
心智成长之谜:人际关系与大脑的互动如何塑造了我们,8.8,(18人评价),作者/译者： 丹尼尔·西格尔 / 祝卓宏、周常 ,出版信息：  中国发展出版社 / 2017-4-1 / 68.00,https://book.douban.com/subject/27132987/
沟通分析的理论与实务:改善我们的人际关系,8.8,(73人评价),作者/译者： 哈里斯 / 林丹华、周司丽 ,出版信息：  中国轻工业出版社 / 2013-1 / 32.00元,https://book.douban.com/subject/20435845/
哲学的故事,8.8,(257人评价),作者/译者： [美] 威尔·杜兰特 / 梁春 ,出版信息：  中国档案出版社 / 2001-7 / 32.00元,https://book.douban.com/subject/1047782/
視覺溝通的法則:科技CEO與知識大師如何用簡報故事改變世界？,8.8,(59人评价),作者/译者： Nancy Duarte / 黃怡雪 ,出版信息：  大寫出版 / 2011-10-13 / 420NT,https://book.douban.com/subject/10344023/
关系之舞：既亲密又独立的相处艺术,8.8,(61人评价),作者/译者： [美] 哈丽特•勒纳（Harriet Lerner） ,出版信息：  李成陈、陈谱顺 / 机械工业出版社 / 45.00,https://book.douban.com/subject/26988131/
朱镕基讲话实录（第4卷）,8.8,(369人评价),作者/译者： 朱镕基 ,出版信息：  人民出版社 / 2011-9 / 49.00元,https://book.douban.com/subject/6809029/
边界意识:摆脱情绪勒索破解人际关系难题,8.7,(177人评价),作者/译者： 赖宇凡 ,出版信息：  北京联合 / 2018-7-1 / 49,https://book.douban.com/subject/30399941/
彩色的乌鸦:遇见大师系列,8.7,(21人评价),作者/译者： ,出版信息： 【比】里奥·提莫斯 / 马萍 / 35.00,https://book.douban.com/subject/30561153/
卡内基如何停止忧虑开创人生,8.7,(79人评价),作者/译者： 戴尔·卡内基 / 陈真 ,"出版信息：  海南出版社,三环出版社 / 2004-6-1 / 22.00元",https://book.douban.com/subject/1083142/
交往与空间,8.7,(3616人评价),作者/译者： [丹麦] 扬·盖尔 / 何人可 ,出版信息：  中国建筑工业出版社 / 2002-10 / 27.00元,https://book.douban.com/subject/1393903/
纵向社会的人际关系,8.7,(184人评价),作者/译者： 中根千枝 / 陈成 ,出版信息：  商务印书馆 / 1994-6-1 / 4.10元,https://book.douban.com/subject/2381209/
办公室实用资治通鉴（2）,8.7,(77人评价),作者/译者： 相生金水 ,出版信息：  北京时代华文书局 / 2014-2-1 / 29.8,https://book.douban.com/subject/25815464/
三人同舟,8.7,(360人评价),作者/译者： 杰罗姆·K.杰罗姆 ,出版信息：  王碧 / 2010-1 / 27.90元,https://book.douban.com/subject/4720076/
GameTheoryatWork:HowtoUseGameTheorytoOutthinkandOutmaneuverYourCompetition,8.7,(23人评价),作者/译者： James D. Miller ,出版信息：  McGraw-Hill Education / 2003-4-3 / USD 38.00,https://book.douban.com/subject/1693521/
为什么我总是被人误解:DISC解开人际互动的密码,8.7,(75人评价),作者/译者： 肯·沃格斯、荣·布劳德 / 刘颖 ,出版信息：  江西人民出版社 / 2009年6 月 / 29.00元,https://book.douban.com/subject/4856042/
現實世界的誘惑術(繁體版),8.7,(110人评价),作者/译者： ,出版信息： Swinggcat / qinsoon,https://book.douban.com/subject/6963869/
影响力:经典版,8.7,(9623人评价),作者/译者： [美] 罗伯特·B·西奥迪尼 / 闾佳 ,出版信息：  万卷出版公司 / 2010-9-20 / 45.00元,https://book.douban.com/subject/5287474/
我和你：人际关系的解析,8.7,(114人评价),作者/译者： [美]朱瑟琳·乔塞尔森（Ruthellen Josselson） / 鲁小华、孙大强 ,出版信息：  机械工业出版社 / 2016-3 / 45.00,https://book.douban.com/subject/26762238/
DifficultConversations:HowtoDiscusswhatMattersMost,8.6,(80人评价),作者/译者： Bruce Pattern、Douglas Stone、Sheila Heen ,出版信息：  Penguin / 2000-4 / GBP 14.00,https://book.douban.com/subject/1765027/
西尔斯亲密育儿练习手册:亲密关系是一切教育问题的基础,8.6,(217人评价),作者/译者： 【美】威廉•西尔斯、【美】玛莎•西尔斯、【美】伊丽莎白•潘特莉 / 李鑫 ,出版信息：  九州出版社 / 2015-9-1 / 38.00,https://book.douban.com/subject/26470077/
能力突围：职场加速成长的底层逻辑和方法,8.6,(38人评价),作者/译者： 赵晓璃 ,出版信息：  机械工业出版社 / 2021-3-1 / 65.00元,https://book.douban.com/subject/35389760/
关系性存在:超越自我与共同体,8.6,(87人评价),作者/译者： (美) 肯尼思·J. 格根 / 杨莉萍 ,出版信息：  上海教育出版社 / 2017-9 / 88.00元,https://book.douban.com/subject/27614939/
不确定世界的理性选择:判断与决策心理学,8.6,(965人评价),作者/译者： 雷德·海斯蒂 (Reid Hastie)、罗宾·道斯 (Robyn M. Dawes) / 谢晓非、李纾 ,出版信息：  人民邮电出版社 / 2013-10-1 / CNY 88.00,https://book.douban.com/subject/25763679/
权力,8.6,(60人评价),作者/译者： [美]德博拉·格林菲尔德 / 林明东 ,出版信息：  中信出版集团 / 2021-2 / 69元,https://book.douban.com/subject/35336311/
PleaseUnderstandMe:CharacterandTemperamentTypes,8.6,(30人评价),作者/译者： David Keirsey、Marilyn Bates ,"出版信息：  Prometheus Nemesis Book Company / November, 1984 / USD 14.95",https://book.douban.com/subject/1431879/
自我,8.6,(472人评价),作者/译者： [美]乔纳森·布朗（Jonathon D. Brown）、玛格丽特·布朗（Margaret A. Brown） / 王伟平 陈浩莺 译、彭凯平 审校 ,出版信息：  人民邮电出版社 / 2015-1 / 88.00元,https://book.douban.com/subject/26319791/
