书名,评分,评价人数,作者,出版社,url
資治通鑑（全二十冊）,9.4,(3980人评价),作者/译者： [宋] 司馬光 編著、[元] 胡三省 音注 / 標點資治通鑒小組 校點 ,出版信息：  中華書局 / 1956-6 / 332.00元,https://book.douban.com/subject/1072295/
中国近代棉纺织业史研究,9.3,(30人评价),作者/译者： 森时彦 / 袁广泉 ,出版信息：  社会科学文献出版社 / 2010-4-1 / 68.00元,https://book.douban.com/subject/4749285/
走向自主创新:寻求中国力量的源泉,9.3,(63人评价),作者/译者： 路风 ,出版信息：  广西师范大学出版社 / 2006年10月1日 / 38.0,https://book.douban.com/subject/1925372/
浪潮之巅（第三版）（上下册）,9.2,(1508人评价),作者/译者： 吴军 ,出版信息：  人民邮电出版社 / 2016-5 / 99.00元,https://book.douban.com/subject/26792439/
价格理论及其应用,9.2,(181人评价),作者/译者： 杰克•赫舒拉发(Jack Hirshleifer)、阿米亥•格雷泽(Amihai Glazer)、大卫•赫舒拉发(David Hirshleifer) / 李俊慧、周燕 ,出版信息：  机械工业出版社 / 2009.02 / 68.00元,https://book.douban.com/subject/3598279/
工商巨子:洛克菲勒传,9.2,(297人评价),作者/译者： (美)荣・切尔诺 / 王恩冕等 ,出版信息：  海南出版社 / 2000-06 / 65.00,https://book.douban.com/subject/1006203/
浪潮之巅（第2版）（套装上下册）,9.2,(3192人评价),作者/译者： 吴军 ,出版信息：  人民邮电出版社 / 2013-7 / 80.00元,https://book.douban.com/subject/24738302/
浪潮之巅（上册）,9.1,(843人评价),作者/译者： 吴军 ,出版信息：  人民邮电出版社 / 2013-5-1 / 35.00元,https://book.douban.com/subject/24739213/
月亮和六便士,9.1,(7187人评价),作者/译者： [英]毛姆 / 傅惟慈 ,出版信息：  上海译文出版社 / 2011-5-1 / 25.00元,https://book.douban.com/subject/6313461/
战略与结构:美国工商企业成长的若干篇章,9.1,(100人评价),作者/译者： [美] 艾尔弗雷德·D.钱德勒 / 孟昕 ,出版信息：  云南人民出版社 / 2002-10 / 55.00元,https://book.douban.com/subject/1659228/
GettingReal:TenTruthSkillsYouNeedtoLiveanAuthenticLife,9.1,(42人评价),作者/译者： Ph.D. Susan Campbell / HJ Kramer,出版信息： New World Library / 2001-05-10 / USD 14.95,https://book.douban.com/subject/1507419/
聪明的投资者,8.9,(6584人评价),作者/译者： 本杰明·格雷厄姆、Benjamin Graham / 王中华、黄一义 ,出版信息：  人民邮电出版社 / 2010-8 / 88.00元,https://book.douban.com/subject/5243775/
SteveJobs,8.9,(3047人评价),作者/译者： Walter Isaacson ,出版信息：  Simon & Schuster / 2011-10-24 / USD 35.00,https://book.douban.com/subject/6512188/
经济学思想史讲义,8.9,(609人评价),作者/译者： 汪丁丁 ,出版信息：  上海人民出版社 / 2008.01 / 40.00元,https://book.douban.com/subject/2375990/
大江东去:经典收藏版全三册,8.9,(4436人评价),作者/译者： 阿耐 ,出版信息：  北京联合出版公司 / 2014-7-15 / 168.00,https://book.douban.com/subject/25918895/
成为乔布斯,8.9,(2018人评价),作者/译者： [美] 布伦特·施兰德、[美] 里克·特策利 / 陶亮 ,出版信息：  中信出版集团 / 2016-10 / 69.00元,https://book.douban.com/subject/26849305/
大败局Ⅱ,8.9,(80人评价),作者/译者： 吴晓波 ,出版信息：  浙江人民出版社 / 2010-7-1 / 29.0,https://book.douban.com/subject/2324116/
激荡三十年:中国企业1978—2008（十年典藏版）,8.9,(5281人评价),作者/译者： 吴晓波 ,出版信息：  中信出版社 / 2017-11 / 116.00元,https://book.douban.com/subject/27599025/
激荡三十年：中国企业1978~2008.下,8.9,(1635人评价),作者/译者： 吴晓波 ,出版信息：  中信出版社 / 2014-8 / 45.00元,https://book.douban.com/subject/25969067/
我在通用汽车的岁月：斯隆自传:斯隆自传,8.9,(83人评价),作者/译者： [美]斯隆 / 刘昕 ,出版信息：  华夏出版社 / 2014-1 / 59,https://book.douban.com/subject/25891112/
光变:一个企业及其工业史,8.9,(681人评价),作者/译者： 路风 ,出版信息：  当代中国出版社 / 2016-3 / 79.00元,https://book.douban.com/subject/26771893/
激荡三十年：中国企业1978~2008.上,8.9,(2501人评价),作者/译者： 吴晓波 ,出版信息：  中信出版社 / 2014-7 / 45.00元,https://book.douban.com/subject/25968115/
跌荡一百年:中国企业1870—1977,8.8,(242人评价),作者/译者： 吴晓波 ,出版信息：  中信出版社 / 2017-11 / 116.00元,https://book.douban.com/subject/30147790/
林村的故事:一九四九年后的中国农村变革,8.8,(844人评价),作者/译者： 黄树民 / 素兰、纳日碧力戈 ,出版信息：  生活·读书·新知三联书店 / 2002-3 / 18.00元,https://book.douban.com/subject/1082196/
激荡三十年（上）:中国企业1978-2008,8.8,(29415人评价),作者/译者： 吴晓波 ,出版信息：  中信出版社 浙江人民出版社 / 2007-1 / 35.00,https://book.douban.com/subject/1970428/
看得见的手:美国企业的管理革命,8.8,(221人评价),作者/译者： 小艾尔弗雷德·D.钱德勒 / 重武 ,出版信息：  商务印书馆 / 1987-09 / 76,https://book.douban.com/subject/1053848/
通往奴役之路,8.8,(13932人评价),作者/译者： 弗里德利希・冯・哈耶克 / 王明毅、冯兴元 ,出版信息：  中国社会科学出版社 / 1997-08-01 / 16.00,https://book.douban.com/subject/1077528/
激荡三十年（下）:中国企业1978-2008,8.8,(17601人评价),作者/译者： 吴晓波 ,出版信息：  中信出版社 浙江人民出版社 / 2008-1 / 42.00,https://book.douban.com/subject/2380307/
跌荡一百年：中国企业1870～1977（上）,8.8,(345人评价),作者/译者： 吴晓波 ,出版信息：  中信出版社 / 2014-7 / 45.00,https://book.douban.com/subject/25962560/
现代资本主义,8.8,(68人评价),作者/译者： (美)托马斯·K·麦克劳 / 赵文书、肖锁章 ,出版信息：  江苏人民出版社 / 1999-05 / 40.00元,https://book.douban.com/subject/1032803/
摩根财团:美国一代银行王朝和现代金融业的崛起,8.8,(313人评价),作者/译者： 罗恩·彻诺 / 金立群 ,出版信息：  中国财政经济出版社 / 2003-9 / 168.00元,https://book.douban.com/subject/1166000/
日本造：盛田昭夫和索尼公司,8.7,(50人评价),作者/译者： 盛田昭夫 ,出版信息：  伍江 / 三联书店 / 1988,https://book.douban.com/subject/3172862/
卓有成效的管理者,8.7,(14779人评价),作者/译者： [美] 彼得·德鲁克 / 许是祥 ,出版信息：  机械工业出版社 / 2005-6 / 28.00元,https://book.douban.com/subject/1322025/
宏碁的世纪变革,8.7,(51人评价),作者/译者： 施振荣，张玉文 ,出版信息：  中信出版社 / 2005-04 / 26.00元,https://book.douban.com/subject/1313496/
失控:全人类的最终命运和结局,8.7,(15878人评价),作者/译者： [美] 凯文·凯利 / 东西文库 ,出版信息：  新星出版社 / 2010-12 / 88.00元,https://book.douban.com/subject/5375620/
史蒂夫·乔布斯传,8.7,(52258人评价),作者/译者： [美] 沃尔特·艾萨克森 / 管延圻、魏群、余倩、赵萌萌、汤崧 ,出版信息：  中信出版社 / 2011-10-24 / 68.00元,https://book.douban.com/subject/6798611/
Rework,8.7,(2023人评价),作者/译者： Jason Fried、David Heinemeier Hansson ,出版信息：  Crown Business / 2010-3-9 / USD 22.00,https://book.douban.com/subject/3889178/
