书名,评分,评价人数,作者,出版社,url
一辩到底:我的法律人生,9.8,(49人评价),作者/译者： 艾伦•德肖维茨 / 朱元庆 ,出版信息：  北京大学出版社 / 2020-8 / 108,https://book.douban.com/subject/35026484/
风的女儿:二战德国女飞行员的交错人生,9.7,(24人评价),作者/译者： [英]克莱尔•马利（Clare Mully） / 姜洁 ,出版信息：  生活·读书·新知三联书店 / 2021-3-31 / 78,https://book.douban.com/subject/35048542/
“医学大神”文库本系列,9.6,(238人评价),作者/译者： 朱石生 ,出版信息：  新星出版社 / 2020-1 / 392,https://book.douban.com/subject/34935089/
生命是赌注:马雅可夫斯基的革命与爱情,9.6,(94人评价),作者/译者： （瑞典）本特·扬费尔德 / 糜绪洋 ,出版信息：  广西师范大学出版社 / 2020-5 / 148.00元,https://book.douban.com/subject/34857278/
永远的绿山墙,9.6,(15人评价),作者/译者： [加]露西·莫德·蒙哥马利等 / 马爱农 ,出版信息：  浙江文艺出版社 / 2020-11 / 148.00元,https://book.douban.com/subject/35236946/
苏东坡新传,9.6,(36人评价),作者/译者： 李一冰 ,出版信息：  后浪丨四川人民出版社 / 2020-11 / 208.00元,https://book.douban.com/subject/35221706/
路德的人生智慧:十架与自由,9.6,(64人评价),作者/译者： 卡尔·楚门 / 王一 / 上海三联书店,出版信息： 橡树文字工作室 / 2019-6 / 58.00,https://book.douban.com/subject/33422202/
胡耀邦文选,9.6,(110人评价),作者/译者： 胡耀邦 ,出版信息：  人民出版社 / 2015-11-1 / CNY 99.00,https://book.douban.com/subject/26667958/
我的伯父伯母周恩来邓颖超,9.6,(118人评价),作者/译者： 周秉德 ,出版信息：  金城出版社 / 2018-1 / 98.00,https://book.douban.com/subject/27624320/
沈从文的后半生（增订版）:1948-1988,9.5,(324人评价),作者/译者： 张新颖 ,出版信息：  理想国|上海三联书店 / 2018-2 / CNY 69.00,https://book.douban.com/subject/27662708/
悠悠长水:谭其骧传,9.5,(107人评价),作者/译者： 葛剑雄 ,出版信息：  广东人民出版社 / 2014-9 / 98.00元,https://book.douban.com/subject/26164117/
贝聿铭全集,9.5,(75人评价),作者/译者： [美] 菲利普·朱迪狄欧、[美] 珍妮特·亚当斯·斯特朗 / 黄萌 ,出版信息：  北京联合出版公司 / 2021-1 / 238.00元,https://book.douban.com/subject/35166636/
ZARA传：全球快时尚帝国崛起的秘密,9.5,(16人评价),作者/译者： [西]哈维尔·R.布兰科、[西]赫苏斯·萨尔加多 / 刘萍、史文静 ,出版信息：  天地出版社 / 2021-1 / 78.00,https://book.douban.com/subject/35323291/
在峡江的转弯处:陈行甲人生笔记,9.5,(697人评价),作者/译者： 陈行甲 ,出版信息：  人民日报出版社 / 2021-1-10 / 48.00元,https://book.douban.com/subject/35317149/
创新的先知:约瑟夫·熊彼得传,9.4,(131人评价),作者/译者： [美] 托马斯·麦克劳 / 陈叶盛、周端明、蔡静 ,出版信息：  中信出版社 / 2010-11 / 80.00元,https://book.douban.com/subject/4931700/
昨日的世界:一个欧洲人的回忆,9.4,(4813人评价),作者/译者： (奥)斯蒂芬·茨威格 / 舒昌善 ,出版信息：  生活·读书·新知三联书店 / 2010-4 / 29.80元,https://book.douban.com/subject/4238162/
我在伊朗长大,9.4,(6259人评价),作者/译者： 玛赞·莎塔碧 / 马爱农、左涛 ,出版信息：  生活·读书·新知三联书店 / 2010-1 / 39.00元,https://book.douban.com/subject/4071859/
梵高手稿:梵高书信、画作、珍贵手稿,9.4,(4202人评价),作者/译者： [荷] 文森特•梵高、[美]  H. 安娜•苏 / 编 / 57°N艺术小组 ,出版信息：  北京联合出版公司 / 2015-12 / 88.00元,https://book.douban.com/subject/26666533/
左宗棠全传,9.4,(95人评价),作者/译者： 秦翰才 ,出版信息：  中华书局 / 2016-6-1 / 68,https://book.douban.com/subject/26855019/
慈禧全传,9.4,(980人评价),作者/译者： 高阳 ,出版信息：  新星出版社 / 2015-6 / 398.00元,https://book.douban.com/subject/26305373/
大卫·爱登堡自传,9.4,(50人评价),作者/译者： David Attenborough ,出版信息：  何毅、李金璇 / 重庆大学出版社 / 2020-12-12,https://book.douban.com/subject/35100364/
昨日世界:一个欧洲人的回忆,9.4,(675人评价),作者/译者： [奥地利]斯蒂芬·茨威格 / 史行果 ,出版信息：  作家出版社 / 2017-7-1 / 49.00元,https://book.douban.com/subject/27067973/
苍炎2:飞翔篇,9.4,(69人评价),作者/译者： [日] 羽生结弦 / 虞雪健 ,出版信息：  北京联合出版公司 / 2020-12 / 68.00元,https://book.douban.com/subject/35300483/
维特根斯坦传（插图版）:天才之为责任,9.4,(442人评价),作者/译者： [英] 瑞·蒙克 / 王宇光 ,出版信息：  浙江大学出版社 / 2014-4 / 168.00元,https://book.douban.com/subject/25817581/
纳博科夫传:俄罗斯时期,9.4,(70人评价),作者/译者： [新西兰]布赖恩·博伊德 / 刘佳林 ,出版信息：  广西师范大学出版社 / 2019-7 / 158.00元（全二册）,https://book.douban.com/subject/33426141/
BornaCrime:StoriesfromaSouthAfricanChildhood,9.4,(5603人评价),作者/译者： Trevor Noah ,出版信息：  Spiegel & Grau / 2016-11-15 / USD 18.34,https://book.douban.com/subject/26907961/
量子怪杰:保罗·狄拉克传,9.4,(123人评价),作者/译者： 格雷姆·法米罗 / 兰梅 ,出版信息：  重庆大学出版社 / 2015-5 / 76.00元,https://book.douban.com/subject/26390277/
兰波评传:履风的通灵人与盗火者,9.4,(94人评价),作者/译者： [法]伊夫·博纳富瓦 / 杜卿 ,出版信息：  上海社会科学院出版社 / 2021-4 / 78.00元,https://book.douban.com/subject/35280444/
王安石传,9.4,(50人评价),作者/译者： 梁启超 ,出版信息：  百花文艺出版社 / 2016-3 / 29.00,https://book.douban.com/subject/26695210/
普里莫·莱维传,9.4,(129人评价),作者/译者： [英]伊恩·汤姆森 / 杨晨光 ,出版信息：  三辉图书|中信出版集团 / 2018-12 / 118,https://book.douban.com/subject/27667782/
米塞斯大传,9.4,(163人评价),作者/译者： 【德】约尔格·吉多·许尔斯曼 / 黄华侨等 ,出版信息：  上海社会科学院出版社 / 2016-8 / 145.00元,https://book.douban.com/subject/26857930/
KnowMyName:AMemoir,9.4,(467人评价),作者/译者： ,出版信息： Chanel Miller / Viking / 2019-9-24,https://book.douban.com/subject/34840716/
天纵之才（医学大神08）:巴斯德与人工疫苗,9.4,(182人评价),作者/译者： 朱石生 ,出版信息：  新星出版社 / 2020-1 / 28.00,https://book.douban.com/subject/34865688/
回忆、梦、思考:荣格自传,9.4,(39人评价),作者/译者： 【瑞士】卡尔•古斯塔夫•荣格 / 于玲娜 ,出版信息：  上海译文出版社 / 2020-7 / 68,https://book.douban.com/subject/35088137/
先知三部曲（全新插图修订本）:武装的先知：托洛茨基1879—1921；被解除武装的先知：托洛茨基1921—19,9.4,(465人评价),作者/译者： 【波】伊萨克•多伊彻 / 王国龙、周任辛、施用勤等 ,出版信息：  中央编译出版社 / 2013-2 / 258.00元,https://book.douban.com/subject/20537674/
泪水流逝,9.4,(46人评价),作者/译者： (英) 玛丽安·菲斯福尔 / 陈震 ,出版信息：  雅众文化 | 北京联合出版公司 / 2021-2-1 / 65.00,https://book.douban.com/subject/35268558/
论巴赫,9.3,(363人评价),作者/译者： [德] 阿尔伯特·施韦泽 / 何源、陈广琛 ,出版信息：  华东师范大学出版社 / 2017-9-1 / 188.00元,https://book.douban.com/subject/26688765/
寻找家园,9.3,(4972人评价),作者/译者： 高尔泰 ,出版信息：  花城出版社 / 2004-11-03 / 20.00,https://book.douban.com/subject/1005358/
与他共度61世:张国荣的电影生命,9.3,(1197人评价),作者/译者： 的灰 ,出版信息：  上海书店出版社 / 2006-9 / 128.00元,https://book.douban.com/subject/1863619/
无愁河的浪荡汉子·朱雀城,9.3,(922人评价),作者/译者： 黄永玉 ,出版信息：  人民文学出版社 / 2013-8 / 138.00元,https://book.douban.com/subject/24872210/
家園何處是:HomeisNotHere,9.3,(32人评价),作者/译者： 王賡武 / 林纹沛 ,出版信息：  香港中文大學出版社 / 2020-9 / USD 27.00,https://book.douban.com/subject/35217317/
希特勒,9.3,(94人评价),作者/译者： 伊恩·克肖 (Ian Kershaw) ,出版信息：  世界知识出版社 / 2015-7-1 / CNY 168.00,https://book.douban.com/subject/26440293/
江小涓学术自传,9.3,(64人评价),作者/译者： 江小涓 ,出版信息：  广东经济出版社有限公司 / 2020-3-16 / 78,https://book.douban.com/subject/35018268/
上学记（增订版）,9.3,(979人评价),作者/译者： 何兆武  口述、文靖  执笔 ,出版信息：  人民文学出版社 / 2016-3 / 32.00元,https://book.douban.com/subject/26751972/
隆美尔战时文件,9.3,(255人评价),作者/译者： 【英】李德•哈特 / 钮先钟 ,出版信息：  民主与建设出版社 / 2015-9 / 49.80元,https://book.douban.com/subject/26600365/
曼德施塔姆夫人回忆录,9.3,(405人评价),作者/译者： (俄罗斯)娜杰日达·曼德施塔姆 / 刘文飞 ,出版信息：  广西师范大学出版社 / 2013-9 / 58.00元,https://book.douban.com/subject/24738206/
弗吉尼亚·伍尔夫：永恒的英伦百合,9.3,(24人评价),作者/译者： 杨莉馨、焦红乐 ,出版信息：  华中科技大学出版社 / 2020-9 / 62.00元,https://book.douban.com/subject/35222658/
苏轼十讲,9.3,(967人评价),作者/译者： 朱刚 ,出版信息：  上海三联书店 / 2019-7 / 58.00元,https://book.douban.com/subject/33411346/
知晓我姓名,9.3,(2687人评价),作者/译者： [美]香奈儿·米勒 / 陈毓飞 / 世纪文景,出版信息： 上海人民出版社 / 2020-8 / 59.00元,https://book.douban.com/subject/35093999/
TheChoice:EmbracethePossible,9.3,(160人评价),作者/译者： Dr. Edith Eva Eger ,出版信息：  Scribner / 2017-9-5 / USD 27.00,https://book.douban.com/subject/27609751/
良知对抗暴力:卡斯泰利奥对抗加尔文,9.3,(257人评价),作者/译者： [奥地利] 斯蒂芬·茨威格 / 舒昌善 ,出版信息：  生活·读书·新知三联书店 / 2017-8 / 58.00,https://book.douban.com/subject/27039531/
威廉·华兹华斯传,9.3,(25人评价),作者/译者： (英) 斯蒂芬·吉尔 / 朱玉 ,出版信息：  广西师范大学出版社 / 2020-11 / 186.00元,https://book.douban.com/subject/35092869/
见证:肖斯塔科维奇回忆录,9.3,(568人评价),作者/译者： 季米特里•肖斯塔科维奇  口述、所罗门·伏尔科夫  整理 / 叶琼芳 ,出版信息：  作家出版社 / 2015-11 / 42.00元,https://book.douban.com/subject/26666131/
亚当·斯密传:现代经济学之父的思想,9.3,(55人评价),作者/译者： [英] 杰西·诺曼 / 李烨 ,出版信息：  中信出版集团 / 2021-1 / 88,https://book.douban.com/subject/35324429/
他从凤凰来:沈从文传,9.2,(235人评价),作者/译者： [美]金介甫 / 符家钦 / 雅众文化 ,出版信息：  新星出版社 / 2018-6 / 68.00元,https://book.douban.com/subject/30191941/
我是你的男人:莱昂纳德·科恩传记,9.2,(184人评价),作者/译者： [英] 西尔维•西蒙斯 / 陈震 ,出版信息：  湖南文艺出版社 / 2019-7 / 88.00,https://book.douban.com/subject/33444643/
福柯的生死爱欲,9.2,(977人评价),作者/译者： [美]詹姆斯·E.米勒(James E. Miller) / 高毅 ,出版信息：  世纪文景 | 上海人民出版社 / 2018-6 / 118.00元,https://book.douban.com/subject/27194525/
高僧传,9.2,(294人评价),作者/译者： 释慧皎 撰、汤用彤 校注 ,出版信息：  中华书局 / 1992-10 / 27.50,https://book.douban.com/subject/1029056/
杜尚,9.2,(145人评价),作者/译者： [美]卡尔文·汤姆金斯 / 兰梅 ,出版信息：  武汉大学出版社 / 2019-9-1 / 128.00,https://book.douban.com/subject/34793028/
费马大定理:一个困惑了世间智者358年的谜,9.2,(2698人评价),作者/译者： 西蒙·辛格 / 薛密 ,出版信息：  广西师范大学出版社 / 2013-1 / 39.80元,https://book.douban.com/subject/20494401/
牛棚杂忆,9.2,(710人评价),作者/译者： 季羡林 ,出版信息：  人民文学出版社 / 2014-11-1 / 24.00元,https://book.douban.com/subject/26318286/
霍金传:我的宇宙,9.2,(44人评价),作者/译者： [美]凯蒂·弗格森 / 张旭 ,出版信息：  北京联合出版公司 / 2020-12-1 / 78.00,https://book.douban.com/subject/35218801/
权力之路:林登·约翰逊传1,9.2,(311人评价),作者/译者： [美]罗伯特·A.卡洛 / 何雨珈 ,出版信息：  猫头鹰文化·四川文艺出版社 / 2018-5 / 168.00元,https://book.douban.com/subject/30141311/
平如美棠:我俩的故事（第三版）,9.2,(1623人评价),作者/译者： 饶平如 ,出版信息：  广西师范大学出版社 / 2017-10 / 49.80元,https://book.douban.com/subject/27116287/
天空的另一半,9.2,(671人评价),作者/译者： [美]尼可拉斯·D.克里斯多夫、[美]雪莉·邓恩 / 吴茵茵 ,出版信息：  浙江人民出版社 / 2018-4-6 / CNY 45.00,https://book.douban.com/subject/30136374/
渴望生活:梵高传,9.2,(10106人评价),作者/译者： [美] 欧文·斯通 / 常涛 ,出版信息：  北京十月文艺出版社 / 2008-4 / 29.80元,https://book.douban.com/subject/3054821/
