书名,评分,评价人数,作者,出版社,url
余华长篇小说,9.9,(220人评价),作者/译者： 余华 ,出版信息：  作家出版社 / 2014-1-1 / CNY 116.00,https://book.douban.com/subject/26654202/
人间逍遥客,9.5,(50人评价),作者/译者： 余华、迟子建、李佩甫 等著 ,出版信息：  北京联合出版公司 / 2020-10 / 52.00元,https://book.douban.com/subject/34950389/
余华作品（全13册）,9.5,(129人评价),作者/译者： 余华 ,出版信息：  作家出版社 / 2012-9 / 355.00元,https://book.douban.com/subject/20437010/
活着,9.5,(1044人评价),作者/译者： 余華 ,出版信息：  博益 / 1994-6 / HK$40,https://book.douban.com/subject/25846358/
タッチ完全版（1）,9.4,(4132人评价),作者/译者： あだち充 ,出版信息：  小学館 / 2005-7 / 900 （税込）,https://book.douban.com/subject/2360269/
活著:二十週年精裝珍藏版,9.4,(61人评价),作者/译者： 余華 ,出版信息：  麥田 / 2013-1-29 / NTD 350,https://book.douban.com/subject/20763877/
道德经,9.4,(14912人评价),作者/译者： 黄元吉 ,出版信息：  陕西人民出版社 / 1996-10 / 4.50元,https://book.douban.com/subject/1059258/
鹿鼎记,9.1,(1409人评价),作者/译者： 金庸 ,出版信息：  广州出版社 / 2009-9-1 / 198.00元,https://book.douban.com/subject/4053593/
许三观卖血记,9.1,(3519人评价),作者/译者： 余华 ,出版信息：  北京十月文艺出版社 / 2017-10 / 39.50元,https://book.douban.com/subject/27141102/
嫌疑人X的献身,9.0,(46864人评价),作者/译者： [日] 东野圭吾 / 刘子倩 ,出版信息：  南海出版公司 / 2010-1 / 19.80元,https://book.douban.com/subject/4117922/
活著（特別紀念版）:余華作品集,9.0,(164人评价),作者/译者： 余華 ,出版信息：  麥田出版社 / 2007 / HK$80,https://book.douban.com/subject/3032467/
小王子,9.0,(635517人评价),作者/译者： [法] 圣埃克苏佩里 / 马振聘 ,出版信息：  人民文学出版社 / 2003-8 / 22.00元,https://book.douban.com/subject/1084336/
銀河鐵道999（1）,9.0,(1138人评价),作者/译者： 松本零士 / 徐人杰 ,出版信息：  尖端 / 1994.07.01 / 80元,https://book.douban.com/subject/1456203/
平凡的世界（全三部）,9.0,(274953人评价),作者/译者： 路遥 ,出版信息：  人民文学出版社 / 2005-1 / 64.00元,https://book.douban.com/subject/1200840/
欢乐英雄,9.0,(214人评价),作者/译者： 古龙 ,出版信息：  太白文艺出版社 / 2001-10-1 / 45.00元,https://book.douban.com/subject/1137000/
世界哲学史,9.0,(201人评价),作者/译者： (德)汉斯·约阿西姆·施杜里希 / 吕叔君 ,出版信息：  山东画报出版社 / 2006-11 / 72.00元,https://book.douban.com/subject/1956018/
霍乱时期的爱情,9.0,(213248人评价),作者/译者： [哥伦比亚] 加西亚·马尔克斯 / 杨玲 ,出版信息：  南海出版公司 / 2012-9-1 / 39.50元,https://book.douban.com/subject/10594787/
平凡的世界,9.0,(11545人评价),作者/译者： 路遥 ,出版信息：  人民文学出版社 / 1990-1-1 / 60.00元,https://book.douban.com/subject/1084165/
