书名,评分,评价人数,作者,出版社,url
悉达多,9.0,(32843人评价),作者/译者： [德] 赫尔曼·黑塞 / 杨玉功 译、丁君君 校 ,出版信息：  上海人民出版社 / 2009-3 / 20.00,https://book.douban.com/subject/3406401/
悉达多:一首印度的诗,9.4,(12680人评价),作者/译者： [德] 赫尔曼·黑塞 / 姜乙 ,出版信息：  天津人民出版社 / 2017-1 / 32.00元,https://book.douban.com/subject/26980487/
西藏生死书,8.4,(13880人评价),作者/译者： 索甲仁波切 / 郑振煌 ,出版信息：  浙江大学出版社 / 2011-4 / 39.80元,https://book.douban.com/subject/5990251/
次第花开,8.5,(3462人评价),作者/译者： 希阿荣博堪布 ,出版信息：  海南出版社 / 2017-1 / 39.80元,https://book.douban.com/subject/5450660/
僧侣与哲学家,8.7,(2297人评价),作者/译者： 让-弗朗索瓦•何维勒、马修•理查德 / 赖声川 ,出版信息：  华东师范大学出版社 / 2014-9-1 / CNY 39.00,https://book.douban.com/subject/25978763/
正见:佛陀的证悟,8.8,(15599人评价),作者/译者： 宗萨蒋扬钦哲仁波切 / 姚仁喜 ,出版信息：  中国友谊出版公司 / 2007-1 / 25.00元,https://book.douban.com/subject/1963912/
印度佛教史,9.4,(383人评价),作者/译者： [日] 平川彰 / 庄昆木 ,出版信息：  后浪丨北京联合出版公司 / 2018-9 / 128.00元,https://book.douban.com/subject/30240081/
金刚经,9.5,(5290人评价),作者/译者： (后秦)鸠摩罗什 ,出版信息：  中州古籍出版社 / 2007-4 / 13.00元,https://book.douban.com/subject/2076623/
佛陀传:全世界影响力最大的佛陀传记,8.9,(1752人评价),作者/译者： 一行禅师 / 何蕙仪 ,出版信息：  河南文艺出版社 / 2014-3-1 / 48.00元,https://book.douban.com/subject/25819842/
图说敦煌二五四窟,9.4,(1629人评价),作者/译者： 陈海涛、陈琦 ,出版信息：  生活·读书·新知三联书店 / 2017-11 / 96.00元,https://book.douban.com/subject/27608078/
正见,8.9,(1232人评价),作者/译者： 宗萨蒋扬钦哲仁波切 / 姚仁喜 ,出版信息：  新星出版社 / 2017-9 / 45,https://book.douban.com/subject/27136747/
了凡四训,8.6,(6461人评价),作者/译者： (明)袁了凡、净庐主人 译 / 净庐主人 ,出版信息：  百花文艺出版社 / 2007 / 16.00元,https://book.douban.com/subject/2083981/
金刚经说什么,8.9,(8069人评价),作者/译者： 南怀瑾 ,出版信息：  复旦大学出版社 / 2002-6 / 27.00元,https://book.douban.com/subject/1409704/
佛祖都说了些什么?,8.6,(3914人评价),作者/译者： 林欣浩 ,出版信息：  北京时代华文书局 / 2014-7-1 / 42,https://book.douban.com/subject/25928708/
心经,9.6,(2269人评价),作者/译者： 本书编委会 ,出版信息：  宗教文化出版社 / 2006-3 / 108.00元,https://book.douban.com/subject/1840859/
佛教的传播,0.0,(少于10人评价),作者/译者： Ann Heirman、Stephan Peter Bumbancher / 董韵宜、盛宁 ,出版信息：  宗教文化出版社 / 2020-8 / 180,https://book.douban.com/subject/35257982/
六祖坛经,9.3,(1073人评价),作者/译者： 徐文明 / 徐文明 注释 ,出版信息：  中州古籍 / 2008-1 / 12.00元,https://book.douban.com/subject/3007708/
佛教常识答问,9.2,(321人评价),作者/译者： 赵朴初 / 赵桐 ,出版信息：  外语教学与研究出版社 / 2012-10-31 / 39.00元,https://book.douban.com/subject/20470264/
八万四千问,8.7,(3371人评价),作者/译者： 宗萨蒋扬钦哲仁波切 / 严望佳、戚淑萍 ,出版信息：  深圳报业集团出版社 / 2016-7 / 45.00元,https://book.douban.com/subject/26827590/
令人神往的靜坐開悟:普林斯頓大受歡迎的佛學與現代心理學,9.3,(74人评价),作者/译者： 羅伯．賴特 (Robert Wright) / 宋宜真 ,出版信息：  究竟出版社 / 2018-12-1 / TWD 380,https://book.douban.com/subject/30390293/
中国佛学源流略讲,9.0,(628人评价),作者/译者： 吕澂 ,出版信息：  中华书局 / 1979-8 / 38.00元,https://book.douban.com/subject/1025989/
观呼吸:平静的第一堂课,9.0,(1375人评价),作者/译者： 德宝法师 / 赖隆彦 ,出版信息：  海南 / 2009-8 / 25.00元,https://book.douban.com/subject/3910883/
佛陀,9.1,(615人评价),作者/译者： [英] 凯伦·阿姆斯特朗 / 贤祥 ,出版信息：  生活·读书·新知三联书店 / 2014-1 / 38.00元,https://book.douban.com/subject/25849143/
佛教的见地与修道:深入浅出、精简而全面的佛教通论,9.2,(1585人评价),作者/译者： 宗萨蒋扬钦哲仁波切 / 陈冠中、杨忆祖、马君美 ,出版信息：  新星出版社 / 2010-10 / 28.00元,https://book.douban.com/subject/5332932/
金刚经·心经,9.4,(2641人评价),作者/译者： 陈秋平 译注 ,出版信息：  中华书局 / 2010-5 / 10.00元,https://book.douban.com/subject/4843456/
佛学概论,8.2,(1782人评价),作者/译者： [英]关大眠 / 郑柏铭 ,出版信息：  译林出版社 / 2013-6 / 25.00,https://book.douban.com/subject/24532503/
洛阳伽蓝记,9.3,(742人评价),作者/译者： 杨衒之 / 尚荣 注释 ,出版信息：  中华书局 / 2012-1 / 27.00元,https://book.douban.com/subject/10488582/
人间是剧场,9.1,(3298人评价),作者/译者： 宗萨蒋扬钦哲仁波切 ,出版信息：  新星出版社 / 2010-10 / 38.00元,https://book.douban.com/subject/5332713/
楞严经,9.5,(1016人评价),作者/译者： 赖永海、杨维中 译注 ,出版信息：  中华书局 / 2010-5 / 27.00元,https://book.douban.com/subject/4843462/
印度佛教史,0.0,(少于10人评价),作者/译者： S.R.戈耶尔 / 黄宝生 ,出版信息：  中国社会科学出版社 / 2021-1 / 208.00元,https://book.douban.com/subject/35399763/
坛经,9.3,(1213人评价),作者/译者： 尚荣 译注 ,出版信息：  中华书局 / 2010-5 / 14.00元,https://book.douban.com/subject/4843454/
悉达多,9.1,(2793人评价),作者/译者： [德] 赫尔曼·黑塞 / 杨武能 ,出版信息：  译林出版社 / 2015-5 / 29.80,https://book.douban.com/subject/26292550/
雪域求法记:一个汉人喇嘛的口述史,8.5,(1708人评价),作者/译者： 邢肃芝(洛桑珍珠) 口述、杨念群、张健飞 笔述 ,出版信息：  生活·读书·新知三联书店 / 2008-11 / 36.00元,https://book.douban.com/subject/3306209/
佛教考古（修订本）:从印度到中国,0.0,(少于10人评价),作者/译者： 李崇峰 ,出版信息：  上海古籍出版社 / 2020-9-1 / 298.00,https://book.douban.com/subject/35183957/
藏传佛教象征符号与器物图解,8.9,(623人评价),作者/译者： [英] 罗伯特·比尔 / 向红笳 ,出版信息：  中国藏学出版社 / 2007-4 / 35.00元,https://book.douban.com/subject/2116107/
西藏度亡经,9.0,(581人评价),作者/译者： 莲华生 / 徐进夫 ,出版信息：  宗教文化出版社 / 1995-08 / 15.00元,https://book.douban.com/subject/1051931/
汉魏两晋南北朝佛教史,9.3,(289人评价),作者/译者： 汤用彤 ,出版信息：  北京大学出版社 / 1997-09-01 / 36.00,https://book.douban.com/subject/1011256/
世界上最快乐的人:根·道·果,9.3,(294人评价),作者/译者： 咏给•明就仁波切 / 江翰雯等 ,出版信息：  海南出版社 / 2013-10 / 38.00,https://book.douban.com/subject/25753429/
敦煌:丝绸之路明珠佛教文化宝藏,9.7,(238人评价),作者/译者： 樊锦诗主编、吴健摄影 ,出版信息：  中国旅游出版社 / 2014-9 / 358,https://book.douban.com/subject/26736837/
当和尚遇到钻石,8.0,(1535人评价),作者/译者： 麦克尔·罗奇格西 ,出版信息：  京华出版社 / 2005-5 / 26.80元,https://book.douban.com/subject/1319893/
佛教逻辑,8.5,(357人评价),作者/译者： [俄] 舍尔巴茨基 / 宋立道、舒晓炜 ,出版信息：  商务印书馆 / 1997-11 / 30.60元,https://book.douban.com/subject/1116336/
续高僧传校注,0.0,(目前无人评价),作者/译者： [唐]释道宣 撰、苏小华 校注 ,出版信息：  上海古籍出版社 / 2021-5 / 260.00元,https://book.douban.com/subject/35434484/
印度佛学源流略讲,9.0,(442人评价),作者/译者： 吕澂 ,出版信息：  上海人民出版社 / 2005-05 / 30.00,https://book.douban.com/subject/1315188/
佛教的见地与修道,9.2,(590人评价),作者/译者： 宗萨蒋扬钦哲仁波切 / 马君美、杨忆祖、陈冠中 ,出版信息：  新星出版社 / 2016-4-1 / 49.50,https://book.douban.com/subject/26752324/
根道果:禅修的方法与次第,9.2,(475人评价),作者/译者： 咏给·明就仁波切 / 江翰雯 ,出版信息：  海南出版社 / 2010-5 / 30.00元,https://book.douban.com/subject/4830829/
缘起:佛教譬喻文学的流变,0.0,(少于10人评价),作者/译者： 范晶晶 ,出版信息：  中西书局 / 2020-10 / 60.00元,https://book.douban.com/subject/35217692/
故道白云,9.0,(1604人评价),作者/译者： 一行禅师 / 何蕙仪 ,出版信息：  线装书局 / 2007-6 / 38.00元,https://book.douban.com/subject/2122992/
