书名,评分,评价人数,作者,出版社,url
101种战胜糖尿病的特效法,9.9,(46人评价),作者/译者： 阿部博幸 / 乐馨 ,出版信息：  辽宁科学技术出版社 / 2010-8 / 23.80元,https://book.douban.com/subject/5096980/
寿康宝鉴（白话）,9.8,(78人评价),作者/译者： 印光大师 编订 / 三宝弟子 ,出版信息：  团结出版社 / 2015-9 / 28,https://book.douban.com/subject/26683589/
医学衷中参西录,9.7,(49人评价),作者/译者： 张锡纯 ,出版信息：  山西科学技术出版社 / 2009-1 / 75.00元,https://book.douban.com/subject/3521604/
免疫学概览,9.7,(38人评价),作者/译者： Lauren Sompayrac / 赵欣敏、张峰 ,出版信息：  北京大学医学出版社 / 2016-10-1 / 50,https://book.douban.com/subject/26952932/
认识活体筋膜:细胞与细胞外基质之间的构成性世界,9.7,(45人评价),作者/译者： [法] 让-克劳德·甘博图、[英] 科林·阿姆斯特朗 / 李哲 ,出版信息：  后浪丨科学技术文献出版社 / 2018-10 / 108.00元,https://book.douban.com/subject/30322216/
心靈的傷，身體會記住,9.7,(40人评价),作者/译者： Bessel van der Kolk / 劉思潔 ,出版信息：  大家出版社 / 2017-7-5 / 550台币,https://book.douban.com/subject/27076513/
美味营养儿童菜1688例,9.6,(51人评价),作者/译者： ,出版信息： 广东人民出版社 / 2018-5,https://book.douban.com/subject/30390329/
与痛共舞:慢性疼痛的身心疗法,9.6,(26人评价),作者/译者： 【美】玛格丽特•考迪尔（Margaret A.Caudill） / 丁丹 ,出版信息：  人民邮电出版社 / 2017-7-15 / 59.00元,https://book.douban.com/subject/27065486/
要瘦就瘦，要健康就健康:把飲食金字塔倒過來吃，就對了！,9.6,(38人评价),作者/译者： 賴宇凡 ,出版信息：  如果出版 / 2012-5-31 / NT$350,https://book.douban.com/subject/20278065/
实用内科学(第13版),9.5,(57人评价),作者/译者： 陈灏珠、林果为 ,出版信息：  人民卫生出版社 / 2009-9-1 / 348.00元,https://book.douban.com/subject/4012018/
伤寒论,9.5,(554人评价),作者/译者： 张仲景 ,出版信息：  人民卫生出版社 / 2005-8 / 13.00元,https://book.douban.com/subject/1447232/
全注全译黄帝内经(上下),9.5,(175人评价),作者/译者： 张登本 / 张登本　等译 ,出版信息：  新世界出版社 / 2008-10 / 98.00元,https://book.douban.com/subject/3271484/
"PsychoanalyticDiagnosis,2ndEdition:UnderstandingPersonalityStructureintheClinicalProcess",9.4,(24人评价),作者/译者： Nancy McWilliams ,出版信息：  Guilford Publications / 2011-10-27 / GBP 48.99,https://book.douban.com/subject/10220348/
中医祖传的那点儿东西2,9.4,(15人评价),作者/译者： 罗大伦 ,出版信息：  北京联合出版公司 / 2017-7 / 35.00元,https://book.douban.com/subject/30257570/
经典中医启蒙,9.4,(589人评价),作者/译者： 李辛 ,出版信息：  中医古籍出版社 / 2018-5-1 / CNY 68.00,https://book.douban.com/subject/30230380/
健身营养全书:关于力量与肌肉的营养策略,9.4,(621人评价),作者/译者： 克里斯蒂安·冯·勒费尔霍尔茨 / 庄仲华 ,出版信息：  北京科学技术出版社 / 2018-4-1 / 98.00元,https://book.douban.com/subject/30157798/
精神健康讲记:一个中医眼中的心身调适与精神发展,9.4,(322人评价),作者/译者： 李辛 ,出版信息：  中医古籍出版社 / 2019-12 / 78.00元,https://book.douban.com/subject/34939373/
央视体育教学羽毛球--专家把脉下3片装(VCD):央视体育教学,9.4,(29人评价),作者/译者： 肖杰、赵剑华 ,出版信息：  北京科影音像出版社 / 2010-6-10 / 81.0,https://book.douban.com/subject/2319820/
肌肉塑造全书,9.4,(54人评价),作者/译者： 伊恩·金、卢·舒勒 / 左继荣、王晓芸 ,出版信息：  北京科学技术出版社 / 2015-11-1 / 59.00元,https://book.douban.com/subject/26663032/
梅奥拯救乳房全书:乳腺癌抗癌权威指南,9.4,(92人评价),作者/译者： 查尔斯•洛普利、林恩•哈特曼 / 沈松杰、王昕 ,出版信息：  北京科学技术出版社 / 2016-10-1 / 69,https://book.douban.com/subject/26891424/
半日临证半日读书,9.4,(24人评价),作者/译者： 邢斌 ,出版信息：  中国中医药出版社 / 2012-5-9 / 39.90元,https://book.douban.com/subject/10738996/
101种降低高血压的特效法,9.4,(40人评价),作者/译者： (日)主妇与生活社|译者:王慧 ,出版信息：  辽宁科技 / 2010-8 / 23.80元,https://book.douban.com/subject/5096982/
女性·生命的历程,9.3,(25人评价),作者/译者： ,出版信息： 2005-5 / 33.80元,https://book.douban.com/subject/1264202/
TheBigBookofEnduranceTrainingandRacing,9.3,(33人评价),作者/译者： ,"出版信息： Maffetone, Philip / 2010-9 / 165.00元",https://book.douban.com/subject/5483229/
默克家庭医学手册,9.3,(70人评价),作者/译者： 波特 (Porter R.S.) / 胡大一 ,出版信息：  人民卫生出版社 / 2014-3-1 / 360.00元,https://book.douban.com/subject/25960878/
力量训练基础:用5种杠铃动作极速发展身体实力,9.3,(894人评价),作者/译者： [美] 马克·瑞比托 / 杨嘉辰 ,出版信息：  北京科学技术出版社 / 2016-9 / 89.00,https://book.douban.com/subject/26863470/
