书名,评分,评价人数,作者,出版社,url
窗边的小豆豆,8.7,(174765人评价),作者/译者： [日] 黑柳彻子 著、岩崎千弘 图 / 赵玉皎 ,出版信息：  南海出版公司 / 2003-1 / 20.00元,https://book.douban.com/subject/1007914/
草房子,9.0,(30977人评价),作者/译者： 曹文轩 ,出版信息：  江苏少年儿童出版社 / 2009-6 / 18.00元,https://book.douban.com/subject/1052990/
"小狗钱钱:引导孩子正确认识财富、创造财富的“金钱童话""",9.1,(43412人评价),作者/译者： [德] 博多·舍费尔 / 王钟欣、余茜 ,出版信息：  南海出版公司 / 2009-2-1 / 20.00元,https://book.douban.com/subject/3576486/
城南旧事:纪念普及版,9.0,(118187人评价),作者/译者： 林海音 文、关维兴 图 ,出版信息：  中国青年出版社 / 2003-7 / 16.00元,https://book.douban.com/subject/1254588/
来不及说再见的青春:电影《八月未央》故事集,9.1,(733人评价),作者/译者： 钟楚曦、罗晋、谭松韵、潘云贵、王天宁、另维 ,出版信息：  长江出版社 / 2021-3-1 / 59.8,https://book.douban.com/subject/34454462/
安徒生童话故事集,9.2,(102385人评价),作者/译者： （丹麦）安徒生 / 叶君健 ,出版信息：  人民文学出版社 / 1997-08 / 25.00元,https://book.douban.com/subject/1046209/
夏洛的网,8.6,(57753人评价),作者/译者： [美] E.B.怀特 / 任溶溶 ,出版信息：  上海译文出版社 / 2004-5 / 17.00元,https://book.douban.com/subject/1036274/
格林童话全集,9.0,(77982人评价),作者/译者： [德国]格林兄弟 / 魏以新 ,出版信息：  人民文学出版社 / 1994-11 / 21.45元,https://book.douban.com/subject/1043008/
大山里的小诗人,8.8,(2508人评价),作者/译者： “是光”的孩子们 ,出版信息：  江苏凤凰文艺出版社 / 2020-4 / 49.80元,https://book.douban.com/subject/35006237/
每一天都是爱你的一天,8.4,(1279人评价),作者/译者： [美国] 莉兹·克里莫 / 七英俊 ,出版信息：  山东文艺出版社 / 2021-3 / 49.80,https://book.douban.com/subject/35389470/
