书名,评分,评价人数,作者,出版社,url
孙子兵法,9.4,(10778人评价),作者/译者： 孙武 / 郭化若 ,出版信息：  上海古籍出版社 / 2006-7 / 20.00元,https://book.douban.com/subject/1949420/
亮剑,8.9,(23231人评价),作者/译者： 都梁 ,出版信息：  解放军文艺出版社 / 2005-3 / 28.00元,https://book.douban.com/subject/1088022/
苦难辉煌,7.8,(3049人评价),作者/译者： 金一南 ,出版信息：  华艺出版社 / 2009-1 / 46.00元,https://book.douban.com/subject/3432401/
战争论:全三册,8.9,(1080人评价),作者/译者： 克劳塞维茨(德) / 中国人民解放军军事科学院 ,出版信息：  解放军出版社 / 2005-1-1 / 79.00元,https://book.douban.com/subject/1009105/
论持久战,9.5,(318人评价),作者/译者： 毛泽东 ,出版信息：  人民出版社 / 1975-12 / 0.18,https://book.douban.com/subject/30315038/
善战者说:孙子兵法与取胜法则十二讲,8.3,(330人评价),作者/译者： 宫玉振 ,出版信息：  中信出版社 / 2020-8 / 78.00元,https://book.douban.com/subject/35135792/
海洋与权力:一部新文明史,8.4,(26人评价),作者/译者： [英] 安德鲁·兰伯特 / 龚昊 ,出版信息：  湖南文艺出版社 / 2021-4-1 / 88.00元,https://book.douban.com/subject/35395741/
中央帝国的军事密码,8.0,(1375人评价),作者/译者： 郭建龙 ,出版信息：  鹭江出版社 / 2019-9 / 78.00元,https://book.douban.com/subject/33454876/
孙子兵法,9.5,(1389人评价),作者/译者： 孙武 / 陈曦  译注 ,出版信息：  中华书局 / 2011-9 / 18.00元,https://book.douban.com/subject/6879356/
南北战争三百年:中国4—6世纪的军事与政权,8.1,(1456人评价),作者/译者： 李硕 / 世纪文景 ,出版信息： 上海人民出版社 / 2018-1 / 59.00元,https://book.douban.com/subject/28135034/
内战之殇:西班牙内战中的后方大屠杀,8.8,(15人评价),作者/译者： [英] 保罗·普雷斯顿 / 李晓泉 ,出版信息：  民主与建设出版社 / 2021-3 / 120.00元,https://book.douban.com/subject/35355885/
林副主席论战术思想与战斗作风,9.5,(100人评价),作者/译者： 林彪 ,出版信息：  林彪 / 中国人民解放军战士出版社 / 1970,https://book.douban.com/subject/1919843/
燃烧的大洋:1941—1942，从突袭珍珠港到中途岛战役,8.9,(106人评价),作者/译者： [美]伊恩·托尔 / 徐彬、王斌、王晓 ,出版信息：  中信出版集团 / 2020-9 / 98,https://book.douban.com/subject/34988830/
布局天下:中国古代军事地理大势,8.8,(932人评价),作者/译者： 饶胜文 ,出版信息：  解放军出版社 / 2002-1-1 / 21.00元,https://book.douban.com/subject/1207500/
第二次世界大战战史,8.9,(1209人评价),作者/译者： 李德•哈特 (Basil H.Liddell Hart) / 钮先钟 ,出版信息：  上海人民出版社 / 2009-3-1 / 75.00元,https://book.douban.com/subject/3610090/
粟裕战争回忆录,9.0,(221人评价),作者/译者： 粟裕 ,出版信息：  解放军出版社 / 1988-11 / 20.00元,https://book.douban.com/subject/2216197/
长征,8.5,(1591人评价),作者/译者： 王树增 ,出版信息：  人民文学出版社 / 2006-9 / 53.00元,https://book.douban.com/subject/1899764/
中国冷兵器图典,7.7,(99人评价),作者/译者： 蒋丰维 著、刘子葳 绘 ,出版信息：  后浪丨四川人民出版社 / 2020-12 / 138.00元,https://book.douban.com/subject/35200630/
三十年战争史:欧洲的悲剧,8.9,(114人评价),作者/译者： [英] 彼得·威尔逊 / 宁凡、史文轩 ,出版信息：  后浪丨九州出版社 / 2020-12 / 160.00元,https://book.douban.com/subject/35152172/
巨人的碰撞:一部全新的苏德战争史,9.6,(68人评价),作者/译者： [美] 戴维·M. 格兰茨、[美] 乔纳森·M. 豪斯 / 赵玮、赵国星 ,出版信息：  江苏凤凰文艺出版社 / 2020-8-28 / 169.8,https://book.douban.com/subject/35127632/
士兵突击,9.0,(6076人评价),作者/译者： 兰晓龙 ,出版信息：  花山文艺出版社 / 2007-2 / 32.00元,https://book.douban.com/subject/2026211/
战争改变历史:1500年以来的军事技术、战争及历史进程,9.2,(207人评价),作者/译者： 马克斯·布特 / 石祥 ,出版信息：  上海科学技术文献出版社 / 2011-3 / 68.00元,https://book.douban.com/subject/6090958/
海权论:海权对历史的影响,9.3,(144人评价),作者/译者： [美]阿尔弗雷德·塞耶·马汉 / 冬初阳 ,出版信息：  时代文艺出版社 / 2014-6-1 / 68,https://book.douban.com/subject/25859085/
拿破仑传,8.4,(1848人评价),作者/译者： [德] 埃米尔·路德维希 / 梁锡江、龚艳、周何法 ,出版信息：  浙江文艺出版社 / 2008-1-1 / 29.80元,https://book.douban.com/subject/2348135/
朝鲜战争:修订版,8.3,(1431人评价),作者/译者： 王树增 ,出版信息：  人民文学出版社 / 2009-4 / 50.00元,https://book.douban.com/subject/3701605/
六日战争:1967年6月和现代中东的创生,8.4,(64人评价),作者/译者： [以] 迈克尔·B. 奥伦 / 丁辰熹 ,出版信息：  后浪丨九州出版社 / 2020-11 / 122.00元,https://book.douban.com/subject/35217465/
我的团长我的团（上部）,9.3,(5070人评价),作者/译者： 兰晓龙 ,出版信息：  新星出版社 / 2009-1 / 35.00,https://book.douban.com/subject/3297466/
