书名,评分,评价人数,作者,出版社,url
星空,9.8,(11人评价),作者/译者： 幾米 ,出版信息：  现代出版社 / 2020-11 / 68.00元,https://book.douban.com/subject/35255788/
幾米袖珍本2002-2003:《布瓜的世界》《幸運兒》《你們我們他們》《森林裡的祕密》《微笑的,9.3,(64人评价),作者/译者： 幾米 ,出版信息：  大塊 / 2012-5 / 279.60元,https://book.douban.com/subject/3182994/
热带雨林,9.3,(93人评价),作者/译者： 托马斯·马伦特 / 郝晓静 ,出版信息：  希望出版社 / 2006-10 / 198.00元,https://book.douban.com/subject/1902741/
辛波絲卡:辛波絲卡詩集,9.3,(207人评价),作者/译者： 辛波絲卡﹙Wislawa Szymborska﹚ / 陳黎、張芬齡 ,出版信息：  寶瓶文化 / 2011-4-7 / NT 270,https://book.douban.com/subject/6080085/
小王子,9.3,(3241人评价),作者/译者： [法] 安托万·德·圣艾克絮佩里 / 黄荭 ,出版信息：  作家出版社 / 2007-10 / 25.00元,https://book.douban.com/subject/2278402/
《There'sadarkdarkwoodinsidemyhead》,9.3,(174人评价),作者/译者： b.wing ,出版信息：  香港 / 2009年12月 / HKD128.00,https://book.douban.com/subject/4230583/
"向左走‧向右走（精裝）(2007年新版):TurnLeft,TurnRight",9.3,(201人评价),作者/译者： 幾米 ,出版信息：  大塊文化 / 2006-12-4 / NT$350,https://book.douban.com/subject/1962514/
幾米作品全集,9.2,(85人评价),作者/译者： 幾米 ,出版信息：  人民文学出版社 / 2010.6 / 78,https://book.douban.com/subject/4827789/
Laughalonecollectionpostcard:Youdon'thavetotellmeifitistrue,9.2,(26人评价),作者/译者： b.wing ,出版信息：  Joyart Development Limited (Bwing) / 2006年05月 / HK$75,https://book.douban.com/subject/4011860/
辛波絲卡詩選,9.2,(532人评价),作者/译者： 辛波絲卡 (Wistowa Szymborska) / 陳黎、張芬齡 ,出版信息：  桂冠 / 1998 / NT 200,https://book.douban.com/subject/1389910/
星空(精裝),9.2,(266人评价),作者/译者： 幾米 ,出版信息：  大塊 / 2009-05-01 (初版日期) / NT499,https://book.douban.com/subject/3686257/
幾米袖珍本2004-2006:2006,9.2,(168人评价),作者/译者： 幾米 ,出版信息：  海豚出版社 / 2012-8-1 / 68.00元,https://book.douban.com/subject/11542227/
月亮忘記了（平裝）（2007年新版）:TheMoonForgets,9.2,(27人评价),作者/译者： 幾米 ,出版信息：  大塊文化 / 2007-10-1 / NT$ 260,https://book.douban.com/subject/4906782/
小王子:中英法60周年彩色纪念版,9.2,(7915人评价),作者/译者： [法] 圣·埃克苏佩里 / 洪友 ,出版信息：  群言出版社 / 2006-9 / 21.80元,https://book.douban.com/subject/1915170/
幾米袖珍本(2004-2006),9.2,(54人评价),作者/译者： 幾米 ,出版信息：  大塊文化 / 2011-1 / 319.60元,https://book.douban.com/subject/6515913/
最新几米创作精选,9.2,(110人评价),作者/译者： 几米 ,出版信息：  现代出版社 / 2010-3 / 248.00元,https://book.douban.com/subject/4724245/
幾米袖珍本2000-2002,9.1,(337人评价),作者/译者： 幾米 ,出版信息：  人民文学出版社 / 2009-10-01 / 78.00元,https://book.douban.com/subject/4167914/
AnimalFarm:AFairyStory,9.1,(315人评价),作者/译者： George Orwell ,出版信息：  Penguin / 1996-4-30 / GBP 8.99,https://book.douban.com/subject/2024548/
月亮忘记了（精装）,9.1,(13人评价),作者/译者： 幾米 ,出版信息：  九州出版社 / 2018-10 / 68.00,https://book.douban.com/subject/30264936/
照相本子,9.1,(138人评价),作者/译者： 幾米 ,出版信息：  海豚出版社 / 2014-7 / 32.00,https://book.douban.com/subject/25927079/
白夜行,9.1,(342050人评价),作者/译者： [日] 东野圭吾 / 刘姿君 ,出版信息：  南海出版公司 / 2013-1-1 / 39.50元,https://book.douban.com/subject/10554308/
幾米袖珍本2002-2003,9.1,(287人评价),作者/译者： 幾米 ,出版信息：  人民文学出版社 / 2009-10-01 / 78.00元,https://book.douban.com/subject/4167915/
月亮忘記了（精裝）（2007年新版）:TheMoonForgets,9.1,(65人评价),作者/译者： 幾米 ,出版信息：  大塊文化 / 2007-10-1 / NT$ 360,https://book.douban.com/subject/4906783/
月亮忘记了,9.1,(293人评价),作者/译者： 几米 绘 ,出版信息：  海豚出版社 / 2011-9 / 46.00元,https://book.douban.com/subject/6854327/
WEALLNEEDSOMEONETOKISSUSGOODBYE,9.0,(124人评价),作者/译者： b.wing ,出版信息：  SCMP / 2007-7-1 / HK$98,https://book.douban.com/subject/2154693/
TheWhisperingGameand5Yearsofb.wing2004-2008,9.0,(94人评价),作者/译者： b.wing ,出版信息：  kubrick / 2009 / 138,https://book.douban.com/subject/3449159/
星空:TheStarryStarryNight,9.0,(4185人评价),作者/译者： 幾米 ,出版信息：  现代出版社 / 2009-10 / 48.00元,https://book.douban.com/subject/4012128/
被爱路过:朋友刀刀第二季,9.0,(5686人评价),作者/译者： 慕容引刀 ,出版信息：  上海人民出版社 / 2007-9 / 25.00元,https://book.douban.com/subject/2251434/
向左走向右走,9.0,(247人评价),作者/译者： ,出版信息：  中国唱片上海公司出版发行 / 2002 / 12.0,https://book.douban.com/subject/1629392/
时光电影院,9.0,(3308人评价),作者/译者： 几米 ,出版信息：  海豚出版社 / 2012-4 / 45.00元,https://book.douban.com/subject/10553760/
月亮忘记了:TheMoonForgets,9.0,(2732人评价),作者/译者： 幾米 ,出版信息：  海豚出版社 / 2010-1 / 32.00元,https://book.douban.com/subject/4237837/
"幾米畫冊:創作精選:JimmyLiao,ACollection",9.0,(62人评价),作者/译者： 幾米 ,出版信息：  大塊文化 / 2009 / NT$2500,https://book.douban.com/subject/4179341/
温柔的夜,8.9,(2896人评价),作者/译者： 三毛 ,出版信息：  哈尔滨出版社 / 2004-8 / 15.80,https://book.douban.com/subject/1082416/
躲進世界的角落（精裝）:HowtoOwnaCorner,8.9,(175人评价),作者/译者： 幾米 ,出版信息：  大塊文化 / 2008-9 / NT$ 450,https://book.douban.com/subject/3194045/
"我的錯都是大人的錯:Don'tblameme,it'snotmyfault",8.9,(189人评价),作者/译者： 幾米 ,出版信息：  大塊文化 / 2007 / 380,https://book.douban.com/subject/2160594/
"世界別為我擔心:Don'tWorry,BeHappy",8.9,(142人评价),作者/译者： 幾米 ,出版信息：  大塊文化 / 2011-1-28 / NT182,https://book.douban.com/subject/5948997/
猫国物语:一个你从未见过的奇幻国度Neargo,8.9,(7709人评价),作者/译者： [日] 莫莉蓟野 / 林可欣 ,出版信息：  南海出版公司 / 2008-12 / 48.00元,https://book.douban.com/subject/3316422/
