书名,评分,评价人数,作者,出版社,url
变现思维：自我增值的8堂营销课（沃顿商学院演讲嘉宾，美国营销协会艾菲奖、中国广告长城奖得主全新力作）,9.6,(30人评价),作者/译者： 廖恒 ,出版信息：  民主与建设出版社 / 2021-3 / 46.80元,https://book.douban.com/subject/35373883/
我是如何成功的:一个美国房地产大王的不败圣经,9.5,(43人评价),作者/译者： 乔治·佩雷斯 / 李淼 ,出版信息：  学林出版社 / 2010-1 / 28.00元,https://book.douban.com/subject/4180015/
HighGrowthHandbook,9.3,(13人评价),作者/译者： ,出版信息： Elad Gil / Stripe Press / 2018-7-17,https://book.douban.com/subject/30284623/
战略管理(概念与案例第12版)/工商管理经典译丛,9.3,(48人评价),作者/译者： 迈克尔·希特、R.杜安·爱尔兰、罗伯特·霍斯基森 / 刘刚、梁晗、耿天成 ,出版信息：  中国人民大学出版社 / 2017-8-1 / 69.00元,https://book.douban.com/subject/27129100/
DOOM启世录（纪念版）,9.3,(236人评价),作者/译者： [美] David Kushner / 孙振南 ,出版信息：  电子工业出版社 / 2015-10-1 / 65.00元,https://book.douban.com/subject/26642310/
专业服务公司的管理（经典重译版）,9.3,(91人评价),作者/译者： [美]大卫•梅斯特(David H. Maister) / 吴卫军、郭蓉 ,出版信息：  机械工业出版社 / 2018-4-1 / 79,https://book.douban.com/subject/30230309/
一本书看透股权架构,9.2,(688人评价),作者/译者： 李利威 ,出版信息：  机械工业出版社 / 2019-4 / 79,https://book.douban.com/subject/33413106/
以利为利:财政关系与地方政府行为,9.2,(796人评价),作者/译者： 周飞舟 ,出版信息：  上海三联书店 / 2012-2-1 / 35.00元,https://book.douban.com/subject/10587755/
创新者的窘境（珍藏版）:领先企业如何被新兴企业颠覆？,9.2,(16人评价),作者/译者： [美] 克莱顿·克里斯坦森（Clayton M. Christensen） / 胡建桥 ,出版信息：  中信出版社 / 2020-7 / 69.00元,https://book.douban.com/subject/35148452/
数字搏击,9.2,(31人评价),作者/译者： 丁奉 ,出版信息：  太白文艺出版社 / 2020-1 / 38.00元,https://book.douban.com/subject/34911327/
格鲁夫给经理人的第一课:英特尔创始人自述(畅销版),9.1,(331人评价),作者/译者： (美)安迪•格鲁夫 / 巫宗融 ,出版信息：  中信出版社 / 2017-8-4 / 36.8元,https://book.douban.com/subject/27178870/
5分钟商学院（套装）,9.1,(59人评价),作者/译者： 刘润 /  ,出版信息：  中信 / 2018-05-10 / 199.2,https://book.douban.com/subject/30339211/
"Creativity,Inc.:OvercomingtheUnseenForcesThatStandintheWayofTrueInspiration",9.1,(360人评价),作者/译者： Ed Catmull、Amy Wallace ,出版信息：  Random House / 2014-4-8 / GBP 20.88,https://book.douban.com/subject/25777433/
ShoeDog:AMemoirbytheCreatorofNike,9.1,(1039人评价),作者/译者： Phil Knight ,出版信息：  Scribner / 2016-4-26 / USD 29.00,https://book.douban.com/subject/26738885/
史蒂夫·乔布斯传（修订版）,9.1,(4698人评价),作者/译者： [美] 沃尔特·艾萨克森 / 管延圻、魏群、余倩、赵萌萌、汤崧 ,出版信息：  中信出版社 / 2014-1 / 68.00元,https://book.douban.com/subject/25810506/
颠覆性创新,9.1,(21人评价),作者/译者： 克莱顿·克里斯坦森 / 崔传刚 ,出版信息：  中信出版社 / 2019-11 / 69,https://book.douban.com/subject/34897714/
浪潮之巅（第四版）（上下册）,9.1,(1024人评价),作者/译者： 吴军 ,出版信息：  人民邮电出版社 / 2019-6 / 139.00元,https://book.douban.com/subject/33474750/
TheLeanStartup:HowConstantInnovationCreatesRadicallySuccessfulBusinesses,9.1,(28人评价),作者/译者： Eric Ries ,出版信息：  Portfolio Penguin / 2011-10-6 / GBP 14.99,https://book.douban.com/subject/7056139/
DOOM启世录,9.1,(1495人评价),作者/译者： [美] 大卫·卡什诺 / 孙振南 ,出版信息：  电子工业出版社 / 2004-4 / 29.00元,https://book.douban.com/subject/1152971/
企业成长之痛:创业型企业如何走向成熟,9.1,(34人评价),作者/译者： 埃里克·G·弗拉姆豪茨(Flamholtz.E.G.)^伊冯·兰德尔 / 黄震亚^董航 ,出版信息：  清华大学 / 2011-7 / 58.00元,https://book.douban.com/subject/6794514/
"GettingReal:TheSmarter,Faster,EasierWaytoBuildaSuccessfulWebApplication",9.1,(959人评价),作者/译者： Jason Fried、Heinemeier David Hansson、Matthew Linderman ,出版信息：  37signals / 2009-11-18 / USD 24.99,https://book.douban.com/subject/3567853/
风险投资交易:条款清单全揭秘,9.1,(112人评价),作者/译者： [美]布拉德·菲尔德、[美]杰森·门德尔松 / 桂曙光 ,出版信息：  机械工业出版社 / 2014-8 / 49.00元,https://book.douban.com/subject/26357758/
郭鶴年自傳:繁體本,9.1,(86人评价),作者/译者： 郭鶴年 (口述)、Andrew Tanzer (筆錄) / 蔡芫 ,出版信息：  商務印書館（香港）有限公司 / 2017-11 / HK$148,https://book.douban.com/subject/27611964/
郭鹤年自传:简体本,9.0,(486人评价),作者/译者： 郭鹤年 (口述)、Andrew Tanzer (笔录) / 蔡芫 ,出版信息：  商务印书馆（香港）有限公司 / 2017-11 / HK$148,https://book.douban.com/subject/27616695/
随机指标KDJ：波段操作精解,9.0,(26人评价),作者/译者： 凌波 ,出版信息：  北京联合出版公司 / 2019-5 / 59.00,https://book.douban.com/subject/33439375/
浪潮之巅,9.0,(29121人评价),作者/译者： 吴军 ,出版信息：  电子工业出版社 / 2011-8 / 55.00元,https://book.douban.com/subject/6709783/
德鲁克管理思想精要,9.0,(332人评价),作者/译者： 彼得·德鲁克 / 李维安 ,出版信息：  机械工业出版社 / 2007-6 / 45.00元,https://book.douban.com/subject/2180696/
创造高收益贰:亲自讲述活用人才的16个重要问题,9.0,(119人评价),作者/译者： [日] 稻盛和夫 / 喻海翔 ,出版信息：  东方出版社 / 2010-5 / 32.00元,https://book.douban.com/subject/4843742/
孵化未来,9.0,(30人评价),作者/译者： 梅晨婓 ,出版信息：  浙江大学出版社 / 2018-1 / 49元,https://book.douban.com/subject/27667171/
TheStartupOwner'sManual:Step-By-StepGuideforBuildingaGreatCompany,9.0,(42人评价),作者/译者： Steve Blank、Bob Dorf ,出版信息：  K & S Ranch / 2012-2 / USD 40.00,https://book.douban.com/subject/10491410/
新企业的起源与演进,9.0,(119人评价),作者/译者： 阿玛尔·毕海德 / 魏如山 ,出版信息：  中国人民大学出版社 / 2004-5 / 48.00元,https://book.douban.com/subject/1159542/
