书名,评分,评价人数,作者,出版社,url
你当像鸟飞往你的山,8.8,(105397人评价),作者/译者： [美] 塔拉·韦斯特弗 / 任爱红 ,出版信息：  南海出版公司 / 2019-10 / 59.00元,https://book.douban.com/subject/33440205/
平凡的世界（全三部）,9.0,(274990人评价),作者/译者： 路遥 ,出版信息：  人民文学出版社 / 2005-1 / 64.00元,https://book.douban.com/subject/1200840/
平凡的世界,9.0,(52729人评价),作者/译者： 路遥 ,出版信息：  北京十月文艺出版社 / 2012-3-1 / CNY 79.80,https://book.douban.com/subject/10517238/
老人与海,8.4,(168175人评价),作者/译者： 海明威 / 吴劳 ,出版信息：  上海译文出版社 / 1999-10 / 8.20元,https://book.douban.com/subject/1064275/
牧羊少年奇幻之旅,8.5,(135678人评价),作者/译者： [巴西] 保罗·柯艾略 / 丁文林 ,出版信息：  南海出版公司 / 2009-3-1 / 25.00元,https://book.douban.com/subject/3608208/
少有人走的路:心智成熟的旅程,8.3,(88153人评价),作者/译者： [美] M·斯科特·派克 / 于海生 ,出版信息：  吉林文史出版社 / 2007-1 / 26.00元,https://book.douban.com/subject/1775691/
肖申克的救赎,9.1,(97238人评价),作者/译者： [美] 斯蒂芬·金 / 施寄青、赵永芬、齐若兰 ,出版信息：  人民文学出版社 / 2006-7 / 29.90元,https://book.douban.com/subject/1829226/
强风吹拂,9.0,(14984人评价),作者/译者： 三浦紫苑 / 林佩瑾、李建铨、杨正敏 ,出版信息：  广西师范大学出版社 / 2015-1-1 / 39.00元,https://book.douban.com/subject/26210487/
天才基本法,8.5,(8330人评价),作者/译者： 长洱 ,出版信息：  江苏凤凰文艺出版社 / 2019-7 / 78.00元,https://book.douban.com/subject/34466299/
在峡江的转弯处:陈行甲人生笔记,9.5,(697人评价),作者/译者： 陈行甲 ,出版信息：  人民日报出版社 / 2021-1-10 / 48.00元,https://book.douban.com/subject/35317149/
活出生命的意义,8.6,(16383人评价),作者/译者： [奥] 维克多·弗兰克 / 吕娜 ,出版信息：  华夏出版社 / 2010-6 / 29.00元,https://book.douban.com/subject/5330333/
我的几何人生:丘成桐自传,8.4,(482人评价),作者/译者： [美国] 丘成桐、[美国]史蒂夫·纳迪斯 / 夏木清 ,出版信息：  译林出版社 / 2021-3 / 68.00元,https://book.douban.com/subject/35308863/
向上生长,7.4,(3300人评价),作者/译者： 九边、有容书邦发行、书田文化出品 ,出版信息：  贵州人民出版社 / 2020-6 / 45元,https://book.douban.com/subject/35060315/
富爸爸，穷爸爸,8.3,(65749人评价),作者/译者： （美）罗伯特・T・清崎、莎伦・L・莱希特 / 杨君、杨明 ,出版信息：  世界图书出版公司 / 2000-09 / 18.80,https://book.douban.com/subject/1033778/
高效能人士的七个习惯:30周年纪念版,8.4,(14279人评价),作者/译者： [美] 史蒂芬·柯维 / 高新勇、王亦兵、葛雪蕾 ,出版信息：  中国青年出版社 / 2018-5-1 / 49.00元,https://book.douban.com/subject/5325618/
钢铁是怎样炼成的,7.6,(63713人评价),作者/译者： [苏] 尼·奥斯特洛夫斯基 / 曹缦西、王志棣 ,出版信息：  译林出版社 / 1996-10 / 20.00元,https://book.douban.com/subject/1013502/
自控力:斯坦福大学最受欢迎心理学课程,8.2,(50484人评价),作者/译者： [美] 凯利·麦格尼格尔 / 王岑卉 ,出版信息：  文化发展出版社(原印刷工业出版社) / 2012-8 / 39.80元,https://book.douban.com/subject/10786473/
薇娅：人生是用来改变的,7.0,(809人评价),作者/译者： 薇娅 ,出版信息：  北京联合出版公司 / 2021-1-18 / 59.00元,https://book.douban.com/subject/35319742/
心:稻盛和夫的一生嘱托,8.0,(1796人评价),作者/译者： [日] 稻盛和夫 / 曹岫云、曹寓刚 ,出版信息：  人民邮电出版社 / 2020-5 / 59.00元,https://book.douban.com/subject/35043951/
钝感力,6.7,(18679人评价),作者/译者： [日] 渡边淳一 / 李迎跃 ,出版信息：  上海人民出版社 / 2007-5 / 15.00元,https://book.douban.com/subject/2119843/
活法,8.1,(11518人评价),作者/译者： （日）稻盛和夫 / 周庆玲 ,出版信息：  东方出版社 / 2005-03 / 24.00元,https://book.douban.com/subject/1269900/
