书名,评分,评价人数,作者,出版社,url
规训革命:加尔文主义与近代早期欧洲国家的兴起,9.9,(27人评价),作者/译者： [美]菲利普·S. 戈尔斯基 / 李钧鹏、李腾 ,出版信息：  北京师范大学出版社 / 2021-2-15 / 79.00元,https://book.douban.com/subject/35256019/
在国家与社会之间:明清广东地区里甲赋役制度与乡村社会（增订版）,9.9,(34人评价),作者/译者： 刘志伟 ,出版信息：  北京师范大学出版社 / 2021-1-1 / 98.00元,https://book.douban.com/subject/35237281/
资治通鉴,9.8,(1294人评价),作者/译者： 司马光 ,出版信息：  中华书局 / 2011-8 / 498.00元,https://book.douban.com/subject/6790302/
中国历史地图集,9.8,(215人评价),作者/译者： 谭其骧 ,出版信息：  中国地图出版社 / 1996-6 / 688,https://book.douban.com/subject/4211237/
察举制度变迁史稿,9.8,(29人评价),作者/译者： 阎步克 ,出版信息：  北京师范大学出版社 / 2021-1-1 / 89.00元,https://book.douban.com/subject/35237020/
风的女儿:二战德国女飞行员的交错人生,9.7,(24人评价),作者/译者： [英]克莱尔•马利（Clare Mully） / 姜洁 ,出版信息：  生活·读书·新知三联书店 / 2021-3-31 / 78,https://book.douban.com/subject/35048542/
艺术的故事,9.7,(1226人评价),作者/译者： [英]E.H.贡布里希 / 范景中、杨成凯 ,出版信息：  广西美术出版社 / 2015-7 / 320.00元,https://book.douban.com/subject/26423502/
辩论:美国制宪会议记录,9.7,(421人评价),作者/译者： [美] 詹姆斯·麦迪逊 / 尹宣 ,出版信息：  译林出版社 / 2014-7 / 128,https://book.douban.com/subject/25817153/
二十五史简明读本（全15册）,9.7,(116人评价),作者/译者： 李国章、赵昌平、等 ,出版信息：  上海古籍出版社 / 2018-7 / 680,https://book.douban.com/subject/30303327/
六朝的城市与社会,9.7,(30人评价),作者/译者： 刘淑芬 ,出版信息：  南京大学出版社 / 2021-1 / 98.00,https://book.douban.com/subject/35063747/
资治通鉴:传世经典文白对照,9.7,(683人评价),作者/译者： 司马光 / 沈志华、张宏儒 ,出版信息：  中华书局 / 2013-1 / 788.00元,https://book.douban.com/subject/3746915/
将无同:中古史研究论文集,9.6,(522人评价),作者/译者： 胡宝国 ,出版信息：  中华书局 / 2020-1 / 66.00元,https://book.douban.com/subject/34893711/
花舞大唐春:何家村遗宝精粹,9.6,(410人评价),作者/译者： 齐东方、申秦雁 ,出版信息：  文物出版社 / 2003-5 / 300,https://book.douban.com/subject/1585474/
三国演义,9.6,(356人评价),作者/译者： 罗贯中 ,出版信息：  人民文学出版社 / 2018-1 / 185.00元,https://book.douban.com/subject/30137812/
巨人的碰撞:一部全新的苏德战争史,9.6,(68人评价),作者/译者： [美] 戴维·M. 格兰茨、[美] 乔纳森·M. 豪斯 / 赵玮、赵国星 ,出版信息：  江苏凤凰文艺出版社 / 2020-8-28 / 169.8,https://book.douban.com/subject/35127632/
中国历史地图集（全八册）,9.6,(1567人评价),作者/译者： 谭其骧 ,出版信息：  中国地图出版社 / 1982-10 / 482.00元,https://book.douban.com/subject/1055304/
读史方舆纪要,9.6,(418人评价),作者/译者： （清）顾祖禹、施和金、贺次君 ,出版信息：  中华书局 / 2005-3-1 / 596.00元,https://book.douban.com/subject/1314467/
纳粹集中营史,9.6,(19人评价),作者/译者： 尼古拉斯·瓦克斯曼 / 柴茁 ,出版信息：  社会科学文献出版社 / 2021-1 / 212.00,https://book.douban.com/subject/35191821/
隋唐制度渊源略论稿唐代政治史述论稿,9.6,(1483人评价),作者/译者： 陈寅恪 ,出版信息：  生活·读书·新知三联书店 / 2001-4 / 40.00元,https://book.douban.com/subject/1017795/
筚路维艰:中国社会主义路径的五次选择,9.6,(1595人评价),作者/译者： 萧冬连 ,出版信息：  社会科学文献出版社 / 2014-10-1 / CNY 45.00,https://book.douban.com/subject/26171466/
权力优势:国家安全、杜鲁门政府与冷战,9.6,(54人评价),作者/译者： [美] 梅尔文·P. 莱弗勒 / 孙建中 ,出版信息：  商务印书馆 / 2019-11 / 158,https://book.douban.com/subject/34399201/
晚明,9.6,(74人评价),作者/译者： ,出版信息： 柯山梦 / 2012-8,https://book.douban.com/subject/35383720/
春秋左传注（全四册）:春秋左传注,9.6,(1288人评价),作者/译者： 杨伯峻 ,出版信息：  中华书局 / 2009-10 / 178.00元,https://book.douban.com/subject/4146127/
剑桥早期内亚史,9.6,(32人评价),作者/译者： 丹尼斯·塞诺 / 蓝琪 ,出版信息：  商务印书馆 / 2021-1-1 / 158,https://book.douban.com/subject/35152165/
中国历代政治得失,9.5,(745人评价),作者/译者： 钱穆 ,出版信息：  生活·读书·新知三联书店 / 2018-10 / 49.00元,https://book.douban.com/subject/30206893/
史记（全十册）,9.5,(19475人评价),作者/译者： 司马迁、张守节 / （索隐）司马贞，（正义）张守节 ,出版信息：  中华书局 / 1982-11 / 125.00,https://book.douban.com/subject/1077847/
伯罗奔尼撒战争史,9.5,(189人评价),作者/译者： (古希腊)修昔底德 / 何元国 ,出版信息：  中国社会科学出版社 / 2017-12-31 / CNY 128.00,https://book.douban.com/subject/27197930/
古典传统:希腊—罗马对西方文学的影响,9.5,(418人评价),作者/译者： [美]吉尔伯特·海厄特（Gilbert Highet) / 王晨 ,出版信息：  北京联合出版公司 / 2015-10 / 78.00元,https://book.douban.com/subject/26594676/
拓跋史探,9.5,(396人评价),作者/译者： 田余庆 ,出版信息：  生活·读书·新知三联书店 / 2019-1 / 69.00元,https://book.douban.com/subject/30302919/
南京大屠杀:第二次世界大战中被遗忘的大浩劫,9.5,(5606人评价),作者/译者： [美] 张纯如 / 谭春霞、焦国林 ,出版信息：  中信出版社 / 2013-1 / 49.00元,https://book.douban.com/subject/20440053/
被淹没与被拯救的,9.5,(1133人评价),作者/译者： [意] 普里莫·莱维 / 杨晨光 ,出版信息：  中信出版集团 / 2017-10 / 45.00元,https://book.douban.com/subject/27016167/
史学理论手册:TheSAGEHandbookofHistoricalTheory,9.5,(119人评价),作者/译者： [加] 南希·帕特纳（Nancy Partner）、[英]萨拉·富特（Sarah Foot） / 余伟、何立民 ,出版信息：  格致出版社 / 2017-7-1 / 118,https://book.douban.com/subject/27034240/
东晋门阀政治,9.5,(5887人评价),作者/译者： 田余庆 ,出版信息：  北京大学出版社 / 2012-5 / 49.00元,https://book.douban.com/subject/10758290/
终结一切战争:忠诚、反叛与世界大战1914-1918,9.5,(29人评价),作者/译者： [美]亚当·霍赫希尔德 / 林春野 ,出版信息：  社会科学文献出版社 / 2021-4 / 102.00,https://book.douban.com/subject/35063204/
认识世界：古代与中世纪哲学:普莱希特哲学史01,9.5,(141人评价),作者/译者： [德]理查德·大卫·普莱希特 / 王俊 等 ,出版信息：  上海人民出版社 / 2021-4 / 89.80元,https://book.douban.com/subject/35268348/
奥斯维辛:一部历史,9.5,(4447人评价),作者/译者： [英] 劳伦斯·里斯 / 刘爽 ,出版信息：  广西师范大学出版社 / 2016-9 / 64.00元,https://book.douban.com/subject/26861418/
史记,9.5,(5316人评价),作者/译者： 司马迁 ,出版信息：  中华书局 / 2006-6 / 28.00元,https://book.douban.com/subject/1836555/
贝聿铭全集,9.5,(75人评价),作者/译者： [美] 菲利普·朱迪狄欧、[美] 珍妮特·亚当斯·斯特朗 / 黄萌 ,出版信息：  北京联合出版公司 / 2021-1 / 238.00元,https://book.douban.com/subject/35166636/
1987,9.5,(427人评价),作者/译者： ,出版信息： [韓]河昌秀 / Ho Meroseu / 2013,https://book.douban.com/subject/25661345/
现代性的神学起源,9.5,(222人评价),作者/译者： [美]迈克尔·艾伦·吉莱斯皮 / 张卜天 ,出版信息：  湖南科学技术出版社 / 2019-1 / 98.00,https://book.douban.com/subject/30351729/
孙子兵法,9.5,(1389人评价),作者/译者： 孙武 / 陈曦  译注 ,出版信息：  中华书局 / 2011-9 / 18.00元,https://book.douban.com/subject/6879356/
告别夹边沟,9.5,(2149人评价),作者/译者： 杨显惠 ,出版信息：  上海文艺出版社 / 2003-08-01 / 26.00,https://book.douban.com/subject/1072777/
圣经:中英对照（和合本·新国际版）标准本,9.4,(3760人评价),作者/译者： ,出版信息： 国际圣经协会 / 1998-8,https://book.douban.com/subject/3034480/
中国乡村:19世纪的帝国控制,9.4,(261人评价),作者/译者： 萧公权 / 张皓、张升 ,出版信息：  九州出版社 / 2018-2 / 158.00,https://book.douban.com/subject/30170661/
山海经校注（最终修订版）,9.4,(680人评价),作者/译者： 袁珂 校注 ,出版信息：  北京联合出版公司·后浪出版公司 / 2014-4-1 / 128.00元,https://book.douban.com/subject/25844774/
我在伊朗长大,9.4,(6259人评价),作者/译者： 玛赞·莎塔碧 / 马爱农、左涛 ,出版信息：  生活·读书·新知三联书店 / 2010-1 / 39.00元,https://book.douban.com/subject/4071859/
国史大纲,9.4,(551人评价),作者/译者： 钱穆 ,出版信息：  商务印书馆 / 2015-12-11 / 230.00,https://book.douban.com/subject/26803736/
昨日的世界:一个欧洲人的回忆,9.4,(3228人评价),作者/译者： [奥]茨威格 / 徐友敬等 ,出版信息：  上海译文出版社 / 2018-7 / 49.00元,https://book.douban.com/subject/27615361/
古拉格群岛,9.4,(621人评价),作者/译者： 亚历山大.索尔仁尼琴 / 田大畏、钱诚、陈汉章  等 ,出版信息：  群众出版社 / 2015-8-19 / CNY 198.00,https://book.douban.com/subject/26603782/
慈禧全传,9.4,(980人评价),作者/译者： 高阳 ,出版信息：  新星出版社 / 2015-6 / 398.00元,https://book.douban.com/subject/26305373/
生活与命运,9.4,(814人评价),作者/译者： [俄罗斯] 瓦西里·格罗斯曼 / 力冈 ,出版信息：  理想国丨四川人民出版社 / 2020-2 / 149.00元,https://book.douban.com/subject/34928037/
柏杨白话版资治通鉴,9.4,(144人评价),作者/译者： 柏杨 ,出版信息：  人民文学出版社 / 2020-1-1 / 1980,https://book.douban.com/subject/34446495/
银、剑、石:拉丁美洲的三重烙印,9.4,(29人评价),作者/译者： [美] 玛丽· 阿拉纳 / 林华 ,出版信息：  中信出版集团 / 2021-4-5 / 88.00元,https://book.douban.com/subject/35388636/
魏晋之际的政治权力与家族网络,9.4,(2396人评价),作者/译者： 仇鹿鸣 ,出版信息：  上海古籍出版社 / 2015-6-1 / 76.00元,https://book.douban.com/subject/26377063/
中国政治思想史,9.4,(261人评价),作者/译者： 萧公权 ,出版信息：  商务印书馆 / 2011-12 / 95.00元,https://book.douban.com/subject/6852927/
第三帝国的到来:第三帝国三部曲01,9.4,(1765人评价),作者/译者： [英] 理查德·J. 埃文斯 / 赖丽薇 ,出版信息：  九州出版社 / 2020-2 / 145.00元,https://book.douban.com/subject/34928222/
砸烂旧世界:文化大革命的動亂與浩劫（1966-1968）,9.4,(69人评价),作者/译者： ,出版信息： 卜伟华 / 香港中文大學當代中國文化研究中心 / 2008,https://book.douban.com/subject/30288672/
大明王朝1566,9.4,(3366人评价),作者/译者： 刘和平 ,出版信息：  花城出版社 / 2016-7 / 88.00元,https://book.douban.com/subject/26925171/
中国青铜时代,9.4,(531人评价),作者/译者： 张光直 ,出版信息：  生活·读书·新知三联书店 / 2013-3 / 58.00元,https://book.douban.com/subject/20516442/
二十四史:简体字本,9.4,(508人评价),作者/译者： 中华书局编辑部 编著 ,出版信息：  中华书局 / 2000-01 / 1480.00,https://book.douban.com/subject/1012929/
秦汉魏晋史探微:重订本,9.4,(1822人评价),作者/译者： 田余庆 ,出版信息：  中华书局 / 2011-6 / 38.00元,https://book.douban.com/subject/6311230/
三国志,9.4,(3063人评价),作者/译者： [晉] 陈寿 (撰)、[宋] 裴松之 (注) ,出版信息：  中华书局 / 2006-9 / 36.00元,https://book.douban.com/subject/1926289/
毛泽东选集第一卷:第一卷,9.4,(13634人评价),作者/译者： 毛泽东 ,出版信息：  人民出版社 / 1991-6 / 40.00元,https://book.douban.com/subject/1139360/
天朝的崩溃（修订版）:鸦片战争再研究,9.4,(5169人评价),作者/译者： 茅海建 ,出版信息：  生活·读书·新知三联书店 / 2014-10 / 59.00元,https://book.douban.com/subject/25935941/
传统十论:本土社会的制度、文化及其变革,9.4,(579人评价),作者/译者： 秦晖 ,出版信息：  山西人民出版社 / 2019-10 / 88.00元,https://book.douban.com/subject/34788663/
毛泽东选集第二卷:第二卷,9.4,(3413人评价),作者/译者： 毛泽东 ,出版信息：  人民出版社 / 1991-6 / 23.00元,https://book.douban.com/subject/1125026/
天朝的崩溃:鸦片战争再研究,9.4,(735人评价),作者/译者： 茅海建 ,出版信息：  生活·读书·新知三联书店 / 2017-4 / 72.00,https://book.douban.com/subject/27045982/
吉尔伽美什史诗,9.4,(124人评价),作者/译者： 拱玉书 译注 ,出版信息：  商务印书馆 / 2021-1 / 98.00元,https://book.douban.com/subject/35218215/
历史学与社会理论（第2版）,9.4,(641人评价),作者/译者： [英] 彼得·伯克 / 李康 ,出版信息：  上海人民出版社 / 2019-11 / 52.00元,https://book.douban.com/subject/34842935/
西方哲学史,9.4,(1463人评价),作者/译者： 邓晓芒、赵林 ,出版信息：  高等教育出版社 / 2014-6-1 / CNY 29.80,https://book.douban.com/subject/25926462/
先知三部曲（全新插图修订本）:武装的先知：托洛茨基1879—1921；被解除武装的先知：托洛茨基1921—19,9.4,(465人评价),作者/译者： 【波】伊萨克•多伊彻 / 王国龙、周任辛、施用勤等 ,出版信息：  中央编译出版社 / 2013-2 / 258.00元,https://book.douban.com/subject/20537674/
昨日世界:一个欧洲人的回忆,9.4,(675人评价),作者/译者： [奥地利]斯蒂芬·茨威格 / 史行果 ,出版信息：  作家出版社 / 2017-7-1 / 49.00元,https://book.douban.com/subject/27067973/
世界电影史（第二版）,9.4,(2402人评价),作者/译者： [美]大卫·波德维尔、克里斯汀·汤普森 / 范倍 ,出版信息：  北京大学出版社 / 2014-2-1 / 198.00元,https://book.douban.com/subject/25712811/
資治通鑑（全二十冊）,9.4,(3980人评价),作者/译者： [宋] 司馬光 編著、[元] 胡三省 音注 / 標點資治通鑒小組 校點 ,出版信息：  中華書局 / 1956-6 / 332.00元,https://book.douban.com/subject/1072295/
东京梦华录:全彩插图版,9.4,(26人评价),作者/译者： 【宋】孟元老 / 侯印国 ,出版信息：  三秦出版社 / 2021-5-6 / 88,https://book.douban.com/subject/35436867/
十五至十八世纪的物质文明、经济和资本主义:第一卷日常生活的结构：可能和不可能,9.4,(301人评价),作者/译者： [法] 费尔南·布罗代尔 / 顾良、施康强 ,出版信息：  商务印书馆 / 2017-7 / 115.00,https://book.douban.com/subject/27001534/
战争的试炼:十字军东征史,9.4,(219人评价),作者/译者： [英] 托马斯·阿斯布里奇 / 马千 ,出版信息：  后浪 | 民主与建设出版社 / 2020-5 / 128.00元,https://book.douban.com/subject/34978585/
