书名,评分,评价人数,作者,出版社,url
红楼梦脂评汇校本,10.0,(29人评价),作者/译者： (清) 曹雪芹 著、吴铭恩 汇校 ,出版信息：  清华大学出版社 / 2020-9 / 98.00,https://book.douban.com/subject/35153298/
诗境浅说正续编,10.0,(36人评价),作者/译者： 俞陛云 ,出版信息：  中华书局 / 2015-6 / 26.00元,https://book.douban.com/subject/26580818/
昭明文選,10.0,(16人评价),作者/译者： ,出版信息： [梁]蕭統、李善注 / 台北：河洛圖書 / 民國64年5月,https://book.douban.com/subject/3231866/
洛神賦,9.9,(115人评价),作者/译者： 商務編輯部 ,出版信息：  商務印書館(香港)有限公司 / 2010-3 / 42.00元,https://book.douban.com/subject/1486282/
李白集校注,9.9,(18人评价),作者/译者： 瞿蜕园、朱金城 校注 ,出版信息：  上海古籍出版社 / 2016-7 / 438.00元,https://book.douban.com/subject/26836965/
李太白全集,9.9,(62人评价),作者/译者： [唐] 李白 著、[清] 王琦 注 ,出版信息：  中华书局 / 2015-8 / 258,https://book.douban.com/subject/26690200/
东坡乐府,9.9,(42人评价),作者/译者： （宋）苏轼 ,出版信息：  上海古籍出版社 / 1979年4月 / 0.38,https://book.douban.com/subject/3075453/
文心雕龙:国学典藏,9.9,(104人评价),作者/译者： 刘勰 / 戚良德 辑校 ,出版信息：  上海古籍出版社 / 2015-11-1 / 32.00元,https://book.douban.com/subject/26736234/
红楼梦:启功注释程乙本纪念版,9.9,(247人评价),作者/译者： [清]曹雪芹、[清]高鹗 / 启功/注释 ,出版信息：  人民文学出版社 / 2018-12 / 166.00元,https://book.douban.com/subject/27664277/
李白选集:中国古典文学名家选集,9.9,(124人评价),作者/译者： 郁贤皓 选注 ,出版信息：  上海古籍出版社 / 2013-12-1 / 68.00元,https://book.douban.com/subject/25782887/
红楼梦（全三册）:中华经典小说注释系列,9.8,(166人评价),作者/译者： 曹雪芹 高鹗  著 / 启功 等  校注 ,出版信息：  中华书局 / 2014-12 / 98.00,https://book.douban.com/subject/26286495/
紅樓夢脂評匯校本,9.8,(169人评价),作者/译者： 曹雪芹 著、脂砚斋 评、吴铭恩 汇校 ,出版信息：  浙江古籍出版社 / 2018-5 / 228.00元,https://book.douban.com/subject/30271919/
易经:易经,9.8,(47人评价),作者/译者： 绍南文化 ,出版信息：  厦门大学出版社 / 2000-11-1 / 21.00元,https://book.douban.com/subject/1317554/
红楼梦,9.8,(7364人评价),作者/译者： 曹雪芹 ,出版信息：  人民文学出版社 / 2018-1-1 / CNY 260.00,https://book.douban.com/subject/30137806/
脂砚斋评石头记（上下）,9.8,(1235人评价),作者/译者： [清] 曹雪芹 著、脂砚斋 评 ,出版信息：  上海三联书店 / 2011-5-1 / 88.00元,https://book.douban.com/subject/6712512/
六朝文絜笺注,9.8,(74人评价),作者/译者： [清]许梿 评选、[清]黎经诰 笺注 ,出版信息：  四川人民出版社 / 2019-7 / 42.00元,https://book.douban.com/subject/30473223/
唐诗百话,9.7,(64人评价),作者/译者： 施蛰存 ,出版信息：  华东师范大学出版社 / 2018-7 / 128.00元,https://book.douban.com/subject/30277932/
脂硯齋重評石頭記：甲戌本,9.7,(292人评价),作者/译者： 曹雪芹 ,出版信息：  人民文学出版社 / 2010-1 / 80.00元,https://book.douban.com/subject/4721428/
红楼梦:脂本汇校套装全二册,9.7,(3609人评价),作者/译者： 曹雪芹 ,出版信息：  三秦出版社 / 2016-11-1 / 88.00元,https://book.douban.com/subject/27053166/
脂砚斋重评石头记,9.7,(194人评价),作者/译者： 曹雪芹、脂硯齋主人 ,出版信息：  天津古籍出版社 / 2007-3 / 470.00元,https://book.douban.com/subject/1968812/
世说新语笺疏,9.7,(68人评价),作者/译者： [南朝宋]刘义庆 著、[南朝梁]刘孝标 注、余嘉锡 笺疏、周祖谟 余淑宜 周士琦整理 ,出版信息：  中华书局 / 2016-10 / 128.00元,https://book.douban.com/subject/26902929/
脂砚斋批评本·红楼梦,9.7,(472人评价),作者/译者： [清] 曹雪芹 著、脂砚斋 评点 / 王丽文 校点 ,出版信息：  岳麓书社 / 2015-9 / 78.00元,https://book.douban.com/subject/26680378/
唐诗鉴赏辞典（新一版）,9.7,(529人评价),作者/译者： 俞平伯 ,出版信息：  上海辞书出版社 / 2013-8 / 98.00元,https://book.douban.com/subject/25793097/
乾隆甲戌脂砚斋重评石头记,9.7,(115人评价),作者/译者： 曹雪芹 ,出版信息：  上海古籍出版社 / 2004年4月 / 580.00元,https://book.douban.com/subject/1593061/
诗经,9.7,(272人评价),作者/译者： ,出版信息： 上海古籍出版社,https://book.douban.com/subject/3995581/
嵇康集校注,9.7,(131人评价),作者/译者： [三国魏]嵇康  著、戴明扬  校注 ,出版信息：  中华书局 / 2014-3 / 76.00元,https://book.douban.com/subject/25858598/
脂砚斋重评石头记甲戌校本,9.7,(700人评价),作者/译者： 曹雪芹(著)、脂砚斋(评)、邓遂夫(校订) ,出版信息：  作家出版社 / 2009年9月 / 38.00元,https://book.douban.com/subject/2342867/
東坡樂府箋,9.7,(121人评价),作者/译者： 苏轼 / 龍榆生箋註、朱懷春標點、朱孝臧編年 ,出版信息：  上海古籍出版社 / 2009-08 / 45.00元,https://book.douban.com/subject/3992773/
增订文心雕龙校注,9.7,(42人评价),作者/译者： 黄叔琳注、李详补注、杨明照拾遗 / 黄叔琳 注解 ,出版信息：  中华书局 / 2012-3 / 53.00元,https://book.douban.com/subject/6890029/
脂砚斋重评石头记庚辰校本（全四册）:修订四版,9.7,(189人评价),作者/译者： （清）曹雪芹　著、（清）脂砚斋、邓遂夫（校订） ,出版信息：  作家出版社 / 2010-5 / 128.00元,https://book.douban.com/subject/4747426/
红楼梦（全三册）,9.6,(211人评价),作者/译者： [清] 曹雪芹、[清] 高鹗 / 中国艺术研究院红楼梦研究所 校注 / 人民文学出版社 ,出版信息：  1982-3 / 4.10元/60.00元,https://book.douban.com/subject/1862430/
苏东坡新传,9.6,(36人评价),作者/译者： 李一冰 ,出版信息：  后浪丨四川人民出版社 / 2020-11 / 208.00元,https://book.douban.com/subject/35221706/
诗来见我,9.6,(23人评价),作者/译者： 李修文 ,出版信息：  人民文学出版社 / 2021-3-1 / 59.00元,https://book.douban.com/subject/35373003/
经典碑帖释文译注,9.6,(31人评价),作者/译者： 俞丰 编著 ,出版信息：  上海书画出版社 / 2009-12 / 110.00元,https://book.douban.com/subject/4208475/
全宋词,9.6,(112人评价),作者/译者： 唐圭璋 ,出版信息：  中华书局 / 2005-1 / 258.00 元,https://book.douban.com/subject/1045323/
文选,9.6,(309人评价),作者/译者： [梁] 萧统 编 / [唐] 李善 注 ,出版信息：  中华书局 / 1977-11 / 198.00元,https://book.douban.com/subject/1423254/
唐宋文舉要,9.6,(24人评价),作者/译者： 高步瀛 箋釋、陳廷燁 整理 ,出版信息：  崇文書局 / 2019-10 / 398.00,https://book.douban.com/subject/34834948/
诗经注析:新排本,9.6,(168人评价),作者/译者： 程俊英、蒋见元 ,出版信息：  中华书局 / 2017-9-1 / 138.00元,https://book.douban.com/subject/27178577/
三国演义,9.6,(99人评价),作者/译者： 【明朝】罗贯中 ,出版信息：  人民文学出版社 / 1992-2 / 13.4,https://book.douban.com/subject/26416768/
清代诗学史（第二卷）:学问与性情：1736-1795,9.6,(13人评价),作者/译者： 蒋寅 ,出版信息：  中国社会科学出版社 / 2019-11 / 198.00元,https://book.douban.com/subject/34942887/
给孩子读经典:经史与庄子,9.6,(97人评价),作者/译者： 锺叔河 ,出版信息：  现代出版社 / 2019-8-1 / 88.00,https://book.douban.com/subject/34440232/
陶渊明集笺注,9.6,(343人评价),作者/译者： 袁行霈 ,出版信息：  中华书局 / 2011-3 / 36.00元,https://book.douban.com/subject/6395218/
红楼梦脂汇本（上下）,9.6,(283人评价),作者/译者： [清] 曹雪芹 著、脂砚斋 评 ,出版信息：  岳麓书社 / 2011-5 / 120.00元,https://book.douban.com/subject/6116769/
李白集:名家精注精评本,9.6,(45人评价),作者/译者： 郁贤皓  编选 ,出版信息：  凤凰出版社 / 2014-10-1 / 29.80元,https://book.douban.com/subject/26336388/
世說新語箋疏（全三冊）,9.6,(1001人评价),作者/译者： 余嘉锡 箋疏 / 周祖谟（整理）、余淑宜 （整理）、周士琦 （整理） ,出版信息：  中华书局 / 2008 / 120.00元,https://book.douban.com/subject/2377241/
庄子,9.6,(303人评价),作者/译者： [战国] 庄周 / 梁溪生 标校 ,出版信息：  上海古籍出版社 / 2001-12 / 7.50元,https://book.douban.com/subject/1125216/
会评会校金瓶梅（全五册）:三版,9.6,(113人评价),"作者/译者： 吳敢,劉輝 ",出版信息：  天地圖書有限公司 / 2010-5 / 560.00元,https://book.douban.com/subject/6008592/
蘇軾文集（全六冊）,9.6,(400人评价),作者/译者： 苏轼 / 孔凡礼 注解 ,出版信息：  中华书局 / 2004-11 / 220.00元,https://book.douban.com/subject/1017340/
红楼梦版本图说,9.6,(30人评价),作者/译者： 陈守志、邱华栋 ,出版信息：  北京大学出版社 / 2020-5-1 / 169.00,https://book.douban.com/subject/34953603/
春秋左传注（全四册）:春秋左传注,9.6,(1288人评价),作者/译者： 杨伯峻 ,出版信息：  中华书局 / 2009-10 / 178.00元,https://book.douban.com/subject/4146127/
黃節注漢魏六朝詩六種,9.6,(69人评价),作者/译者： 黃節 注 ,出版信息：  人民文學出版社 / 2008-3 / 66.00元,https://book.douban.com/subject/3054332/
叶嘉莹说初盛唐诗,9.6,(109人评价),作者/译者： [加拿大] 叶嘉莹 ,出版信息：  中华书局 / 2018-6 / 33.00元,https://book.douban.com/subject/30337691/
李太白全集（全三册）,9.6,(487人评价),作者/译者： [清] 王琦 注、李长路 点校、趙威 点校 ,出版信息：  中华书局 / 1977-9 / 148.00元,https://book.douban.com/subject/1081778/
夜航船,9.6,(33人评价),作者/译者： (明) 张岱 纂、郑凌峰 点校、卿朝晖 审订 ,出版信息：  浙江古籍出版社 / 2020-7 / 128,https://book.douban.com/subject/34830286/
