书名,评分,评价人数,作者,出版社,url
金庸作品集,9.5,(4965人评价),作者/译者： 金庸 ,出版信息：  广州出版社 / 2006-1 / 683,https://book.douban.com/subject/2218216/
少林武功,9.5,(73人评价),作者/译者： 《少林武功》编写组、李春生 ,出版信息：  科学普及出版社广州分社 / 1983 / 1.98,https://book.douban.com/subject/3055739/
三国演义,9.5,(14796人评价),作者/译者： 罗贯中 ,出版信息：  岳麓书社 / 1986-6-1 / 13.0,https://book.douban.com/subject/1483894/
多情劍客無情劍（下）——古龍精品集,9.3,(140人评价),作者/译者： 古龍 ,出版信息：  風雲時代出版股份有限公司 / 2006 / NT$ 240,https://book.douban.com/subject/3781988/
古龙作品全集（全53册）,9.3,(127人评价),作者/译者： 古龙 ,出版信息：  太白文艺出版社 / 2003-1 / 2980.00元,https://book.douban.com/subject/2231418/
百年孤独,9.3,(334211人评价),作者/译者： [哥伦比亚] 加西亚·马尔克斯 / 范晔 ,出版信息：  南海出版公司 / 2011-6 / 39.50元,https://book.douban.com/subject/6082808/
楚留香傳奇,9.3,(18人评价),作者/译者： ,出版信息： 【台灣】古龍 / 桂冠圖書股份有限公司 / 民國八十一年十一月,https://book.douban.com/subject/3586693/
七种武器,9.3,(63人评价),作者/译者： 古龙 ,出版信息：  珠海出版社 / 1995-3 / 38.8元,https://book.douban.com/subject/6973743/
欢乐英雄:古龙武侠精品集,9.2,(42人评价),作者/译者： 古龙 ,出版信息：  四川民族出版社 / 1993-2 / 13.5,https://book.douban.com/subject/5504368/
多情劍客無情劍（中）——古龍精品集,9.2,(120人评价),作者/译者： ,出版信息： 古龍 / 風雲時代出版股份有限公司 / NT$ 240,https://book.douban.com/subject/3781985/
小李飞刀（全九册）:古龙诞辰80周年纪念版,9.1,(118人评价),作者/译者： 古龙 ,出版信息：  读客文化·文汇出版社 / 2018-7 / 466.00,https://book.douban.com/subject/30274990/
平如美棠:我俩的故事,9.1,(21817人评价),作者/译者： 饶平如 ,出版信息：  广西师范大学出版社 / 2013-5-1 / CNY 39.80,https://book.douban.com/subject/23008971/
射雕英雄传,9.1,(20570人评价),作者/译者： 金庸 ,出版信息：  生活·读书·新知三联书店 / 1994-5 / 76.80元,https://book.douban.com/subject/1789837/
鹿鼎记:（全五册）,9.1,(1493人评价),作者/译者： 金庸 ,出版信息：  明河社 / 1981 / HK$200,https://book.douban.com/subject/1401231/
新版古龙全集(一箱53册),9.1,(814人评价),作者/译者： ,出版信息： 古龙著 / 太白文艺出版社 / 168.0,https://book.douban.com/subject/1607113/
天龙八部,9.1,(112636人评价),作者/译者： 金庸 ,出版信息：  生活·读书·新知三联书店 / 1994-5 / 96.00元,https://book.douban.com/subject/1255625/
多情劍客無情劍﹙一至四﹚,9.0,(24人评价),作者/译者： 古龍 ,出版信息：  天地圖書有限公司 / 1997 / HKD138,https://book.douban.com/subject/3922486/
流星·蝴蝶·劍（下）——古龍精品集,9.0,(121人评价),作者/译者： 古龍 ,出版信息：  風雲時代出版股份有限公司 / 2006 / NT$ 240,https://book.douban.com/subject/3782035/
多情劍客無情劍（上）——古龍精品集,9.0,(212人评价),作者/译者： 古龍 ,出版信息：  風雲時代出版股份有限公司 / 2006 / NT$ 240,https://book.douban.com/subject/3781979/
笑傲江湖（全四册）,9.0,(95896人评价),作者/译者： 金庸 ,出版信息：  生活·读书·新知三联书店 / 1994-5 / 76.80元,https://book.douban.com/subject/1002299/
古龙作品集,9.0,(60人评价),作者/译者： 古龙 ,出版信息：  珠海出版社 / 2009-11 / 1300.0,https://book.douban.com/subject/1687345/
鹿鼎记,9.0,(14575人评价),作者/译者： 金庸 ,出版信息：  生活·读书·新知三联书店 / 1994-5 / 96.00元,https://book.douban.com/subject/1559310/
绝代双骄（共四册）,8.9,(295人评价),作者/译者： 古龙 ,出版信息：  读客图书·文汇出版社 / 2017-9 / 246.00,https://book.douban.com/subject/27145813/
古龙妙语录,8.9,(22人评价),作者/译者： 李潜龙（编） ,出版信息：  中国检查出版社 / 1999-10-01 / 15,https://book.douban.com/subject/3060505/
本色古龍:古龍小說原貌探究,8.9,(53人评价),作者/译者： 程維鈞 ,出版信息：  風雲時代 / 2017-11-20 / 580,https://book.douban.com/subject/27203679/
有匪3:多情累,8.9,(3564人评价),作者/译者： Priest ,出版信息：  湖南文艺出版社 / 2017-7 / 35.00元,https://book.douban.com/subject/27079142/
天涯·明月·刀（下）含飛刀又見飛刀——古龍精品集,8.9,(100人评价),作者/译者： 古龍 ,出版信息：  風雲時代出版股份有限公司 / 2008-11 / NT$ 240,https://book.douban.com/subject/3782378/
流星·蝴蝶·劍（上）——古龍精品集,8.9,(79人评价),作者/译者： 古龍 ,出版信息：  風雲時代出版股份有限公司 / 2006 / NT$ 240,https://book.douban.com/subject/3782030/
七种武器（1-4）,8.8,(72人评价),作者/译者： 古龙 ,出版信息：  华文出版社 / 1988-03-01 / 11.50,https://book.douban.com/subject/3021836/
欢乐英雄(全二册）:古龙诞辰80周年纪念版,8.8,(69人评价),作者/译者： 古龙 ,出版信息：  文汇出版社 / 2019-4 / 129.00元,https://book.douban.com/subject/33377300/
絕代雙驕（五）——古龍精品集,8.8,(82人评价),作者/译者： 古龍 ,出版信息：  風雲時代出版股份有限公司 / 2006 / NT$ 240,https://book.douban.com/subject/3782026/
歡樂英雄（上）:古龍精品集,8.8,(49人评价),作者/译者： 古龍 ,出版信息：  風雲時代出版股份有限公司 / 2010-02-22 / NT$ 240,https://book.douban.com/subject/4270926/
欢乐英雄,8.8,(14353人评价),作者/译者： 古龙 ,出版信息：  珠海出版社 / 2005-8 / 28.00元,https://book.douban.com/subject/1264579/
七种武器（共四册）,8.8,(144人评价),作者/译者： 古龙 ,出版信息：  读客图书·文汇出版社 / 2017-10 / 232.00,https://book.douban.com/subject/27145895/
灿烂千阳,8.8,(98974人评价),作者/译者： [美] 卡勒德·胡赛尼 / 李继宏 ,出版信息：  上海人民出版社 / 2007-9 / 28.00元,https://book.douban.com/subject/2143732/
天是红河岸,8.8,(19503人评价),作者/译者： 荻原千绘 / 丁梵馨 ,出版信息：  日本小学馆 / 1990 / 37.00,https://book.douban.com/subject/1853785/
古龙小说原貌探究,8.8,(110人评价),作者/译者： 程维钧 ,出版信息：  广州出版社 / 2018-6 / 88.00元,https://book.douban.com/subject/30297703/
絕代雙驕（二）——古龍精品集,8.8,(87人评价),作者/译者： 古龍 ,出版信息：  風雲時代出版股份有限公司 / 2006 / NT$ 240,https://book.douban.com/subject/3782003/
多情剑客无情剑,8.8,(3489人评价),作者/译者： 古龙 ,出版信息：  海天出版社 / 1988.5 / 11.80,https://book.douban.com/subject/2245889/
絕代雙驕（三）——古龍精品集,8.8,(79人评价),作者/译者： 古龍 ,出版信息：  風雲時代出版股份有限公司 / 2006 / NT$ 240,https://book.douban.com/subject/3782007/
天眼奇侠录之妖鼠传,8.8,(111人评价),作者/译者： 田国鹏 ,出版信息：  贵州人民出版社 / 2018-12 / 34.00元,https://book.douban.com/subject/30426658/
七種武器（二）孔雀翎／碧玉刀——古龍精品集,8.7,(143人评价),作者/译者： 古龍 ,出版信息：  風雲時代出版股份有限公司 / 2008-04 / NT$ 240,https://book.douban.com/subject/3782150/
阴阳师·太极卷,8.7,(2054人评价),作者/译者： （日）梦枕貘 / 林青华 ,出版信息：  南海出版公司 / 2007-07 / 18.0,https://book.douban.com/subject/2148947/
絕代雙驕（四）——古龍精品集,8.7,(83人评价),作者/译者： 古龍 ,出版信息：  風雲時代出版股份有限公司 / 2006 / NT$ 240,https://book.douban.com/subject/3782023/
天涯·明月·刀（上）含飛刀又見飛刀——古龍精品集,8.7,(154人评价),作者/译者： 古龍 ,出版信息：  風雲時代出版股份有限公司 / 2008-11 / NT$ 240,https://book.douban.com/subject/3782377/
陆小凤（1-4册）,8.7,(2172人评价),作者/译者： 古龙 ,出版信息：  花城出版社 / 1991-11 / 74.80元,https://book.douban.com/subject/1209674/
絕代雙驕（一）——古龍精品集,8.7,(120人评价),作者/译者： 古龍 ,出版信息：  風雲時代出版股份有限公司 / 2006 / NT$ 240,https://book.douban.com/subject/3782005/
多情剑客无情剑(上、中、下),8.7,(19330人评价),作者/译者： 古龙 ,出版信息：  海天出版社 / 1991-12-01 / 49.8,https://book.douban.com/subject/1422833/
小李飞刀系列,8.7,(2865人评价),作者/译者： 古龙 ,出版信息：  太白文艺出版社 / 2001-10 / 115.00元,https://book.douban.com/subject/1607112/
陆小凤传奇,8.7,(18211人评价),作者/译者： 古龙 ,出版信息：  珠海出版社 / 2005-8 / 94.00元,https://book.douban.com/subject/1089512/
小李飞刀1：多情剑客无情剑（上中下）,8.7,(5429人评价),作者/译者： 古龙 ,出版信息：  河南文艺出版社 / 2013-4-1 / 96.00元,https://book.douban.com/subject/20397330/
楚留香传奇系列:全四册,8.7,(2724人评价),作者/译者： 古龙著 ,出版信息：  太白文艺出版社 / 2001-10-1 / 88.0,https://book.douban.com/subject/1136998/
陆小凤（六）,8.7,(51人评价),作者/译者： 古龙 ,出版信息：  甘肃人民出版社 / 1988-5 / 2.30,https://book.douban.com/subject/5350899/
陆小凤（五）,8.6,(36人评价),作者/译者： 古龙 ,出版信息：  甘肃人民出版社 / 1988-5 / 2.20,https://book.douban.com/subject/5350898/
三少爺的劍（下）——古龍精品集,8.6,(142人评价),作者/译者： 古龍 ,出版信息：  風雲時代出版股份有限公司 / 2006 / NT$ 240,https://book.douban.com/subject/3781996/
七種武器（一）長生劍／霸王槍——古龍精品集,8.6,(164人评价),作者/译者： 古龍 ,出版信息：  風雲時代出版股份有限公司 / 2008-04 / NT$ 240,https://book.douban.com/subject/3782148/
歡樂英雄（下）:古龍精品集,8.6,(35人评价),作者/译者： 古龍 ,出版信息：  風雲時代出版股份有限公司 / 2010-02-22 / NT$ 240,https://book.douban.com/subject/4270934/
蕭十一郎（上）附劍·花·煙雨江南——古龍精品集,8.6,(66人评价),作者/译者： 古龍 ,出版信息：  風雲時代出版股份有限公司 / 2009-03 / NT$ 240,https://book.douban.com/subject/3782382/
欢乐英雄（上下）,8.6,(1516人评价),作者/译者： 古龙 ,出版信息：  河南文艺出版社 / 2013-7-1 / CNY 64.00,https://book.douban.com/subject/24743902/
白玉老虎（全三册）:台港澳小说名家,8.6,(45人评价),作者/译者： 古龙 ,出版信息：  华文出版社 / 1988年5月 / 7.00,https://book.douban.com/subject/3080388/
楚留香,8.5,(188人评价),作者/译者： ,出版信息： 古龙 / 珠海出版社,https://book.douban.com/subject/2245856/
邊城浪子（下）——古龍精品集,8.5,(93人评价),作者/译者： 古龍 ,出版信息：  風雲時代出版股份有限公司 / 2008-07 / NT$ 240,https://book.douban.com/subject/3782370/
邊城浪子（中）——古龍精品集,8.5,(90人评价),作者/译者： 古龍 ,出版信息：  風雲時代出版股份有限公司 / 2008-07 / NT$ 240,https://book.douban.com/subject/3782366/
大金鹏王,8.5,(19人评价),作者/译者： 古龙 ,出版信息：  中国文联出版公司 / 1988.2 / 2.15,https://book.douban.com/subject/3063684/
歡樂英雄（中）:古龍精品集,8.5,(42人评价),作者/译者： 古龍 ,出版信息：  風雲時代出版股份有限公司 / 2010-02-22 / NT$ 240,https://book.douban.com/subject/4270928/
星丛:Starplex,8.5,(770人评价),作者/译者： 罗伯特 J 索耶 / 张建光 ,出版信息：  四川科学技术出版社 / 2004年8月 / 19.00元,https://book.douban.com/subject/1187843/
简爱（英文全本）,8.5,(193818人评价),作者/译者： [英] 夏洛蒂·勃朗特 ,出版信息：  世界图书出版公司 / 2003-11 / 18.00元,https://book.douban.com/subject/1141406/
绝代双骄,8.5,(5216人评价),作者/译者： 古龙 ,出版信息：  花城出版社 / 1991-11 / 69.80元,https://book.douban.com/subject/1209676/
无羁,8.5,(13591人评价),作者/译者： 墨香铜臭 ,出版信息：  磨铁|四川文艺出版社 / 2018-12 / 49.00,https://book.douban.com/subject/30366217/
哲学家们都干了些什么？,8.5,(8579人评价),作者/译者： 林欣浩 ,出版信息：  辽宁教育出版社 / 2011-5 / 26.80元,https://book.douban.com/subject/6425061/
舞!舞!舞!,8.5,(3573人评价),作者/译者： 村上春树 / 林少华 ,出版信息：  漓江出版社 / 1996年8月 / 21.00,https://book.douban.com/subject/1767736/
风云第一刀,8.5,(3037人评价),作者/译者： 古龙 ,出版信息：  珠海出版社 / 2005-8 / 38.00元,https://book.douban.com/subject/1088089/
楚留香传奇（全三册）,8.5,(374人评价),作者/译者： 古龙 ,出版信息：  当代世界出版社 / 2009-1 / 68.00元,https://book.douban.com/subject/3423697/
AccountingWithSymphony,8.5,(21人评价),"作者/译者： Greenfield, W. M. ",出版信息：  Prentice Hall / 1986-06 / USD 29.95,https://book.douban.com/subject/3082938/
陸小鳳傳奇（二）繡花大盜／決戰前後——古龍精品集,8.5,(688人评价),作者/译者： 古龍 ,出版信息：  風雲時代出版股份有限公司 / 2007-11 / NT$ 240,https://book.douban.com/subject/3782084/
古龙作品文集（大陆正版合法授权）（精装72册）,8.4,(70人评价),作者/译者： ,出版信息： ,https://book.douban.com/subject/26782037/
古金兵器谱,8.4,(688人评价),作者/译者： 王怜花 ,出版信息：  中国档案出版社 / 2002-10 / 22.00元,https://book.douban.com/subject/1004128/
谁来跟我干杯:古龙散文选,8.4,(589人评价),作者/译者： 古龙 著、刘国辉、陈晓林 选编 ,出版信息：  百花文艺出版社 / 2002-1 / 11.00元,https://book.douban.com/subject/1207626/
新参者,8.4,(37640人评价),作者/译者： [日] 东野圭吾 / 岳远坤 ,出版信息：  南海出版公司 / 2011-9 / 28.00元,https://book.douban.com/subject/6746289/
宫本武藏·剑与禅（上下）,8.4,(3156人评价),作者/译者： [日] 吉川英治 / 颜世俊、刘仲达 ,出版信息：  重庆出版社 / 2005-12 / 120.00元,https://book.douban.com/subject/1441488/
七殺手:七種武器系列,8.4,(35人评价),作者/译者： 古龍 / 風雲時代出版股份有限公司 / 1997,出版信息： 11/01 / NT150,https://book.douban.com/subject/3550477/
英雄无岁,8.4,(52人评价),作者/译者： 马大志 ,出版信息：  百花洲文艺出版社 / 2018-1 / 35.00元,https://book.douban.com/subject/30124839/
楚留香传奇,8.4,(14582人评价),作者/译者： 古龙 ,出版信息：  珠海出版社 / 2005-8 / 100.00元,https://book.douban.com/subject/1089521/
绝代双骄（全三册）,8.4,(16034人评价),作者/译者： 古龙 ,出版信息：  珠海出版社 / 2005-8 / 56.00元,https://book.douban.com/subject/1089517/
陆小凤（一）,8.4,(24人评价),作者/译者： 古龙 ,出版信息：  甘肃人民出版社 / 1988-5 / 2.10,https://book.douban.com/subject/5350893/
邊城浪子（上）——古龍精品集,8.3,(128人评价),作者/译者： 古龍 ,出版信息：  風雲時代出版股份有限公司 / 2008-07 / NT$ 240,https://book.douban.com/subject/3782361/
三个火枪手,8.3,(10956人评价),作者/译者： 大仲马 / 郝运、王振孫 ,出版信息：  上海译文出版社 / 1996-3-1 / 27.2,https://book.douban.com/subject/1203244/
武林外史（四）——古龍精品集,8.3,(61人评价),作者/译者： 古龍 ,出版信息：  風雲時代出版股份有限公司 / 2007-03 / NT$ 240,https://book.douban.com/subject/3782051/
武林外史（三）——古龍精品集,8.3,(70人评价),作者/译者： 古龍 ,出版信息：  風雲時代出版股份有限公司 / 2007-03 / NT$ 240,https://book.douban.com/subject/3782050/
三少爺的劍（上）——古龍精品集,8.3,(114人评价),作者/译者： 古龍 ,出版信息：  風雲時代出版股份有限公司 / 2006 / NT$ 240,https://book.douban.com/subject/2245847/
歃血1:霓裳曲,8.3,(2280人评价),作者/译者： 墨武 ,出版信息：  云南人民出版社 / 2011-3-1 / 29.80元,https://book.douban.com/subject/5979743/
陆小凤（四）,8.3,(36人评价),作者/译者： 古龙 ,出版信息：  甘肃人民出版社 / 1988-5 / 1.90,https://book.douban.com/subject/5350896/
九月鹰飞,8.3,(63人评价),作者/译者： ,出版信息： 万卷出版社,https://book.douban.com/subject/2287840/
蕭十一郎（下）附劍·花·煙雨江南——古龍精品集,8.3,(60人评价),作者/译者： 古龍 ,出版信息：  風雲時代出版股份有限公司 / 2009-03 / NT$ 240,https://book.douban.com/subject/3782385/
武林外史（一）——古龍精品集,8.3,(106人评价),作者/译者： 古龍 ,出版信息：  風雲時代出版股份有限公司 / 2007-03 / NT$ 240,https://book.douban.com/subject/2061610/
楚留香新傳（三）蝙蝠傳奇（下）——古龍精品集,8.3,(187人评价),作者/译者： 古龍 ,出版信息：  風雲時代出版股份有限公司 / 2008-02 / NT$ 240,https://book.douban.com/subject/3782123/
护花铃,8.3,(12567人评价),作者/译者： 沧月 ,出版信息：  新世界出版社 / 2005-1 / 19.80元,https://book.douban.com/subject/1256186/
行过死荫之地,8.3,(1348人评价),作者/译者： 劳伦斯•布洛克 （著） / 唐嘉慧 （译） ,出版信息：  新星出版社 / 2008 / 32.00元,https://book.douban.com/subject/3057124/
楚留香新傳（二）蝙蝠傳奇（上）——古龍精品集,8.3,(205人评价),作者/译者： 古龍 ,出版信息：  風雲時代出版股份有限公司 / 2008-02 / NT$ 240,https://book.douban.com/subject/3782118/
武侠，从牛A到牛C,8.3,(4816人评价),作者/译者： 大脸撑在小胸上(李汀) ,出版信息：  重庆出版社 / 2009-12 / 29.80元,https://book.douban.com/subject/4118599/
陆小凤传奇3：决战前后,8.3,(2343人评价),作者/译者： 古龙 ,出版信息：  河南文艺出版社 / 2013-5-1 / 29.00元,https://book.douban.com/subject/20516996/
七种武器（全三册）,8.3,(9040人评价),作者/译者： 古龙 ,出版信息：  珠海出版社 / 2005-8 / 56.00元,https://book.douban.com/subject/1089523/
陆小凤传奇（全七册）:古龙诞辰80周年纪念版,8.3,(109人评价),作者/译者： 古龙 ,出版信息：  文汇出版社 / 2018-9 / 399.00,https://book.douban.com/subject/30329504/
绝不低头,8.2,(34人评价),作者/译者： ,出版信息： 古龍 / 萬盛出版社 / 1982,https://book.douban.com/subject/2287729/
萧十一郎,8.2,(346人评价),作者/译者： 古龙 ,出版信息：  珠海出版社 / 1995 / USD 30.00,https://book.douban.com/subject/2245873/
大地之灯,8.2,(37308人评价),作者/译者： 七堇年 ,出版信息：  长江文艺出版社 / 2007-1 / 22.00元,https://book.douban.com/subject/1963310/
生死桥,8.2,(5579人评价),作者/译者： 李碧华 ,出版信息：  新世界出版社 / 2006-1-1 / 23.0,https://book.douban.com/subject/1731521/
一瓣河川,8.2,(1458人评价),作者/译者： 雨楼清歌 ,出版信息：  青马文化  新星出版社 / 2018-5-1 / 55.00,https://book.douban.com/subject/30126626/
笑红尘,8.2,(890人评价),作者/译者： 古龙、陈舜仪 整理 ,出版信息：  时代文艺出版社 / 2012-6 / 46.00元,https://book.douban.com/subject/10529099/
天涯明月刀（下）,8.2,(435人评价),作者/译者： ,出版信息： 古龙 / 万盛出版有限公司 / 1989,https://book.douban.com/subject/1494764/
陸小鳳傳奇（四）幽靈山莊——古龍精品集,8.2,(626人评价),作者/译者： 古龍 ,出版信息：  風雲時代出版股份有限公司 / 2007-11 / NT$ 240,https://book.douban.com/subject/3782093/
楚留香传奇:古龙精品集,8.2,(433人评价),作者/译者： 古龙 ,出版信息：  中山大学出版社 / 2013-5 / 78.00元,https://book.douban.com/subject/24705157/
陸小鳳傳奇（一）金鵬王朝——古龍精品集,8.2,(893人评价),作者/译者： 古龍 ,出版信息：  風雲時代出版股份有限公司 / 2007-11 / NT$ 240,https://book.douban.com/subject/3782078/
情人箭,8.2,(45人评价),作者/译者： ,出版信息： 古龙,https://book.douban.com/subject/3034245/
欢乐英雄（上下册）,8.2,(186人评价),作者/译者： 古龙 ,出版信息：  读客图书·文汇出版社 / 2017-9 / 124.00,https://book.douban.com/subject/27145905/
七种武器2：碧玉刀·多情环,8.2,(885人评价),作者/译者： 古龙 ,出版信息：  河南文艺出版社 / 2013-5 / 34.00元,https://book.douban.com/subject/21778288/
七种武器1：长生剑·孔雀翎,8.2,(1109人评价),作者/译者： 古龙 ,出版信息：  河南文艺出版社 / 2013-5 / 29.00元,https://book.douban.com/subject/21778097/
苗疆道事1：饥饿年代,8.2,(487人评价),作者/译者： 南无袈裟理科佛 ,出版信息：  上海文艺出版社 / 2019-1 / 45.00,https://book.douban.com/subject/30395154/
谁会感到不安:蔡，一个汉语手工艺人,8.1,(101人评价),作者/译者： 蔡恒平 ,出版信息：  安徽教育出版社 / 2011-5 / 25.00元,https://book.douban.com/subject/6259281/
陆小凤传奇2：绣花大盗,8.1,(2429人评价),作者/译者： 古龙 ,出版信息：  河南文艺出版社 / 2013-5-1 / 26.00元,https://book.douban.com/subject/20516998/
陸小鳳傳奇（三）銀鈎賭坊——古龍精品集,8.1,(587人评价),作者/译者： 古龍 ,出版信息：  風雲時代出版股份有限公司 / 2007-11 / NT$ 240,https://book.douban.com/subject/3782089/
陆小凤传奇5：幽灵山庄,8.1,(1841人评价),作者/译者： 古龙 ,出版信息：  河南文艺出版社 / 2013-5-1 / 32.00元,https://book.douban.com/subject/20516992/
大沙漠,8.1,(557人评价),作者/译者： 古龙 ,出版信息：  天地圖書有限公司 / 1998-7 / HK$75.00,https://book.douban.com/subject/10618119/
天涯明月刀,8.1,(2262人评价),作者/译者： 古龙 ,出版信息：  人民文学出版社 / 1988年6月 / 3.50元,https://book.douban.com/subject/3034205/
武林外史（二）——古龍精品集,8.1,(74人评价),作者/译者： 古龍 ,出版信息：  風雲時代出版股份有限公司 / 2007-03 / NT$ 240,https://book.douban.com/subject/3782047/
绣花大盗,8.1,(75人评价),作者/译者： [台湾]古龙 ,出版信息：  沈阳出版社 / 1995 / 6.50元,https://book.douban.com/subject/3036570/
死亡区域,8.1,(269人评价),作者/译者： 斯蒂芬·金 / 王强 ,出版信息：  珠海出版社 / 1997-1-1 / 20,https://book.douban.com/subject/6073464/
誰來跟我乾杯,8.1,(42人评价),作者/译者： 古龙 ,出版信息：  风云时代出版股份有限公司 / 2008-7 / 240元,https://book.douban.com/subject/3134774/
古龙武侠小说知见录,8.1,(58人评价),作者/译者： 顾雪衣 ,出版信息：  北京出版社 / 2020-1 / 88.00元,https://book.douban.com/subject/34915291/
江海英雄（1-4）,8.1,(35人评价),作者/译者： 古龙 ,出版信息：  中国工人出版社 / 1988-04-01 / 9.20,https://book.douban.com/subject/3021835/
九月鷹飛（中）——古龍精品集,8.1,(54人评价),作者/译者： ,出版信息： 風雲時代出版股份有限公司 / 2011-4-21 / NT$ 240,https://book.douban.com/subject/10742449/
七种武器3：离别钩·霸王枪,8.1,(817人评价),作者/译者： 古龙 ,出版信息：  河南文艺出版社 / 2013-5-1 / 39.00元,https://book.douban.com/subject/21778498/
天涯明月刀（上）,8.1,(465人评价),作者/译者： ,出版信息： 古龙 / 万盛出版有限公司 / 1989,https://book.douban.com/subject/1494760/
江湖外史:2010年珍藏版,8.1,(1577人评价),作者/译者： 王怜花 ,出版信息：  新世界出版社 / 2010-4 / 26.00元,https://book.douban.com/subject/1768100/
武林外史（五）——古龍精品集,8.0,(57人评价),作者/译者： 古龍 ,出版信息：  風雲時代出版股份有限公司 / 2007-03 / NT$ 240,https://book.douban.com/subject/3782055/
花解语-盛世狂歌-卷六:花解语,8.0,(117人评价),作者/译者： 合欢教主 ,出版信息：  中央广播电视大学出版社 / 2012-12 / 28.00元,https://book.douban.com/subject/21324053/
大地飛鷹(上)——古龍精品集,8.0,(17人评价),作者/译者： 古龍 ,出版信息：  風雲時代出版股份有限公司 / 2011-11-21 / NT$ 216,https://book.douban.com/subject/10739724/
姑获鸟之夏,8.0,(21419人评价),作者/译者： [日] 京极夏彦 / 林哲逸 ,出版信息：  上海人民出版社 / 2008-8 / 36.00,https://book.douban.com/subject/3140801/
绝代双骄（全五册）,8.0,(53人评价),作者/译者： 古龙 ,出版信息：  江苏文艺出版社 / 1987-1-1 / 11.50元,https://book.douban.com/subject/2245911/
迷行记,8.0,(1476人评价),作者/译者： 施定柔 ,出版信息：  朝华出版社 / 2005-11 / 20.0,https://book.douban.com/subject/1443458/
