书名,评分,评价人数,作者,出版社,url
红楼梦,9.6,(333477人评价),作者/译者： [清] 曹雪芹 著、高鹗 续 ,出版信息：  人民文学出版社 / 1996-12 / 59.70元,https://book.douban.com/subject/1007305/
百年孤独,9.3,(334159人评价),作者/译者： [哥伦比亚] 加西亚·马尔克斯 / 范晔 ,出版信息：  南海出版公司 / 2011-6 / 39.50元,https://book.douban.com/subject/6082808/
飘,9.3,(177228人评价),作者/译者： [美国] 玛格丽特·米切尔 / 李美华 ,出版信息：  译林出版社 / 2000-9 / 40.00元,https://book.douban.com/subject/1068920/
骆驼祥子,8.4,(169032人评价),作者/译者： 老舍 ,出版信息：  人民文学出版社 / 2000-3-1 / 12.00,https://book.douban.com/subject/1043815/
月亮和六便士,9.0,(161062人评价),作者/译者： [英] 毛姆 / 傅惟慈 ,出版信息：  上海译文出版社 / 2006-8 / 15.00元,https://book.douban.com/subject/1858513/
傲慢与偏见,8.9,(202549人评价),作者/译者： [英] 奥斯丁 / 张玲、张扬 ,出版信息：  人民文学出版社 / 1993-7 / 13.00元,https://book.douban.com/subject/1083428/
朝花夕拾,8.9,(110479人评价),作者/译者： 鲁迅 ,出版信息：  人民文学出版社 / 1972-4 / 0.25元,https://book.douban.com/subject/1449352/
呐喊,9.0,(115185人评价),作者/译者： 鲁迅 ,出版信息：  人民文学出版社 / 1973年3月 / 0.36元,https://book.douban.com/subject/1449351/
基督山伯爵,9.0,(111452人评价),作者/译者： 大仲马 / 周克希、韩沪麟 ,出版信息：  上海译文出版社 / 1991-12-1 / 43.90元,https://book.douban.com/subject/1085860/
三国演义（全二册）,9.3,(136803人评价),作者/译者： [明] 罗贯中 ,出版信息：  人民文学出版社 / 1998-05 / 39.50元,https://book.douban.com/subject/1019568/
老人与海,8.4,(168161人评价),作者/译者： 海明威 / 吴劳 ,出版信息：  上海译文出版社 / 1999-10 / 8.20元,https://book.douban.com/subject/1064275/
四世同堂,9.3,(22698人评价),作者/译者： 老舍 ,出版信息：  北京十月文艺出版社 / 2008-07 / 36.00元,https://book.douban.com/subject/3183775/
简爱（英文全本）,8.5,(193813人评价),作者/译者： [英] 夏洛蒂·勃朗特 ,出版信息：  世界图书出版公司 / 2003-11 / 18.00元,https://book.douban.com/subject/1141406/
傲慢与偏见,8.9,(23607人评价),作者/译者： 简•奥斯丁(Jane Austen) / 孙致礼 ,出版信息：  译林出版社 / 2010-6-1 / 18.50元,https://book.douban.com/subject/4881639/
彷徨,9.1,(39964人评价),作者/译者： 鲁迅 ,出版信息：  人民文学出版社 / 1973-3 / 0.37元,https://book.douban.com/subject/1449348/
包法利夫人,9.0,(6323人评价),作者/译者： 福楼拜 / 李健吾 ,出版信息：  人民文学出版社 / 2003-1-1 / CNY 28.00,https://book.douban.com/subject/25897678/
海底两万里,8.5,(89614人评价),作者/译者： [法国] 儒尔·凡尔纳 / 沈国华、钱培鑫、曹德明 ,出版信息：  译林出版社 / 2002-9 / 19.50元,https://book.douban.com/subject/1085470/
安徒生童话故事集,9.2,(102385人评价),作者/译者： （丹麦）安徒生 / 叶君健 ,出版信息：  人民文学出版社 / 1997-08 / 25.00元,https://book.douban.com/subject/1046209/
简爱,8.6,(25939人评价),作者/译者： [英] 夏洛蒂·勃朗特 / 宋兆霖 ,出版信息：  上海文艺出版社 / 2007-8-1 / 27.00元,https://book.douban.com/subject/2253379/
西游记（全二册）,8.9,(66764人评价),作者/译者： 吴承恩 / 黄肃秋 注释 ,出版信息：  人民文学出版社 / 2004-8 / 47.20元,https://book.douban.com/subject/1029553/
鲁滨孙历险记,8.1,(10362人评价),作者/译者： 笛福 / 黄杲炘 ,出版信息：  上海译文出版社 / 2006-8 / 10.00元,https://book.douban.com/subject/1893466/
罪与罚,9.2,(17372人评价),作者/译者： [俄] 陀思妥耶夫斯基 / 岳麟 ,出版信息：  上海译文出版社 / 2006-8 / 23.00元,https://book.douban.com/subject/1858568/
红与黑,8.2,(50783人评价),作者/译者： [法] 司汤达 / 张冠尧 ,出版信息：  人民文学出版社 / 2002 / 20.00元,https://book.douban.com/subject/1007433/
了不起的盖茨比,8.4,(113423人评价),作者/译者： [美] 菲茨杰拉德 / 姚乃强 ,出版信息：  人民文学出版社 / 2004-06 / 12.00元,https://book.douban.com/subject/1008988/
悲惨世界,9.5,(8368人评价),作者/译者： [法] 雨果 / 李丹、方于 ,出版信息：  人民文学出版社 / 2015-6 / 110.00元,https://book.douban.com/subject/25897657/
呼啸山庄,8.4,(106888人评价),作者/译者： 艾米莉·勃朗特 / 张扬、张玲 ,出版信息：  人民文学出版社 / 1999-01-01 / 27.30元,https://book.douban.com/subject/1119522/
雷雨,8.6,(66401人评价),作者/译者： 曹禺 ,出版信息：  人民文学出版社 / 1999-05 / 9.20,https://book.douban.com/subject/1013416/
麦琪的礼物:欧·亨利短篇小说经典,8.6,(64885人评价),作者/译者： [美] 欧·亨利 / 张经浩 ,出版信息：  上海社会科学院出版社 / 2003-7 / 25.00元,https://book.douban.com/subject/1051193/
西游记,9.2,(11992人评价),作者/译者： 吴承恩 ,出版信息：  岳麓书社 / 1994-04 / 15.00,https://book.douban.com/subject/1061803/
巴黎圣母院,9.0,(2755人评价),作者/译者： [法] 雨果 / 陈敬容 ,出版信息：  人民文学出版社 / 2015-1 / 36.00元,https://book.douban.com/subject/25886226/
格林童话全集,9.0,(77983人评价),作者/译者： [德国]格林兄弟 / 魏以新 ,出版信息：  人民文学出版社 / 1994-11 / 21.45元,https://book.douban.com/subject/1043008/
狂人日记,8.8,(54780人评价),作者/译者： 鲁迅 ,出版信息：  京华出版社 / 2006-3 / 39.80元,https://book.douban.com/subject/1398395/
双城记,9.2,(4064人评价),作者/译者： [英] 查尔斯·狄更斯 / 宋兆霖 ,出版信息：  作家出版社 / 2015-8 / 25.00元,https://book.douban.com/subject/26915894/
钢铁是怎样炼成的,7.6,(63711人评价),作者/译者： [苏] 尼·奥斯特洛夫斯基 / 曹缦西、王志棣 ,出版信息：  译林出版社 / 1996-10 / 20.00元,https://book.douban.com/subject/1013502/
羊脂球,8.2,(92278人评价),作者/译者： （法）莫泊桑 / 赵少侯 ,出版信息：  北京燕山出版社 / 2007-6 / 13.50元,https://book.douban.com/subject/1205370/
荆棘鸟,8.6,(47813人评价),作者/译者： [澳] 考琳·麦卡洛 / 曾胡 ,出版信息：  译林出版社 / 1998-7 / 28.00元,https://book.douban.com/subject/1086249/
悲惨世界（上中下）,9.0,(54472人评价),作者/译者： [法] 雨果 / 李丹、方于 ,出版信息：  人民文学出版社 / 1992-6 / 66.00元,https://book.douban.com/subject/1205054/
水浒传:水浒传,9.0,(6393人评价),作者/译者： 施耐庵、罗贯中 ,出版信息：  中华书局 / 2009-06 / 88.00元,https://book.douban.com/subject/3810699/
鲁滨逊漂流记,8.4,(2523人评价),作者/译者： 丹尼尔·笛福 / 金长蔚 ,出版信息：  长江文艺出版社 / 2012-7 / 17.00元,https://book.douban.com/subject/1832460/
水浒传（全二册）,8.6,(63561人评价),作者/译者： [明] 施耐庵、罗贯中 ,出版信息：  人民文学出版社 / 1997-1 / 50.60元,https://book.douban.com/subject/1008357/
茶花女,8.6,(8434人评价),作者/译者： [法] 小仲马 / 王振孙 ,出版信息：  上海译文出版社 / 2010-8-1 / 15.00元,https://book.douban.com/subject/5063806/
家,8.2,(23997人评价),作者/译者： 巴金 ,出版信息：  人民文学出版社 / 1981-09-01 / 29.00元,https://book.douban.com/subject/1082522/
变形记:卡夫卡小说,8.4,(44032人评价),作者/译者： [奥] 卡夫卡 / 叶廷芳、赵登荣 ,出版信息：  浙江文艺出版社 / 2003-4 / 16.00元,https://book.douban.com/subject/1213546/
远大前程,8.7,(3449人评价),作者/译者： [英]狄更斯 / 王科一 ,出版信息：  上海译文出版社 / 2011-5-1 / 26.00元,https://book.douban.com/subject/6313476/
老人与海,8.8,(6196人评价),作者/译者： [美] 欧内斯特·海明威 / 鲁羊 ,出版信息：  浙江文艺出版社 / 2017-3-1 / 39.80元,https://book.douban.com/subject/26983338/
一千零一夜,8.7,(49748人评价),作者/译者： 纳训 ,出版信息：  人民文学出版社 / 2003-01 / 22.00,https://book.douban.com/subject/1035848/
童年,7.7,(16516人评价),作者/译者： [苏] 高尔基 / 刘辽逸 ,出版信息：  人民文学出版社 / 2002-01 / 10.80元,https://book.douban.com/subject/1009285/
堂吉诃德,8.8,(4243人评价),作者/译者： [西] 塞万提斯 / 杨绛 ,出版信息：  人民文学出版社 / 2015-6 / 68,https://book.douban.com/subject/25837852/
哈姆莱特,8.6,(39516人评价),作者/译者： [英] 莎士比亚 / 朱生豪 ,出版信息：  人民文学出版社 / 2001-1 / 7.00元,https://book.douban.com/subject/1006197/
雾都孤儿,8.1,(34790人评价),作者/译者： [英]狄更斯 / 荣如德 ,出版信息：  上海译文出版社 / 1991-7 / 10.10元,https://book.douban.com/subject/1203251/
呼啸山庄,8.4,(6777人评价),作者/译者： (英) 艾米莉·勃朗特 / 杨苡 ,出版信息：  译林出版社 / 2010-8-1 / 18.00元,https://book.douban.com/subject/4898521/
雾都孤儿:世界文学名著典藏,8.5,(2936人评价),作者/译者： [英] 查尔斯·狄更斯 / 张玲、李卫东 ,出版信息：  长江文艺出版社 / 2008-5 / 20.00元,https://book.douban.com/subject/2355626/
海底两万里,8.5,(4816人评价),作者/译者： 儒尔•凡尔纳 (Jules Verne) / 沈国华、钱培鑫、曹德明 ,出版信息：  译林出版社 / 2010-6-1 / 22.50元,https://book.douban.com/subject/4881634/
巴黎圣母院,8.4,(92860人评价),作者/译者： [法]雨果 / 陈敬容 ,出版信息：  人民文学出版社 / 1982-6 / 22.50元,https://book.douban.com/subject/1024197/
基督山伯爵（上下）,9.2,(5776人评价),作者/译者： [法] 大仲马 / 周克希 ,出版信息：  译林出版社 / 2013-9 / 78.00,https://book.douban.com/subject/25717151/
鲁滨逊漂流记,8.1,(155104人评价),作者/译者： [英] 笛福 / 马静 ,出版信息：  广西民族出版社 / 2002-1 / 9.20元,https://book.douban.com/subject/1016003/
罪与罚,9.4,(5308人评价),作者/译者： [俄] 陀思妥耶夫斯基 / 岳麟 ,出版信息：  上海译文出版社 / 2015-1-1 / CNY 58.00,https://book.douban.com/subject/25887912/
红字,8.1,(4025人评价),作者/译者： (美)霍桑 / 苏福忠 ,出版信息：  上海译文出版社 / 2007-7 / 11.00,https://book.douban.com/subject/2193878/
浮士德,8.7,(7437人评价),作者/译者： 歌德 / 绿原 ,出版信息：  人民文学出版社 / 2003-01 / 18.00,https://book.douban.com/subject/1049957/
人间喜剧:巴尔扎克小说选集,9.2,(850人评价),作者/译者： 巴尔扎克 ,出版信息：  世界图书出版公司 / 2009-10 / 29.80元,https://book.douban.com/subject/4199233/
小妇人,8.4,(17337人评价),作者/译者： （美）路易莎・梅・奥尔科特 / 刘春英、陈玉立 ,出版信息：  译林出版社 / 2004-01 / 15.00元,https://book.douban.com/subject/1427288/
牛虻:牛虻,8.6,(2041人评价),作者/译者： [英]埃塞尔·莉莲·伏尼契 / 蔡慧 ,出版信息：  上海译文出版社 / 2011-5-1 / 20.00元,https://book.douban.com/subject/6313454/
忏悔录,8.1,(6836人评价),作者/译者： 卢梭 / 黎星、范希衡 ,出版信息：  人民文学出版社 / 1982-9-1 / 29.80,https://book.douban.com/subject/1048173/
飘,9.3,(1170人评价),作者/译者： [美] 玛格丽特·米切尔 / 黄怀仁、朱攸若 ,出版信息：  上海文艺出版社 / 2015-8 / CNY 100,https://book.douban.com/subject/26374793/
简·爱,8.4,(1700人评价),作者/译者： [英] 夏洛蒂·勃朗特 / 黄源深 ,出版信息：  译林出版社 / 2010-6-1 / 22.00元,https://book.douban.com/subject/4881508/
月亮与六便士,8.8,(3027人评价),作者/译者： [英] 毛姆 / 姚锦清 ,出版信息：  江苏凤凰文艺出版社 / 2019-4 / 69.00,https://book.douban.com/subject/30427430/
罗生门,8.8,(5117人评价),作者/译者： 芥川龙之介 / 鲁迅、文洁若、文学朴 ,出版信息：  江苏凤凰文艺出版社 / 2019-4 / 59.90,https://book.douban.com/subject/33396515/
巴黎圣母院,8.9,(4691人评价),作者/译者： 雨果 / 李玉民 ,出版信息：  上海文艺出版社 / 2007-7-1 / 25.00元,https://book.douban.com/subject/2253413/
汤姆索亚历险记,8.4,(4377人评价),作者/译者： 马克・吐温 / 陆艳能 ,出版信息：  二十一世纪出版社 / 2003-10-1 / 9.80,https://book.douban.com/subject/1142578/
基督山伯爵(上下),9.3,(4180人评价),作者/译者： 〔法〕大仲马著 / 李玉民 ,出版信息：  北京燕山出版社 / 1999-8-1 / 39.00元,https://book.douban.com/subject/1121460/
茶花女,8.2,(109896人评价),作者/译者： 小仲马 / 王振孙 ,出版信息：  外国文学出版社 / 1997-3 / 9.00元,https://book.douban.com/subject/1013380/
双城记,8.3,(19756人评价),作者/译者： 查尔斯・狄更斯 / 石永礼 ,出版信息：  人民文学出版社 / 1996-08 / 14.10,https://book.douban.com/subject/1007772/
小妇人,8.0,(2159人评价),作者/译者： [美] 路易莎·梅·奥尔科特 / 王之光 ,出版信息：  读客图书·江苏凤凰文艺出版社 / 2018-4 / 69.90元,https://book.douban.com/subject/30187774/
唐吉诃德,8.2,(2490人评价),作者/译者： 米盖尔·德·塞万提斯 / 唐民权 ,出版信息：  华夏出版社 / 2007-10 / 32.00元,https://book.douban.com/subject/2308408/
卡拉马佐夫兄弟,9.5,(4288人评价),作者/译者： 陀思妥耶夫斯基 / 荣如德 ,出版信息：  上海译文出版社 / 2011-5-1 / CNY 55.00,https://book.douban.com/subject/6313496/
莫泊桑短篇小说选,8.7,(8116人评价),作者/译者： [法] 莫泊桑 / 赵少侯 ,出版信息：  人民文学出版社 / 2002-6 / 14.00元,https://book.douban.com/subject/1083434/
野性的呼唤,8.8,(11592人评价),作者/译者： 杰克·伦敦 / 刘荣跃 ,出版信息：  上海译文出版社 / 2006-8 / 25.00元,https://book.douban.com/subject/1883353/
欧也妮·葛朗台,8.2,(3769人评价),作者/译者： （法）巴尔扎克 / 张冠尧 ,出版信息：  人民文学出版社 / 2003-01 / 8.00,https://book.douban.com/subject/1083476/
尼尔斯骑鹅旅行记,8.5,(2678人评价),作者/译者： 塞尔玛·拉格洛夫 / 石琴娥 ,出版信息：  上海译文出版社 / 2007-7 / 21.00元,https://book.douban.com/subject/2193875/
大卫·科波菲尔,8.5,(778人评价),作者/译者： [英] 狄更斯 / 庄绎传 ,出版信息：  人民文学出版社 / 2015-6 / 70.00元,https://book.douban.com/subject/25897663/
羊脂球,9.0,(2388人评价),作者/译者： 莫泊桑、黄秋妮 ,出版信息：  连环画出版社 / 2005-1-1 / 8.80元,https://book.douban.com/subject/1220098/
漂亮朋友,8.2,(4978人评价),作者/译者： 莫泊桑 / 王振孙 ,出版信息：  上海译文出版社 / 2006-8 / 16.00元,https://book.douban.com/subject/1893972/
少年维特之烦恼,8.1,(4321人评价),作者/译者： (德)歌德 / 郭沫若 ,出版信息：  人民文学出版社 / 1955-10 / 12.00,https://book.douban.com/subject/2221902/
九三年,9.1,(1322人评价),作者/译者： （法）雨果 / 叶尊 ,出版信息：  上海译文出版社 / 2011-1-1 / 22.00元,https://book.douban.com/subject/5406571/
茶花女,8.6,(3996人评价),作者/译者： （法）小仲马 / 郑克鲁 ,出版信息：  译林出版社 / 2011-1-1 / 16.00元,https://book.douban.com/subject/5920819/
红与黑,8.4,(1626人评价),作者/译者： [法] 司汤达 / 郭宏安 ,出版信息：  译林出版社 / 2010-12-1 / 26.00元,https://book.douban.com/subject/5446437/
钢铁是怎样炼成的,9.6,(297人评价),作者/译者： (苏)尼古拉·奥斯特洛夫斯基 ,出版信息：  陈恒哲 / 天津人民出版社 / 2017-9,https://book.douban.com/subject/27144044/
安娜·卡列尼娜,9.2,(2910人评价),作者/译者： [俄] 列夫·托尔斯泰 / 草婴 ,出版信息：  译林出版社 / 2014-4 / 49.00,https://book.douban.com/subject/25867057/
汤姆叔叔的小屋,8.3,(9697人评价),作者/译者： [美] 斯托夫人 / 林玉鹏 ,出版信息：  译林出版社 / 2006-6 / 23.80元,https://book.douban.com/subject/1430530/
格列佛游记,7.8,(8589人评价),作者/译者： 斯威夫特 / 孙予 ,出版信息：  上海译文出版社 / 2006-8 / 11.00元,https://book.douban.com/subject/1888031/
