书名,评分,评价人数,作者,出版社,url
理解的欲求:亚里士多德哲学导论,10.0,(33人评价),作者/译者： [英] 乔纳森·李尔 / 刘玮 ,出版信息：  北京大学出版社 / 2021-1-1 / 75.00元,https://book.douban.com/subject/35325043/
康德《纯粹理性批判》句读:全三册,9.9,(47人评价),作者/译者： 邓晓芒 ,出版信息：  人民出版社 / 2018-8-1 / 420.00元,https://book.douban.com/subject/30135662/
当代政治哲学,9.9,(234人评价),作者/译者： [加拿大] 威尔·金里卡 / 刘莘 ,出版信息：  上海译文出版社 / 2015-9-1 / 78,https://book.douban.com/subject/26389495/
四书章句集注,9.8,(497人评价),作者/译者： 朱熹 ,出版信息：  中华书局 / 2012-2 / 39.00元,https://book.douban.com/subject/10582727/
局外人西绪福斯神话,9.8,(22人评价),作者/译者： ［法国］阿尔贝·加缪 / 郭宏安 ,出版信息：  译林出版社 / 2021-4-1 / 49.00,https://book.douban.com/subject/35308997/
黑格尔《精神现象学》句读:全十卷,9.8,(23人评价),作者/译者： 邓晓芒 ,出版信息：  人民出版社 / 2017-12 / 1150.00元,https://book.douban.com/subject/27194807/
资本论:马克思诞辰200周年纪念版,9.8,(686人评价),作者/译者： 马克思 / 中共中央马克思恩格斯列宁斯大林著作编译局 ,出版信息：  人民出版社 / 2018-5 / 240.00,https://book.douban.com/subject/30316487/
林中路,9.8,(70人评价),作者/译者： 马丁•海德格尔 / 孙周兴 ,出版信息：  商务印书馆 / 2019-1 / 68,https://book.douban.com/subject/30449499/
回到马克思:经济学语境中的哲学话语（第四版）,9.8,(21人评价),作者/译者： 张一兵 ,出版信息：  江苏人民出版社 / 2020-2 / 152.00元,https://book.douban.com/subject/30475346/
活出人生的意义,9.8,(83人评价),作者/译者： 冯友兰 ,出版信息：  中国友谊出版公司 / 2017-11-1 / 39.80,https://book.douban.com/subject/27168623/
法律的概念:第三版,9.8,(151人评价),作者/译者： [英]哈特 ,出版信息：  许家馨、李冠宜 / 法律出版社 / 2018-7-1,https://book.douban.com/subject/30247377/
论再生产,9.7,(249人评价),作者/译者： [法]路易·阿尔都塞 / 吴子枫 ,出版信息：  西北大学出版社 / 2019-7 / 106.00,https://book.douban.com/subject/34464685/
畏惧与颤栗恐惧的概念致死的疾病:克尔凯郭尔文集6,9.7,(306人评价),作者/译者： 克尔凯郭尔 / 京不特 ,出版信息：  中国社会科学出版社 / 2013-5-1 / 96.00,https://book.douban.com/subject/24697397/
纯粹理性批判,9.7,(259人评价),作者/译者： [德] 康德 / 邓晓芒 译、杨祖陶 校 ,出版信息：  人民出版社 / 2017-3 / 69.00,https://book.douban.com/subject/27009630/
哲学的历程:西方哲学历史导论(第四版),9.7,(134人评价),作者/译者： [美]威廉·F. 劳黑德 / 郭立东、丁三东 ,出版信息：  中国轻工业出版社 / 2017-3-1 / 73.5,https://book.douban.com/subject/27070172/
尼各马可伦理学,9.6,(178人评价),作者/译者： (古希腊) 亚里士多德 / 廖申白 ,出版信息：  商务印书馆 / 2017-1 / 42.00,https://book.douban.com/subject/26640201/
存在与时间:中文修订第2版,9.6,(143人评价),作者/译者： [德]马丁·海德格尔 / 陈嘉映、王庆节 ,出版信息：  商务印书馆 / 2016-10-1 / 58.00,https://book.douban.com/subject/26913521/
庄子,9.6,(303人评价),作者/译者： [战国] 庄周 / 梁溪生 标校 ,出版信息：  上海古籍出版社 / 2001-12 / 7.50元,https://book.douban.com/subject/1125216/
马克思恩格斯选集,9.6,(187人评价),作者/译者： 马克思、恩格斯 / 中央编译局 ,出版信息：  人民出版社 / 2012-9-17 / 330.00元,https://book.douban.com/subject/19952165/
自然哲学的数学原理,9.6,(80人评价),作者/译者： 艾萨克·牛顿 / 任海洋 ,"出版信息：  重庆出版社,重庆出版集团 / 2015-9-1 / CNY 58.00",https://book.douban.com/subject/26776903/
动情的理性:政治哲学作为道德实践,9.6,(50人评价),作者/译者： 钱永祥 ,出版信息：  南京大学出版社 / 2020-9 / 68.0,https://book.douban.com/subject/35169174/
天下货币—美元霸权的突破与终结,9.6,(110人评价),作者/译者： ,出版信息： ,https://book.douban.com/subject/35396045/
心经,9.6,(2269人评价),作者/译者： 本书编委会 ,出版信息：  宗教文化出版社 / 2006-3 / 108.00元,https://book.douban.com/subject/1840859/
