书名,评分,评价人数,作者,出版社,url
TheAlmanackofNavalRavikant:AGuidetoWealthandHappiness,9.6,(142人评价),作者/译者： Naval Ravikant、Eric Jorgenson ,出版信息：  Magrathea Publishing / 2020-9-8 / USD 12.84,https://book.douban.com/subject/35219712/
经济学原理(第7版):微观经济学分册+宏观经济学分册,9.6,(3495人评价),作者/译者： 曼昆 (N.Gregory Mankiw) / 梁小民、梁砾 ,出版信息：  北京大学出版社 / 2015-5-1 / 128,https://book.douban.com/subject/26435630/
ZARA传：全球快时尚帝国崛起的秘密,9.5,(17人评价),作者/译者： [西]哈维尔·R.布兰科、[西]赫苏斯·萨尔加多 / 刘萍、史文静 ,出版信息：  天地出版社 / 2021-1 / 78.00,https://book.douban.com/subject/35323291/
我是如何成功的:一个美国房地产大王的不败圣经,9.5,(43人评价),作者/译者： 乔治·佩雷斯 / 李淼 ,出版信息：  学林出版社 / 2010-1 / 28.00元,https://book.douban.com/subject/4180015/
把握变革,9.5,(56人评价),作者/译者： [美] 伊查克·爱迪思 / 赵斌、陈甦 ,出版信息：  华夏出版社 / 2004-1 / 25.00元,https://book.douban.com/subject/1084651/
营销管理（第15版）,9.4,(509人评价),作者/译者： 菲利普•科特勒、凯文•莱恩•凯勒 / 何佳讯、于洪彦、牛永革、徐岚、董伊人、金钰 ,出版信息：  格致出版社 / 2016-8-1 / 118,https://book.douban.com/subject/26879263/
创新的先知:约瑟夫·熊彼得传,9.4,(131人评价),作者/译者： [美] 托马斯·麦克劳 / 陈叶盛、周端明、蔡静 ,出版信息：  中信出版社 / 2010-11 / 80.00元,https://book.douban.com/subject/4931700/
精通Excel2007数据分析与业务建模,9.4,(49人评价),作者/译者： 温斯顿 / 许达生 ,出版信息：  清华大学出版社 / 2008-8-1 / 69.00元,https://book.douban.com/subject/3184872/
管理的实践:（中英文双语·珍藏版）,9.3,(179人评价),作者/译者： 彼得·德鲁克 / 齐若兰 ,出版信息：  机械工业出版社 / 2009-9 / 86.00元,https://book.douban.com/subject/4020855/
转危为安,9.3,(46人评价),作者/译者： ［美］W.爱德华·戴明（W. Edwards Deming） / 钟汉清 ,出版信息：  机械工业出版社 / 2016-4 / 69.00,https://book.douban.com/subject/26775006/
管理控制系统,9.3,(25人评价),作者/译者： 罗伯特·安东尼、维杰伊·戈文达拉扬 / 刘霄仑、朱晓辉 ,出版信息：  人民邮电出版社 / 2011-1 / 99.00元,https://book.douban.com/subject/6052196/
专业服务公司的管理（经典重译版）,9.3,(91人评价),作者/译者： [美]大卫•梅斯特(David H. Maister) / 吴卫军、郭蓉 ,出版信息：  机械工业出版社 / 2018-4-1 / 79,https://book.douban.com/subject/30230309/
麦肯锡晋升法则：47个小原则创造大改变,9.3,(69人评价),作者/译者： [英]服部周作（Shu Hattori） / 韦玮 ,出版信息：  机械工业出版社 / 2020-10 / 59.00,https://book.douban.com/subject/35219806/
专业服务公司的管理,9.3,(144人评价),作者/译者： 梅斯特 / 大龙、王文远、王静 ,出版信息：  机械工业出版社 / 2009-7 / 48.00元,https://book.douban.com/subject/3901835/
HighGrowthHandbook,9.3,(13人评价),作者/译者： ,出版信息： Elad Gil / Stripe Press / 2018-7-17,https://book.douban.com/subject/30284623/
战略管理(概念与案例第12版)/工商管理经典译丛,9.3,(48人评价),作者/译者： 迈克尔·希特、R.杜安·爱尔兰、罗伯特·霍斯基森 / 刘刚、梁晗、耿天成 ,出版信息：  中国人民大学出版社 / 2017-8-1 / 69.00元,https://book.douban.com/subject/27129100/
零售管理,9.3,(65人评价),作者/译者： [美]迈克尔·利维 / 俞利军、王欣红 ,出版信息：  人民邮电出版社 / 2004-9 / 68.00元,https://book.douban.com/subject/1187241/
企业战略博弈:揭开竞争优势的面纱,9.2,(268人评价),作者/译者： 格林沃德、（美）卡恩 / 程炼 ,出版信息：  机械工业出版社 / 2006-11 / 38.00元,https://book.douban.com/subject/1967814/
权力与领导:如何影响他人，怎样激发正能量,9.2,(77人评价),作者/译者： [美] 詹姆斯·克劳森 / 马昕 ,出版信息：  后浪丨民主与建设出版社 / 2019-7 / 80.00元,https://book.douban.com/subject/34459721/
"WorkingBackwards:Insights,Stories,andSecretsfromInsideAmazon",9.2,(21人评价),作者/译者： ,出版信息： Colin Bryar、Bill Carr / St. Martin's Press / 2021-2-9,https://book.douban.com/subject/35363202/
管理:使命、责任、实务（使命篇）,9.2,(301人评价),作者/译者： 德鲁克 / 王永贵 ,出版信息：  机械工业出版社 / 2006-11 / 58,https://book.douban.com/subject/1839796/
一本书看透股权架构,9.2,(688人评价),作者/译者： 李利威 ,出版信息：  机械工业出版社 / 2019-4 / 79,https://book.douban.com/subject/33413106/
资本论:最权威、影响最普遍的经济学巨著,9.2,(219人评价),作者/译者： 卡尔·马克思 / 曾令先、卞彬、金永 ,出版信息：  江苏人民出版社 / 2011-3 / 65.00元,https://book.douban.com/subject/6129747/
资本的规则II,9.2,(81人评价),作者/译者： 张巍（清澄君） ,出版信息：  中国法制出版社 / 2019-7 / RMB 88.00,https://book.douban.com/subject/34780437/
营销管理（第14版·全球版）,9.2,(356人评价),作者/译者： 菲利普·科特勒、凯文·莱恩·凯勒 / 王永贵、于洪彦、陈荣、张红霞、徐岚 ,出版信息：  中国人民大学出版社 / 2012-4 / 79.00元,https://book.douban.com/subject/10568352/
孙子兵法,9.2,(280人评价),作者/译者： 贾尔斯(英)/等 ,出版信息：  湖南出版社 / 1993-11 / 8.50,https://book.douban.com/subject/1025284/
浪潮之巅（第2版）（套装上下册）,9.2,(3192人评价),作者/译者： 吴军 ,出版信息：  人民邮电出版社 / 2013-7 / 80.00元,https://book.douban.com/subject/24738302/
创新者的窘境（珍藏版）:领先企业如何被新兴企业颠覆？,9.2,(16人评价),作者/译者： [美] 克莱顿·克里斯坦森（Clayton M. Christensen） / 胡建桥 ,出版信息：  中信出版社 / 2020-7 / 69.00元,https://book.douban.com/subject/35148452/
浪潮之巅（第三版）（上下册）,9.2,(1508人评价),作者/译者： 吴军 ,出版信息：  人民邮电出版社 / 2016-5 / 99.00元,https://book.douban.com/subject/26792439/
价值的力量：让营销回归价值的原点,9.2,(189人评价),作者/译者： 刘鹏程 ,出版信息：  机械工业出版社 / 2020-12-23 / 65,https://book.douban.com/subject/35287205/
商务与经济统计:（原书第11版）,9.2,(252人评价),作者/译者： 安德森(Anderson D R.)、斯威尼(Sweeney D J.)、威廉斯(Williams T A.) ,出版信息：  机械工业出版社 / 2012-4-1 / 108.00元,https://book.douban.com/subject/10557289/
工商巨子:洛克菲勒传,9.2,(297人评价),作者/译者： (美)荣・切尔诺 / 王恩冕等 ,出版信息：  海南出版社 / 2000-06 / 65.00,https://book.douban.com/subject/1006203/
HighOutputManagement,9.2,(131人评价),作者/译者： Andrew S. Grove ,出版信息：  Vintage / 1995-8-29 / USD 16.95,https://book.douban.com/subject/1957941/
采购与供应链管理（第3版）:一个实践者的角度,9.2,(132人评价),作者/译者： 刘宝红 ,出版信息：  机械工业出版社 / 2019-2 / 89.00,https://book.douban.com/subject/30649813/
浪潮之巅（下册）,9.2,(638人评价),作者/译者： 吴军 ,出版信息：  人民邮电出版社 / 2013-6 / 45.00元,https://book.douban.com/subject/24740308/
浪潮之巅（上册）,9.1,(843人评价),作者/译者： 吴军 ,出版信息：  人民邮电出版社 / 2013-5-1 / 35.00元,https://book.douban.com/subject/24739213/
创新陷阱:医疗投资的挑战,9.1,(101人评价),作者/译者： 赵衡、孙雯艺 ,出版信息：  北京日报出版社 / 2018-3 / 79.00元,https://book.douban.com/subject/30187870/
"Creativity,Inc.:OvercomingtheUnseenForcesThatStandintheWayofTrueInspiration",9.1,(360人评价),作者/译者： Ed Catmull、Amy Wallace ,出版信息：  Random House / 2014-4-8 / GBP 20.88,https://book.douban.com/subject/25777433/
彼得·林奇的成功投资,9.1,(2614人评价),作者/译者： 彼得·林奇、约翰·罗瑟查尔德 / 刘建位、徐晓杰 ,出版信息：  机械工业出版社 / 2010-4-1 / 38.00元,https://book.douban.com/subject/4827219/
企业成长之痛:创业型企业如何走向成熟,9.1,(34人评价),作者/译者： 埃里克·G·弗拉姆豪茨(Flamholtz.E.G.)^伊冯·兰德尔 / 黄震亚^董航 ,出版信息：  清华大学 / 2011-7 / 58.00元,https://book.douban.com/subject/6794514/
高效商业分析:Excel建模与决策,9.1,(56人评价),作者/译者： [美]James R. Evans（詹姆斯.R.埃文斯） / 王正林、王权、肖静 ,出版信息：  电子工业出版社 / 2015-7 / 98.00元,https://book.douban.com/subject/26468881/
销售三人行,9.1,(18人评价),作者/译者： 李楠 ,出版信息：  企业管理出版社 / 2007-3 / 29.80元,https://book.douban.com/subject/2115925/
史蒂夫·乔布斯传（修订版）,9.1,(4698人评价),作者/译者： [美] 沃尔特·艾萨克森 / 管延圻、魏群、余倩、赵萌萌、汤崧 ,出版信息：  中信出版社 / 2014-1 / 68.00元,https://book.douban.com/subject/25810506/
战略历程:穿越战略管理旷野的指南(原书第2版),9.1,(307人评价),"作者/译者： 亨利.明茨伯格  ,布鲁斯.阿尔斯特兰德  ,  约瑟夫.兰佩尔 / 魏江 ",出版信息：  机械工业出版社 / 2012-7 / 59.00元,https://book.douban.com/subject/10809140/
格鲁夫给经理人的第一课:英特尔创始人自述(畅销版),9.1,(331人评价),作者/译者： (美)安迪•格鲁夫 / 巫宗融 ,出版信息：  中信出版社 / 2017-8-4 / 36.8元,https://book.douban.com/subject/27178870/
浪潮之巅（第四版）（上下册）,9.1,(1024人评价),作者/译者： 吴军 ,出版信息：  人民邮电出版社 / 2019-6 / 139.00元,https://book.douban.com/subject/33474750/
每个人的商学院（全8册）,9.1,(71人评价),作者/译者： 刘润 ,出版信息：  中信出版集团 / 2019-6 / 249.00元,https://book.douban.com/subject/34798939/
价值评估:公司价值的衡量与管理,9.1,(573人评价),作者/译者： 蒂姆·科勒 / 高建、魏平、朱晓龙 等 ,出版信息：  电子工业出版社 / 2007-2 / 88.00元,https://book.douban.com/subject/2015368/
心若菩提,9.1,(1712人评价),作者/译者： 曹德旺 ,出版信息：  人民出版社 / 2015-1 / 49.00,https://book.douban.com/subject/26287433/
结构性改革:中国经济的问题与对策,9.1,(1785人评价),作者/译者： 黄奇帆 ,出版信息：  中信出版社 / 2020-6 / 88元,https://book.douban.com/subject/35147504/
"CaseinPoint:CompleteCaseInterviewPreparation,FourthEdition",9.1,(461人评价),作者/译者： ,出版信息： Marc P. Cosentino / Burgee Press / 2005-09-05,https://book.douban.com/subject/2301904/
