书名,评分,评价人数,作者,出版社,url
京剧长谈,10.0,(23人评价),作者/译者： 李洪春 ,出版信息：  中国戏剧出版社 / 1982 / 2.85,https://book.douban.com/subject/2243443/
哲学与师道,9.9,(25人评价),作者/译者： 车铭洲、伊永文、常健、武斌、穆建新、王之刚、杨龙、朱光磊、江怡、朱国钧、梁骏、李连江、王正毅、韩旭、苏福兵、尹艳华、刘宏伟、罗金凤、王倩、王立文、王永红、王光荣、奚先来 ,出版信息：  当代世界出版社 / 2021-4-15 / 49.00元,https://book.douban.com/subject/35431527/
生活的故事,9.8,(47人评价),作者/译者： [俄]康·帕乌斯托夫斯基 / 王丽丹 等 ,出版信息：  广西师范大学出版社 / 2019-7 / 318.00,https://book.douban.com/subject/30477638/
昨日的世界:一个欧洲人的回忆,9.6,(318人评价),作者/译者： [奥地利] 斯蒂芬·茨威格 / 舒昌善 ,出版信息：  生活·读书·新知三联书店 / 2018-6 / 68.00元,https://book.douban.com/subject/27912251/
回家的路:高秉涵回忆录,9.6,(45人评价),作者/译者： 高秉涵 ,出版信息：  九州出版社 / 2017-3-1 / CNY 39.80,https://book.douban.com/subject/26953436/
我的伯父伯母周恩来邓颖超,9.6,(118人评价),作者/译者： 周秉德 ,出版信息：  金城出版社 / 2018-1 / 98.00,https://book.douban.com/subject/27624320/
OutofEgypt:AMemoir,9.6,(42人评价),作者/译者： André Aciman ,出版信息：  Picador / 2007-1-23 / USD 18.00,https://book.douban.com/subject/2827072/
OneBulletAway:TheMakingofaMarineOfficer,9.5,(42人评价),作者/译者： Nathaniel C. Fick ,出版信息：  Mariner Books / 2006-9-7 / USD 14.95,https://book.douban.com/subject/2945289/
被遗忘的士兵:一个德国士兵的苏德战争回忆录,9.5,(141人评价),作者/译者： [法] 盖伊·萨杰 / 杨华钢 ,出版信息：  新华出版社 / 2016-1-1 / 68.00,https://book.douban.com/subject/26952967/
香港影人口述歷史叢書之四——《王天林》:香港影人口述歷史叢書之四,9.5,(23人评价),作者/译者： 黃愛玲、盛安琪 ,出版信息：  香港電影資料館 / 2007年11月 / 110.00（港币）,https://book.douban.com/subject/3324937/
往事与随想(上下),9.5,(133人评价),作者/译者： (俄罗斯)赫尔岑 / 巴金、臧仲伦 ,出版信息：  译林出版社 / 2009-3 / 128.00元,https://book.douban.com/subject/3656549/
在峡江的转弯处:陈行甲人生笔记,9.5,(697人评价),作者/译者： 陈行甲 ,出版信息：  人民日报出版社 / 2021-1-10 / 48.00元,https://book.douban.com/subject/35317149/
此情犹思:季羡林回忆文集,9.5,(19人评价),作者/译者： 季羡林 ,出版信息：  哈尔滨出版社 / 2006年 / 33.80元,https://book.douban.com/subject/1451493/
微觉此生未整人:曾彥修訪談錄,9.4,(49人评价),作者/译者： 曾彦修 ,出版信息：  天地圖書 / 2011-8 / NT$620,https://book.douban.com/subject/24757271/
KnowMyName:AMemoir,9.4,(467人评价),作者/译者： ,出版信息： Chanel Miller / Viking / 2019-9-24,https://book.douban.com/subject/34840716/
市场推手:纳斯达克CEO自述,9.4,(31人评价),作者/译者： 【美】罗伯特·格雷菲尔德 / 闾佳 ,出版信息：  文汇出版社 / 2021-5-1 / 88,https://book.douban.com/subject/35418895/
泪水流逝,9.4,(46人评价),作者/译者： (英) 玛丽安·菲斯福尔 / 陈震 ,出版信息：  雅众文化 | 北京联合出版公司 / 2021-2-1 / 65.00,https://book.douban.com/subject/35268558/
前辈写真,9.4,(50人评价),作者/译者： 傅杰 ,出版信息：  海豚出版社 / 2016-8 / 85.00,https://book.douban.com/subject/26854576/
昨日世界:一个欧洲人的回忆,9.4,(675人评价),作者/译者： [奥地利]斯蒂芬·茨威格 / 史行果 ,出版信息：  作家出版社 / 2017-7-1 / 49.00元,https://book.douban.com/subject/27067973/
昨天的雲:王鼎鈞回憶錄四部曲.1:王鼎鈞回憶錄四部曲.1,9.4,(37人评价),作者/译者： 王鼎鈞 ,出版信息：  INK印刻出版公司 / 2018-4-25 / NTD380,https://book.douban.com/subject/27622109/
自传知堂回想录,9.3,(29人评价),作者/译者： 周作人 ,出版信息：  群众出版社 / 1999 / 32.00,https://book.douban.com/subject/1844447/
TheirFinestHour:TheSecondWorldWarVol.2,9.3,(13人评价),作者/译者： Sir Winston S. Churchill ,出版信息：  Penguin Classics / 2005-05-05 / 183.00元,https://book.douban.com/subject/1921204/
我在北京大学的三十年,9.3,(29人评价),作者/译者： ,出版信息： 谢宁 / 2014,https://book.douban.com/subject/34801304/
寻找家园,9.3,(4972人评价),作者/译者： 高尔泰 ,出版信息：  花城出版社 / 2004-11-03 / 20.00,https://book.douban.com/subject/1005358/
回首我們的時代,9.3,(41人评价),作者/译者： 尉天驄 ,出版信息：  INK印刻出版公司 / 2011-11-24 / 450台幣,https://book.douban.com/subject/10426917/
见证:肖斯塔科维奇回忆录,9.3,(568人评价),作者/译者： 季米特里•肖斯塔科维奇  口述、所罗门·伏尔科夫  整理 / 叶琼芳 ,出版信息：  作家出版社 / 2015-11 / 42.00元,https://book.douban.com/subject/26666131/
曼德施塔姆夫人回忆录,9.3,(405人评价),作者/译者： (俄罗斯)娜杰日达·曼德施塔姆 / 刘文飞 ,出版信息：  广西师范大学出版社 / 2013-9 / 58.00元,https://book.douban.com/subject/24738206/
