书名,评分,评价人数,作者,出版社,url
伤寒杂病论:桂林古本,10.0,(90人评价),作者/译者： 张仲景 ,出版信息：  广西人民出版社 / 1980-7-1 / 1.05,https://book.douban.com/subject/6742678/
莊子集釋,10.0,(50人评价),作者/译者： （清）郭庆藩 撰、王孝鱼 点校 ,出版信息：  中华书局 / 2016-8 / 138.00元,https://book.douban.com/subject/26871017/
古代汉语:典藏本,10.0,(121人评价),作者/译者： 王力(主编) ,出版信息：  中华书局 / 2016-9-1 / 196.00,https://book.douban.com/subject/26944970/
通典（全十二册）,9.9,(38人评价),"作者/译者： 杜佑、王文锦、王永兴、刘俊文、徐庭云、谢方 / 王文锦,王永兴,刘俊文,徐庭云,谢方 点校 ",出版信息：  中华书局 / 2016-4-1 / CNY 880.00,https://book.douban.com/subject/26840551/
文心雕龙:国学典藏,9.9,(104人评价),作者/译者： 刘勰 / 戚良德 辑校 ,出版信息：  上海古籍出版社 / 2015-11-1 / 32.00元,https://book.douban.com/subject/26736234/
黄龙周虎,9.8,(27人评价),作者/译者： 陈祖德 ,出版信息：  中信出版社 / 2011-4-25 / 98.00元,https://book.douban.com/subject/6079850/
黄帝内经素问,9.8,(57人评价),作者/译者： ,出版信息： 人民卫生出版社 / 1963-06 / 1.70,https://book.douban.com/subject/3245223/
易经:易经,9.8,(47人评价),作者/译者： 绍南文化 ,出版信息：  厦门大学出版社 / 2000-11-1 / 21.00元,https://book.douban.com/subject/1317554/
春秋左传注(修订本),9.8,(211人评价),作者/译者： 杨伯峻 ,出版信息：  中华书局 / 2017-1 / 198元,https://book.douban.com/subject/26977116/
日讲·四书五经:康熙皇帝研读的四书五经皇家读本，治国理政思想之源，康雍乾盛世的理,9.8,(48人评价),作者/译者： [清]爱新觉罗·玄烨 钦定、[清]陈廷敬、李光地、叶方蔼 等编撰、李孝国、杨为刚 等今注 ,出版信息：  中国书店 / 2016-1 / 518.00,https://book.douban.com/subject/26723269/
资治通鉴,9.8,(1294人评价),作者/译者： 司马光 ,出版信息：  中华书局 / 2011-8 / 498.00元,https://book.douban.com/subject/6790302/
四书章句集注,9.8,(118人评价),作者/译者： [南宋] 朱熹 集注 ,出版信息：  中华书局 / 2016-8 / 52.00元,https://book.douban.com/subject/26871021/
潘雨廷学术文集,9.7,(19人评价),作者/译者： 潘雨廷 ,出版信息：  上海人民出版社 / 2011-12-1 / 40.00元,https://book.douban.com/subject/7065439/
笠翁对韵（作家榜经典文库）,9.7,(70人评价),作者/译者： [清] 李渔 / 霍俊明 ,出版信息：  中信出版集团 / 2019-4 / 69,https://book.douban.com/subject/30487896/
资治通鉴:传世经典文白对照,9.7,(683人评价),作者/译者： 司马光 / 沈志华、张宏儒 ,出版信息：  中华书局 / 2013-1 / 788.00元,https://book.douban.com/subject/3746915/
李泽厚集,9.7,(77人评价),作者/译者： 李泽厚 ,出版信息：  生活·读书·新知三联书店 / 2008-6-1 / 423.00元,https://book.douban.com/subject/4219498/
论语译注（典藏版）,9.7,(111人评价),作者/译者： 杨伯峻 ,出版信息：  中华书局 / 2015-6 / 39.00,https://book.douban.com/subject/26583911/
金明馆丛稿初编,9.7,(509人评价),作者/译者： 陈寅恪 著、陈美延 编 ,出版信息：  生活·读书·新知三联书店 / 2001-6 / 43.00元,https://book.douban.com/subject/1010189/
给孩子读经典:经史与庄子,9.6,(97人评价),作者/译者： 锺叔河 ,出版信息：  现代出版社 / 2019-8-1 / 88.00,https://book.douban.com/subject/34440232/
陈寅恪集:全14册,9.6,(403人评价),作者/译者： 陈寅恪 ,出版信息：  生活·读书·新知三联书店 / 2009-9 / 998.00元,https://book.douban.com/subject/4086800/
隋唐制度渊源略论稿唐代政治史述论稿,9.6,(1483人评价),作者/译者： 陈寅恪 ,出版信息：  生活·读书·新知三联书店 / 2001-4 / 40.00元,https://book.douban.com/subject/1017795/
世說新語箋疏（全三冊）,9.6,(1001人评价),作者/译者： 余嘉锡 箋疏 / 周祖谟（整理）、余淑宜 （整理）、周士琦 （整理） ,出版信息：  中华书局 / 2008 / 120.00元,https://book.douban.com/subject/2377241/
庄子,9.6,(303人评价),作者/译者： [战国] 庄周 / 梁溪生 标校 ,出版信息：  上海古籍出版社 / 2001-12 / 7.50元,https://book.douban.com/subject/1125216/
史记:韩兆琦评注本,9.6,(610人评价),作者/译者： 司马迁 / 韩兆琦 ,出版信息：  岳麓书社 / 2012-10-1 / 98.00元,https://book.douban.com/subject/6779397/
说文解字注,9.6,(45人评价),作者/译者： [汉]许慎 撰、[清]段玉裁 注、许惟贤 整理 ,出版信息：  凤凰出版社 / 2015-6 / 280.00元,https://book.douban.com/subject/26430922/
老子注译及评介,9.6,(84人评价),作者/译者： 陈鼓应 ,出版信息：  中华书局 / 2015-10 / 68.00元,https://book.douban.com/subject/26690716/
毛诗,9.6,(16人评价),作者/译者： 郑玄 ,出版信息：  上海古籍出版社 / 2003-12 / 60.00元,https://book.douban.com/subject/1141043/
世说新语笺疏,9.6,(337人评价),作者/译者： 余嘉锡著，周祖谟整理 ,出版信息：  中华书局 / 2011-3 / 68.00元,https://book.douban.com/subject/6390999/
布局定式与战理,9.6,(19人评价),作者/译者： 张强、阎文清 ,出版信息：  北京体育大学出版社 / 1999-4-1 / 27.00,https://book.douban.com/subject/1074678/
文选,9.6,(310人评价),作者/译者： [梁] 萧统 编 / [唐] 李善 注 ,出版信息：  中华书局 / 1977-11 / 198.00元,https://book.douban.com/subject/1423254/
文字学概要（修订本）,9.6,(465人评价),作者/译者： 裘锡圭 ,出版信息：  商务印书馆 / 2013-7 / 58.00,https://book.douban.com/subject/25660994/
曾国藩全集（全叁拾壹册）:全31册,9.6,(91人评价),作者/译者： 曾国藩 ,出版信息：  岳麓书社 / 2011-9 / 1980.00元,https://book.douban.com/subject/10456435/
薛颠武学录（上卷）,9.6,(37人评价),作者/译者： 薛颠 ,出版信息：  山西科技出版社 / 2011-1 / 35.00元,https://book.douban.com/subject/5399450/
周禮正義（全十四冊）,9.6,(136人评价),作者/译者： 孙诒让 ,出版信息：  中华书局 / 1987-12-1 / 170.0,https://book.douban.com/subject/1245497/
老子衍庄子通庄子解:王夫之著作集,9.6,(104人评价),作者/译者： 王夫之 / 王孝鱼点校 ,出版信息：  中华书局 / 2009-06 / 35.00元,https://book.douban.com/subject/3819957/
春秋左传注（全四册）:春秋左传注,9.6,(1288人评价),作者/译者： 杨伯峻 ,出版信息：  中华书局 / 2009-10 / 178.00元,https://book.douban.com/subject/4146127/
红楼梦,9.6,(3753人评价),作者/译者： 曹雪芹 著、周汝昌 汇校 ,出版信息：  人民出版社 / 2006-12 / 58.00元,https://book.douban.com/subject/1950809/
漫画哲学经典系列（套书精装本）,9.5,(27人评价),作者/译者： 蔡志忠 ,出版信息：  海豚出版社 / 2013-7 / 300.00,https://book.douban.com/subject/24845181/
