书名,评分,评价人数,作者,出版社,url
明希豪森奇游记,9.8,(45人评价),作者/译者： (德)埃.拉斯伯 / 刘浩 ,出版信息：  少年儿童出版社 / 1980.9 / 0.35,https://book.douban.com/subject/2364277/
莎士比亚戏剧集（全八册）,9.7,(90人评价),作者/译者： 威廉·莎士比亚 / 朱生豪 ,出版信息：  内蒙古人民出版社 / 2004-12 / 200.00元,https://book.douban.com/subject/1444804/
飘:名著名译插图本•精华版,9.6,(837人评价),作者/译者： 米切尔 / 戴侃、李野光、庄绎传 ,出版信息：  人民文学出版社 / 1990-8 / 50.00元,https://book.douban.com/subject/3181270/
莎士比亚全集（三）,9.6,(72人评价),作者/译者： [英] 威廉·莎士比亚 ,出版信息：  朱生豪 / 人民文学出版社 / 1978年4月北京第1版,https://book.douban.com/subject/3223637/
莎士比亚全集5,9.6,(57人评价),作者/译者： ,出版信息： [英] 威廉·莎士比亚 / 人民文学出版社 / 1978年4月北京第1版,https://book.douban.com/subject/3223638/
悲惨世界,9.5,(8368人评价),作者/译者： [法] 雨果 / 李丹、方于 ,出版信息：  人民文学出版社 / 2015-6 / 110.00元,https://book.douban.com/subject/25897657/
飘:世界文学名著典藏,9.5,(1434人评价),作者/译者： 玛格丽特·米切尔 / 范纯海 ,出版信息：  长江文艺 / 2002-10 / 50.00元,https://book.douban.com/subject/1748848/
卡拉马佐夫兄弟-全二册,9.5,(223人评价),作者/译者： [俄] 陀思妥耶夫斯基 / 耿济之 ,出版信息：  译林出版社 / 2012-4 / 66.00元,https://book.douban.com/subject/10554712/
基督山伯爵（上下）:上下,9.5,(159人评价),作者/译者： 大仲马 / 沈培德、于君文 ,出版信息：  中国对外翻译出版公司 / 1999 / 69.00元,https://book.douban.com/subject/2335875/
乱世佳人（上下）,9.5,(221人评价),作者/译者： (美)玛格丽特・米切尔 / 陈良廷 等 ,出版信息：  上海译文出版社 / 2005-05 / 68.00元,https://book.douban.com/subject/1292350/
飘:飘(英文版)(套装全二册)(世界文学经典读本),9.5,(215人评价),作者/译者： 玛格丽特·米切尔 ,出版信息：  中央编译出版社 / 2008-11 / 68.00元,https://book.douban.com/subject/3333491/
基督山伯爵,9.4,(1588人评价),作者/译者： [法]大仲马 / 蒋学模 ,出版信息：  人民文学出版社 / 1978-12-00 / 4,https://book.douban.com/subject/3904329/
1984:动物农场,9.4,(20990人评价),作者/译者： [英] 乔治·奥威尔 / 董乐山、傅惟慈 ,出版信息：  万卷出版公司 / 2010-10 / 25.00元,https://book.douban.com/subject/5299764/
莎士比亚全集（四）,9.4,(129人评价),作者/译者： 莎士比亚 ,出版信息：  朱生豪 / 人民文学出版社 / 1978,https://book.douban.com/subject/1782144/
福尔摩斯探案全集,9.4,(5715人评价),作者/译者： （英）阿瑟・柯南道尔 / 贺天同 ,出版信息：  中国电影出版社 / 2003-1 / 80.00元,https://book.douban.com/subject/1214416/
飘（上下）,9.4,(2733人评价),作者/译者： 米切尔 / 方正 ,出版信息：  北京燕山出版社 / 2000-12 / 39.5,https://book.douban.com/subject/1122105/
悲惨世界(上中下)/名著名译丛书,9.4,(479人评价),作者/译者： 雨果 / 李丹 ,出版信息：  人民文学出版社 / 1992-6-1 / 60.00,https://book.douban.com/subject/1089122/
乱世佳人:(全译本),9.4,(3022人评价),作者/译者： 玛格丽特.米切尔 / 陈良廷等 ,出版信息：  上海译文出版社 / 1990-5 / 16.10元,https://book.douban.com/subject/1996678/
安娜·卡列尼娜,9.4,(340人评价),作者/译者： (俄)列夫·托尔斯泰 / 草婴 ,出版信息：  北京联合出版公司 / 2014-1 / 38.80元,https://book.douban.com/subject/24935028/
斯·茨威格中短篇小说选,9.4,(451人评价),作者/译者： 斯·茨威格 (Stefan Zweig) / 张玉书 ,出版信息：  人民文学出版社 / 2016-6-1 / CNY 36.00,https://book.douban.com/subject/26787222/
哈利·波特与“混血王子”,9.4,(156人评价),作者/译者： [英] J·K·罗琳 / 马爱农、马爱新 ,出版信息：  人民文学出版社 / 2018-10 / 72.00元,https://book.douban.com/subject/30294371/
飘,9.4,(2880人评价),作者/译者： 玛格丽特·米切尔 / 傅东华 ,出版信息：  浙江文艺出版社 / 2008-4 / 68.00元,https://book.douban.com/subject/3043562/
哈姆雷特,9.4,(83人评价),作者/译者： ,出版信息： （英）威廉·莎士比亚 / 朱生豪 / 2019-8-31,https://book.douban.com/subject/34814279/
悲惨世界（上下）,9.4,(1130人评价),作者/译者： （法）雨果 / 潘丽珍 ,出版信息：  译林出版社 / 2010-11 / 68.00元,https://book.douban.com/subject/5407295/
卡拉马佐夫兄弟,9.4,(18789人评价),作者/译者： [俄] 费奥多尔·陀思妥耶夫斯基 / 荣如德 ,出版信息：  上海译文出版社 / 2006-8 / 25.00元,https://book.douban.com/subject/1856494/
