书名,评分,评价人数,作者,出版社,url
火人,9.9,(16人评价),作者/译者： [美] 乔·希尔 / 金凯 ,出版信息：  文化发展出版社 / 2021-4-1 / 79.80,https://book.douban.com/subject/35362278/
RhythmofWar:TheStormlightArchive,9.8,(15人评价),作者/译者： ,出版信息： Brandon Sanderson / 2020-11-17,https://book.douban.com/subject/34951973/
塔希里亚故事集:典藏版,9.7,(23人评价),作者/译者： 吴淼 ,出版信息：  接力出版社 / 2020-6 / 1500.00元,https://book.douban.com/subject/35052304/
JoJo冒險野郎Part6石之海1,9.7,(600人评价),作者/译者： 荒木飛呂彥 / 黃瑾瑜 ,出版信息：  大然文化 / 民89 / NT$80,https://book.douban.com/subject/2075840/
冰与火之歌,9.7,(766人评价),作者/译者： 乔治•R.R.马丁 ,"出版信息：  重庆出版社,重庆出版集团 / 2017-1-1 / CNY 686.00",https://book.douban.com/subject/27059272/
十二國記:圖南之翼,9.7,(121人评价),作者/译者： 小野不由美 / 王蘊潔 ,出版信息：  尖端 / 2015-8-12 / NT$440,https://book.douban.com/subject/26387633/
哈利·波特,9.7,(47433人评价),作者/译者： J.K.罗琳 (J.K.Rowling) / 苏农、马爱农、马爱新 ,出版信息：  人民文学出版社 / 2008-12-1 / 498.00元,https://book.douban.com/subject/24531956/
TheReturnoftheKing,9.6,(296人评价),作者/译者： J. R. R. Tolkien ,出版信息：  HarperCollins / 1999-6 / GBP 7.99,https://book.douban.com/subject/1340583/
AGameofThrones,9.6,(410人评价),作者/译者： George R.R. Martin ,出版信息：  Voyager / 1998-01-05 / GBP 8.99,https://book.douban.com/subject/2983313/
哈利·波特:典藏版,9.6,(324人评价),作者/译者： J.K.罗琳 / 马爱农、马爱新、苏农 ,出版信息：  人民文学出版社 / 2017-9-1 / CNY 648.00,https://book.douban.com/subject/27045883/
魔戒：插图版,9.6,(236人评价),作者/译者： (英)J.R.R.托尔金 / 朱学恒 ,出版信息：  译林出版社 / 2013-1 / 118.00元,https://book.douban.com/subject/10875956/
冰与火之歌·卷三·冰雨的风暴（全三册）,9.6,(5227人评价),作者/译者： (美)乔治·R. R. 马丁 / 屈畅、胡绍晏 ,出版信息：  重庆出版社 / 2012-6 / 148.00元,https://book.douban.com/subject/10608468/
六人飞行组,9.6,(136人评价),作者/译者： 祝晓羽 ,出版信息：  中国少年儿童出版社 / 2003-06 / 15.00,https://book.douban.com/subject/1063639/
猎魔人（卷三）精灵之血,9.6,(67人评价),作者/译者： [波兰] 安杰伊·萨普科夫斯基 / 乌兰、小龙 ,出版信息：  重庆出版社 / 2020-8 / 72.80元,https://book.douban.com/subject/35139963/
進擊的巨人25,9.6,(754人评价),作者/译者： 諫山創 / 林志昌 ,出版信息：  東立出版社 / 2018-6 / NT$100,https://book.douban.com/subject/30186468/
AtlasofMiddle-earth,9.6,(52人评价),作者/译者： Karen Wynn Fonstad ,出版信息：  Houghton Mifflin / 2001-04-10 / USD 25.00,https://book.douban.com/subject/2034906/
哈利·波特与密室,9.5,(272人评价),作者/译者： J.K.罗琳 / 马爱农、马爱新 ,出版信息：  人民文学出版社 / 2016-12-1 / CNY 72.00,https://book.douban.com/subject/26874198/
