书名,评分,评价人数,作者,出版社,url
艾丽斯·沃克：妇女主义者的传奇,10.0,(12人评价),作者/译者： 王晓英 ,出版信息：  华中科技大学出版社 / 2020-9 / 46.00元,https://book.douban.com/subject/35222662/
"CalibanAndTheWitch:Women,theBodyandPrimitiveAccumulation",9.9,(63人评价),作者/译者： Silvia Federici ,出版信息：  Autonomedia / 2017-6-30 / GBP 17.99,https://book.douban.com/subject/2897697/
风的女儿:二战德国女飞行员的交错人生,9.7,(24人评价),作者/译者： [英]克莱尔•马利（Clare Mully） / 姜洁 ,出版信息：  生活·读书·新知三联书店 / 2021-3-31 / 78,https://book.douban.com/subject/35048542/
第二性:第二性第一卷/第二卷上/第二卷下,9.7,(94人评价),作者/译者： 西蒙.德.波娃(Simone de Beauvoir) / 邱瑞鑾 ,出版信息：  貓頭鷹出版社 / 2013-10-8 / NT$1500,https://book.douban.com/subject/25712807/
女性面對的戰爭:及那些敢於抵抗的勇者,9.7,(84人评价),作者/译者： 蘇‧勞伊德•羅伯茨（Sue Lloyd-Roberts） / 謝濱安 ,出版信息：  自由之丘 / 2018-1-10 / NT$ 400.00,https://book.douban.com/subject/27665046/
一间自己的房间,9.6,(90人评价),作者/译者： [英]弗吉尼亚•吴尔夫 / 贾辉丰 ,出版信息：  商务印书馆 / 2019-4 / 28.00,https://book.douban.com/subject/30477653/
真相四部曲:拉罗斯·踩影游戏·屠夫俱乐部·甜菜女王,9.6,(65人评价),作者/译者： [美] 路易丝·厄德里克 / 张廷佺、周嘉宁、杨世祥、汪章雯 ,出版信息：  中信出版集团 / 2020-7 / 198.00元,https://book.douban.com/subject/34997261/
TheWomen'sRoom,9.6,(27人评价),"作者/译者： French, Marilyn ",出版信息：  Penguin Books / 2009-5 / 117.00元,https://book.douban.com/subject/4684676/
女神的失落,9.5,(18人评价),作者/译者： 龚维英 ,出版信息：  河南大学出版社 / 1993-11-1 / 13.50元,https://book.douban.com/subject/25957127/
爱他，也要爱自己,9.5,(44人评价),作者/译者： 贝弗莉·恩格尔 / 杨淑智 ,出版信息：  重庆 / 2011-5 / 25.00元,https://book.douban.com/subject/6523709/
房思琪的初恋乐园:精装纪念版,9.4,(1286人评价),作者/译者： 林奕含 ,出版信息：  贵州人民出版社 / 2020-7 / 58.00元,https://book.douban.com/subject/35063046/
傲慢与偏见,9.4,(181人评价),作者/译者： 奥斯丁 / 张经浩 ,出版信息：  中国对外翻译出版公司 / 2009-6 / 18.00元,https://book.douban.com/subject/4024336/
KnowMyName:AMemoir,9.4,(467人评价),作者/译者： ,出版信息： Chanel Miller / Viking / 2019-9-24,https://book.douban.com/subject/34840716/
WomenandChina'sRevolutions,9.4,(17人评价),作者/译者： Gail Hershatter ,出版信息：  Rowman & Littlefield Publishers / 2018-9-15 / USD 99.00,https://book.douban.com/subject/30188835/
四十个房间,9.4,(448人评价),作者/译者： [美] 奥尔加·格鲁辛 / 戚悦 ,出版信息：  中信出版集团 / 2017-11 / 48.00元,https://book.douban.com/subject/27139766/
失踪的孩子:那不勒斯系列4,9.4,(279人评价),作者/译者： [意] 埃莱娜·费兰特 ,出版信息：  上海文艺出版社 / 2019-10 / 74.00元,https://book.douban.com/subject/34661937/
浮出历史地表:现代妇女文学研究,9.3,(625人评价),作者/译者： 孟悦、戴锦华 ,出版信息：  北京大学出版社 / 2018-5 / 59.00元,https://book.douban.com/subject/30147095/
母亲的岛,9.3,(25人评价),作者/译者： 陶丽群 ,出版信息：  广西人民出版社 / 2016-1 / 35,https://book.douban.com/subject/27036614/
TheGenderofMemory:RuralWomenandChina'sCollectivePast,9.3,(104人评价),作者/译者： Gail Hershatter ,出版信息：  University of California Press / 2011-8-5 / USD 85.00,https://book.douban.com/subject/6434994/
女权主义在中国的翻译历程,9.3,(41人评价),作者/译者： 王政 ,出版信息：  复旦大学出版社 / 2016-5 / 45.00元,https://book.douban.com/subject/26821271/
亲密关系,9.3,(8524人评价),作者/译者： [美] 罗兰·米勒 (Rowland S. Miller) / 王伟平 译、彭凯平 校 ,出版信息：  人民邮电出版社 / 2015-6 / 138.00元,https://book.douban.com/subject/26585065/
第二性Ⅱ:实际体验,9.3,(5143人评价),作者/译者： [法] 西蒙娜·德·波伏瓦 / 郑克鲁 ,出版信息：  上海译文出版社 / 2011-9 / 49.00元,https://book.douban.com/subject/4745950/
大宋小宅门,9.3,(122人评价),作者/译者： 时音 ,出版信息：  台海出版社 / 2020-8-1 / 69.8,https://book.douban.com/subject/35166710/
HowWomenRise:Breakthe12HabitsHoldingYouBack,9.3,(21人评价),作者/译者： Sally Helgesen、Marshall Goldsmith ,出版信息：  Random House Business / 2018-4-12 / GBP 13.99,https://book.douban.com/subject/30199115/
性別打結——拆除父權違建,9.3,(552人评价),作者/译者： 亞倫·強森（Allan G. Johnson) / 成令方、王秀云、游美惠、邱大昕、吳嘉苓 ,出版信息：  群學出版社 / 2008-3 / NT 450元,https://book.douban.com/subject/3066800/
TheAtlasofBeauty:WomenoftheWorldin500Portraits,9.3,(126人评价),作者/译者： Mihaela Noroc ,出版信息：  Penguin Books Ltd / 2017-9-26 / USD 18.95,https://book.douban.com/subject/27052523/
TheChoice:EmbracethePossible,9.3,(160人评价),作者/译者： Dr. Edith Eva Eger ,出版信息：  Scribner / 2017-9-5 / USD 27.00,https://book.douban.com/subject/27609751/
甜蜜恋爱课：建立亲密关系的爱情指南:交个靠谱男友，谈段有效恋爱,9.3,(33人评价),作者/译者： 贝加 ,出版信息：  南海出版社 / 2020-8 / 55.00元,https://book.douban.com/subject/35139831/
桶川跟踪狂杀人事件,9.3,(2845人评价),作者/译者： [日] 清水洁 / 王华懋 ,出版信息：  后浪丨四川人民出版社 / 2021-2 / 45.00元,https://book.douban.com/subject/35094680/
飘,9.3,(177255人评价),作者/译者： [美国] 玛格丽特·米切尔 / 李美华 ,出版信息：  译林出版社 / 2000-9 / 40.00元,https://book.douban.com/subject/1068920/
SheSaid:BreakingtheSexualHarassmentStoryThatHelpedIgniteaMovement,9.3,(174人评价),作者/译者： Jodi Kantor、Megan Twohey ,出版信息：  Penguin Press / 2019-9-10 / USD 28.00,https://book.douban.com/subject/34809446/
知晓我姓名,9.3,(2688人评价),作者/译者： [美]香奈儿·米勒 / 陈毓飞 / 世纪文景,出版信息： 上海人民出版社 / 2020-8 / 59.00元,https://book.douban.com/subject/35093999/
醒来的女性:戴潍娜导读版,9.3,(17人评价),作者/译者： [美] 玛丽莲·弗伦奇 / 余莉 ,出版信息：  未读·文艺家·北京燕山出版社 / 2020-10 / 118.00元,https://book.douban.com/subject/35231610/
弗吉尼亚·伍尔夫：永恒的英伦百合,9.3,(24人评价),作者/译者： 杨莉馨、焦红乐 ,出版信息：  华中科技大学出版社 / 2020-9 / 62.00元,https://book.douban.com/subject/35222658/
离开的，留下的:那不勒斯系列3,9.2,(451人评价),作者/译者： [意] 埃莱娜·费兰特 / 陈英 ,出版信息：  上海文艺出版社 / 2019-10 / 74.00元,https://book.douban.com/subject/34661943/
第二性（合卷本）,9.2,(3432人评价),作者/译者： [法] 西蒙娜·德·波伏瓦 / 郑克鲁 ,出版信息：  上海译文出版社 / 2014-1 / 138.00,https://book.douban.com/subject/25822104/
记忆的性别:农村妇女和中国集体化历史,9.2,(1172人评价),作者/译者： [美] 贺萧（Gail Hershatter） / 张赟 ,出版信息：  人民出版社 / 2017-4-1 / CNY 88.00,https://book.douban.com/subject/27030380/
撒哈拉的故事,9.2,(8942人评价),作者/译者： 三毛 ,出版信息：  北京十月文艺出版社 / 2017-3-1 / CNY 35.00,https://book.douban.com/subject/26997048/
奥兰多,9.2,(302人评价),作者/译者： [英] 弗吉尼亚·伍尔夫 / 徐会坛、刘漪、王瑜玲、周乐怡 ,出版信息：  华中科技大学出版社 / 2020-7 / 39.8,https://book.douban.com/subject/35088135/
