书名,评分,评价人数,作者,出版社,url
灌篮高手31,9.5,(29067人评价),作者/译者： [日] 井上雄彦 / 邹宁 ,出版信息：  长春出版社 / 2005-1 / 7.50元,https://book.douban.com/subject/1221515/
宇宙,9.2,(736人评价),作者/译者： （美）卡尔·萨根 / 周秋麟、吴依俤 ,出版信息：  吉林人民出版社 / 1998-11 / 25.00,https://book.douban.com/subject/1072767/
女大学生安妮,9.2,(548人评价),作者/译者： [加] 露西·莫德·蒙哥玛利 / 周莉 ,出版信息：  浙江文艺出版社 / 2002-7 / 15.00元,https://book.douban.com/subject/1451453/
渴望生活:梵高传,9.2,(10106人评价),作者/译者： [美] 欧文·斯通 / 常涛 ,出版信息：  北京十月文艺出版社 / 2008-4 / 29.80元,https://book.douban.com/subject/3054821/
撒哈拉的故事,9.2,(111496人评价),作者/译者： 三毛 ,出版信息：  哈尔滨出版社 / 2003-8 / 15.80元,https://book.douban.com/subject/1060068/
"ThinkingArchitecture,2ndEdition",9.2,(510人评价),作者/译者： Peter Zumthor ,出版信息：  Birkhäuser Architecture / 2006-6-1 / USD 40.00,https://book.douban.com/subject/1793793/
天堂之鸟:三毛摄影诗歌集,9.1,(196人评价),作者/译者： 三毛、萧全 ,出版信息：  成都科技大学出版社 / 1991年3月 / 3.2,https://book.douban.com/subject/2137632/
活着,9.1,(193284人评价),作者/译者： 余华 ,出版信息：  南海出版公司 / 1998-5 / 12.00元,https://book.douban.com/subject/1082154/
白夜行,9.1,(342039人评价),作者/译者： [日] 东野圭吾 / 刘姿君 ,出版信息：  南海出版公司 / 2013-1-1 / 39.50元,https://book.douban.com/subject/10554308/
象棋的故事,9.1,(10087人评价),作者/译者： [奥] 斯蒂芬·茨威格 / 张玉书 ,出版信息：  上海译文出版社 / 2007-7 / 23.00元,https://book.douban.com/subject/2158684/
梦中小屋的安妮,9.0,(134人评价),作者/译者： 蒙哥马利 / 黄夏青 ,出版信息：  重庆出版社 / 2009-7 / 17.50元,https://book.douban.com/subject/3517509/
寻路中国:从乡村到工厂的自驾之旅,9.0,(45573人评价),作者/译者： [美] 彼得·海斯勒 / 李雪顺 ,出版信息：  上海译文出版社 / 2011-1 / 33.00元,https://book.douban.com/subject/5414391/
