书名,评分,评价人数,作者,出版社,url
小家，越住越大,8.4,(13461人评价),作者/译者： 逯薇 ,出版信息：  中信出版集团 / 2016-5 / 58.00元,https://book.douban.com/subject/26775466/
小家，越住越大2,8.6,(4860人评价),作者/译者： 逯薇 ,出版信息：  中信出版集团股份有限公司 / 2018-4 / 68.00元,https://book.douban.com/subject/30199037/
小家，越住越大3,8.7,(2596人评价),作者/译者： 逯薇 ,出版信息：  中信出版社 / 2019-10 / 69.00元,https://book.douban.com/subject/34824414/
这样装修不后悔（插图修订版）:百笔血泪经验告诉你的装修早知道,8.3,(1944人评价),作者/译者： 姥姥 ,出版信息：  北京联合出版公司·后浪出版公司 / 2014-5 / 60.00元,https://book.douban.com/subject/25858712/
住宅设计解剖书,7.7,(2369人评价),作者/译者： 増田奏 / 赵可 ,出版信息：  南海出版公司 / 2013-9-1 / 39,https://book.douban.com/subject/25732461/
住宅读本,8.3,(554人评价),作者/译者： [日] 中村好文 / 蕾克 ,出版信息：  后浪丨中国华侨出版社 / 2019-1 / 99.80元,https://book.douban.com/subject/30383598/
东京风格,7.8,(2221人评价),作者/译者： [日]都筑响一 / 吕灵芝 ,出版信息：  新星出版社 / 2019-5 / 158.00元,https://book.douban.com/subject/33301294/
生活图鉴:独立生活完全指导手册,7.9,(788人评价),作者/译者： [日] 越智登代子、平野惠理子 / 张杰雄 ,出版信息：  后浪丨四川人民出版社 / 2018-11 / 70.00元,https://book.douban.com/subject/30348422/
室内绿植完整手册:我的植物生活新提案,7.1,(328人评价),作者/译者： 劳伦·卡米雷利、索菲娅·卡普兰 ,出版信息：  中信出版集团·雅信 / 2020-1-1 / 98,https://book.douban.com/subject/34872537/
家庭收纳1000例,8.5,(2034人评价),作者/译者： (日)主妇之友社、[日]近藤典子 / 刘丹云 ,出版信息：  吉林科学技术出版社 / 2006-5 / 29.80元,https://book.douban.com/subject/1799984/
