书名,评分,评价人数,作者,出版社,url
篮球飞人:男兒當入樽,9.6,(10426人评价),作者/译者： 井上雄彥 / 张成淼 ,出版信息：  文化傳訊 / 1996-3-30 / HK$32.00,https://book.douban.com/subject/1337297/
失乐园全集,9.5,(50人评价),作者/译者： 几米 ,出版信息：  现代出版社 / 2007年03月 / 130.0,https://book.douban.com/subject/1442185/
灌篮高手31,9.5,(29067人评价),作者/译者： [日] 井上雄彦 / 邹宁 ,出版信息：  长春出版社 / 2005-1 / 7.50元,https://book.douban.com/subject/1221515/
拥抱,9.4,(62人评价),作者/译者： 幾米 ,出版信息：  海豚出版社 / 2013-1 / 42.00元,https://book.douban.com/subject/20002886/
吃掉黑暗的怪兽,9.4,(66人评价),作者/译者： 乔伊斯·邓巴、几米 / 彭倩文 ,出版信息：  新星出版社 / 2012-10 / 36.00元,https://book.douban.com/subject/20393668/
MONSTER-怪物-18:SCENERYOFTHEDOOMSDAY,9.4,(1409人评价),作者/译者： 浦沢直樹 ,出版信息：  東立 / 2002-6-26 / 新台币100元,https://book.douban.com/subject/1499186/
幾米袖珍本2002-2003:《布瓜的世界》《幸運兒》《你們我們他們》《森林裡的祕密》《微笑的,9.3,(64人评价),作者/译者： 幾米 ,出版信息：  大塊 / 2012-5 / 279.60元,https://book.douban.com/subject/3182994/
《There'sadarkdarkwoodinsidemyhead》,9.3,(174人评价),作者/译者： b.wing ,出版信息：  香港 / 2009年12月 / HKD128.00,https://book.douban.com/subject/4230583/
先知:双语译林,9.2,(1414人评价),作者/译者： (黎巴嫩)纪伯伦 / 冰心 ,出版信息：  译林出版社 / 2008-6 / 15.80元,https://book.douban.com/subject/3151603/
春雨,9.2,(42人评价),作者/译者： 郑清文、幾米 ,出版信息：  新星出版社 / 2016-3 / 36.00,https://book.douban.com/subject/26769812/
幾米袖珍本2004-2006:2006,9.2,(168人评价),作者/译者： 幾米 ,出版信息：  海豚出版社 / 2012-8-1 / 68.00元,https://book.douban.com/subject/11542227/
月亮忘記了（平裝）（2007年新版）:TheMoonForgets,9.2,(27人评价),作者/译者： 幾米 ,出版信息：  大塊文化 / 2007-10-1 / NT$ 260,https://book.douban.com/subject/4906782/
最新几米创作精选,9.2,(110人评价),作者/译者： 几米 ,出版信息：  现代出版社 / 2010-3 / 248.00元,https://book.douban.com/subject/4724245/
幾米袖珍本(2004-2006),9.2,(54人评价),作者/译者： 幾米 ,出版信息：  大塊文化 / 2011-1 / 319.60元,https://book.douban.com/subject/6515913/
你真好:蒲蒲兰绘本馆,9.1,(3050人评价),作者/译者： 宫西达也 文/图 / 蒲蒲兰 ,出版信息：  二十一世纪出版社 / 2005-8 / 26.80元,https://book.douban.com/subject/1436586/
永远的丁丁:《丁丁历险记》创作历程,9.1,(276人评价),作者/译者： 迈克・法尔 / 邹晓平 ,出版信息：  中国少年儿童出版社 / 2004-5-1 / 88.00元,https://book.douban.com/subject/1171912/
活着,9.1,(86976人评价),作者/译者： 余华 ,出版信息：  上海文艺出版社 / 2004-5 / 13.00元,https://book.douban.com/subject/1061118/
星空,9.1,(1090人评价),作者/译者： 几米 ,出版信息：  现代出版社 / 2014-3-1 / 50.00元,https://book.douban.com/subject/25848538/
幾米袖珍本2002-2003,9.1,(287人评价),作者/译者： 幾米 ,出版信息：  人民文学出版社 / 2009-10-01 / 78.00元,https://book.douban.com/subject/4167915/
月亮忘记了（精装）,9.1,(13人评价),作者/译者： 幾米 ,出版信息：  九州出版社 / 2018-10 / 68.00,https://book.douban.com/subject/30264936/
被爱路过:朋友刀刀第二季,9.0,(5686人评价),作者/译者： 慕容引刀 ,出版信息：  上海人民出版社 / 2007-9 / 25.00元,https://book.douban.com/subject/2251434/
