书名,评分,评价人数,作者,出版社,url
秒赞:文案女王20年创作技巧与心法,7.4,(414人评价),作者/译者： 林桂枝 ,出版信息：  中信出版 / 2021-2 / 59.00,https://book.douban.com/subject/35345323/
传神文案:文案写对，营销才能做对,8.4,(270人评价),作者/译者： 空手 ,出版信息：  机械工业出版社 / 2021-2 / 79,https://book.douban.com/subject/35368439/
定位:有史以来对美国营销影响最大的观念,8.0,(8882人评价),作者/译者： 杰克·特劳特（Jack Trout）、阿尔·里斯（AL Ries） / 谢伟山、苑爱冬 ,出版信息：  机械工业出版社 / 2011-1-1 / 42.00元,https://book.douban.com/subject/5421787/
一个广告人的自白,8.3,(8579人评价),作者/译者： （美）奥格威 / 林桦 ,出版信息：  中国物价出版社 / 2003-7-1 / 29.80,https://book.douban.com/subject/1031526/
文案的基本修养,8.3,(2514人评价),作者/译者： 东东枪 ,出版信息：  中信出版社 / 2019-10 / 68.00,https://book.douban.com/subject/34872361/
计算广告:互联网商业变现的市场与技术,8.7,(1268人评价),作者/译者： 刘鹏、王超 ,出版信息：  人民邮电出版社 / 2015-9-1 / 69.00元,https://book.douban.com/subject/26596778/
畅销的原理:为什么好观念、好产品会一炮而红？,7.8,(547人评价),作者/译者： [爱尔兰] 马修·威尔科克斯（Matthew Willcox） / 包云波 ,出版信息：  后浪丨北京联合出版公司 / 2020-12 / 46.00元,https://book.douban.com/subject/26919762/
品牌洗脑:世界著名品牌只做不说的营销秘密,7.8,(3370人评价),作者/译者： [美] 马丁·林斯特龙 / 赵萌萌 ,出版信息：  中信出版社 / 2013-1 / 45.00元,https://book.douban.com/subject/20473412/
计算广告第2版:互联网商业变现的市场与技术,8.9,(212人评价),作者/译者： 刘鹏、王超 ,出版信息：  人民邮电出版社 / 2019-9 / 89.00,https://book.douban.com/subject/34804492/
流量池,7.5,(3779人评价),作者/译者： 杨飞 ,出版信息：  中信出版集团 / 2018-4 / 68.00,https://book.douban.com/subject/30191451/
小丰现代汉语广告语法辞典,7.8,(639人评价),作者/译者： 丰信东 ,出版信息：  中国青年出版社 / 2004-9 / 70,https://book.douban.com/subject/2063723/
超级符号就是超级创意:席卷中国市场10年的华与华战略营销创意方法,8.1,(2260人评价),作者/译者： 华杉、华楠 ,出版信息：  天津人民出版社 / 2014-1 / 46.00,https://book.douban.com/subject/25779152/
程序化广告个性化精准投放实用手册,8.2,(244人评价),作者/译者： 梁丽丽 ,出版信息：  人民邮电出版社 / 2017-10-1 / CNY 79.00,https://book.douban.com/subject/27180590/
一个广告人的自白,8.3,(4863人评价),作者/译者： 大卫•奥格威 (David Ogilvy) ,出版信息：  中信出版社 / 2010-7-1 / 29.00元,https://book.douban.com/subject/4899351/
故事经济学,7.2,(1101人评价),作者/译者： [美]罗伯特·麦基、[美]托马斯·格雷斯 / 陶曚 ,出版信息：  天津人民出版社 / 2018-6-1 / CNY 68.00,https://book.douban.com/subject/30217981/
TheCopyBook全球32位顶尖广告文案的写作之道,8.6,(818人评价),作者/译者： 英国D&AD协会 / 赖治怡 ,出版信息：  滚石文化股份有限公司 / 1997.12 / 新台币 1800,https://book.douban.com/subject/2223180/
科学的广告+我的广告生涯,8.4,(1007人评价),作者/译者： 【美】克劳德•霍普金斯（Claude C. Hopkins） / 邱凯生 ,出版信息：  华文出版社 / 2010-10 / 45.00元,https://book.douban.com/subject/5300079/
定位,8.2,(8742人评价),作者/译者： [美] 艾·里斯、杰克·特劳特 / 王恩冕 等 ,出版信息：  中国财政经济出版社 / 2002-2 / 39.80元,https://book.douban.com/subject/1017180/
我们在为什么样的广告买单,8.0,(152人评价),作者/译者： [英]罗伯特·希思 ,出版信息：  任永欣、郑昊沫 / 世界图书出版公司 / 2016-7,https://book.douban.com/subject/26822490/
文案创作完全手册:文案大师教你一步步写出销售力,7.7,(1517人评价),作者/译者： 罗伯特•布莱 (Robert W. Bly) / 刘怡女、袁婧 ,出版信息：  北京联合出版公司 / 2013-9-1 / CNY 45.00,https://book.douban.com/subject/24854628/
营销管理,9.0,(2099人评价),作者/译者： [美] 菲利普·科特勒、[美] 凯文·莱恩·凯勒 / 梅清豪 ,出版信息：  上海人民出版社 / 2006-9 / 78.00元,https://book.douban.com/subject/1894695/
如何把产品打造成有生命的品牌:跟广告鬼才叶明桂学品牌的技术与艺术,7.5,(720人评价),作者/译者： 叶明桂 ,出版信息：  中信出版社 / 2018-2 / 42.00元,https://book.douban.com/subject/30157243/
一个广告人的自白（纪念版）,8.3,(551人评价),作者/译者： [美]大卫·奥格威 / 林桦 ,出版信息：  中信出版社 / 2015-7-1 / CNY 35.00,https://book.douban.com/subject/26663738/
品牌创造增长:如何让你的产品成为用户的首选,8.5,(66人评价),作者/译者： 王直上 ,出版信息：  中信出版集团 / 2020-10-1 / 58元,https://book.douban.com/subject/35234806/
奥美的观点8赢在公关:创造品牌影响力,9.8,(63人评价),作者/译者： 奥美集团 ,出版信息：  中信出版集团股份有限公司 / 2021-4 / 68.00,https://book.douban.com/subject/35404928/
文案发烧:20座ONESHOW奖杯得主的广告心得,8.1,(1089人评价),作者/译者： [美] 路克·苏立文 / 徐凤兰 ,出版信息：  中国财政经济出版社 / 2004-8-1 / 39.80元,https://book.douban.com/subject/1083444/
品牌的技术与艺术:向广告鬼才葉明桂学洞察力与故事力,8.4,(351人评价),作者/译者： ,出版信息： 葉明桂 / 时报出版,https://book.douban.com/subject/27045943/
十四堂人生创意课,8.1,(14765人评价),作者/译者： 李欣频 ,出版信息：  电子工业出版社 / 2008-1 / 26.00,https://book.douban.com/subject/2363651/
洞见:世界最富创意的广告公司BBDO,8.3,(485人评价),作者/译者： [美] 菲尔·杜森伯里 / 宋洁 ,出版信息：  上海远东出版社 / 2011-5 / 32.00元,https://book.douban.com/subject/6509957/
创意之道:全球32位顶尖广告文案的写作之道,8.6,(344人评价),作者/译者： ,出版信息： 特约编辑：Alastair Crompton、编辑：Lan White / 英国设计与艺术指导协会 / 198元,https://book.douban.com/subject/2008542/
营销革命4.0:从传统到数字,7.6,(335人评价),作者/译者： [美] 菲利普·科特勒（Philip Kotler）、[印尼] 何麻温·卡塔加雅（Hermawan Kartajaya）、[印尼] 伊万·塞蒂亚万（Iwan Setiawan） / 王赛 ,出版信息：  机械工业出版社 / 2018-1 / 45.00,https://book.douban.com/subject/27609916/
爆款文案:把文案变成“印钞机”,7.1,(2292人评价),作者/译者： 关健明 ,出版信息：  北京联合出版公司 / 2017-12 / 42.00元,https://book.douban.com/subject/27168701/
那些想红的年轻人:自媒体人生存指南,8.2,(120人评价),作者/译者： G 僧东、林仙子 ,出版信息：  民主与建设出版社 / 2020-11 / 45.00,https://book.douban.com/subject/35236126/
NeilFrench:前奥美全球创意执行总监自传,9.0,(329人评价),作者/译者： Neil French ,出版信息：  100PAGES PRESS / 2004 / 120,https://book.douban.com/subject/2081341/
