书名,评分,评价人数,作者,出版社,url
童寯文集（第二卷）,10.0,(24人评价),作者/译者： 童寯 ,出版信息：  中国建筑工业出版社 / 2001-8 / 66.00元,https://book.douban.com/subject/1579975/
ThomasHeatherwick,9.8,(37人评价),作者/译者： ,"出版信息： Heatherwick, Thomas / 2012-6 / 462.95元",https://book.douban.com/subject/7043430/
MaskofMedusa:Works1947-1983,9.8,(65人评价),作者/译者： John Hejduk ,出版信息：  Rizzoli Intl Pubns / 1985-12 / USD 35.00,https://book.douban.com/subject/2335872/
中国雕塑史,9.7,(24人评价),作者/译者： [日] 大村西崖 / 范建明 ,出版信息：  中国画报出版社 / 2020-7 / 298.00 元,https://book.douban.com/subject/35182610/
藏传佛教寺院考古:ArchaeologicalStudiesonMonasteriesoftheTibetanBuddhism,9.7,(76人评价),作者/译者： 宿白 ,出版信息：  文物出版社 / 1996-10 / 60.00元,https://book.douban.com/subject/1585313/
贝聿铭全集,9.7,(45人评价),作者/译者： [美] 菲利普.朱迪狄欧（Philip Jodidio）、[美] 珍妮特.亚当斯.斯特朗（Janet Adams Strong） / 李佳洁、郑小东 ,出版信息：  电子工业出版社 / 2015-4 / 99.00元,https://book.douban.com/subject/26435054/
梁思成《图像中国建筑史》手绘图:（初次依原件翻拍再版）,9.7,(401人评价),作者/译者： 梁思成 ,出版信息：  新星出版社 / 2017-6 / 98.00元,https://book.douban.com/subject/27204485/
SpomenikMonumentDatabase,9.7,(42人评价),作者/译者： ,出版信息： Donald Niebyl、Damon Murray、Stephen Sorrell / FUEL / 2018-9-6,https://book.douban.com/subject/30392981/
Architects'Data(3rdEdition),9.7,(45人评价),作者/译者： Ernst Neufert、Peter Neufert、Bousmaha Baiche、Nicholas Walliman ,出版信息：  Wiley-Blackwell / 2002-08-23 / USD 114.99,https://book.douban.com/subject/2037949/
StructureasSpace:EngineeringandArchitectureintheWorksofJürgConzettandHisPartners,9.7,(153人评价),作者/译者： Jürg Conzett、Mohsen Mostafavi、Bruno Reichlin ,出版信息：  Architectural Association / 2006 / USD 80.00,https://book.douban.com/subject/2655389/
建筑十书（典藏版）,9.7,(26人评价),作者/译者： [古罗马] 维特鲁威（Vitruvius） / [美] I.D.罗兰 英译、[美] T.N.豪 评注/插图、陈平 中译 ,出版信息：  北京大学出版社 / 2017-10-31 / 152.00元,https://book.douban.com/subject/27187566/
从绘图到建筑物的翻译及其他文章,9.6,(132人评价),作者/译者： Robin Evans ,出版信息：  刘东洋 / 中国建筑工业出版社 / 2018-1-1,https://book.douban.com/subject/27608983/
艺术的故事,9.6,(18485人评价),作者/译者： [英] 贡布里希 (Sir E.H.Gombrich) / 范景中、杨成凯 ,出版信息：  广西美术出版社 / 2008-04 / 280.00,https://book.douban.com/subject/3162991/
"FormandForces:DesigningEfficient,ExpressiveStructures",9.6,(74人评价),作者/译者： Edward Allen、Wacław Zalewski、Nicole Michel、Boston Structures Group ,出版信息：  John Wiley and Sons Ltd / 2009-10-23 / USD 131.21,https://book.douban.com/subject/4573935/
日本庭園集成:茶庭,9.6,(25人评价),作者/译者： 中村昌生、西澤文隆 ,出版信息：  小学館 / 1985-2-8 / JPY 41040,https://book.douban.com/subject/6886076/
紫禁城100,9.5,(542人评价),作者/译者： 赵广超 ,出版信息：  故宫出版社 / 2015-10 / 196.00,https://book.douban.com/subject/26658022/
海因茨・宾纳菲尔德：建筑与方案,9.5,(32人评价),作者/译者： 曼弗雷德·施派德、塞巴斯蒂安·莱格 / 龚晨曦、张妍 ,出版信息：  同济大学出版社 / 2020-4 / 328,https://book.douban.com/subject/35075939/
"StyleintheTechnicalandTectonicArts;or,PracticalAesthetics",9.5,(13人评价),作者/译者： Gottfried Semper / Michael Robinson ,出版信息：  Getty Research Institute / 2004-4-15 / USD 80.00,https://book.douban.com/subject/1462930/
伟大的柯布西耶,9.5,(34人评价),作者/译者： 【法】让-路易·科恩、【英】蒂姆·本顿 / 张艳晗 ,出版信息：  华中科技大学出版社-有书至美 / 2020-2 / 398.00元,https://book.douban.com/subject/34993389/
建築構成学:建築デザインの方法,9.5,(31人评价),作者/译者： 坂本一成、塚本由晴、岩岡竜夫 ,出版信息：  実教出版株式会社 / 2012-3-30 / JPY　2400,https://book.douban.com/subject/10955435/
勒·柯布西耶全集:（第8卷）（1965-1969年）,9.5,(135人评价),作者/译者： W·博奥席耶 ,出版信息：  中国建筑工业出版社 / 2005-8 / 45.00元,https://book.douban.com/subject/1682639/
江南园林志,9.5,(610人评价),作者/译者： 童寯 ,出版信息：  中国建筑工业出版社 / 1984-10 / 60.00元,https://book.douban.com/subject/1114862/
ＭＹＤＥＡＲＢＯＭＢ,9.5,(32人评价),作者/译者： 山本耀司、満田愛 ,"出版信息：  岩波書店 / 2011-3 / 2,940",https://book.douban.com/subject/6070225/
中國建築圖解詞典,9.5,(81人评价),作者/译者： 王其鈞 ,出版信息：  楓書坊 / 2017-1 / NT$400,https://book.douban.com/subject/26967790/
中国文物地图集:山西分册（上、中、下册）,9.5,(27人评价),作者/译者： 山西省文物局、中国地图出版社 编绘 ,出版信息：  中国地图出版社 / 2006-12 / 910.00元,https://book.douban.com/subject/2196982/
弗莱彻建筑史,9.5,(55人评价),作者/译者： [英]丹·克鲁克香 ,出版信息：  知识产权出版社 / 1996-1 / 880.00元,https://book.douban.com/subject/1098583/
世界建筑史·古埃及卷,9.5,(28人评价),作者/译者： 王瑞珠 ,出版信息：  中国建筑工业出版社 / 2002-1 / 498.00元,https://book.douban.com/subject/1114890/
ThePossibilityofanAbsoluteArchitecture,9.5,(80人评价),作者/译者： Pier Vittorio Aureli ,出版信息：  The MIT Press / 2011-2-11 / USD 28.95,https://book.douban.com/subject/5994162/
中国古建筑调查报告（上下）,9.5,(104人评价),作者/译者： 梁思成 ,出版信息：  生活·读书·新知三联书店 / 2012-8 / 160.00元,https://book.douban.com/subject/4818176/
图书馆建筑的历史:图书馆建筑的历史,9.5,(50人评价),作者/译者： 坎贝尔 / 万木春 ,出版信息：  浙江人民美术出版社 / 2016-1-1 / CNY 380.00,https://book.douban.com/subject/26695577/
关于建筑的思考:建筑理论导论,9.5,(34人评价),作者/译者： Golin Davies / 程玺 ,出版信息：  电子工业出版社 / 2013-3 / 58.00元,https://book.douban.com/subject/23169801/
巴洛克艺术:人间剧场艺术品的世界,9.5,(244人评价),作者/译者： 罗尔夫·托曼 (Rolf Toman)、巴巴拉·波隆加塞尔 (Barbara Borngasser)、阿希姆·贝德诺兹  (Achim Bednorz) / 李建群、赵晖 ,出版信息：  北京美术摄影出版社 / 2013-3-1 / 998.00元,https://book.douban.com/subject/22994566/
"EducationofanArchitect:TheCooperUnionSchoolofArtandArchitecture,1964-1971",9.5,(45人评价),作者/译者： John Hejduk ,出版信息：  The Monacelli Press / 2000-3-6 / USD 50.00,https://book.douban.com/subject/2661982/
TheArcadesProject,9.5,(103人评价),作者/译者： [德] 瓦尔特·本雅明、Rolf Tiedemann (Editor) / Howard Eiland、Kevin McLaughlin ,出版信息：  Belknap Press of Harvard University Press / 2002-3-25 / GBP 24.95,https://book.douban.com/subject/1417715/
AlvaroSiza1958-2000:ElCroquis68/69+95,9.4,(176人评价),作者/译者： Fernando Mrquez Cecilia ,出版信息：  El Croquis / 2000-5-1 / GBP 63.00,https://book.douban.com/subject/3329551/
说园(典藏版),9.4,(52人评价),作者/译者： 陈从周 ,出版信息：  同济大学出版社 / 2017-8-1 / 180,https://book.douban.com/subject/27127884/
建筑细部集成4册,9.4,(36人评价),作者/译者： 【日】彰国社 / 任乃鑫 ,出版信息：  辽宁科学技术出版社 / 2000年1月1日 / 600.00元,https://book.douban.com/subject/1758983/
中国古建筑瓦石营法,9.4,(72人评价),作者/译者： 刘大可 ,出版信息：  建筑工业出版社 / 1993-6 / 56.00元,https://book.douban.com/subject/1114863/
云冈石窟的营造工程,9.4,(33人评价),作者/译者： 彭明浩 ,出版信息：  文物出版社 / 2017-5 / 80.00,https://book.douban.com/subject/27075575/
ChristianKerezUncertainCertainty,9.4,(34人评价),作者/译者： Christian Kerez ,出版信息：  TOTO / 2013-11-20 / €38.70,https://book.douban.com/subject/25821800/
建筑遗产保护、修复与康复性再生导论,9.4,(28人评价),作者/译者： 陆地 著 ,出版信息：  郭旃 主审 / 武汉大学出版社 / 118.00元,https://book.douban.com/subject/34464118/
ELcroquis建筑素描：SANAA·妹岛和世·西泽立卫2011-2015:延续性体系,9.4,(37人评价),作者/译者： 妹岛和世、西泽立卫 / 童佳旎、黄华青、朱琳、崔斌 ,出版信息：  民主与建设出版社 / 2015-7 / 720,https://book.douban.com/subject/26670679/
庇护所,9.4,(72人评价),作者/译者： 劳埃德·卡恩 / 梁井宇 ,出版信息：  清华大学出版社 / 2012-3 / 138.00元,https://book.douban.com/subject/11524433/
日本营造之美（第一辑）:法隆寺桂离宫巨大古坟江户町（上、下）,9.4,(67人评价),作者/译者： (日) 西冈常一 宫上茂隆 等著、(日) 穗积和夫 绘 / 张秋明 王蕴洁 等 ,出版信息：  上海人民出版社 / 2020-6 / 298,https://book.douban.com/subject/35008714/
结构概念和体系,9.4,(290人评价),作者/译者： 林同炎 / 高立人、方鄂华、钱稼茹 ,出版信息：  中国建筑书店有限责任公司（中国建筑工业 / 1999-1-1 / 62.00元,https://book.douban.com/subject/1134040/
人文主义时代的建筑原理(原著第六版),9.4,(160人评价),作者/译者： [德] 鲁道夫·维特科尔 / 刘东洋 ,出版信息：  中国建筑工业出版社 / 2016-1 / 38.00元,https://book.douban.com/subject/26693244/
南京民国建筑地图,9.4,(185人评价),作者/译者： 刘屹立、徐振欧 ,出版信息：  江苏凤凰科学技术出版社 / 2018-10 / 128.00元,https://book.douban.com/subject/30384766/
図解アトリエ・ワン:AtelierBow-wow-GraphicAnatomy,9.4,(451人评价),作者/译者： アトリエ・ワン ,出版信息：  Toto / 2007-02-02 / GBP 43.95,https://book.douban.com/subject/3624464/
《營造法式》辭解,9.4,(128人评价),作者/译者： 陳明達 ,出版信息：  天津大学出版社 / 2010.7.1 / 116.00,https://book.douban.com/subject/4898294/
华夏意匠:中国古典建筑设计原理分析,9.4,(158人评价),作者/译者： 李允鉌 ,出版信息：  天津大学出版社 / 2014-2-1 / 130.00,https://book.douban.com/subject/26363941/
建筑养成记:建成后纪实,9.4,(12人评价),作者/译者： [美]斯图尔特·布兰德 / 郝晓赛 ,出版信息：  中国建筑工业出版社 / 2019-1 / 49.00元,https://book.douban.com/subject/30474598/
黑暗之城:九龍城寨的日與夜,9.4,(699人评价),作者/译者： Greg Girard、Ian Lambot / 林立偉、朱一心 ,出版信息：  中華書局、圓桌精英 / 2015-8-20 / 港幣468元,https://book.douban.com/subject/26552069/
东京城市更新经验:城市再开发重大案例研究,9.4,(83人评价),作者/译者： 同济大学建筑与城市空间研究所、株式会社日本设计 ,出版信息：  同济大学出版社 / 2019-6-19 / 128.00,https://book.douban.com/subject/34781804/
PeterZumthorThermeVals,9.4,(80人评价),作者/译者： Sigrid Hauser ,出版信息：  Verlag Scheidegger and Spiess / 2007-3-15 / USD 110.00,https://book.douban.com/subject/1900870/
上海近代建筑风格,9.4,(21人评价),作者/译者： 郑时龄 ,出版信息：  同济大学出版社 / 2020-6 / 320 元,https://book.douban.com/subject/35100113/
超级工作室1966—1978:没有建筑的传奇建筑团体,9.3,(72人评价),作者/译者： [意]加布里埃尔·马斯特里伊（Gabriele Mastrigli）  编 / 倪安宇、徐明松、陈至秀、吴嘉琪 ,出版信息：  拜德雅丨西南师范大学出版社 / 2018-9 / 486.00元,https://book.douban.com/subject/30323911/
巨匠神工:透視中國經典古建築:透視中國經典古建築,9.3,(50人评价),作者/译者： 李乾朗 ,出版信息：  遠流出版事業股份有限公司 / 20071225 / 2000,https://book.douban.com/subject/2376624/
穿墙透壁:剖视中国经典古建筑,9.3,(2022人评价),作者/译者： 李乾朗 ,出版信息：  广西师范大学出版社 / 2009-10 / 118.00元,https://book.douban.com/subject/4082434/
苏州古典园林,9.3,(495人评价),作者/译者： 刘敦桢 ,出版信息：  中国建筑工业出版社 / 2005-11 / 150.00元,https://book.douban.com/subject/1578501/
浪漫的逃亡:遊日非流行指南,9.3,(3972人评价),作者/译者： 阿信 ,出版信息：  B'IN MUSIC相信音樂國際股份有限公司 / 2008 / 新台币380元,https://book.douban.com/subject/2376570/
现代艺术史（插图第六版）,9.3,(467人评价),作者/译者： [美] H. H. 阿纳森、[美] 伊丽莎白·C. 曼斯菲尔德 / 钱志坚 ,出版信息：  后浪丨湖南美术出版社 / 2020-8 / 460.00元,https://book.douban.com/subject/35125542/
法隆寺:世界最古老的木造建築,9.3,(90人评价),作者/译者： 西岡常一、宮上茂隆、穂積和夫 / 張秋明 ,出版信息：  馬可孛羅 / 2006-11 / NT$450,https://book.douban.com/subject/2997015/
哥特艺术:1140-1500年:中世纪的视觉艺术,9.3,(254人评价),作者/译者： [德] 罗尔夫·托曼 (Rolf Toman)、[德] 布鲁诺·克莱恩 (Bruno Klein)、[德] 阿希姆·贝德诺兹 (Achim Bednorz) / 李珮宁、李为尧、何泰桦 ,出版信息：  北京美术摄影出版社 / 2013-3-1 / 998.00元,https://book.douban.com/subject/22994564/
ElCroquisN.134/135:OMA,9.3,(131人评价),作者/译者： OMA ,出版信息：  El Croquis / 2007-7-1 / 950.00元,https://book.douban.com/subject/3034236/
《营造法式》注释,9.3,(128人评价),作者/译者： 梁思成 ,出版信息：  生活·读书·新知三联书店 / 2013-1 / 98.00元,https://book.douban.com/subject/5423776/
葛如亮建筑艺术,9.3,(15人评价),作者/译者： 葛如亮 ,出版信息：  同济大学出版社 / 1995-04 / 19.80,https://book.douban.com/subject/1033748/
TheoryandDesignintheFirstMachineAge,9.3,(35人评价),作者/译者： Reyner Banham ,出版信息：  MIT Press / 1980-1-1 / GBP 24.95,https://book.douban.com/subject/1756858/
FindingForm:TowardsanArchitectureoftheMinimal,9.3,(15人评价),"作者/译者： Frei Otto / Robinson, Michael ",出版信息：  Edition Axel Menges / 1995-01-25 / USD 69.00,https://book.douban.com/subject/2031634/
外国钢笔画选集,9.3,(57人评价),作者/译者： 钟训正 ,出版信息：  中国建筑工业出版社 / 2006-01-01 / 160.00元,https://book.douban.com/subject/1814322/
中国古建筑名词图解辞典,9.3,(61人评价),作者/译者： 李剑平 ,出版信息：  山西科学技术出版社 / 2011-1-1 / 138.00元,https://book.douban.com/subject/5440595/
埃拉蒂奥·迪埃斯特:结构艺术的创造力,9.3,(43人评价),作者/译者： ,出版信息： 同济大学出版社 / 2013-1 / 78.00元,https://book.douban.com/subject/21660846/
紫禁城宫殿,9.3,(178人评价),作者/译者： 于倬云 ,出版信息：  三联书店 / 2006.04 / 99.00元,https://book.douban.com/subject/1762768/
间隔的秩序与事物的区分:路易斯·I·康,9.3,(365人评价),作者/译者： 汤凤龙 ,出版信息：  中国建筑工业出版社 / 2012-11 / 52.00元,https://book.douban.com/subject/20389595/
城市发展史:起源、演变和前景,9.3,(1009人评价),作者/译者： 芒福德 / 宋俊岭、倪文彦 ,出版信息：  中国建筑工业出版社 / 2005-1 / 98.00元,https://book.douban.com/subject/1444252/
東京店構え:マテウシュ・ウルバノヴィチ作品集,9.3,(85人评价),作者/译者： マテウシュ・ウルバノヴィチ、サイドランチ ,出版信息：  エムディエヌコーポレーション / 2018-4-25 / JPY2483,https://book.douban.com/subject/30269403/
ThomasHeatherwick:Making,9.3,(33人评价),作者/译者： Thomas Heatherwick、Maisie Rowe ,出版信息：  Thames and Hudson Ltd; Revised edition / 2015-7-15 / GBP 20,https://book.douban.com/subject/26607027/
勒·柯布西耶全集:第1卷1910-1929年,9.3,(1424人评价),作者/译者： （法）勒·柯布西耶、（瑞士）W·博奥席耶等 ,出版信息：  中国建筑工业出版社 / 2005-4 / 50.00,https://book.douban.com/subject/1394534/
东南园墅:GlimpsesofgardensineasternChina,9.3,(97人评价),作者/译者： 童寯 ,出版信息：  中国建筑工业出版社 / 1997 / 99.00,https://book.douban.com/subject/1463105/
TheProductionofSpace,9.2,(225人评价),作者/译者： Henri Lefebvre / Donald Nicholson-Smith ,出版信息：  Wiley-Blackwell / 1992-4-8 / USD 59.95,https://book.douban.com/subject/1369755/
大紫禁城:王者的轴线,9.2,(401人评价),作者/译者： 赵广超 ,出版信息：  紫禁城出版社 / 2008-11 / 98.00元,https://book.douban.com/subject/3565628/
北京古建筑地图（上册）,9.2,(564人评价),作者/译者： 李路珂 等编著 ,出版信息：  清华大学出版社 / 2009-5 / 79.00元,https://book.douban.com/subject/3730043/
巨人的文明:罗马，从共和国到帝国，从恺撒到基督,9.2,(150人评价),作者/译者： 陈文捷 ,出版信息：  机械工业出版社 / 2018-6 / 69.00元,https://book.douban.com/subject/30246810/
触摸，寺庙:山西土地上那些散落的古建符号,9.2,(57人评价),作者/译者： 连达 ,出版信息：  三晋出版社 / 2016-11-1 / 88.00元,https://book.douban.com/subject/26920731/
室内设计资料图集,9.2,(33人评价),作者/译者： 康海飞 编 ,出版信息：  中国建筑工业 / 2009-6 / 78.00元,https://book.douban.com/subject/3818402/
建筑研究01:词语、建筑物、图,9.2,(61人评价),作者/译者： [英]马克·卡森斯、陈薇 ,出版信息：  中国建筑工业出版社 / 2011-5 / 88.00元,https://book.douban.com/subject/6529506/
城市:人类这样聚集于大地,9.2,(23人评价),作者/译者： [奥] 马库斯·艾斯尔、格拉尔德·曼斯贝格、彼得·马特扎内茨、保罗·施莱希纳 / 边超 ,出版信息：  后浪丨四川美术出版社 / 2021-4 / 328.00元,https://book.douban.com/subject/35408612/
乡土中国,9.2,(50695人评价),作者/译者： 费孝通 ,出版信息：  上海人民出版社 / 2006-04-01 / 38.00,https://book.douban.com/subject/1795079/
中国文化史迹（1-12）,9.2,(57人评价),作者/译者： [日]常盘大定、[日]关野贞 ,出版信息：  浙江人民美术出版社 / 2017-7 / 1800.00元,https://book.douban.com/subject/27106117/
“匀质”的秩序与“清晰的建造”:密斯•凡•德•罗,9.2,(392人评价),作者/译者： 汤凤龙 ,出版信息：  中国建筑工业出版社 / 2012-3-1 / 56.00元,https://book.douban.com/subject/10550784/
中国古典园林史:（第三版）,9.2,(676人评价),作者/译者： 周维权 ,出版信息：  清华大学出版社 / 2008-11-1 / 98.00元,https://book.douban.com/subject/3613867/
形式综合论,9.2,(123人评价),作者/译者： 克里斯托弗·亚历山大 / 王蔚、曾引、张玉坤 ,出版信息：  华中科技大学出版社 / 2010-1 / 28.00元,https://book.douban.com/subject/4257314/
西方建筑史:从远古到后现代（原书第2版）,9.2,(150人评价),作者/译者： [美]  马文·特拉亨伯格（Marvin Trachtenberg）  伊莎贝尔·海曼（Isabelle Hyman） / 王贵祥 青锋 周玉鹏 包志禹 ,出版信息：  机械工业出版社 / 2011-6 / 298.00元,https://book.douban.com/subject/6394943/
玖章造园,9.2,(220人评价),作者/译者： 董豫赣 ,出版信息：  同济大学出版社 / 2016-12-1 / 70,https://book.douban.com/subject/27054919/
图解建筑结构:模式、体系与设计,9.2,(25人评价),作者/译者： Francis Dai-Kam Ching ,出版信息：  张宇、陈艳妍 / 天津大学出版社 / 2015-2-1,https://book.douban.com/subject/26416021/
世界建筑风景速写:城市速写者的创作与技巧,9.2,(148人评价),作者/译者： 加布里埃尔•坎帕纳里奥 / Coral Yee ,出版信息：  中国青年出版社 / 2013-8 / 89,https://book.douban.com/subject/24869637/
建筑的艺术与技术,9.2,(48人评价),作者/译者： [意]P.L.奈尔维 / 黄运升、周卜颐 ,出版信息：  中国建筑工业出版社 / 1983-6 / 1.25,https://book.douban.com/subject/11523581/
中国古代艺术与建筑中的“纪念碑性”,9.2,(253人评价),作者/译者： [美] 巫鸿 / 李清泉、郑岩、等 ,出版信息：  上海人民出版社 / 2017-7 / 119.00元,https://book.douban.com/subject/26978824/
20世纪世界建筑史:20世纪世界建筑史,9.2,(145人评价),作者/译者： 威廉J•R•柯蒂斯 ,出版信息：  中国建筑工业出版社 / 2011-12-1 / 180.00元,https://book.douban.com/subject/10785041/
地志景观:林璎和她的艺术世界,9.2,(53人评价),作者/译者： 林璎 (Maya Lin) / 陈晓宇、奚雪松 ,出版信息：  电子工业出版社 / 2016-5-1 / 288.00元,https://book.douban.com/subject/26883796/
世界居住艺术图鉴,9.2,(67人评价),作者/译者： <家居主张>编辑部/策划 Lekila 马妮 溥仪军等/文、Rene Stoeltie Melba Levick Barbara Cassidy 柴之澄 鲍世望 金沽 等/摄影 ,出版信息：  上海辞书出版社 / 200604 / 298.00,https://book.douban.com/subject/1774895/
ProjectJapan:MetabolismTalks,9.2,(216人评价),作者/译者： Rem Koolhaas、Hans-Ulrich Obrist ,出版信息：  Taschen GmbH / 2011-9-28 / GBP 35.00,https://book.douban.com/subject/5361489/
建构文化研究:论19世纪和20世纪建筑中的建造诗学,9.2,(1332人评价),作者/译者： 弗兰姆普敦 / 王骏阳 ,出版信息：  中国建筑工业出版社 / 2007-7-1 / CNY 79.00,https://book.douban.com/subject/2247913/
建筑：形式、空间和秩序（第4版附光盘）,9.2,(16人评价),作者/译者： 程大锦 / 刘丛红 ,出版信息：  天津大学出版社 / 2018 / 140.00,https://book.douban.com/subject/30498715/
超立体城市迷宫:走出这本迷宫书,9.2,(21人评价),作者/译者： [英]托马斯·拉德克利夫 / 华大 / 应急管理出版社,出版信息： 好·奇文化 / 2020-7-1 / 78.00元,https://book.douban.com/subject/35150082/
北京古建筑地图（中册）,9.2,(145人评价),作者/译者： 王南 等编 ,出版信息：  清华大学出版社 / 2011-7 / 70.00元,https://book.douban.com/subject/6799936/
中国的建筑与景观,9.2,(57人评价),作者/译者： 伯施曼 / 段芸 ,出版信息：  中国建筑工业出版社 / 2010-5 / 76.00元,https://book.douban.com/subject/4765721/
AtlasofBrutalistArchitecture,9.2,(13人评价),作者/译者： Phaidon Press ,出版信息：  Phaidon Press Ltd / 2018-9-17 / GBP 100.00,https://book.douban.com/subject/30278318/
浙江民居,9.2,(157人评价),作者/译者： 本社 ,出版信息：  中国建筑工业出版社 / 2007-5 / 58.00元,https://book.douban.com/subject/2182413/
中国建筑论,9.2,(18人评价),作者/译者： ,出版信息： 张家骥 / 2004-5 / 290.00元,https://book.douban.com/subject/1390405/
NotesontheSynthesisofForm,9.2,(30人评价),作者/译者： Christopher Alexander ,出版信息：  Harvard University Press / 1964-10-24 / CAD 39.10,https://book.douban.com/subject/1742456/
长夜的独行者:童雋1963-1983,9.2,(248人评价),作者/译者： 张琴 ,出版信息：  同济大学出版社·光明城 / 2018-9-30 / 42,https://book.douban.com/subject/30332296/
图像中国建筑史,9.2,(951人评价),作者/译者： 梁思成 ,出版信息：  生活·读书·新知三联书店 / 2011-1 / 56.00元,https://book.douban.com/subject/3908344/
词语与建筑物:现代建筑的语汇,9.2,(120人评价),作者/译者： [英]阿德里安·福蒂 / 李华、武昕、诸葛净 ,出版信息：  中国建筑工业出版社 / 2018-2 / 79,https://book.douban.com/subject/30182821/
品园,9.2,(139人评价),作者/译者： 陈从周 ,"出版信息：  江苏文艺出版社,凤凰出版传媒集团 / 2016-4-1 / CNY 49.00",https://book.douban.com/subject/26730765/
BIAD建筑设计深度图示（上下）,9.1,(22人评价),作者/译者： 北京市建筑设计研究院 ,出版信息：  中国建筑工业 / 2010-8 / 260.00元,https://book.douban.com/subject/5251233/
遵循艺术原则的城市设计,9.1,(30人评价),作者/译者： [奥地利] 卡米洛·西特 / 王骞 ,出版信息：  华中科技大学出版社 / 2020-8 / 49.80元,https://book.douban.com/subject/35179524/
世界建筑史：哥特卷（上中下）,9.1,(32人评价),作者/译者： 王瑞珠 ,出版信息：  中国建筑工业出版社 / 2008-11-1 / 880.00元,https://book.douban.com/subject/3414440/
CitiesforPeople,9.1,(57人评价),作者/译者： Jan Gehl ,出版信息：  Island Press / 2010-9-6 / USD 55.00,https://book.douban.com/subject/4781018/
