书名,评分,评价人数,作者,出版社,url
福尔摩斯探案全集（上中下）,9.3,(105325人评价),作者/译者： [英] 阿·柯南道尔 / 丁钟华 等 / 群众出版社 ,出版信息：  1981-8 / 53.00元/68.00元,https://book.douban.com/subject/1040211/
撒哈拉的故事,9.3,(56488人评价),作者/译者： 三毛 ,出版信息：  北京十月文艺出版社 / 2011-1-7 / 24.00元,https://book.douban.com/subject/6710437/
活着,9.2,(6657人评价),作者/译者： 余华 ,出版信息：  作家出版社 / 2008-5-1 / 13.00元,https://book.douban.com/subject/3151596/
我在伊朗长大1:面纱,9.2,(2762人评价),作者/译者： [伊朗] 玛赞·莎塔碧 / 马爱农、左涛 ,出版信息：  生活·读书·新知三联 / 2006-4 / 20.00元,https://book.douban.com/subject/1769765/
我在伊朗长大4:回家,9.2,(1734人评价),作者/译者： [伊朗] 玛赞·莎塔碧 / 马爱农、左涛 ,出版信息：  生活·读书·新知三联书店 / 2006-4 / 22.00元,https://book.douban.com/subject/1769773/
射雕英雄传,9.1,(20570人评价),作者/译者： 金庸 ,出版信息：  生活·读书·新知三联书店 / 1994-5 / 76.80元,https://book.douban.com/subject/1789837/
社会性动物,9.1,(10604人评价),作者/译者： 埃利奥特·阿伦森Elliot Aronson / 邢占军 ,出版信息：  华东师范大学出版社 / 2007-12 / 45.00元,https://book.douban.com/subject/2328458/
月亮和六便士,9.1,(43602人评价),作者/译者： [英] 毛姆 / 傅惟慈 ,出版信息：  上海译文出版社 / 2009-10 / 32.00元,https://book.douban.com/subject/4123116/
孽子,9.1,(23075人评价),作者/译者： 白先勇 ,出版信息：  广西师范大学出版社 / 2010.10 / 46.00元,https://book.douban.com/subject/5337254/
小王子,9.0,(218人评价),作者/译者： （法）圣埃克苏佩里 / 张小娴 ,出版信息：  湖南文艺出版社 / 2015-6 / 32.00,https://book.douban.com/subject/26411427/
刀锋,9.0,(64203人评价),作者/译者： [英]毛姆 / 周煦良 ,出版信息：  上海译文出版社 / 2007-3 / 18.00元,https://book.douban.com/subject/2035162/
明朝那些事儿（贰）:万国来朝,8.9,(54147人评价),作者/译者： 当年明月 ,出版信息：  中国友谊出版公司 / 2007-1 / 24.80,https://book.douban.com/subject/1949338/
星星还没有出来的夜晚,8.9,(163人评价),作者/译者： ［加］勒缪 / 洪翠娥 ,出版信息：  昆仑出版社 / 2000-10 / 23.60元,https://book.douban.com/subject/1901751/
大剑1:1银眼的斩杀者,8.9,(2366人评价),作者/译者： 八木教広 ,出版信息：  文化传信有限公司 / 2001 / 港币30元,https://book.douban.com/subject/1857022/
神諭之書：魔法占卜書,8.9,(30人评价),"作者/译者： SAVAS,GEORGIAROUTSIS / 蒲筱山、蒲青盈 / 尖端 / 2005",出版信息： 01/31 / NT$ 380,https://book.douban.com/subject/1360542/
内在的天空:占星学入门,8.9,(3516人评价),作者/译者： [美] 斯蒂芬‧福裡斯特（Steven Forrest） / 郭宇 ,出版信息：  云南人民出版社 / 2012-3 / 42.00元,https://book.douban.com/subject/10546850/
我的妈妈是精灵,8.8,(3369人评价),作者/译者： 陈丹燕 ,出版信息：  春风文艺出版社 / 1998-01 / 10.00元,https://book.douban.com/subject/1073333/
流言,8.8,(9940人评价),作者/译者： 张爱玲 ,出版信息：  北京十月文艺出版社 / 2006-12 / 25.00元,https://book.douban.com/subject/1980436/
一只特立独行的猪,8.8,(69480人评价),作者/译者： 王小波 ,出版信息：  北方文艺出版社 / 2006-4 / 18.80元,https://book.douban.com/subject/1767945/
天是红河岸,8.8,(19503人评价),作者/译者： 荻原千绘 / 丁梵馨 ,出版信息：  日本小学馆 / 1990 / 37.00,https://book.douban.com/subject/1853785/
鹿鼎记（全五册）,8.8,(49108人评价),作者/译者： 金庸 ,出版信息：  广州出版社 花城出版社 / 2008-3 / 108.00元,https://book.douban.com/subject/1212893/
倾城之恋,8.7,(42892人评价),作者/译者： 张爱玲 ,出版信息：  北京十月文艺出版社 / 2006-12 / 29.80元,https://book.douban.com/subject/1985223/
孩子你慢慢来,8.7,(68886人评价),作者/译者： 龙应台 ,出版信息：  生活·读书·新知三联书店 / 2009-12-1 / 28.00元,https://book.douban.com/subject/4207781/
曾国藩:（增订本）,8.7,(686人评价),作者/译者： 唐浩明 ,出版信息：  湖南文艺出版社 / 2004-7-1 / 85.00元,https://book.douban.com/subject/1596563/
你的身体是个仙境,8.6,(308人评价),作者/译者： 周晓枫 著、李建勋 插图 ,出版信息：  二十一世纪出版社 / 2005-11 / 38.00元,https://book.douban.com/subject/1463570/
金锁记,8.6,(53748人评价),作者/译者： 张爱玲 ,出版信息：  哈尔滨出版社 / 2005-6 / 13.5元,https://book.douban.com/subject/3017857/
繁花將盡AlltheFlowersAreDying,8.6,(51人评价),作者/译者： 勞倫斯．卜洛克，譯／尤傳莉 ,出版信息：  臉譜 / 20050201 / NT$ 360,https://book.douban.com/subject/1357475/
了凡四训,8.6,(6461人评价),作者/译者： (明)袁了凡、净庐主人 译 / 净庐主人 ,出版信息：  百花文艺出版社 / 2007 / 16.00元,https://book.douban.com/subject/2083981/
琅琊榜,8.5,(29161人评价),作者/译者： 海宴 ,出版信息：  朝华出版社 / 2007-12 / 49.80元,https://book.douban.com/subject/2326571/
朗读者,8.4,(10766人评价),作者/译者： [德国] 本哈德·施林克 / 钱定平 ,出版信息：  译林出版社 / 2006-1 / 28.00元,https://book.douban.com/subject/1467776/
魍魉之匣（上）,8.4,(13360人评价),作者/译者： [日] 京极夏彦 / 林哲逸 ,出版信息：  上海人民出版社 / 2009-1 / 29.00,https://book.douban.com/subject/3162513/
永不永不說再見,8.4,(262人评价),作者/译者： 張小嫻 ,出版信息：  皇冠出版社 / 2009-06-05 / HK$78,https://book.douban.com/subject/3776536/
流金岁月,8.4,(5369人评价),作者/译者： [加] 亦舒 ,出版信息：  南海出版公司 / 2002-10 / 13.00元,https://book.douban.com/subject/1470159/
流浪的麵包树,8.4,(26人评价),作者/译者： 張小嫻 ,出版信息：  本事文化 / 2011-4 / 107.00元,https://book.douban.com/subject/6325335/
向左走·向右走,8.4,(104388人评价),作者/译者： 幾米 ,出版信息：  生活·读书·新知三联书店 / 2002-8 / 16.00元,https://book.douban.com/subject/1066462/
烟花三月,8.4,(1290人评价),作者/译者： 李碧华 ,出版信息：  花城出版社 / 2005-5 / 33.00元,https://book.douban.com/subject/1321820/
她是女子，我也是女子,8.3,(9147人评价),作者/译者： 黄碧云 / 麥田出版有限公司 ,出版信息：  1994/10 / HK$47,https://book.douban.com/subject/1458164/
地下铁,8.3,(51110人评价),作者/译者： 幾米 ,出版信息：  辽宁教育出版社 / 2002-2 / 32.00元,https://book.douban.com/subject/1056733/
少有人走的路:心智成熟的旅程,8.3,(88152人评价),作者/译者： [美] M·斯科特·派克 / 于海生 ,出版信息：  吉林文史出版社 / 2007-1 / 26.00元,https://book.douban.com/subject/1775691/
擁抱:張小嫻散文精選系列2,8.3,(240人评价),作者/译者： ,出版信息： 張小嫻 / 皇冠出版社 / HK$68,https://book.douban.com/subject/1772421/
我愛過，所以我活過,8.3,(500人评价),作者/译者： 張小嫻 ,出版信息：  皇冠出版社 / 2009-07-22 / HK$78,https://book.douban.com/subject/3864464/
