书名,评分,评价人数,作者,出版社,url
金瓶梅词话（全六册）,9.2,(465人评价),作者/译者： ,出版信息： 兰陵笑笑生 / 香港太平书局 / 1992年8月,https://book.douban.com/subject/1891221/
罗马人的故事（礼品装，全15册）,9.1,(2397人评价),作者/译者： 盐野七生 / 徐越、计丽屏、刘锐、田建华、田建国 ,出版信息：  中信出版社 / 2013-11-1 / 600.00元,https://book.douban.com/subject/25777432/
白夜行,9.1,(342060人评价),作者/译者： [日] 东野圭吾 / 刘姿君 ,出版信息：  南海出版公司 / 2013-1-1 / 39.50元,https://book.douban.com/subject/10554308/
传奇(上下),9.1,(2910人评价),作者/译者： 张爱玲 ,出版信息：  经济日报出版社 / 2003-1-1 / 46.00,https://book.douban.com/subject/1055128/
呼兰河传,9.0,(362人评价),作者/译者： 萧红 ,出版信息：  中国画报出版社 / 2014-2 / 22.00元,https://book.douban.com/subject/25880453/
HarryPotterandtheDeathlyHallows:832,9.0,(226人评价),作者/译者： J. K. Rowling ,出版信息：  Bloomsbury Publishing PLC / 2008-7-10 / GBP 8.99,https://book.douban.com/subject/3140670/
霍乱时期的爱情,9.0,(213289人评价),作者/译者： [哥伦比亚] 加西亚·马尔克斯 / 杨玲 ,出版信息：  南海出版公司 / 2012-9-1 / 39.50元,https://book.douban.com/subject/10594787/
寻路中国:从乡村到工厂的自驾之旅,9.0,(45573人评价),作者/译者： [美] 彼得·海斯勒 / 李雪顺 ,出版信息：  上海译文出版社 / 2011-1 / 33.00元,https://book.douban.com/subject/5414391/
温柔的夜,8.9,(2896人评价),作者/译者： 三毛 ,出版信息：  哈尔滨出版社 / 2004-8 / 15.80,https://book.douban.com/subject/1082416/
流言,8.8,(9940人评价),作者/译者： 张爱玲 ,出版信息：  北京十月文艺出版社 / 2006-12 / 25.00元,https://book.douban.com/subject/1980436/
看见,8.8,(297170人评价),作者/译者： 柴静 ,出版信息：  广西师范大学出版社 / 2013-1-1 / 39.80元,https://book.douban.com/subject/20427187/
张爱玲全集1：长篇小说·半生缘,8.8,(5084人评价),作者/译者： 张爱玲 ,出版信息：  哈尔滨出版社 / 2003-10-1 / 26.80,https://book.douban.com/subject/1013419/
萨哈林旅行记:探访被上帝遗忘的角落,8.8,(472人评价),作者/译者： [俄] 契诃夫 / 刁邵华、姜长斌 ,出版信息：  浦睿文化·湖南人民出版社 / 2013-9 / 48.00元,https://book.douban.com/subject/25283615/
電影現場之旅（港岛篇）:港島篇,8.6,(50人评价),作者/译者： 奇夫 ,出版信息：  三联书店 / 2009 / HK 88,https://book.douban.com/subject/4057459/
光年,8.5,(1373人评价),作者/译者： [美]詹姆斯·索特 / 孔亚雷 ,出版信息：  广西师范大学出版社 / 2018-6 / 67.00元,https://book.douban.com/subject/27602608/
水仙已乘鯉魚去,8.5,(400人评价),作者/译者： ,出版信息： 張悅然 / 2005 年 12 月 10 日,https://book.douban.com/subject/1451550/
只有医生知道!:@协和张羽发给天下女人的私信,8.5,(13687人评价),作者/译者： 张羽 ,出版信息：  江苏人民出版社 / 2013-1 / 35.00元,https://book.douban.com/subject/20431965/
心是孤独的猎手,8.5,(29433人评价),作者/译者： [美] 卡森·麦卡勒斯 / 陈笑黎 ,出版信息：  上海三联书店 / 2005-8 / 25.00元,https://book.douban.com/subject/1424741/
十爱台湾版:繁體中文,8.4,(62人评价),作者/译者： ,出版信息： 張悅然 / 小知堂 / 2005,https://book.douban.com/subject/3591014/
第一炉香,8.4,(40286人评价),作者/译者： 张爱玲 ,出版信息：  花城出版社 / 1997-3 / 11.5,https://book.douban.com/subject/1082162/
