书名,评分,评价人数,作者,出版社,url
回答:中国新时期文学精品大系·诗歌,9.8,(128人评价),作者/译者： 北岛 等 / 中国文学出版社 ,出版信息：  1993/12 / 8.45元,https://book.douban.com/subject/3268035/
汪曾祺全集（全十二卷）,9.6,(512人评价),作者/译者： 汪曾祺、（编辑 ）季红真、刘伟 等 ,出版信息：  人民文学出版社 / 2019-1-10 / 1280.00元,https://book.douban.com/subject/30421553/
无愁河的浪荡汉子·朱雀城,9.6,(192人评价),作者/译者： 黄永玉 ,出版信息：  人民文学出版社 / 2013-8-1 / CNY 156.00,https://book.douban.com/subject/26296723/
白鹿原,9.5,(1074人评价),作者/译者： 陈忠实 ,出版信息：  人民文学出版社 / 2017-8 / 45.00,https://book.douban.com/subject/27201243/
我爱我家:大型电视情景喜剧文学剧本,9.5,(164人评价),作者/译者： 梁左、王朔、英达、英壮 ,出版信息：  华艺出版社 / 1993-12-1 / 10.50元,https://book.douban.com/subject/3036890/
问题与方法:中国当代文学史研究讲稿,9.5,(122人评价),作者/译者： 洪子诚 ,出版信息：  生活·读书·新知三联书店 / 2018-1 / 48.00,https://book.douban.com/subject/27119915/
现代汉诗的百年演变,9.5,(64人评价),作者/译者： 王光明 ,出版信息：  河北人民出版社 / 2003-10-1 / 45.00元,https://book.douban.com/subject/1280126/
晚饭后的故事:汪曾祺别集,9.5,(40人评价),作者/译者： 汪曾祺 / 汪朗 主编 ,出版信息：  浙江文艺出版社 / 2020-5-1 / 28元,https://book.douban.com/subject/34950193/
活着,9.4,(593872人评价),作者/译者： 余华 ,出版信息：  作家出版社 / 2012-8-1 / 20.00元,https://book.douban.com/subject/4913064/
不成问题的问题(老舍短篇小说精选集)(精):老舍短篇小说精选集,9.4,(483人评价),作者/译者： 老舍 ,出版信息：  北京联合出版社 / 2018-10 / 28.00元,https://book.douban.com/subject/30166162/
法兰西组曲,9.4,(175人评价),作者/译者： [法]伊莱娜·内米洛夫斯基 / 袁筱一 ,出版信息：  人民文学出版社 / 2018-11 / 69.00,https://book.douban.com/subject/30312369/
博尔赫斯全集,9.4,(2110人评价),作者/译者： [阿根廷] 豪·路·博尔赫斯 / 王永年、林之木 ,出版信息：  浙江文艺出版社 / 1999-11 / 150.00元,https://book.douban.com/subject/1083089/
尘埃落定,9.4,(158人评价),作者/译者： 阿来 ,出版信息：  人民文学出版社 / 2019-1-1 / 39.00元,https://book.douban.com/subject/30170106/
回首我們的時代,9.3,(41人评价),作者/译者： 尉天驄 ,出版信息：  INK印刻出版公司 / 2011-11-24 / 450台幣,https://book.douban.com/subject/10426917/
围城,9.3,(67918人评价),作者/译者： 钱钟书 ,出版信息：  人民文学出版社 / 1991-2-1 / 39.00元,https://book.douban.com/subject/11524204/
八千岁,9.3,(275人评价),作者/译者： 汪曾祺 ,出版信息：  江苏凤凰文艺出版社 / 2017-9-20 / 49.80,https://book.douban.com/subject/27149646/
材料与注释,9.3,(214人评价),作者/译者： 洪子诚 ,出版信息：  北京大学出版社 / 2016-9 / 58.00元,https://book.douban.com/subject/26774737/
龍血樹,9.3,(54人评价),作者/译者： 陈凯歌 ,出版信息：  天地图书有限公司 / 1992 / HKD 38.00,https://book.douban.com/subject/1852022/
撒哈拉的故事,9.3,(15160人评价),作者/译者： 三毛 ,出版信息：  北京十月文艺出版社 / 2009-3 / 20.00,https://book.douban.com/subject/3604517/
四世同堂,9.3,(22699人评价),作者/译者： 老舍 ,出版信息：  北京十月文艺出版社 / 2008-07 / 36.00元,https://book.douban.com/subject/3183775/
我与地坛,9.3,(4229人评价),作者/译者： 史铁生 ,出版信息：  人民文学出版社 / 2008-9-1 / 25.00元,https://book.douban.com/subject/3270617/
文学史写作中的现代性问题,9.3,(96人评价),作者/译者： 李杨 ,出版信息：  北京大学出版社 / 2018-10 / 75.00元,https://book.douban.com/subject/30362657/
十面埋伏,9.3,(172人评价),作者/译者： 张平 ,出版信息：  群众出版社 / 1999-3-1 / 29.00,https://book.douban.com/subject/1315590/
张枣诗文集:（全五卷）,9.3,(139人评价),作者/译者： 张枣 ,出版信息：  四川文艺出版社 / 2021-3 / 218.00元,https://book.douban.com/subject/35324211/
羊舍一夕:汪曾祺别集,9.3,(22人评价),作者/译者： 汪曾祺 / 汪朗  主编 ,出版信息：  浙江文艺出版社 / 2020-5-1 / 28元,https://book.douban.com/subject/34950195/
马桥词典,9.3,(316人评价),作者/译者： 韩少功 ,出版信息：  北京十月文艺出版社 / 2017-10 / 45.00元,https://book.douban.com/subject/27661872/
汪曾祺小说经典,9.2,(2287人评价),作者/译者： 汪曾祺 ,出版信息：  人民文学出版社 / 2005-8-1 / 25.00元,https://book.douban.com/subject/1444077/
正红旗下,9.2,(1588人评价),作者/译者： 老舍 ,出版信息：  天津人民出版社 / 2017-1-1 / 25.00,https://book.douban.com/subject/26761399/
离婚,9.2,(1957人评价),作者/译者： 老舍 ,出版信息：  云南人民出版社 / 2019-9 / 39,https://book.douban.com/subject/34808043/
棋王·树王·孩子王,9.2,(13391人评价),作者/译者： 阿城 ,出版信息：  江苏文艺出版社 / 2016-3-1 / 58.00,https://book.douban.com/subject/26734559/
白鹿原:宣纸插图本,9.2,(651人评价),作者/译者： 陈忠实 ,出版信息：  作家出版社 / 2015-10-1 / 520.00元,https://book.douban.com/subject/26869970/
好运设计,9.2,(178人评价),作者/译者： 史铁生 ,出版信息：  春风文艺出版社 / 1995-03-01 / 16.8,https://book.douban.com/subject/1647074/
陆犯焉识,9.2,(3244人评价),作者/译者： [美]严歌苓 ,出版信息：  作家出版社 / 2016-8 / 33.0,https://book.douban.com/subject/27065388/
“50-70年代文学”研究读本,9.2,(34人评价),作者/译者： 贺桂梅 编 ,"出版信息：  上海书店出版社,上海人民出版社 / 2018-6-1 / CNY 88.00",https://book.douban.com/subject/30286327/
无边的挑战（修订版）:中国先锋文学的后现代性,9.2,(46人评价),作者/译者： 陈晓明 ,出版信息：  中国人民大学出版社 / 2015-7-19 / 78.00,https://book.douban.com/subject/26584666/
白鹿原:20周年精装典藏版,9.2,(65656人评价),作者/译者： 陈忠实 ,出版信息：  人民文学出版社 / 2012-9 / 39.00元,https://book.douban.com/subject/10564071/
奶奶的星星,9.2,(382人评价),作者/译者： 史铁生 ,出版信息：  花城出版社 / 2011-8 / 13.00元,https://book.douban.com/subject/6798697/
受戒:插图珍藏本,9.2,(467人评价),作者/译者： 汪曾祺 ,出版信息：  湖南文艺出版社 / 2015-6-1 / 69.00元,https://book.douban.com/subject/26421333/
青铜时代,9.2,(297人评价),作者/译者： 王小波 ,出版信息：  北京联合出版公司 / 2016-5 / 38,https://book.douban.com/subject/26848841/
务虚笔记,9.2,(1298人评价),作者/译者： 史铁生 ,出版信息：  人民文学出版社 / 2011-4-1 / 30.00元,https://book.douban.com/subject/6425901/
马嘶岭血案,9.2,(21人评价),作者/译者： 陈应松 ,出版信息：  作家出版社 / 2015-1-1 / 39.00元,https://book.douban.com/subject/26356318/
追寻逝去的时光（第一卷）:去斯万家那边,9.2,(868人评价),作者/译者： [法] 马塞尔·普鲁斯特 / 周克希 ,出版信息：  上海译文出版社 / 2004-05 / 32.00元,https://book.douban.com/subject/1065069/
受戒(汪曾祺精选集)/当代文坛巨匠作品精选:当代文坛巨匠作品精选,9.2,(115人评价),作者/译者： 汪曾祺 ,出版信息：  四川人民出版社 / 2017-9-1 / 38.00,https://book.douban.com/subject/27138115/
风雨送春归:新时期文坛思想解放运动记事,9.1,(17人评价),作者/译者： 徐庆全 ,出版信息：  河南大学出版社 / 2005-12 / 48.00元,https://book.douban.com/subject/1837891/
大淖记事,9.1,(3242人评价),作者/译者： 汪曾祺 ,出版信息：  江苏文艺出版社 / 2010-6 / 22.00元,https://book.douban.com/subject/3464389/
绿毛水怪,9.1,(7689人评价),作者/译者： 王小波 ,出版信息：  北京十月文艺出版社 / 2018-6 / 39.00元,https://book.douban.com/subject/30163860/
檀香刑,9.1,(6463人评价),作者/译者： 莫言 ,出版信息：  浙江文艺出版社 / 2017-1 / 56.00元,https://book.douban.com/subject/26905337/
献给阿尔吉侬的花束,9.1,(27458人评价),作者/译者： [美] 丹尼尔·凯斯 / 陈澄和 ,出版信息：  广西师范大学出版社 / 2015-4 / 36.00元,https://book.douban.com/subject/26362836/
阿城精选集,9.1,(6683人评价),作者/译者： 阿城 ,出版信息：  北京燕山出版社 / 2011-3 / 25.00元,https://book.douban.com/subject/1830445/
在伊犁:淡灰色的眼珠,9.1,(37人评价),作者/译者： 王蒙 ,出版信息：  作家出版社 / 1984-08 / 1.20,https://book.douban.com/subject/3155145/
顾城的诗顾城的画,9.1,(6295人评价),作者/译者： 顾城 ,出版信息：  江苏文艺出版社 / 2009-1 / 22.00元,https://book.douban.com/subject/3544376/
豆汁记,9.1,(1864人评价),作者/译者： 叶广芩 ,出版信息：  中国盲文出版社 / 2009-1 / 26.00元,https://book.douban.com/subject/3395241/
夜行记,9.1,(1862人评价),作者/译者： 王小波 ,出版信息：  北京十月文艺出版社 / 2011-10 / 29.80元,https://book.douban.com/subject/6902319/
命若琴弦,9.1,(769人评价),作者/译者： 史铁生 ,出版信息：  人民文学出版社 / 2008-9 / 28.00元,https://book.douban.com/subject/3342324/
温柔的夜,9.1,(18325人评价),作者/译者： 三毛 ,出版信息：  北京十月文艺出版社 / 2007-5 / 28.00元,https://book.douban.com/subject/2068249/
天龙八部,9.1,(112630人评价),作者/译者： 金庸 ,出版信息：  生活·读书·新知三联书店 / 1994-5 / 96.00元,https://book.douban.com/subject/1255625/
文学回忆录:1989—1994,9.1,(37565人评价),作者/译者： 木心 口述、陈丹青 笔录 ,出版信息：  广西师范大学出版社 / 2013-1-10 / 98.00元,https://book.douban.com/subject/20440644/
半生缘:张爱玲全集04,9.1,(1707人评价),作者/译者： 张爱玲 ,出版信息：  北京十月文艺出版社 / 2019-3 / 55.00元,https://book.douban.com/subject/30294355/
寂寞的遊戲,9.1,(70人评价),作者/译者： 袁哲生 ,出版信息：  聯合文學 / 1999 / NT$ 180,https://book.douban.com/subject/1432095/
我与地坛:史铁生代表作,9.1,(72187人评价),作者/译者： 史铁生 ,出版信息：  春风文艺出版社 / 2002-5 / 25.00元,https://book.douban.com/subject/1209899/
中国当代文学史,9.1,(431人评价),作者/译者： 洪子诚 ,出版信息：  北京大学出版社 / 2009-12-01 / 60.00元,https://book.douban.com/subject/4187234/
老负鼠的猫经,9.1,(42人评价),作者/译者： [英]T.S.艾略特 著、[美]爱德华·戈里 绘 / 叶紫 ,出版信息：  人民文学出版社 / 2020-6 / 49 元,https://book.douban.com/subject/34861843/
沉默的大多数（精装珍藏版）,9.1,(277人评价),作者/译者： 王小波 ,出版信息：  浙江文艺出版社 / 2016-2 / 39.00元,https://book.douban.com/subject/26707364/
棋王·树王·孩子王:阿城文集之一,9.1,(899人评价),作者/译者： 阿城 ,出版信息：  江苏凤凰文艺出版社 / 2016-4 / 38.00元,https://book.douban.com/subject/26739966/
城南旧事,9.1,(18540人评价),作者/译者： 林海音 ,出版信息：  人民文学出版社 / 2008-5 / 13.00元,https://book.douban.com/subject/3057333/
新名字的故事:那不勒斯四部曲2,9.1,(56920人评价),作者/译者： [意] 埃莱娜·费兰特 / 陈英 ,出版信息：  人民文学出版社 / 2017-4 / 59.00元,https://book.douban.com/subject/26986954/
我的阅读史,9.1,(120人评价),作者/译者： 洪子诚 ,出版信息：  北京大学出版社 / 2017-7 / 68.00元,https://book.douban.com/subject/27132950/
额尔古纳河右岸,9.0,(2732人评价),作者/译者： 迟子建 ,出版信息：  人民文学出版社 / 2010-10 / 22.00元,https://book.douban.com/subject/5344534/
商禽诗全集,9.0,(446人评价),作者/译者： 商禽 / 雅众文化,出版信息： 北京联合出版公司 / 2020-1 / 68.00元,https://book.douban.com/subject/34868504/
采桑子,9.0,(860人评价),作者/译者： 叶广芩 ,出版信息：  北京十月文艺出版社 / 2001-02 / 21.00,https://book.douban.com/subject/1276199/
受戒,9.0,(198人评价),作者/译者： 汪曾祺 ,出版信息：  天津人民出版社 / 2017-5 / 42.00元,https://book.douban.com/subject/30115899/
人工呼吸,9.0,(147人评价),作者/译者： [阿根廷] 里卡多·皮格利亚 / 楼宇 ,出版信息：  中央编译出版社 / 2019-11-1 / 35.00元,https://book.douban.com/subject/34834201/
寻隐者不遇,9.0,(33人评价),作者/译者： 尹学芸 ,出版信息：  译林出版社 / 2021-4 / 48.00元,https://book.douban.com/subject/35428104/
棋王,9.0,(9579人评价),作者/译者： 阿城 ,出版信息：  上海三联书店 / 2019-4 / 48.00元,https://book.douban.com/subject/30330181/
我的精神家园,9.0,(2311人评价),作者/译者： 王小波 ,出版信息：  北京十月文艺出版社 / 2017-10 / 39.00元,https://book.douban.com/subject/27156834/
海子评传:最新修订版,9.0,(86人评价),作者/译者： 燎原 ,出版信息：  作家出版社 / 2016-5 / 38.00元,https://book.douban.com/subject/26772533/
重庆往事,9.0,(28人评价),作者/译者： 向林 ,出版信息：  重庆出版社 / 2020-9 / 45,https://book.douban.com/subject/35248391/
城南旧事:纪念普及版,9.0,(118191人评价),作者/译者： 林海音 文、关维兴 图 ,出版信息：  中国青年出版社 / 2003-7 / 16.00元,https://book.douban.com/subject/1254588/
平凡的世界（全三部）,9.0,(274954人评价),作者/译者： 路遥 ,出版信息：  人民文学出版社 / 2005-1 / 64.00元,https://book.douban.com/subject/1200840/
爱伦·坡集:诗歌与故事(上下册),9.0,(868人评价),作者/译者： （美）爱伦·坡 / 倪乐、曹明伦 ,出版信息：  生活.读书.新知三联书店 / 1995-03-01 / 76.00,https://book.douban.com/subject/1255006/
黄金时代,9.0,(364人评价),作者/译者： 王小波 ,出版信息：  中信出版集团 / 2015-8-30 / CNY 39.00,https://book.douban.com/subject/26691608/
许三观卖血记,9.0,(73475人评价),作者/译者： 余华 ,出版信息：  作家出版社 / 2012-9 / 24.00元,https://book.douban.com/subject/4760224/
作家检讨与文学转型,9.0,(41人评价),作者/译者： 商昌宝 ,出版信息：  新星出版社 / 2011-11 / 38.00元,https://book.douban.com/subject/6990017/
黄金洞·寻找土地·中士还乡,9.0,(48人评价),作者/译者： 阎连科 ,出版信息：  人民文学出版社 / 2014-3-1 / 24.00元,https://book.douban.com/subject/25879559/
黄金时代:时代三部曲,8.9,(137949人评价),作者/译者： 王小波 ,出版信息：  花城出版社 / 1999-3 / 19.00元,https://book.douban.com/subject/1089243/
透明的红萝卜:莫言中篇小说精品系列1,8.9,(45人评价),作者/译者： 莫言 ,出版信息：  浙江文艺出版社 / 2020-7 / 49.00元,https://book.douban.com/subject/35096959/
秋园,8.9,(10751人评价),作者/译者： 杨本芬 ,出版信息：  北京联合出版公司 / 2020-6 / 38.00元,https://book.douban.com/subject/34998019/
遍地风流,8.9,(1583人评价),作者/译者： 阿城 ,出版信息：  作家出版社 / 1998 / 12.00,https://book.douban.com/subject/1393473/
似水柔情:似水柔情,8.9,(1750人评价),作者/译者： 王小波 ,出版信息：  译林出版社 / 2012-1 / 32.80元,https://book.douban.com/subject/10199131/
台北人,8.9,(3482人评价),作者/译者： 白先勇 ,出版信息：  花城出版社 / 2000-04 / 24.80,https://book.douban.com/subject/1031146/
失落的卫星:深入中亚大陆的旅程,8.9,(5285人评价),作者/译者： 刘子超 ,出版信息：  文汇出版社 / 2020-7 / 69.00,https://book.douban.com/subject/35025453/
状元媒,8.9,(2155人评价),作者/译者： 叶广芩 ,出版信息：  北京十月文艺出版社 / 2012-4-1 / 39.50元,https://book.douban.com/subject/10556006/
唐人故事,8.9,(3342人评价),作者/译者： 王小波 ,出版信息：  中国档案出版社 / 2006-1 / 18.00元,https://book.douban.com/subject/1477437/
50-70年代中国文学经典再解读,8.9,(252人评价),作者/译者： 李杨 ,出版信息：  山东教育出版社 / 2006-5 / 18.10元,https://book.douban.com/subject/1660790/
武士,8.9,(188人评价),作者/译者： [日] 远藤周作 / 林水福 ,出版信息：  浙江文艺出版社 / 2020-1 / 69.00元,https://book.douban.com/subject/34856730/
阳光下的人们,8.9,(46人评价),作者/译者： [巴勒斯坦]格桑·卡纳法尼 / 郅溥浩 ,出版信息：  华文出版社 / 2018-5-1 / 28,https://book.douban.com/subject/30206402/
情书,8.9,(6154人评价),作者/译者： 岩井俊二 / 穆晓芳 ,出版信息：  南海出版公司 / 2018-6-1 / 45.00元,https://book.douban.com/subject/30230525/
水乳大地,8.9,(23人评价),作者/译者： 范稳 ,出版信息：  人民文学出版社 / 2004-1 / 32.00元,https://book.douban.com/subject/21235155/
“灰阑”中的叙述,8.9,(338人评价),作者/译者： 黄子平 ,出版信息：  上海文艺出版社 / 2001-1 / 14.00元,https://book.douban.com/subject/1099206/
去年天气旧亭台,8.9,(381人评价),作者/译者： 叶广芩 ,出版信息：  北京十月文艺出版社 / 2016-5 / 36.00元,https://book.douban.com/subject/26797014/
平凡世界里的路遥,8.9,(73人评价),作者/译者： 张艳茜 ,出版信息：  陕西人民出版社 / 2013-3 / 39.00元,https://book.douban.com/subject/22746581/
夜行货车:陈映真小说全集02,8.9,(1130人评价),作者/译者： 陈映真 ,出版信息：  九州出版社 / 2020-6 / 76.00元,https://book.douban.com/subject/34937627/
我的朋友安德烈,8.9,(335人评价),作者/译者： 雙雪濤 ,出版信息：  人間出版社 / 2016-11-9 / NTD280,https://book.douban.com/subject/26881768/
王小波全集(第七卷):中篇小说:白银时代,8.9,(957人评价),作者/译者： 王小波 ,出版信息：  云南人民出版社 / 2007-01-01 / 18.0,https://book.douban.com/subject/2016626/
小镇喧嚣:一个乡镇政治运作的演绎与阐释,8.9,(763人评价),作者/译者： 吴毅 ,出版信息：  生活·读书·新知三联书店 / 2018-2 / 68.00元,https://book.douban.com/subject/30122152/
