书名,评分,评价人数,作者,出版社,url
心若宁静便是幸福,9.8,(49人评价),作者/译者： 周桂伊 ,出版信息：  万卷出版公司 / 2015-1 / 32.00元,https://book.douban.com/subject/26292266/
津巴多普通心理学（原书第7版·2017修订）,9.8,(19人评价),作者/译者： [美] 菲利普·津巴多（Philip Zimbardo）、[美] 罗伯特·约翰逊（Robert L. Johnson）、[美] 薇薇安·麦卡恩（Vivian McCann） / 钱静、黄珏苹 ,出版信息：  北京联合出版公司 / 2017-12-1 / 119.00元,https://book.douban.com/subject/27191014/
卡拉马佐夫兄弟,9.7,(7845人评价),作者/译者： 陀思妥耶夫斯基 (Ф.М.Достоевский) / 荣如德 ,出版信息：  上海译文出版社 / 2015-2-1 / CNY 78.00,https://book.douban.com/subject/25887924/
正念小孩:收获平静、专注与内在力量的50个正念练习,9.7,(29人评价),作者/译者： [美]惠特尼·斯图尔特、[德]米娜·布劳恩 / 韩冰、祝卓宏 ,出版信息：  中国青年出版社 / 2020-9-1 / 59.90,https://book.douban.com/subject/35216662/
月球旅馆：人生没有唯一正确的答案,9.7,(33人评价),作者/译者： 朵拉 ,出版信息：  民主与建设出版社 / 2021-3 / 59.8元,https://book.douban.com/subject/35374656/
心靈的傷，身體會記住,9.7,(40人评价),作者/译者： Bessel van der Kolk / 劉思潔 ,出版信息：  大家出版社 / 2017-7-5 / 550台币,https://book.douban.com/subject/27076513/
那些阻挡爱的障碍,9.7,(19人评价),作者/译者： 沈万九 ,出版信息：  安徽文艺出版社 / 2021-2 / 45.00元,https://book.douban.com/subject/35382207/
与痛共舞:慢性疼痛的身心疗法,9.6,(26人评价),作者/译者： 【美】玛格丽特•考迪尔（Margaret A.Caudill） / 丁丹 ,出版信息：  人民邮电出版社 / 2017-7-15 / 59.00元,https://book.douban.com/subject/27065486/
催眠实务：催眠诱导与间接暗示:艾瑞克森催眠教学实录I,9.6,(47人评价),作者/译者： [美] Milton H. Erickson、[美] Ernest L. Rossi、[美] Sheila I. Rossi / 于收 ,出版信息：  中国轻工业出版社 / 2015-7-1 / 68,https://book.douban.com/subject/26640977/
精神分析治疗：实践指导（万千心理）:实践指导,9.5,(327人评价),"作者/译者： （美）麦克威廉斯（McWilliams, N.） / 曹晓鸥、古淑青 ",出版信息：  中国轻工业出版社 / 2015-2-1 / 88.00,https://book.douban.com/subject/26333444/
爱他，也要爱自己,9.5,(44人评价),作者/译者： 贝弗莉·恩格尔 / 杨淑智 ,出版信息：  重庆 / 2011-5 / 25.00元,https://book.douban.com/subject/6523709/
精神分析案例解析（万千心理）,9.5,(532人评价),"作者/译者： （美）麦克威廉斯（McWilliams, N.） / 钟慧 ",出版信息：  中国轻工业出版社 / 2015-2 / 78.00,https://book.douban.com/subject/26365755/
心理咨询面谈技术（第四版）（万千心理）,9.5,(212人评价),作者/译者： John Sommers-Flanagan、Rita Sommers-Flanagan / 陈祉妍 ,出版信息：  中国轻工业出版社 / 2014-1-1 / CNY 80.00,https://book.douban.com/subject/25851444/
心理学导论（原书第9版）,9.5,(139人评价),作者/译者： [美] 韦恩·韦登 / 高定国 等 ,出版信息：  机械工业出版社 / 2016-12 / 125.00,https://book.douban.com/subject/26952944/
实现自我:神经症与人的成长,9.5,(51人评价),作者/译者： [美]卡伦·霍妮 / 方红 ,出版信息：  中国人民大学出版社 / 2018-10 / 65.00元,https://book.douban.com/subject/30356524/
行动科学:探究与介入的概念方法与技能,9.5,(66人评价),作者/译者： [美] 克里斯·阿吉里斯、罗伯特·帕特南、戴安娜·麦克莱恩·史密斯 / 夏林清 ,出版信息：  教育科学出版社 / 2012-8 / 56.00元,https://book.douban.com/subject/11583939/
存在主义心理治疗,9.5,(2686人评价),作者/译者： (美) 亚隆 / 黄峥、张怡玲、沈东郁 ,出版信息：  商务印书馆 / 2015-5 / 79.00,https://book.douban.com/subject/26304954/
津巴多普通心理学,9.4,(2185人评价),作者/译者： [美] 菲利普·津巴多、[美] 罗伯特·约翰逊、[美] 安·韦伯 / 王佳艺 ,出版信息：  中国人民大学出版社 / 2008-7 / 98.00元,https://book.douban.com/subject/3143537/
社会心理学（第11版，平装版）,9.4,(927人评价),作者/译者： 戴维·迈尔斯 (David G.Myers) / 侯玉波、乐国安、张智勇 ,出版信息：  人民邮电出版社 / 2016-1 / 128.00元,https://book.douban.com/subject/26701760/
罪与罚,9.4,(141人评价),作者/译者： [俄]费奥多尔·陀思妥耶夫斯基 / 曾思艺 ,出版信息：  西安交通大学出版社 / 2016-11-1 / 62.00元,https://book.douban.com/subject/27101998/
循环提问:系统式治疗案例教程,9.4,(175人评价),作者/译者： 系统式治疗案例教程 / [德]弗里茨•B.西蒙、[德]克里斯特尔•莱西-西蒙 ,出版信息：  商务印书馆 / 2013-8 / 46.00,https://book.douban.com/subject/25723254/
精神健康讲记:一个中医眼中的心身调适与精神发展,9.4,(322人评价),作者/译者： 李辛 ,出版信息：  中医古籍出版社 / 2019-12 / 78.00元,https://book.douban.com/subject/34939373/
行为科学统计,9.4,(656人评价),作者/译者： [美] F. J. Gravetter、[美] L. B. Wallnau / 王爱民、李悦 ,出版信息：  中国轻工业出版社 / 2008-7 / 85.00元,https://book.douban.com/subject/3171735/
分析心理学的理论与实践,9.4,(109人评价),作者/译者： ,出版信息： (瑞士)荣格 / 译林出版社,https://book.douban.com/subject/25781017/
寻找灵魂的现代人,9.4,(95人评价),作者/译者： 卡尔•古斯塔夫•荣格 / 方红 ,出版信息：  中国人民大学出版社 / 2017-10 / 48.00元,https://book.douban.com/subject/27167825/
给心理治疗师的礼物（万千心理）:给新一代治疗师及其病人的公开信,9.4,(844人评价),作者/译者： 欧文·亚隆 / 张怡玲 ,出版信息：  中国轻工业出版社 / 2015-3 / 58.00,https://book.douban.com/subject/26841312/
