书名,评分,评价人数,作者,出版社,url
行为矫正（万千心理）:原理与方法,10.0,(56人评价),作者/译者： 米尔腾伯格 (Raymond G.Miltenberger) / 石林 ,出版信息：  中国轻工业出版社 / 2015-2-1 / 80.00,https://book.douban.com/subject/26334676/
心理学与生活（第19版，英文版）,9.9,(61人评价),作者/译者： [美]理查德•格里格 (Richard J.Gerrig)、[美]菲利普•津巴多 (Philip G.Zimbardo) ,出版信息：  人民邮电出版社 / 2016-1-1 / 128.00,https://book.douban.com/subject/26699137/
津巴多普通心理学（原书第7版·2017修订）,9.8,(19人评价),作者/译者： [美] 菲利普·津巴多（Philip Zimbardo）、[美] 罗伯特·约翰逊（Robert L. Johnson）、[美] 薇薇安·麦卡恩（Vivian McCann） / 钱静、黄珏苹 ,出版信息：  北京联合出版公司 / 2017-12-1 / 119.00元,https://book.douban.com/subject/27191014/
神经科学原理,9.6,(92人评价),作者/译者： （美）埃里克 R. 坎德尔、詹姆斯 H. 施瓦茨、托马斯 M. 杰塞尔、史蒂文 A. 西格尔鲍姆、A. J. 赫兹佩思 ,出版信息：  机械工业出版社 / 2013-9 / 299.00,https://book.douban.com/subject/25723403/
团体心理治疗:理论与实践,9.6,(247人评价),作者/译者： (美)欧文 亚隆 / 李敏、李鸣 ,出版信息：  中国轻工业出版社 / 2010-8 / 62.00元,https://book.douban.com/subject/4987225/
实现自我:神经症与人的成长,9.5,(51人评价),作者/译者： [美]卡伦·霍妮 / 方红 ,出版信息：  中国人民大学出版社 / 2018-10 / 65.00元,https://book.douban.com/subject/30356524/
心理学导论（原书第9版）,9.5,(139人评价),作者/译者： [美] 韦恩·韦登 / 高定国 等 ,出版信息：  机械工业出版社 / 2016-12 / 125.00,https://book.douban.com/subject/26952944/
行为科学统计精要（第8版）,9.5,(314人评价),作者/译者： 弗雷德里克·J·格雷维特 (Gravetter F.J.)、拉里·B·瓦尔诺 (Wallnau L.B.) / 刘红云、骆方 ,出版信息：  中国人民大学出版社 / 2016-4-1 / 68.00 元,https://book.douban.com/subject/26842322/
存在主义心理治疗,9.5,(2685人评价),作者/译者： (美) 亚隆 / 黄峥、张怡玲、沈东郁 ,出版信息：  商务印书馆 / 2015-5 / 79.00,https://book.douban.com/subject/26304954/
变态心理学(整合之道第7版):整合之道,9.5,(30人评价),作者/译者： (美)戴维·H.巴洛、V.马克·杜兰德 ,出版信息：  黄峥、高隽、张婧华 / 中国轻工业出版社 / 2017-5-1,https://book.douban.com/subject/27049474/
