书名,评分,评价人数,作者,出版社,url
复分析:可视化方法,9.8,(252人评价),"作者/译者： (美) 尼达姆 (Needham, T.) / 齐民友 ",出版信息：  人民邮电出版社 / 2009-7 / 79.00元,https://book.douban.com/subject/3788399/
寿康宝鉴（白话）,9.8,(78人评价),作者/译者： 印光大师 编订 / 三宝弟子 ,出版信息：  团结出版社 / 2015-9 / 28,https://book.douban.com/subject/26683589/
星星之火，可以燎原,9.8,(25人评价),作者/译者： 毛泽东 ,出版信息：  人民出版社 / 1952-7 / 0.05元,https://book.douban.com/subject/35275522/
坟,9.6,(6333人评价),作者/译者： 鲁迅 ,出版信息：  人民文学出版社 / 2006-12 / 16.00元,https://book.douban.com/subject/1974029/
人的自然善好:论卢梭思想的体系,9.6,(20人评价),作者/译者： 亚瑟·梅尔泽 / 任崇彬 ,出版信息：  上海人民出版社 / 2020-12 / 108,https://book.douban.com/subject/35313151/
庄子,9.6,(303人评价),作者/译者： [战国] 庄周 / 梁溪生 标校 ,出版信息：  上海古籍出版社 / 2001-12 / 7.50元,https://book.douban.com/subject/1125216/
独秀文存,9.6,(43人评价),作者/译者： 陈独秀 ,出版信息：  外文出版社 / 2013-8-10 / 198.00元,https://book.douban.com/subject/24880892/
权力优势:国家安全、杜鲁门政府与冷战,9.6,(54人评价),作者/译者： [美] 梅尔文·P. 莱弗勒 / 孙建中 ,出版信息：  商务印书馆 / 2019-11 / 158,https://book.douban.com/subject/34399201/
老子衍庄子通庄子解:王夫之著作集,9.6,(104人评价),作者/译者： 王夫之 / 王孝鱼点校 ,出版信息：  中华书局 / 2009-06 / 35.00元,https://book.douban.com/subject/3819957/
思想史研究课堂讲录（增订版）,9.5,(357人评价),作者/译者： 葛兆光 ,出版信息：  生活·读书·新知三联书店 / 2019-5 / 99.00元,https://book.douban.com/subject/33435992/
哲学史方法论十四讲,9.5,(146人评价),作者/译者： 邓晓芒 ,出版信息：  生活·读书·新知三联书店 / 2019-4 / 69.00元,https://book.douban.com/subject/30157658/
马克思主义哲学高级教程:马克思主义哲学高级教程,9.5,(36人评价),作者/译者： 陈晏清  王南湜  李淑梅 ,出版信息：  南开大学出版社 / 2012-10 / 30.00元,https://book.douban.com/subject/20392312/
论持久战,9.5,(318人评价),作者/译者： 毛泽东 ,出版信息：  人民出版社 / 1975-12 / 0.18,https://book.douban.com/subject/30315038/
第五號屠宰場:（全新中譯本）,9.5,(69人评价),作者/译者： 馮內果 / 陳枻樵 ,出版信息：  麥田 / 2016-3 / NT$260,https://book.douban.com/subject/26748275/
关于两门新科学的对话,9.5,(41人评价),作者/译者： 伽利略 / 武际可 ,出版信息：  北京大学出版社 / 2006-6 / 18.00元,https://book.douban.com/subject/1835355/
论道德的谱系,9.5,(82人评价),作者/译者： [德] 弗里德里希·尼采 / 赵千帆 ,出版信息：  商务印书馆 / 2018-12 / 25.00,https://book.douban.com/subject/30376531/
鲁迅杂文集(全五卷),9.5,(105人评价),作者/译者： 鲁迅 ,出版信息：  春风文艺出版社 / 1997-2-1 / 108.00,https://book.douban.com/subject/1007704/
道德形而上学的奠基:注释本,9.5,(485人评价),作者/译者： 康德 / 李秋零 ,出版信息：  中国人民大学出版社 / 2013-3 / 18.00元,https://book.douban.com/subject/22273149/
汉译世界学术名著丛书珍藏本,9.5,(100人评价),作者/译者： ,出版信息： 商务印书馆 / 2009-9 / 19800.00元,https://book.douban.com/subject/3519570/
孙子兵法,9.5,(1389人评价),作者/译者： 孙武 / 陈曦  译注 ,出版信息：  中华书局 / 2011-9 / 18.00元,https://book.douban.com/subject/6879356/
饮冰室合集（全十二册）,9.5,(216人评价),作者/译者： 梁啟超 ,出版信息：  中华书局 / 1989-03 / 550.00,https://book.douban.com/subject/1075952/
往事与随想(上下),9.5,(133人评价),作者/译者： (俄罗斯)赫尔岑 / 巴金、臧仲伦 ,出版信息：  译林出版社 / 2009-3 / 128.00元,https://book.douban.com/subject/3656549/
认识世界：古代与中世纪哲学:普莱希特哲学史01,9.5,(141人评价),作者/译者： [德]理查德·大卫·普莱希特 / 王俊 等 ,出版信息：  上海人民出版社 / 2021-4 / 89.80元,https://book.douban.com/subject/35268348/
争夺欧洲霸权的斗争:1848-1918,9.5,(47人评价),作者/译者： [英]A.J.P.泰勒 / 沈苏儒 ,出版信息：  商务印书馆 / 2019-9-1 / 150元,https://book.douban.com/subject/34441052/
历史学与社会理论（第2版）,9.4,(641人评价),作者/译者： [英] 彼得·伯克 / 李康 ,出版信息：  上海人民出版社 / 2019-11 / 52.00元,https://book.douban.com/subject/34842935/
论法的精神,9.4,(42人评价),作者/译者： ,出版信息： 北京出版社 / 2012-5 / 23.80元,https://book.douban.com/subject/10764168/
毛泽东选集第一卷:第一卷,9.4,(13634人评价),作者/译者： 毛泽东 ,出版信息：  人民出版社 / 1991-6 / 40.00元,https://book.douban.com/subject/1139360/
戴尔·卡耐基全集,9.4,(75人评价),作者/译者： ,出版信息： 戴尔·卡耐基 / 2010-3 / 58.00元,https://book.douban.com/subject/4728824/
叔本华思想随笔,9.4,(1574人评价),作者/译者： （德）叔本华 / 韦启昌 ,出版信息：  上海人民出版社 / 2008-10 / 34.00元,https://book.douban.com/subject/3245212/
叔本华美学随笔,9.4,(822人评价),作者/译者： [德] 叔本华 / 韦启昌 ,出版信息：  上海人民出版社 / 2014-4 / 40.00元,https://book.douban.com/subject/25867564/
王阳明全集（全二册）,9.4,(580人评价),作者/译者： （明）王守仁 ,出版信息：  上海古籍出版社 / 1992-12-1 / 130.00元,https://book.douban.com/subject/1203421/
中国现代思想文选:中国现代思想文选,9.4,(27人评价),作者/译者： 王晓明、周展安 ,出版信息：  上海书店出版社 / 2013-5 / 88.00元,https://book.douban.com/subject/21661489/
西方现代思想史,9.4,(218人评价),作者/译者： (美) 罗兰·斯特龙伯格 / 刘北成、赵国新 ,出版信息：  金城出版社 / 2012-7 / 78.00元,https://book.douban.com/subject/10491609/
行為:暴力、競爭、利他，人類行為背後的生物學,9.4,(128人评价),作者/译者： Robert M. Sapolsky 羅伯．薩波斯基 / 吳芠 ,出版信息：  八旗文化 / 2019-4-3 / TWD 1200,https://book.douban.com/subject/33384512/
曾国藩家书,9.4,(582人评价),作者/译者： 曾国藩、檀作文 ,出版信息：  中华书局 / 2016-4-23 / 23.00元,https://book.douban.com/subject/26826152/
论自由,9.4,(131人评价),作者/译者： [英] 约翰·穆勒 / 欧阳瑾、戴花 ,出版信息：  上海文化出版社 / 2020-6-8 / 39.80,https://book.douban.com/subject/35055618/
法国知识分子史,9.4,(129人评价),作者/译者： 吕一民、朱晓罕 ,出版信息：  浙江大学出版社 / 2019-9 / 68.00元,https://book.douban.com/subject/34822060/
老子:国学经典,9.4,(327人评价),作者/译者： 老子 / 李存山 注释 ,出版信息：  中州古籍出版社 / 2008年 / 16.00元,https://book.douban.com/subject/3007652/
人的行為:自由主義名著譯叢01-02,9.4,(299人评价),作者/译者： 米塞斯 / 夏道平 / 遠流出版事業股份有限公司 ,出版信息：  1991 / NT$ 360 / 400,https://book.douban.com/subject/1873802/
现代杂文的思想批判,9.4,(168人评价),作者/译者： ,出版信息： 上海教育出版社 / 2015-1-1 / 28,https://book.douban.com/subject/26438103/
杀死一只知更鸟,9.4,(1569人评价),作者/译者： [美]哈珀·李 / 高红梅 ,出版信息：  译林出版社 / 2018-5 / 39.8,https://book.douban.com/subject/30147567/
