书名,评分,评价人数,作者,出版社,url
爱他，也要爱自己,9.5,(44人评价),作者/译者： 贝弗莉·恩格尔 / 杨淑智 ,出版信息：  重庆 / 2011-5 / 25.00元,https://book.douban.com/subject/6523709/
亲爱的L:BelovedL,9.5,(837人评价),作者/译者： ,出版信息： Jae-五宝,https://book.douban.com/subject/30342230/
寻找朱庇特,9.4,(51人评价),作者/译者： [美] 加里·施密特 / 马爱农 ,出版信息：  天略童书馆 | 北京联合出版公司 / 2020-6 / 39.80元,https://book.douban.com/subject/35077186/
UpheavalsofThought:TheIntelligenceofEmotions,9.4,(19人评价),作者/译者： Martha C. Nussbaum ,出版信息：  Cambridge University Press / 2003-4-14 / USD 36.99,https://book.douban.com/subject/2557273/
爱人随风而来,9.4,(255人评价),作者/译者： 南无 ,出版信息：  作家出版社 / 2011-8 / 150,https://book.douban.com/subject/20309593/
活着,9.4,(594015人评价),作者/译者： 余华 ,出版信息：  作家出版社 / 2012-8-1 / 20.00元,https://book.douban.com/subject/4913064/
伊西斯的面纱:自然的观念史随笔,9.4,(83人评价),作者/译者： [法]皮埃尔·阿多 / 张卜天 ,出版信息：  华东师范大学出版社 / 2019-3-1 / 68,https://book.douban.com/subject/30267181/
傲慢与偏见,9.4,(181人评价),作者/译者： 奥斯丁 / 张经浩 ,出版信息：  中国对外翻译出版公司 / 2009-6 / 18.00元,https://book.douban.com/subject/4024336/
飘,9.3,(177260人评价),作者/译者： [美国] 玛格丽特·米切尔 / 李美华 ,出版信息：  译林出版社 / 2000-9 / 40.00元,https://book.douban.com/subject/1068920/
撒哈拉的故事,9.3,(56489人评价),作者/译者： 三毛 ,出版信息：  北京十月文艺出版社 / 2011-1-7 / 24.00元,https://book.douban.com/subject/6710437/
亲密关系,9.3,(8524人评价),作者/译者： [美] 罗兰·米勒 (Rowland S. Miller) / 王伟平 译、彭凯平 校 ,出版信息：  人民邮电出版社 / 2015-6 / 138.00元,https://book.douban.com/subject/26585065/
孤山骑士,9.3,(37人评价),作者/译者： 杜梨 ,出版信息：  花城出版社 / 2021-3 / 39.8,https://book.douban.com/subject/35372461/
我叫李梦鱼：儿童摄影创意灵感宝典,9.3,(68人评价),作者/译者： ,出版信息： 电子工业出版社 / 2019-8-20 / 118,https://book.douban.com/subject/34801252/
语言与沉默:论语言、文学与非人道,9.3,(1762人评价),作者/译者： [美]乔治·斯坦纳 / 李小均 / 世纪文景,出版信息： 上海人民出版社 / 2013-11 / 49.00元,https://book.douban.com/subject/25751763/
安娜·卡列尼娜,9.2,(16401人评价),作者/译者： [俄] 列夫·托尔斯泰 / 草婴 ,出版信息：  上海文艺出版社 / 2007-8 / 37.00元,https://book.douban.com/subject/2253380/
小狐狸阿权,9.2,(254人评价),作者/译者： (日)新美南吉 文、(日)黑井健 图 / 周龙梅、彭懿 ,出版信息：  新星出版社 / 2012-6 / 32.00元,https://book.douban.com/subject/10491578/
恐惧与自由:第二次世界大战如何改变了我们,9.2,(217人评价),作者/译者： [英] 基思·罗威 / 朱邦芊 ,出版信息：  社会科学文献出版社 / 2020-7 / 99.00元,https://book.douban.com/subject/34834442/
因死而生:一位安宁缓和照护医师的善终思索,9.2,(13人评价),作者/译者： 谢宛婷 ,出版信息：  广西师大出版社 / 2021-3-1 / 59.00元,https://book.douban.com/subject/35390266/
房思琪的初恋乐园,9.2,(247279人评价),作者/译者： 林奕含 ,出版信息：  北京联合出版公司 / 2018-1 / 45.00元,https://book.douban.com/subject/27614904/
安徒生童话故事集,9.2,(102408人评价),作者/译者： （丹麦）安徒生 / 叶君健 ,出版信息：  人民文学出版社 / 1997-08 / 25.00元,https://book.douban.com/subject/1046209/
习得性无助:论抑郁、发展与死亡,9.2,(41人评价),作者/译者： 【美】马丁·塞利格曼（Martin E.P. Seligman) / 李倩 ,出版信息：  中国人民大学出版社 / 2020-7-1 / 58.00元,https://book.douban.com/subject/35128278/
周恩来邓颖超通信选集,9.2,(216人评价),作者/译者： 周恩来邓颖超 ,出版信息：  中央文献出版社 / 2014-4 / 20,https://book.douban.com/subject/26312056/
人生只差好好静度时光,9.1,(90人评价),作者/译者： 沐溪 ,出版信息：  武汉大学出版社 / 2016-3 / 38.00,https://book.douban.com/subject/26738158/
鳴響雪松系列8.2：愛的儀式,9.1,(18人评价),作者/译者： 弗拉狄米爾．米格烈 / 王上豪 ,出版信息：  拾光雪松出版有限公司 / 2019-7-5 / NTD350,https://book.douban.com/subject/34440866/
家庭管理心理学,9.1,(37人评价),作者/译者： 鞠强 ,出版信息：  复旦大学出版社 / 2020-7-1 / 48.00元,https://book.douban.com/subject/35145412/
愛的進化論,9.1,(83人评价),作者/译者： 艾倫.狄波頓(Alain de Botton) / 陳信宏 ,出版信息：  先覺 / 2016-5-3 / 310,https://book.douban.com/subject/26751840/
小情绪大情感,9.1,(56人评价),作者/译者： 蒙特斯·吉斯贝尔 (MontseGisbert) / 树才 ,出版信息：  重庆出版集团 / 2015-10-1 / CNY 39.80,https://book.douban.com/subject/26637972/
白夜行,9.1,(342087人评价),作者/译者： [日] 东野圭吾 / 刘姿君 ,出版信息：  南海出版公司 / 2013-1-1 / 39.50元,https://book.douban.com/subject/10554308/
TheSecretLivesofPeopleinLove:Stories,9.1,(45人评价),作者/译者： Simon Van Booy ,出版信息：  Harper Perennial / 2010-2-23 / USD 13.99,https://book.douban.com/subject/4113644/
環世界:五十嵐大介作品集,9.1,(94人评价),作者/译者： 五十嵐大介 / 黃鴻硯 ,出版信息：  臉譜 / 2019-9-28 / ntd 250,https://book.douban.com/subject/34815966/
小狐狸买手套:儿童之友,9.1,(753人评价),作者/译者： 新美南吉、黑井健 / 彭懿、周龙梅 ,出版信息：  南海出版公司 / 2010年2月 / 29.80元,https://book.douban.com/subject/4726738/
外婆的英雄世界,9.1,(288人评价),作者/译者： 赵挺 ,出版信息：  江苏凤凰文艺出版社 / 2019 / 39.80,https://book.douban.com/subject/30487620/
平如美棠:我俩的故事,9.1,(21820人评价),作者/译者： 饶平如 ,出版信息：  广西师范大学出版社 / 2013-5-1 / CNY 39.80,https://book.douban.com/subject/23008971/
不能承受的生命之轻,9.1,(2416人评价),作者/译者： [捷克] 米兰·昆德拉 / 许钧 ,出版信息：  上海译文出版社 / 2017-1-1 / CNY 39.00,https://book.douban.com/subject/26877993/
