书名,评分,评价人数,作者,出版社,url
如梦之梦,9.2,(1102人评价),作者/译者： 赖声川 ,出版信息：  中信出版集团 / 2019-7 / 69.80元,https://book.douban.com/subject/34393003/
雷雨,8.6,(66409人评价),作者/译者： 曹禺 ,出版信息：  人民文学出版社 / 1999-05 / 9.20,https://book.douban.com/subject/1013416/
冬之旅：万方剧本精选集,7.8,(1730人评价),作者/译者： 万方 ,出版信息：  北京出版集团北京十月文艺出版社 / 2017-2-1 / CNY 29.80,https://book.douban.com/subject/27008836/
对立之美:西方艺术500年,8.8,(162人评价),作者/译者： 严伯钧 ,出版信息：  中信出版社 / 2021-4-1 / 168.00元,https://book.douban.com/subject/35334622/
茶馆,9.0,(19416人评价),作者/译者： 老舍 ,出版信息：  人民文学出版社 / 2002-1 / 9.80元,https://book.douban.com/subject/1036613/
一个无政府主义者的意外死亡,8.9,(2668人评价),作者/译者： [意] 达里奥·福 / 吕同六 ,出版信息：  上海译文出版社 / 2016-3 / 30.00,https://book.douban.com/subject/26649304/
哈姆莱特,8.6,(39523人评价),作者/译者： [英] 莎士比亚 / 朱生豪 ,出版信息：  人民文学出版社 / 2001-1 / 7.00元,https://book.douban.com/subject/1006197/
玩偶之家,8.5,(2526人评价),作者/译者： 易卜生 / 潘家洵 ,出版信息：  人民文学出版社 / 1978年二印 / 0.26,https://book.douban.com/subject/3534238/
雷雨,9.3,(1905人评价),作者/译者： 曹禺 ,出版信息：  北京十月文艺出版社 / 2017-12 / 36.00,https://book.douban.com/subject/30214955/
哈姆雷特:莎士比亚悲剧·哈姆雷特,9.2,(4993人评价),作者/译者： 威廉·莎士比亚 (William Shakespeare) / 朱生豪 ,出版信息：  译林出版社 / 2013-12-1 / CNY 22.00,https://book.douban.com/subject/25773575/
主角,7.6,(4903人评价),作者/译者： 陈彦 ,出版信息：  作家出版社 / 2018-1 / 85.00元,https://book.douban.com/subject/30137612/
牡丹亭,9.0,(11134人评价),作者/译者： 汤显祖 ,出版信息：  人民文学出版社 / 1963-4-1 / 14.50元,https://book.douban.com/subject/1073708/
恋爱的犀牛,8.7,(4581人评价),作者/译者： 廖一梅 ,出版信息：  浦睿文化·湖南文艺出版社 / 2017-8 / 56.00元,https://book.douban.com/subject/27103796/
麦克白,8.8,(4764人评价),作者/译者： 威廉·莎士比亚 / 朱生毫 ,出版信息：  大众文艺出版社 / 2008 / 22.00元,https://book.douban.com/subject/3100584/
