书名,评分,评价人数,作者,出版社,url
助张继科成就大满贯,9.9,(2729人评价),作者/译者： ,出版信息： 肖战、黄文文 / 北京体育大学出版社 / 2017-7-1,https://book.douban.com/subject/27154246/
向阳而生:柱子哥的抗癌指南,9.8,(90人评价),作者/译者： 柱子哥 ,出版信息：  清华大学出版社 / 2020-7 / 59,https://book.douban.com/subject/35136152/
哈利·波特,9.7,(47459人评价),作者/译者： J.K.罗琳 (J.K.Rowling) / 苏农、马爱农、马爱新 ,出版信息：  人民文学出版社 / 2008-12-1 / 498.00元,https://book.douban.com/subject/24531956/
月球旅馆：人生没有唯一正确的答案,9.7,(33人评价),作者/译者： 朵拉 ,出版信息：  民主与建设出版社 / 2021-3 / 59.8元,https://book.douban.com/subject/35374656/
那些阻挡爱的障碍,9.7,(19人评价),作者/译者： 沈万九 ,出版信息：  安徽文艺出版社 / 2021-2 / 45.00元,https://book.douban.com/subject/35382207/
人性的枷锁,9.6,(199人评价),作者/译者： [英] 威廉·萨默塞特·毛姆 / 林步升 ,出版信息：  四川文艺出版社 / 2019-8 / 78.00元,https://book.douban.com/subject/34432454/
变现思维：自我增值的8堂营销课（沃顿商学院演讲嘉宾，美国营销协会艾菲奖、中国广告长城奖得主全新力作）,9.6,(30人评价),作者/译者： 廖恒 ,出版信息：  民主与建设出版社 / 2021-3 / 46.80元,https://book.douban.com/subject/35373883/
鲍勃玩波普！:在竞争中找到自己和他人的闪光点，在合作中建立友谊,9.6,(23人评价),作者/译者： [英]  马里恩·杜查斯 / 余治莹 ,出版信息：  未读·未小读·海豚出版社 / 2021-1-1 / 55.00元,https://book.douban.com/subject/35325469/
我们现在如何做父母,9.6,(41人评价),作者/译者： 蔡朝阳 ,出版信息：  上海社会科学院出版社|青豆书坊 / 2021-2 / 42.80,https://book.douban.com/subject/35375841/
我是誰：找回快樂與自由的隨身練習:《不合理的快樂》隨身實踐版,9.5,(27人评价),作者/译者： 楊定一、繪者：施智騰（Simon）、編者：陳夢怡 ,出版信息：  天下生活 / 2017-7-26 / NT280,https://book.douban.com/subject/27083935/
