书名,评分,评价人数,作者,出版社,url
手工图鉴,8.7,(84人评价),作者/译者： [日] 木内胜 著、[日] 木内胜、田中皓也 绘 / 吴逸林 ,出版信息：  四川人民出版社 / 2019-7 / 70.00元,https://book.douban.com/subject/34458510/
家政女王玛莎·斯图尔特的缝纫百科,0.0,(少于10人评价),作者/译者： [美]《玛莎·斯图尔特的生活》编辑部 / 苏莹 ,出版信息：  后浪︱中国纺织出版社 / 2021-4 / 168.00元,https://book.douban.com/subject/35419682/
最详尽的钩针编织教科书,9.3,(133人评价),作者/译者： 濑端靖子 / 何凝一 ,出版信息：  河南科学技术出版社 / 2012-2 / 32.80元,https://book.douban.com/subject/10435675/
木工全书,8.8,(216人评价),作者/译者： 英国DK出版社 / 张亦斌、李文一 ,出版信息：  北京科学技术出版社 / 2014-5-1 / 95.00元,https://book.douban.com/subject/25870117/
我爱器皿,7.0,(149人评价),作者/译者： [日]祥见知生 / 匡匡 ,出版信息：  理想国 | 广西师范大学出版社 / 2019-3 / 59,https://book.douban.com/subject/30486668/
手工皮艺基础:日本最受欢迎的手工皮具DIY书,8.2,(71人评价),作者/译者： [日]高桥创新出版工房 / 张雨晗 ,出版信息：  北京科学技术出版社 / 2015-1-1 / 48.00元,https://book.douban.com/subject/26303026/
一个人的幸福手作,7.8,(1158人评价),作者/译者： 高木直子 / 黄悦生 ,出版信息：  北京联合出版公司 / 2014-4-1 / CNY 28.00,https://book.douban.com/subject/25843810/
自然中来:儿童创意美学手工系列,9.0,(24人评价),作者/译者： [德] 萨宾娜·洛夫 / 雷蕾 ,出版信息：  后浪丨花山文艺出版社 / 2018-10 / 78.00元,https://book.douban.com/subject/30262914/
自然野趣DIY:自然野趣D.I.Y.,8.6,(154人评价),作者/译者： 黄一峰 ,出版信息：  中信出版社 / 2013-5-10 / 39.80元,https://book.douban.com/subject/24529131/
立体书制作指南,9.1,(70人评价),作者/译者： [美]大卫·A.卡特、詹姆斯·迪亚兹 / 张汉平 ,出版信息：  印刷工业出版社 / 2015-4 / 185.00元,https://book.douban.com/subject/26354425/
彼得·科恩木工基础:掌握木工技艺的精髓,8.5,(673人评价),作者/译者： 彼得·科恩 / 王来、马菲 ,出版信息：  北京科学技术出版社 / 2013-1-1 / 49.80元,https://book.douban.com/subject/20271923/
缝纫机基础:全面掌握缝纫技艺的精髓,8.2,(35人评价),作者/译者： 简·博索娃 / 高焓 ,出版信息：  北京科学技术出版社 / 2014-3-1 / CNY 39.80,https://book.douban.com/subject/25847209/
樂在手工皂,7.8,(99人评价),作者/译者： 詹玲瑾　劉嘉蕙 ,出版信息：  培根 / 20031006 / NT$ 250,https://book.douban.com/subject/1342929/
写给大家看的DIY设计书,8.1,(124人评价),作者/译者： 罗宾·威廉姆斯、卡门·谢尔顿 / 陈晶 ,出版信息：  上海人美 / 2011-3-1 / 58.00元,https://book.douban.com/subject/6012382/
请剪掉这本书,10.0,(14人评价),作者/译者： [英] 夫·佩特森(Boo Paterson) / 李诺 ,出版信息：  中国画报出版社 / 2018-5 / 118.00元,https://book.douban.com/subject/30217231/
超简单木工家具100例,0.0,(少于10人评价),作者/译者： [日]学研出版社 / 韩慧英、陈新平 ,出版信息：  化学工业出版社 / 2014-7-1 / 46.8,https://book.douban.com/subject/25969230/
中国篮子,7.8,(16人评价),作者/译者： [德] 贝特霍尔德·劳佛尔 / 叶胜男、郑晨 ,出版信息：  西泠印社出版社 / 2014-12 / 90.00元,https://book.douban.com/subject/26288873/
木作家具解剖全書:超過100件經典家具，1300張完全圖解，美國、英國暢銷逾10年的木工家具製,0.0,(少于10人评价),作者/译者： 比爾‧希爾頓 Bill Hylton ,出版信息：  傘戈銳 / 楓葉社文化 / 2019-2,https://book.douban.com/subject/35281530/
