书名,评分,评价人数,作者,出版社,url
股票作手回忆录（注解版）上,9.8,(27人评价),作者/译者： Jon D. Markman ,出版信息：  齊克用 / 2013-10 / NTD 600,https://book.douban.com/subject/25849823/
投资者养成指南（一）,9.8,(129人评价),作者/译者： 张志雄 ,出版信息：  香港萬里路出版社 / 2020-9 / 87,https://book.douban.com/subject/35220162/
应用公司财务:（第三版）,9.8,(25人评价),作者/译者： 阿斯沃思·达摩达兰 / 芮萌、张逸民 ,出版信息：  中国人民大学出版社 / 2012-7 / 88.00元,https://book.douban.com/subject/11529166/
QuantitativeValue:APractitioner'sGuidetoAutomatingIntelligentInvestmentandEliminatingBehavioralErrors,9.7,(24人评价),作者/译者： Wesley Gray、Tobias Carlisle ,出版信息：  Wiley / 2012-12-26 / USD 85.00,https://book.douban.com/subject/20022168/
天下货币—美元霸权的突破与终结,9.6,(110人评价),作者/译者： ,出版信息： ,https://book.douban.com/subject/35396045/
投资者文摘:内部刊物,9.6,(29人评价),作者/译者： 张志雄、《Value》杂志社编辑 ,出版信息：  《Value》杂志社 / 2006-1-1 / 50,https://book.douban.com/subject/11520648/
TheAlmanackofNavalRavikant:AGuidetoWealthandHappiness,9.6,(142人评价),作者/译者： Naval Ravikant、Eric Jorgenson ,出版信息：  Magrathea Publishing / 2020-9-8 / USD 12.84,https://book.douban.com/subject/35219712/
BerkshireHathawayLetterstoShareholders,9.6,(33人评价),作者/译者： Warren Buffett、Max Olson (Editor) ,出版信息：  Max Olson / 2013-4-25 / USD 19.23,https://book.douban.com/subject/25733807/
会计学原理,9.6,(46人评价),作者/译者： (美)韦安特 / 袁淳 ,出版信息：  中信出版社 / 2011-4-1 / 248.00元,https://book.douban.com/subject/5350206/
经济学原理(第7版):微观经济学分册+宏观经济学分册,9.6,(3495人评价),作者/译者： 曼昆 (N.Gregory Mankiw) / 梁小民、梁砾 ,出版信息：  北京大学出版社 / 2015-5-1 / 128,https://book.douban.com/subject/26435630/
真正的投资者读什么,9.5,(118人评价),作者/译者： 张志雄 ,出版信息：  香港萬里路出版社 / 2020-9 / 65,https://book.douban.com/subject/35220161/
"PoorCharlie'sAlmanack:TheWitandWisdomofCharlesT.Munger,ExpandedThirdEdition",9.5,(196人评价),作者/译者： Charles T. Munger ,出版信息：  The Donning Company Publishers / 2005-12-1 / USD 61.95,https://book.douban.com/subject/3273615/
我是如何成功的:一个美国房地产大王的不败圣经,9.5,(43人评价),作者/译者： 乔治·佩雷斯 / 李淼 ,出版信息：  学林出版社 / 2010-1 / 28.00元,https://book.douban.com/subject/4180015/
TheMathematicsofPoker,9.5,(27人评价),作者/译者： Bill Chen、Jerrod Ankenman ,出版信息：  Conjelco / 2006-11-30 / USD 29.95,https://book.douban.com/subject/2410223/
智慧型股票投资人,9.5,(59人评价),作者/译者： 班杰明·葛拉漢 (Benjamin Graham) / 俞濟群 ,出版信息：  寰宇出版 / 1996-12 / 500元,https://book.douban.com/subject/3272812/
"SecurityAnalysis:SixthEdition,ForewordbyWarrenBuffett",9.5,(129人评价),作者/译者： Benjamin Graham、David Dodd ,出版信息：  McGraw-Hill / 2008-9-25 / USD 75.00,https://book.douban.com/subject/3376705/
