书名,评分,评价人数,作者,出版社,url
挑战大众:埃勒里·奎因广播和电视剧本选集,9.8,(57人评价),作者/译者： ,出版信息： （美）埃勒里·奎因 / ellry / 2010-10,https://book.douban.com/subject/7004244/
午夜飞机上的谋杀:动脑筋神秘冒险故事大森林10,9.8,(294人评价),作者/译者： 沃特斯 / 西风翻译社 ,出版信息：  晨光出版社 / 1997 / 5.0,https://book.douban.com/subject/3072494/
罗杰疑案:精装纪念版,9.6,(735人评价),作者/译者： [英] 阿加莎·克里斯蒂 / 常禾 ,出版信息：  新星出版社 / 2020-4 / 52.00元,https://book.douban.com/subject/34985248/
アルファベット・パズラーズ,9.5,(489人评价),作者/译者： 大山誠一郎 ,出版信息：  東京創元社 / 2013-6-28 / JPY 886,https://book.douban.com/subject/25756837/
福尔摩斯探案全集诺顿注释本第一卷:冒险史&回忆录,9.5,(241人评价),作者/译者： [英]阿瑟·柯南·道尔 著、[美]莱斯利·S. 克林格 编著 / 刘彬、黄亚、刘臻 ,出版信息：  浦睿文化·湖南文艺出版社 / 2021-2 / 128.00元,https://book.douban.com/subject/35219434/
鄰居,9.4,(14人评价),作者/译者： 雫井脩介 / 王蘊潔 ,出版信息：  春天 / 2020-12-4 / NTD450.00,https://book.douban.com/subject/35217391/
星之继承者,9.4,(478人评价),作者/译者： [英] 詹姆斯·P.霍根 / [加] 仇春卉 ,出版信息：  新星出版社 / 2021-4 / 58.00元,https://book.douban.com/subject/35271451/
福尔摩斯探案全集（全七册）,9.4,(1886人评价),作者/译者： [英国] 亚瑟·柯南·道尔 / 李家真 ,出版信息：  中华书局 / 2012-11-1 / 176.00元,https://book.douban.com/subject/20279673/
福尔摩斯探案全集,9.4,(2117人评价),作者/译者： 阿瑟·柯南道尔 / 贾文浩、贾文渊 ,出版信息：  北京燕山出版社 / 2009-5-1 / 98.00元,https://book.douban.com/subject/3723829/
冒险小虎队,9.4,(3315人评价),作者/译者： 托马斯•布热齐纳 ,出版信息：  浙江少年儿童出版社 / 2012-7-1 / CNY 246.50,https://book.douban.com/subject/26855315/
“谋杀”的黄金时代:英国侦探俱乐部之谜,9.3,(57人评价),作者/译者： [英]马丁·爱德华兹（Martin Edwards） / 田琳 ,出版信息：  北京大学出版社 / 2020-7 / 79.00元,https://book.douban.com/subject/34955378/
阿加莎·克里斯蒂侦探推理“波洛”系列（全32册）,9.3,(1572人评价),作者/译者： [英] 阿加莎·克里斯蒂 ,出版信息：  人民文学出版社 / 2009-11 / 680.00元,https://book.douban.com/subject/4038615/
桶川跟踪狂杀人事件,9.3,(2826人评价),作者/译者： [日] 清水洁 / 王华懋 ,出版信息：  后浪丨四川人民出版社 / 2021-2 / 45.00元,https://book.douban.com/subject/35094680/
