书名,评分,评价人数,作者,出版社,url
马普尔小姐探案全集,9.7,(51人评价),作者/译者： [英] 阿加莎·克里斯蒂 / 周莎等 ,出版信息：  新星出版社 / 2019-10 / 439.00,https://book.douban.com/subject/34826115/
罗杰疑案:精装纪念版,9.6,(735人评价),作者/译者： [英] 阿加莎·克里斯蒂 / 常禾 ,出版信息：  新星出版社 / 2020-4 / 52.00元,https://book.douban.com/subject/34985248/
アルファベット・パズラーズ,9.5,(489人评价),作者/译者： 大山誠一郎 ,出版信息：  東京創元社 / 2013-6-28 / JPY 886,https://book.douban.com/subject/25756837/
福尔摩斯探案全集诺顿注释本第一卷:冒险史&回忆录,9.5,(241人评价),作者/译者： [英]阿瑟·柯南·道尔 著、[美]莱斯利·S. 克林格 编著 / 刘彬、黄亚、刘臻 ,出版信息：  浦睿文化·湖南文艺出版社 / 2021-2 / 128.00元,https://book.douban.com/subject/35219434/
福尔摩斯探案集（一）,9.4,(3843人评价),作者/译者： 柯南·道尔 ,出版信息：  群众出版社 / 1979年2月 / 1.10元,https://book.douban.com/subject/2263077/
福尔摩斯探案全集（全七册）,9.4,(1886人评价),作者/译者： [英国] 亚瑟·柯南·道尔 / 李家真 ,出版信息：  中华书局 / 2012-11-1 / 176.00元,https://book.douban.com/subject/20279673/
アルファベット・パズラーズ(ミステリ・フロンティア),9.4,(337人评价),作者/译者： 大山 誠一郎 ,出版信息：  東京創元社 / 2004-10-28 / JPY 15.75,https://book.douban.com/subject/3616594/
鄰居,9.4,(14人评价),作者/译者： 雫井脩介 / 王蘊潔 ,出版信息：  春天 / 2020-12-4 / NTD450.00,https://book.douban.com/subject/35217391/
星之继承者,9.4,(479人评价),作者/译者： [英] 詹姆斯·P.霍根 / [加] 仇春卉 ,出版信息：  新星出版社 / 2021-4 / 58.00元,https://book.douban.com/subject/35271451/
燃烧的法庭,9.3,(54人评价),作者/译者： 【美】约翰•迪克森•卡尔 / 房小然 ,出版信息：  外语教学与研究出版社 / 2021-3-1 / 52.00,https://book.douban.com/subject/35350765/
桶川跟踪狂杀人事件,9.3,(2829人评价),作者/译者： [日] 清水洁 / 王华懋 ,出版信息：  后浪丨四川人民出版社 / 2021-2 / 45.00元,https://book.douban.com/subject/35094680/
阿加莎·克里斯蒂侦探推理“波洛”系列（全32册）,9.3,(1572人评价),作者/译者： [英] 阿加莎·克里斯蒂 ,出版信息：  人民文学出版社 / 2009-11 / 680.00元,https://book.douban.com/subject/4038615/
福尔摩斯探案全集,9.2,(434人评价),作者/译者： (英) 柯南道尔 / 严仁曾、丁钟华、陈羽纶、李家云、李广成、欧阳达、刘树瀛、雨久、袁棣华、刘绯、为本书撰写《柯南•道尔与福尔摩斯》一文的王逢振 ,出版信息：  群众出版社 / 2014-9 / CNY 99.00,https://book.douban.com/subject/6791428/
如無頭作祟之物:推理謎20,9.2,(826人评价),作者/译者： 三津田信三 / 詹慕如 ,出版信息：  皇冠文化 / 2009年10月 / NTD360元,https://book.douban.com/subject/4047674/
罗杰疑案:阿加莎·克里斯蒂侦探作品集02,9.2,(29079人评价),作者/译者： [英] 阿加莎·克里斯蒂 / 常禾 ,出版信息：  新星出版社 / 2013-3 / 28.00元,https://book.douban.com/subject/21371175/
假面人,9.1,(129人评价),作者/译者： 磨剑少爷 ,出版信息：  江苏凤凰文艺出版社 / 2021-3 / 49.8,https://book.douban.com/subject/35406106/
アリス・ザ・ワンダーキラー,9.1,(179人评价),作者/译者： 早坂 吝 ,出版信息：  光文社 / 2016-9-15 / JPY 1512,https://book.douban.com/subject/26865714/
白夜行,9.1,(342021人评价),作者/译者： [日] 东野圭吾 / 刘姿君 ,出版信息：  南海出版公司 / 2013-1-1 / 39.50元,https://book.douban.com/subject/10554308/
花葬:日本推理大师经典33,9.1,(208人评价),作者/译者： 連城三紀彥 / 劉姿君 ,出版信息：  獨步文化 / 2012-5-15 / NT399,https://book.douban.com/subject/10572294/
直捣蜂窝的女孩,9.1,(5365人评价),作者/译者： [瑞典] 斯蒂格·拉森 / 颜湘如 ,出版信息：  人民文学出版社 / 2011-5 / 39.90元,https://book.douban.com/subject/5993310/
谜与恐怖的乐园,9.1,(43人评价),作者/译者： [日]权田万治 ,出版信息：  张舟 / 谜斗篷 / 2018-11,https://book.douban.com/subject/30404248/
1367:陳浩基作品2,9.1,(8681人评价),作者/译者： 陳浩基 ,出版信息：  皇冠 / 2014-6-9 / NT$350,https://book.douban.com/subject/25897884/
尼罗河上的惨案,9.1,(346人评价),作者/译者： 阿加莎·克里斯蒂 / 宫英海 ,出版信息：  江苏人民出版社 / 1979-11 / 0.73元,https://book.douban.com/subject/2003299/
作者不詳（下）:ミステリ作家の読む本,9.1,(329人评价),作者/译者： 三津田信三 ,出版信息：  講談社 / 2010-12 / 760円,https://book.douban.com/subject/5410404/
福尔摩斯探案集,9.1,(5084人评价),作者/译者： (英）柯南道尔 / 邓小红 ,出版信息：  北京燕山出版社 / 1999 / 15.0,https://book.douban.com/subject/1135537/
玩火的女孩:千禧年三部曲之二,9.1,(453人评价),作者/译者： [瑞典] 斯蒂格·拉森 / 颜湘如 ,出版信息：  上海文艺出版社 / 2015-1 / 49.90元,https://book.douban.com/subject/26266155/
鬼影街道,9.1,(238人评价),作者/译者： ,出版信息： [法] 保罗·霍尔特 / 王小妞 / 2016-11,https://book.douban.com/subject/26889940/
心灵侦探城塚翡翠,9.0,(600人评价),作者/译者： 相泽沙呼 / 罗亚星 ,出版信息：  人民文学出版社 / 2021-4 / 79.00,https://book.douban.com/subject/35296788/
尼罗河惨案DeathOnThenile(DVD),9.0,(267人评价),作者/译者： ,出版信息： [英] 阿加莎.克里斯蒂 / 10.00元,https://book.douban.com/subject/2312024/
帷幕:阿加莎·克里斯蒂侦探作品集33,9.0,(6701人评价),作者/译者： [英] 阿加莎·克里斯蒂 / 李杨 ,出版信息：  新星出版社 / 2015-2 / 26.00,https://book.douban.com/subject/26292535/
medium霊媒探偵城塚翡翠,9.0,(97人评价),作者/译者： 相沢 沙呼 ,出版信息：  講談社 / 2019-9-12 / JPY 1836,https://book.douban.com/subject/34784035/
东方快车谋杀案,9.0,(110901人评价),作者/译者： [英] 阿加莎·克里斯蒂 / 陈尧光 ,出版信息：  人民文学出版社 / 2006-5 / 18.00元,https://book.douban.com/subject/1827374/
谜宫·金榜题名:谜宫·金榜题名（经典版）,9.0,(344人评价),作者/译者： 王志伟、徐奥林、陈振、李慧婷 ,出版信息：  故宫出版社 / 2020-1 / 188.00元,https://book.douban.com/subject/34948793/
嫌疑人X的献身,9.0,(46864人评价),作者/译者： [日] 东野圭吾 / 刘子倩 ,出版信息：  南海出版公司 / 2010-1 / 19.80元,https://book.douban.com/subject/4117922/
金色梦乡,9.0,(22308人评价),作者/译者： [日] 伊坂幸太郎 / 李彦桦 ,出版信息：  译林出版社 / 2010-9 / 35.00元,https://book.douban.com/subject/5038409/
络新妇之理（下）,9.0,(5899人评价),作者/译者： [日] 京极夏彦 / 王华懋 ,出版信息：  上海人民出版社 / 2009年11月 / 29.00元,https://book.douban.com/subject/4038673/
无人生还,9.0,(10027人评价),作者/译者： 阿加莎·克里斯蒂 / 王丽丽、刘万勇 ,出版信息：  贵州人民出版社 / 1998-10-01 / 17.6,https://book.douban.com/subject/1263399/
大唐狄公案,8.9,(2887人评价),作者/译者： [荷兰] 高罗佩 / 陈来元、胡明 [等] ,出版信息：  海南出版社 / 2008-6 / 98.00元,https://book.douban.com/subject/3124386/
デルタの悲劇,8.9,(352人评价),作者/译者： 浦賀 和宏 ,出版信息：  KADOKAWA / 2019-12-24 / JPY 616,https://book.douban.com/subject/34877472/
爱伦·坡的怪奇物语,8.9,(272人评价),作者/译者： [美] 埃德加·爱伦·坡 / 曹明伦 ,出版信息：  北京时代华文书局 / 2020-4 / 99.00元,https://book.douban.com/subject/30374826/
无人生还:精装纪念新版,8.9,(401人评价),作者/译者： [英] 阿加莎·克里斯蒂 / 夏阳 ,出版信息：  新星出版社 / 2019-5 / 49.00元,https://book.douban.com/subject/30466192/
奇风岁月,8.9,(7653人评价),作者/译者： [美国] 罗伯特·麦卡蒙 / 陈宗琛 ,出版信息：  译林出版社 / 2011-5 / 36.00元,https://book.douban.com/subject/6016234/
むかしむかしあるところに、死体がありました。,8.9,(165人评价),作者/译者： 青柳碧人 ,出版信息：  双葉社 / 2019-4-17 / JPY 1404,https://book.douban.com/subject/34440942/
查理九世20·黑雾侏罗纪,8.9,(800人评价),作者/译者： 雷欧幻像 ,出版信息：  浙江少年儿童出版社 / 2013-6 / 15.00元,https://book.douban.com/subject/24371375/
罗杰疑案,8.9,(602人评价),作者/译者： 阿加莎·克里斯蒂 / 李家云 ,出版信息：  吉林人民出版社 / 1980 / 0.73元,https://book.douban.com/subject/2003306/
东方快车谋杀案:阿加莎·克里斯蒂侦探作品集04,8.9,(32950人评价),作者/译者： [英] 阿加莎·克里斯蒂 / 郑桥 ,出版信息：  新星出版社 / 2013-4 / 26.00元,https://book.douban.com/subject/24153048/
络新妇之理（上）,8.9,(6792人评价),作者/译者： [日] 京极夏彦 / 王华懋 ,出版信息：  上海人民出版社 / 2009年11月 / 29.00,https://book.douban.com/subject/4038672/
大唐狄公案50周年纪念版,8.9,(243人评价),作者/译者： [荷兰] 高罗佩 / 陈来元、胡明、赵振宇、李惠芳 ,出版信息：  海南出版社 / 2015-10 / 238.40元,https://book.douban.com/subject/26707955/
AndThenThereWereNone,8.9,(2145人评价),作者/译者： Agatha Christie ,出版信息：  Harper / 2003-03-03 / GBP 6.99,https://book.douban.com/subject/1573689/
晚安人面瘡,8.8,(290人评价),作者/译者： 白井智之 / MIST ,出版信息：  尖端 / 2020-12-28 / NT$320.00,https://book.douban.com/subject/35218491/
失控的照護,8.8,(135人评价),作者/译者： 葉真中顯 / 張宇心 ,出版信息：  天培文化 / 2015-9-1 / NT$360,https://book.douban.com/subject/26581245/
乌鸦:爱伦·坡短篇小说精选,8.8,(1332人评价),作者/译者： (美) 埃德加·爱伦·坡 / 曹明伦 ,出版信息：  江西人民出版社 / 2017-12 / 49.00元,https://book.douban.com/subject/27181925/
嫌疑犯X的獻身,8.8,(12620人评价),作者/译者： 東野圭吾 / 劉子倩 ,出版信息：  獨步文化 / 2006 / NT.280,https://book.douban.com/subject/1874961/
尼罗河上的惨案:精装纪念版,8.8,(1600人评价),作者/译者： [英] 阿加莎·克里斯蒂 / 张乐敏 ,出版信息：  新星出版社 / 2018-4 / 49,https://book.douban.com/subject/30133213/
幕后凶手:波洛探案系列,8.8,(3156人评价),作者/译者： （英）阿加莎·克里斯蒂 / 丁叶然 ,出版信息：  人民文学出版社 / 2008-03 / 18.00元,https://book.douban.com/subject/3026875/
首无·作祟之物:刀城言耶系列之三,8.8,(7795人评价),作者/译者： [日]三津田信三 / 张舟 ,出版信息：  吉林出版集团有限责任公司 / 2011-6 / 35.00元,https://book.douban.com/subject/6249670/
刀:奈斯博作品集13,8.8,(49人评价),作者/译者： 尤．奈斯博 / 林立仁 ,出版信息：  漫遊者文化 / 2020-4-13 / NTD490.00,https://book.douban.com/subject/34988975/
史上最凶惡綁架撕票事件:64,8.8,(858人评价),作者/译者： 橫山秀夫 / 緋華璃 ,出版信息：  臺灣東販 / 2013-11-24 / NT$420,https://book.douban.com/subject/25732311/
克莱因壶,8.8,(17297人评价),作者/译者： [日]冈岛二人 / 张舟 ,出版信息：  化学工业出版社 / 2019-11 / 48.00元,https://book.douban.com/subject/33658616/
告白:极善与极恶只在一念之间,8.8,(14632人评价),作者/译者： [日] 凑佳苗 / 竺家荣 ,出版信息：  湖南文艺出版社 / 2016-4 / 36.80元,https://book.douban.com/subject/26681984/
字母表谜案,8.8,(987人评价),作者/译者： 大山诚一郎 / 曹逸冰 ,出版信息：  河南文艺出版社 / 2021-5 / 42.00,https://book.douban.com/subject/35390390/
清明上河图密码4:隐藏在千古名画中的阴谋与杀局,8.8,(3986人评价),作者/译者： 冶文彪 ,出版信息：  北京联合出版公司 / 2017-6-1 / 58.00,https://book.douban.com/subject/27025036/
燃烧的电缆,8.7,(96人评价),作者/译者： [美] 杰夫里·迪弗 / 王雨佳 ,出版信息：  新星出版社 / 2020-5 / 69.00元,https://book.douban.com/subject/34997256/
占星术杀人魔法:島田莊司推理傑作選01,8.7,(4112人评价),作者/译者： 岛田庄司 / 郭清华、陈明钰 ,出版信息：  皇冠 / 2003 / NT$149,https://book.douban.com/subject/1470866/
永远是孩子,8.7,(1983人评价),作者/译者： [日] 天童荒太 / 赵建勋 ,出版信息：  群众出版社 / 2004-1 / 33.00元,https://book.douban.com/subject/1156994/
悪意,8.7,(2040人评价),作者/译者： ,出版信息： 東野圭吾 / 講談社 / 2000-1-5,https://book.douban.com/subject/3885914/
铁钉案:大唐狄公案05,8.7,(581人评价),作者/译者： [荷] 高罗佩 / 张凌 ,出版信息：  上海译文出版社 / 2019-5 / 40.00,https://book.douban.com/subject/30457504/
密室推理杰作选——欧美卷,8.7,(250人评价),作者/译者： 爱德华•D．霍克 等 ,出版信息：  bobo、Gfinger等 / 谜斗篷 / 2011-11,https://book.douban.com/subject/7006784/
飞上天空的轮胎,8.7,(229人评价),作者/译者： [日]池井户润 / 邱香凝 ,出版信息：  浙江人民出版社 / 2020-6 / 75,https://book.douban.com/subject/35017648/
密室推理杰作选——日本卷2,8.7,(122人评价),作者/译者： [日]麻耶雄嵩 等、bobo编 / 饭野直树、钟山暮紫 ,出版信息：  谜斗篷 / 2014-1 / 25.00元,https://book.douban.com/subject/25805272/
宵待草夜情,8.7,(2564人评价),作者/译者： [日] 连城三纪彦 / 李盈春 ,出版信息：  新星出版社 / 2015-5 / 28.00,https://book.douban.com/subject/26367367/
犹大之窗,8.7,(3154人评价),作者/译者： （美）约翰·狄克森·卡尔 / 景翔 ,出版信息：  吉林省吉出书刊发行有限责任公司 / 2008-11 / 26.00元,https://book.douban.com/subject/3264211/
