书名,评分,评价人数,作者,出版社,url
牛津大学终极昆虫图鉴,10.0,(61人评价),作者/译者： 列文·比斯 / 王建赟 ,出版信息：  江苏凤凰科学技术出版社 / 2019-9 / 168,https://book.douban.com/subject/34801182/
LuigiGhirri,9.9,(53人评价),作者/译者： Luigi Ghirri ,出版信息：  Aperture / 2008-6-1 / USD 55.00,https://book.douban.com/subject/2979077/
見證：改革開放三十年:China’sThirtyYears,9.8,(35人评价),作者/译者： 中國攝影師協會 ,出版信息：  牛津大學出版社 / 2009-11 / HK$398,https://book.douban.com/subject/4209565/
数码单反摄影全攻略:镜头与构图,9.8,(34人评价),作者/译者： 日本温迪 / 李盛 ,出版信息：  辽宁科学技术出版社 / 2012-6 / 38.00元,https://book.douban.com/subject/10748145/
Women,9.8,(23人评价),作者/译者： Annie Leibovitz、Susan Sontag ,出版信息：  Random House / 2000-10-17 / USD 60.00,https://book.douban.com/subject/1760523/
孤独与团结:阿尔贝·加缪影像集,9.7,(422人评价),作者/译者： [法]卡特琳娜·加缪 / 郭宏安 ,出版信息：  译林出版社 / 2020-2 / 198.00元,https://book.douban.com/subject/30282321/
SolitudeofRavens,9.7,(247人评价),作者/译者： Masahisa Fukase ,出版信息：  Bedford Arts / 1991-11-1 / USD 19.95,https://book.douban.com/subject/3364044/
Genesis,9.7,(341人评价),作者/译者： Sebastiao Salgado、Lélia Wanick Salgado ,出版信息：  Taschen / 2013-4-5 / GBP 44.99,https://book.douban.com/subject/20500583/
JosefKoudelka:theExiles,9.7,(217人评价),作者/译者： Robert Delpire ,"出版信息：  Thames and Hudson Ltd / 13 October, 1997 / $250.00",https://book.douban.com/subject/1436719/
此间的怦然|至二十四节气,9.7,(64人评价),作者/译者： 张春 ,出版信息：  上海动画大王文化传媒有限公司 上海人民美术出版社 / 2012-3 / 30.00,https://book.douban.com/subject/20268993/
生命之灵:国际野生生物摄影年赛50年精选,9.7,(129人评价),作者/译者： 罗莎蒙德•基德曼•考克斯 / 沈成、野性中国 ,出版信息：  中信出版社 / 2015-1 / 198.00元,https://book.douban.com/subject/26261036/
广告摄影技术教程,9.7,(41人评价),作者/译者： 刘立宾 ,出版信息：  中国摄影出版社 / 1995-1 / 138.00元,https://book.douban.com/subject/1188951/
KoudelkaGypsies,9.7,(63人评价),作者/译者： Koudelka Josef ,出版信息：  Thames & Hudson / 2011-11-7 / 624元,https://book.douban.com/subject/7001925/
MagnumContactSheets,9.6,(13人评价),作者/译者： Kristen Lubben ,出版信息：  Thames & Hudson / 2017-10-24 / USD 45.00,https://book.douban.com/subject/27115343/
螺旋海岸album,9.6,(215人评价),作者/译者： 志賀理江子 ,出版信息：  赤々舎 / 2013-3-20 / JPY 8400,https://book.douban.com/subject/20726499/
“哈勃”的宇宙:最伟大的发现和最新的影像,9.6,(46人评价),作者/译者： 特伦斯·迪金森 / 谢懿 ,出版信息：  机械工业出版社 / 2014-4-19 / 59.00元,https://book.douban.com/subject/25896915/
你好小朋友复刻版:秋山亮二写真集,9.6,(1492人评价),作者/译者： ［日］秋山亮二 ,出版信息：  青艸堂株式会社 / 2019-6-1 / 390.00元,https://book.douban.com/subject/33455762/
你好小朋友:秋山亮二写真集,9.6,(873人评价),作者/译者： [日]秋山 亮二 ,出版信息：  小西六写真工业株式会社 / 1983-4-12 / JPY 3087,https://book.douban.com/subject/25914783/
镜头下的无声呐喊,9.6,(43人评价),作者/译者： 【德】布丽塔·亚申斯基、【澳】基思·威尔逊 / 周颖琪 ,出版信息：  中信出版集团 / 2020-6-20 / 128,https://book.douban.com/subject/35081444/
