书名,评分,评价人数,作者,出版社,url
当代政治哲学,9.9,(234人评价),作者/译者： [加拿大] 威尔·金里卡 / 刘莘 ,出版信息：  上海译文出版社 / 2015-9-1 / 78,https://book.douban.com/subject/26389495/
守望者:完全版,9.8,(397人评价),作者/译者： [英] 阿兰·摩尔、[英] 戴夫·吉本斯 绘 / 王周凌、PatientPatient 校译 ,出版信息：  世界图书出版公司 / 2020-4 / 198.00元,https://book.douban.com/subject/34875846/
中国社会各阶级的分析,9.8,(97人评价),作者/译者： 毛泽东 ,出版信息：  人民出版社 / 1975-12 / 0.05元,https://book.douban.com/subject/35039831/
辩论:美国制宪会议记录,9.7,(421人评价),作者/译者： [美] 詹姆斯·麦迪逊 / 尹宣 ,出版信息：  译林出版社 / 2014-7 / 128,https://book.douban.com/subject/25817153/
宣传（第二版）:观念、话语及其正当化,9.7,(190人评价),作者/译者： 刘海龙 ,出版信息：  中国大百科全书出版社 / 2020-1 / 78,https://book.douban.com/subject/34961780/
胡耀邦文选,9.6,(110人评价),作者/译者： 胡耀邦 ,出版信息：  人民出版社 / 2015-11-1 / CNY 99.00,https://book.douban.com/subject/26667958/
动情的理性:政治哲学作为道德实践,9.6,(50人评价),作者/译者： 钱永祥 ,出版信息：  南京大学出版社 / 2020-9 / 68.0,https://book.douban.com/subject/35169174/
钢铁是怎样炼成的,9.6,(297人评价),作者/译者： (苏)尼古拉·奥斯特洛夫斯基 ,出版信息：  陈恒哲 / 天津人民出版社 / 2017-9,https://book.douban.com/subject/27144044/
马基雅维利全集,9.6,(49人评价),作者/译者： 马基雅维利 / 潘汉典、薛军、时殷弘、王永忠、徐卫翔、刘儒庭、胡维、段保良、曹钦 ,出版信息：  吉林出版集团有限责任公司 / 2013-10-1 / 460,https://book.douban.com/subject/25755781/
筚路维艰:中国社会主义路径的五次选择,9.6,(1595人评价),作者/译者： 萧冬连 ,出版信息：  社会科学文献出版社 / 2014-10-1 / CNY 45.00,https://book.douban.com/subject/26171466/
大国外交:从拿破仑战争到第一次世界大战,9.6,(92人评价),作者/译者： [美]诺曼·里奇 / 吴征宇、范菊华 ,出版信息：  中国人民大学出版社 / 2015-8-1 / CNY 68.00,https://book.douban.com/subject/26587298/
ThePowerofthePowerless:CitizensAgainsttheStateinCentralEasternEurope,9.6,(89人评价),作者/译者： Vaclav Havel、John Keane ,出版信息：  Routledge / 1985-6-26 / USD 47.95,https://book.douban.com/subject/1468173/
