书名,评分,评价人数,作者,出版社,url
马克思恩格斯选集第一卷,10.0,(48人评价),作者/译者： 中共中央马克思恩格斯列宁斯大林著作编译局 编译 ,出版信息：  人民出版社 / 2012 / 80.00元,https://book.douban.com/subject/19952166/
机械制造厂电能的合理使用,9.9,(895人评价),作者/译者： [苏] 特莱霍夫 / 江泽民 ,出版信息：  上海交通大学出版社 / 2008-10-1 / 48.00元,https://book.douban.com/subject/3270161/
当代政治哲学,9.9,(234人评价),作者/译者： [加拿大] 威尔·金里卡 / 刘莘 ,出版信息：  上海译文出版社 / 2015-9-1 / 78,https://book.douban.com/subject/26389495/
规训革命:加尔文主义与近代早期欧洲国家的兴起,9.9,(27人评价),作者/译者： [美]菲利普·S. 戈尔斯基 / 李钧鹏、李腾 ,出版信息：  北京师范大学出版社 / 2021-2-15 / 79.00元,https://book.douban.com/subject/35256019/
论僭政:色诺芬《希耶罗》义疏,9.9,(94人评价),作者/译者： [美]施特劳斯、[法]科耶夫 / 彭磊 ,出版信息：  华夏出版社 / 2016-10 / 65.00,https://book.douban.com/subject/26916928/
新秩序与最后的定向:政治观念史稿·卷七,9.7,(34人评价),"作者/译者： [美]沃格林 / 李晋, 马丽 译、姚啸宇, 贺晴川 校 ",出版信息：  华东师范大学出版社 / 2019-8-30 / 78,https://book.douban.com/subject/30283639/
日本的思想:戰後日本人的自我批判,9.7,(29人评价),作者/译者： 丸山真男 / 藍弘岳 ,出版信息：  遠足文化 / 2019-8 / TWD 380,https://book.douban.com/subject/34440530/
论李维,9.7,(20人评价),作者/译者： [意] 尼科洛・马基雅维里 / 冯克利 ,出版信息：  中央编译出版社 / 2017-9 / 68,https://book.douban.com/subject/27053328/
理性主义的政治学:流变、困境与超越,9.7,(16人评价),作者/译者： 唐士其 ,出版信息：  北京大学出版社 / 2020-2 / 30.00,https://book.douban.com/subject/34955371/
辩论:美国制宪会议记录,9.7,(421人评价),作者/译者： [美] 詹姆斯·麦迪逊 / 尹宣 ,出版信息：  译林出版社 / 2014-7 / 128,https://book.douban.com/subject/25817153/
宪法学导论:原理与应用,9.7,(939人评价),作者/译者： 张千帆 ,出版信息：  法律出版社 / 2014-4-1 / 59.00元,https://book.douban.com/subject/25918941/
宣传（第二版）:观念、话语及其正当化,9.7,(190人评价),作者/译者： 刘海龙 ,出版信息：  中国大百科全书出版社 / 2020-1 / 78,https://book.douban.com/subject/34961780/
全球转型：历史、现代性与国际关系的形成,9.7,(19人评价),作者/译者： 巴里·布赞、乔治·劳森 ,出版信息：  崔顺姬 / 上海人民出版社 / 2020-7-1,https://book.douban.com/subject/35172910/
自由及其背叛:人类自由的六个敌人,9.7,(143人评价),作者/译者： [英]以赛亚·伯林 / 赵国新 ,出版信息：  译林出版社 / 2019-12 / 65.00,https://book.douban.com/subject/34869836/
天下货币—美元霸权的突破与终结,9.6,(110人评价),作者/译者： ,出版信息： ,https://book.douban.com/subject/35396045/
马基雅维利全集,9.6,(49人评价),作者/译者： 马基雅维利 / 潘汉典、薛军、时殷弘、王永忠、徐卫翔、刘儒庭、胡维、段保良、曹钦 ,出版信息：  吉林出版集团有限责任公司 / 2013-10-1 / 460,https://book.douban.com/subject/25755781/
动情的理性:政治哲学作为道德实践,9.6,(50人评价),作者/译者： 钱永祥 ,出版信息：  南京大学出版社 / 2020-9 / 68.0,https://book.douban.com/subject/35169174/
权力优势:国家安全、杜鲁门政府与冷战,9.6,(54人评价),作者/译者： [美] 梅尔文·P. 莱弗勒 / 孙建中 ,出版信息：  商务印书馆 / 2019-11 / 158,https://book.douban.com/subject/34399201/
支配社会学,9.6,(276人评价),作者/译者： 马克斯·韦伯 / 康乐、简惠美 ,出版信息：  广西师范大学出版社 / 2010-11 / 48.00元,https://book.douban.com/subject/6436044/
