书名,评分,评价人数,作者,出版社,url
你当像鸟飞往你的山,8.8,(105398人评价),作者/译者： [美] 塔拉·韦斯特弗 / 任爱红 ,出版信息：  南海出版公司 / 2019-10 / 59.00元,https://book.douban.com/subject/33440205/
杀死一只知更鸟,9.2,(100458人评价),作者/译者： [美] 哈珀·李 / 高红梅 ,出版信息：  译林出版社 / 2012-9 / 32.00元,https://book.douban.com/subject/6781808/
窗边的小豆豆,8.7,(174781人评价),作者/译者： [日] 黑柳彻子 著、岩崎千弘 图 / 赵玉皎 ,出版信息：  南海出版公司 / 2003-1 / 20.00元,https://book.douban.com/subject/1007914/
杀死一只知更鸟,9.3,(30798人评价),作者/译者： [美] 哈珀·李 / 李育超 ,出版信息：  译林出版社 / 2017-2 / 48.00,https://book.douban.com/subject/26879778/
"小狗钱钱:引导孩子正确认识财富、创造财富的“金钱童话""",9.1,(43426人评价),作者/译者： [德] 博多·舍费尔 / 王钟欣、余茜 ,出版信息：  南海出版公司 / 2009-2-1 / 20.00元,https://book.douban.com/subject/3576486/
你想活出怎样的人生,8.7,(10210人评价),作者/译者： [日]吉野源三郎 著、[日]胁田和 绘 / 史诗 ,出版信息：  南海出版公司 / 2019-8 / 49.5,https://book.douban.com/subject/34659228/
原生家庭:如何修补自己的性格缺陷,8.3,(11037人评价),作者/译者： （美）苏珊·福沃德博士、（美）克雷格·巴克 / 黄姝、王婷 ,出版信息：  北京时代华文书局│阳光博客 / 2018-5 / 58.00,https://book.douban.com/subject/30199434/
真希望我父母读过这本书:你的孩子也会庆幸你读过,8.9,(738人评价),作者/译者： [英] 菲利帕·佩里 / 洪慧芳 ,出版信息：  中信出版集团 / 2020-8-18 / 48.00元,https://book.douban.com/subject/35173329/
为什么学生不喜欢上学?,9.2,(2952人评价),作者/译者： (美) 威廉厄姆 (Willingham.D.T.) . 著 / 赵萌. ,出版信息：  江苏教育出版社 / 2010-5 / 26.00元,https://book.douban.com/subject/4864832/
斯通纳:ANovel,8.8,(41117人评价),作者/译者： [美] 约翰·威廉斯 / 杨向荣 ,出版信息：  上海人民出版社 / 2016-1 / 49.00元,https://book.douban.com/subject/26425831/
不平等的童年:阶级、种族与家庭生活,8.8,(800人评价),作者/译者： [美]安妮特·拉鲁 / 宋爽、张旭 ,出版信息：  北京大学出版社 / 2018-6 / 79,https://book.douban.com/subject/27664289/
优秀的绵羊,8.0,(6056人评价),作者/译者： [美] 威廉·德雷谢维奇 / 林杰 ,出版信息：  九州出版社 / 2016-4 / 42．00,https://book.douban.com/subject/26747208/
如何阅读一本书,8.3,(68229人评价),作者/译者： [美] 莫提默·J. 艾德勒、查尔斯·范多伦 / 郝明义、朱衣 ,出版信息：  商务印书馆 / 2004-1 / 38.00元,https://book.douban.com/subject/1013208/
你的孩子不是你的孩子:9个震撼人心的真实家庭故事,8.5,(4856人评价),作者/译者： 吴晓乐 ,出版信息：  中国友谊出版公司 / 2019-11 / 49.80,https://book.douban.com/subject/34840201/
孩子你慢慢来,8.7,(68889人评价),作者/译者： 龙应台 ,出版信息：  生活·读书·新知三联书店 / 2009-12-1 / 28.00元,https://book.douban.com/subject/4207781/
亲爱的安德烈,8.6,(110933人评价),作者/译者： 龙应台、[德] 安德烈 ,出版信息：  人民文学出版社 / 2008-12 / 26.00,https://book.douban.com/subject/3369793/
准备,8.4,(625人评价),作者/译者： 黛安娜·塔文纳 / 和渊，屠锋锋 ,出版信息：  中信出版集团 / 2020-7-1 / 68.00元,https://book.douban.com/subject/35110221/
给青年的十二封信,8.8,(9247人评价),作者/译者： 朱光潜 ,出版信息：  广西师范大学出版社 / 2004-12 / 12.80,https://book.douban.com/subject/1069805/
自驱型成长,8.4,(601人评价),作者/译者： [美] 威廉·斯蒂克斯鲁德（William Stixrud）、奈德·约翰逊（Ned Johnson） / 叶壮 ,出版信息：  机械工业出版社 / 2020-5 / 75,https://book.douban.com/subject/35048510/
正面管教:如何不惩罚、不娇纵地有效管教孩子,8.7,(5711人评价),作者/译者： [美] 简·尼尔森 (Jane Nelsen) / 玉冰 ,出版信息：  京华出版社 / 2009-1 / 29.00元,https://book.douban.com/subject/3420606/
Educated:AMemoir,8.8,(6043人评价),作者/译者： Tara Westover ,出版信息：  Random House / 2018-2-20 / USD 28.00,https://book.douban.com/subject/30175475/
吴军数学通识讲义:原来数学可以这样用,9.1,(80人评价),作者/译者： 吴军 ,出版信息：  新星出版社 / 2021-4 / 99.00元,https://book.douban.com/subject/35426737/
