书名,评分,评价人数,作者,出版社,url
山川面目,9.8,(27人评价),作者/译者： 李琬 ,出版信息：  漓江出版社 / 2021-1 / 42.00元,https://book.douban.com/subject/35402314/
活出人生的意义,9.8,(83人评价),作者/译者： 冯友兰 ,出版信息：  中国友谊出版公司 / 2017-11-1 / 39.80,https://book.douban.com/subject/27168623/
鲁迅全集(2),9.7,(367人评价),作者/译者： 鲁迅 ,出版信息：  人民文学出版社 / 1981-12 / 31.75,https://book.douban.com/subject/1002055/
浮生如梦,9.6,(173人评价),作者/译者： 梁实秋 著、齐白石 画 ,出版信息：  台海出版社 / 2018-8 / 49.80元,https://book.douban.com/subject/30275766/
坟,9.6,(6328人评价),作者/译者： 鲁迅 ,出版信息：  人民文学出版社 / 2006-12 / 16.00元,https://book.douban.com/subject/1974029/
一眨眼，算不算少年一辈子，算不算永远,9.6,(40人评价),作者/译者： 余光中 ,出版信息：  百花洲文艺出版社 / 2021-4 / 55.00元,https://book.douban.com/subject/35425659/
朝花夕拾:手绘插图本,9.6,(25人评价),作者/译者： 鲁迅、畅小米（绘） ,出版信息：  万卷出版公司 / 2014-7 / 25.00元,https://book.douban.com/subject/25952601/
西西弗神话:尤里卡文库,9.6,(66人评价),作者/译者： （法）阿尔贝·加缪 / 袁筱一 ,出版信息：  浦睿文化·湖南人民出版社 / 2021-2 / 46.00元,https://book.douban.com/subject/35271657/
为学与做人,9.6,(43人评价),作者/译者： 梁启超、朱永新 (编) ,出版信息：  古吴轩 / 2016 / 35.00元,https://book.douban.com/subject/26889021/
一间自己的房间,9.6,(90人评价),作者/译者： [英]弗吉尼亚•吴尔夫 / 贾辉丰 ,出版信息：  商务印书馆 / 2019-4 / 28.00,https://book.douban.com/subject/30477653/
家人闲坐，灯火可亲,9.5,(223人评价),作者/译者： 汪曾祺 ,出版信息：  古吴轩出版社 / 2020-11 / 58.00元,https://book.douban.com/subject/35234138/
黄昏的诉说,9.5,(245人评价),作者/译者： [圣卢西亚]德里克·沃尔科特 / 刘志刚、马绍博 ,出版信息：  广西人民出版社 / 2019-11-1 / 59.80,https://book.douban.com/subject/30367453/
三毛典藏全集,9.5,(3260人评价),作者/译者： 三毛 ,出版信息：  北京十月文艺出版社 / 2011-11 / 272,https://book.douban.com/subject/21346636/
人间草木:汪曾祺散文精选,9.5,(45人评价),作者/译者： 汪曾祺 ,出版信息：  译林出版社 / 2020-2 / 29,https://book.douban.com/subject/34635988/
天是真的,9.5,(224人评价),作者/译者： 陈雨吟 ,出版信息：  百花洲文艺出版社 / 2021-3 / 68.00元,https://book.douban.com/subject/35402337/
彷徨:鲁迅作品/文集,9.5,(544人评价),作者/译者： ,出版信息： 鲁迅 / 译林出版社 / 2013-11,https://book.douban.com/subject/25778492/
