书名,评分,评价人数,作者,出版社,url
作业帮轻松刷高中数学,10.0,(19人评价),作者/译者： 作业帮 ,出版信息：  团结出版社 / 2019-3 / 56.80,https://book.douban.com/subject/35365898/
微积分和数学分析引论-第1卷,10.0,(96人评价),作者/译者： Richard Courant、Fritz John ,出版信息：  世界图书出版公司 / 2008-1-1 / 79.00元,https://book.douban.com/subject/2361641/
ConvexAnalysis:Analysis,10.0,(25人评价),作者/译者： Ralph Tyrell Rockafellar ,出版信息：  Princeton University Press / 1996-12-23 / USD 75.00,https://book.douban.com/subject/1876265/
MorseTheory,10.0,(76人评价),作者/译者： [美]John W.Milnor ,出版信息：  Princeton University Press / 1963-05-01 / USD 49.50,https://book.douban.com/subject/1902505/
无穷分析引论（上、下）,10.0,(61人评价),作者/译者： [瑞士] 欧拉 / 张延伦 ,出版信息：  山西教育出版社 / 1997-1 / 28.40元,https://book.douban.com/subject/2009047/
CharacteristicClasses,9.9,(42人评价),作者/译者： John Milnor、James D. Stasheff ,出版信息：  Princeton University Press / 1974-8-1 / USD 85.00,https://book.douban.com/subject/2264978/
作业帮立体几何·高中数学专项挑战压轴题,9.9,(21人评价),作者/译者： 作业帮 ,出版信息：  西安出版社 / 2020-4 / 49.00,https://book.douban.com/subject/35113563/
Calculus:EighthEdition,9.9,(23人评价),作者/译者： James Stewart ,出版信息：  Brooks Cole / 2015-5-19 / USD 324.95,https://book.douban.com/subject/26662852/
VisualComplexAnalysis,9.8,(52人评价),作者/译者： Tristan Needham ,"出版信息：  Oxford University Press, USA / 1999-02-18 / USD 80.00",https://book.douban.com/subject/2341361/
实变函数论,9.8,(114人评价),作者/译者： 那汤松 / 徐瑞云 ,出版信息：  高等教育出版社 / 2010 / 68.00元,https://book.douban.com/subject/4828876/
黎曼全集（第一卷）,9.8,(13人评价),作者/译者： Bernhard Riemann / 李培廉 ,出版信息：  高等教育出版社 / 2016-4-1 / 138.0,https://book.douban.com/subject/26775610/
泛函分析导论及应用,9.8,(19人评价),作者/译者： [加拿大]欧文·克雷斯齐格、(Erwin Kreyszig) / 蒋正新、吕善伟、张式淇 ,出版信息：  北京航空学院出版社 / 1987 / 4.45,https://book.douban.com/subject/3710006/
数学分析习题课讲义（上册）,9.8,(24人评价),作者/译者： 谢惠民、恽自求、易法槐、钱定边 ,出版信息：  高等教育出版社 / 2018-11 / 48.6,https://book.douban.com/subject/30389024/
作业帮名师金点题.初中数学,9.8,(26人评价),作者/译者： 作业帮 ,出版信息：  西安出版社 / 2020-12 / 78.50元,https://book.douban.com/subject/35105912/
IntroductiontoProbability,9.8,(38人评价),作者/译者： Joseph K. Blitzstein、Jessica Hwang / Chapman and Hall,出版信息： CRC / 2014-7-24 / USD 99.95,https://book.douban.com/subject/26264047/
作业帮智能口算1+1一年级（一年级下册同步+暑假口算专练）,9.8,(18人评价),作者/译者： ,出版信息： 作业帮 / 西安出版社 / 39,https://book.douban.com/subject/35337844/
作业帮秒杀高考小题数学高中数学全国通用,9.8,(19人评价),作者/译者： 作业帮 ,出版信息：  西安出版社 / 2020-8 / 39.00,https://book.douban.com/subject/35186737/
线性代数,9.8,(27人评价),作者/译者： 阿克斯勒 (Sheldon Axler) ,出版信息：  世界图书出版公司北京公司 / 2008-5-1 / 49.00元,https://book.douban.com/subject/3171910/
复分析:可视化方法,9.8,(252人评价),"作者/译者： (美) 尼达姆 (Needham, T.) / 齐民友 ",出版信息：  人民邮电出版社 / 2009-7 / 79.00元,https://book.douban.com/subject/3788399/
黎曼几何,9.8,(25人评价),作者/译者： 彼得森 ,出版信息：  科学出版社 / 2007-1 / 76.00元,https://book.douban.com/subject/2013529/
作业帮初中热搜题.数学七年级,9.8,(16人评价),作者/译者： 作业帮 ,出版信息：  西安出版社 / 2020-9 / 39.00,https://book.douban.com/subject/35364940/
代数:（英文版·第2版）,9.8,(125人评价),作者/译者： （美） Michael Artin ,出版信息：  机械工业出版社 / 2012-1 / 79.00元,https://book.douban.com/subject/10430689/
代数数论简史,9.7,(24人评价),作者/译者： 冯克勤 ,出版信息：  湖南教育出版社 / 2002-1 / 17.00元,https://book.douban.com/subject/1133053/
IntroductiontoSmoothManifolds,9.7,(46人评价),作者/译者： John M. Lee ,出版信息：  Springer / 2012-9-29 / USD 89.95,https://book.douban.com/subject/10757509/
实分析:实分析,9.7,(155人评价),作者/译者： Elias M. Stein、Rami Shakarchi ,出版信息：  世界图书出版公司 / 2007-1 / 39.00元,https://book.douban.com/subject/2180094/
华罗庚科普著作选集,9.7,(25人评价),作者/译者： 华罗庚 ,出版信息：  上海教育出版社 / 1997年1月1日 / 20.0,https://book.douban.com/subject/3227374/
FourierAnalysis:AnIntroduction,9.7,(114人评价),作者/译者： Elias M. Stein、Rami Shakarchi ,出版信息：  Princeton University Press / 2003-4-6 / USD 99.95,https://book.douban.com/subject/1753109/
金融随机分析（共2册）:二叉树资产定价模型,9.7,(183人评价),作者/译者： 史蒂文 E.施里夫 / 陈启宏、陈迪华 ,出版信息：  上海财经大学出版社 / 2008-10 / 72.00元,https://book.douban.com/subject/3369848/
初等数论,9.7,(28人评价),作者/译者： 潘承洞、潘承彪 ,出版信息：  北京大学出版社 / 2013-1 / 48.00元,https://book.douban.com/subject/21267842/
作业帮函数·初中数学:中考必刷题挑战压轴题,9.7,(13人评价),作者/译者： 作业帮 ,出版信息：  西安出版社 / 2020-4 / 49.00,https://book.douban.com/subject/35113367/
从数学观点看物理世界:几何分析引力场与相对论,9.7,(19人评价),作者/译者： 马天 ,出版信息：  科学出版社 / 2012-10 / 98.00元,https://book.douban.com/subject/20387164/
数学分析(第一卷)(第7版),9.7,(31人评价),作者/译者： [俄] B. A. 卓里奇 / 李植 ,出版信息：  高等教育出版社 / 2019-2-18 / 79.00元,https://book.douban.com/subject/30459098/
MathematicalMethodsofClassicalMechanics(GraduateTextsinMathematics),9.7,(31人评价),作者/译者： V. I. Arnold / A. Weinstein、K. Vogtmann ,出版信息：  Springer / 1997-09-05 / USD 69.95,https://book.douban.com/subject/1780224/
作业帮几何辅助线初中数学,9.7,(13人评价),作者/译者： 作业帮 ,出版信息：  西安出版社 / 2020-2 / 49,https://book.douban.com/subject/35106501/
作业帮五年真题超详解.高考数学,9.7,(26人评价),作者/译者： 作业帮 ,出版信息：  西安出版社 / 2020-7 / 69.00元,https://book.douban.com/subject/35362349/
普林斯顿数学分析读本,9.7,(46人评价),作者/译者： [美]拉菲·格林伯格（Raffi Grinberg） / 李馨 ,出版信息：  人民邮电出版社 / 2020-8 / 69,https://book.douban.com/subject/35172355/
