书名,评分,评价人数,作者,出版社,url
易经:易经,9.8,(47人评价),作者/译者： 绍南文化 ,出版信息：  厦门大学出版社 / 2000-11-1 / 21.00元,https://book.douban.com/subject/1317554/
法兰西的特性,9.7,(35人评价),作者/译者： [法] 费尔南·布罗代尔 / 顾良、张泽乾 ,出版信息：  商务印书馆 / 2020-1 / 138.00,https://book.douban.com/subject/34867984/
红楼梦:脂本汇校套装全二册,9.7,(3609人评价),作者/译者： 曹雪芹 ,出版信息：  三秦出版社 / 2016-11-1 / 88.00元,https://book.douban.com/subject/27053166/
白鱼解字:流沙河讲汉字,9.7,(15人评价),作者/译者： 流沙河 ,出版信息：  北京联合出版公司 / 2020-6 / 68.00,https://book.douban.com/subject/35067489/
字游上海,9.7,(32人评价),作者/译者： 姜庆共、刘瑞樱 ,出版信息：  上海人民美术出版社 / 2021-4 / 108,https://book.douban.com/subject/35408305/
敦煌:丝绸之路明珠佛教文化宝藏,9.7,(238人评价),作者/译者： 樊锦诗主编、吴健摄影 ,出版信息：  中国旅游出版社 / 2014-9 / 358,https://book.douban.com/subject/26736837/
艺术的故事,9.7,(1226人评价),作者/译者： [英]E.H.贡布里希 / 范景中、杨成凯 ,出版信息：  广西美术出版社 / 2015-7 / 320.00元,https://book.douban.com/subject/26423502/
苏东坡新传,9.6,(36人评价),作者/译者： 李一冰 ,出版信息：  后浪丨四川人民出版社 / 2020-11 / 208.00元,https://book.douban.com/subject/35221706/
孔乙己,9.6,(2074人评价),作者/译者： 鲁迅 原著 程十髮 繪畫 ,出版信息：  連環畫出版社 / 2011-8 / 38元,https://book.douban.com/subject/6872620/
花镜:中国农书丛刊园艺之部,9.6,(205人评价),作者/译者： [清初] 陈淏子 辑 / 伊钦恒 校注 / 农业出版社 ,出版信息：  1979-12 / 1.90元/2.85元,https://book.douban.com/subject/2284549/
汉代物质文化资料图说:中国国家博物馆学术丛书,9.6,(282人评价),作者/译者： 孙机 ,出版信息：  上海古籍出版社 / 2008-05 / 148.00,https://book.douban.com/subject/3075271/
独秀文存,9.6,(43人评价),作者/译者： 陈独秀 ,出版信息：  外文出版社 / 2013-8-10 / 198.00元,https://book.douban.com/subject/24880892/
江南园林志,9.5,(610人评价),作者/译者： 童寯 ,出版信息：  中国建筑工业出版社 / 1984-10 / 60.00元,https://book.douban.com/subject/1114862/
中国古建筑调查报告（上下）,9.5,(104人评价),作者/译者： 梁思成 ,出版信息：  生活·读书·新知三联书店 / 2012-8 / 160.00元,https://book.douban.com/subject/4818176/
紫禁城100,9.5,(542人评价),作者/译者： 赵广超 ,出版信息：  故宫出版社 / 2015-10 / 196.00,https://book.douban.com/subject/26658022/
艺术的故事(袖珍本),9.5,(868人评价),作者/译者： [英] E.H.贡布里希 / 范景中、杨成凯 ,出版信息：  广西美术出版社 / 2014-1-31 / 150.00元,https://book.douban.com/subject/25786012/
中国哲学简史,9.5,(483人评价),作者/译者： 冯友兰 / 趙復三 ,出版信息：  中华书局 / 2015-8 / 39.00元,https://book.douban.com/subject/26655572/
詹森艺术史（插图第7版）:插图第7版,9.5,(430人评价),作者/译者： [美] H. W. 詹森、J. E. 戴维斯 / 艺术史组合翻译实验小组 ,出版信息：  后浪丨湖南美术出版社 / 2017-10 / 888.00元,https://book.douban.com/subject/27129662/
名家大手笔:来自故宫的诗书画,9.5,(73人评价),作者/译者： 商务印书馆（香港）编辑出版部 ,出版信息：  后浪丨四川美术出版社 / 2019-11 / 398.00元,https://book.douban.com/subject/34857305/
中國建築圖解詞典,9.5,(81人评价),作者/译者： 王其鈞 ,出版信息：  楓書坊 / 2017-1 / NT$400,https://book.douban.com/subject/26967790/
历史深处的忧虑:近距离看美国之一,9.4,(581人评价),作者/译者： 林达 ,出版信息：  生活·读书新知三联书店 / 2015-11 / 43.00元,https://book.douban.com/subject/26696539/
图说敦煌二五四窟,9.4,(1629人评价),作者/译者： 陈海涛、陈琦 ,出版信息：  生活·读书·新知三联书店 / 2017-11 / 96.00元,https://book.douban.com/subject/27608078/
诸神的游戏:——中国福州龙舟的传统与禁忌,9.4,(18人评价),作者/译者： 巴晓光 ,出版信息：  福建人民出版社 / 2021-2 / 158.00,https://book.douban.com/subject/35406921/
黑暗之城:九龍城寨的日與夜,9.4,(699人评价),作者/译者： Greg Girard、Ian Lambot / 林立偉、朱一心 ,出版信息：  中華書局、圓桌精英 / 2015-8-20 / 港幣468元,https://book.douban.com/subject/26552069/
史讳举例,9.4,(383人评价),作者/译者： 陈垣 ,出版信息：  中华书局 / 2004-5 / 11.00元,https://book.douban.com/subject/1014678/
中国神话传说词典,9.4,(175人评价),作者/译者： 袁珂 ,出版信息：  上海辞书出版社 / 1985年6月 / 6.90,https://book.douban.com/subject/2129133/
中国古代文化常识:插图修订第4版,9.4,(2299人评价),作者/译者： 王力 主编、马汉麟 等执笔、姜亮夫 叶圣陶 等审校、刘乐园 修订 ,出版信息：  北京联合出版公司 / 2014-11 / 60.00元,https://book.douban.com/subject/26021455/
山海经校注（最终修订版）,9.4,(680人评价),作者/译者： 袁珂 校注 ,出版信息：  北京联合出版公司·后浪出版公司 / 2014-4-1 / 128.00元,https://book.douban.com/subject/25844774/
中国文化要义,9.4,(197人评价),作者/译者： 梁漱溟 ,出版信息：  上海人民出版社 / 2018-10 / 65.00,https://book.douban.com/subject/30223636/
东京梦华录:全彩插图版,9.4,(26人评价),作者/译者： 【宋】孟元老 / 侯印国 ,出版信息：  三秦出版社 / 2021-5-6 / 88,https://book.douban.com/subject/35436867/
柏杨白话版资治通鉴,9.4,(144人评价),作者/译者： 柏杨 ,出版信息：  人民文学出版社 / 2020-1-1 / 1980,https://book.douban.com/subject/34446495/
中国古代服饰史,9.4,(64人评价),作者/译者： 周锡保 ,出版信息：  中央编译出版社 / 2011-1 / 498.00元,https://book.douban.com/subject/5951254/
日本营造之美（第一辑）:法隆寺桂离宫巨大古坟江户町（上、下）,9.4,(67人评价),作者/译者： (日) 西冈常一 宫上茂隆 等著、(日) 穗积和夫 绘 / 张秋明 王蕴洁 等 ,出版信息：  上海人民出版社 / 2020-6 / 298,https://book.douban.com/subject/35008714/
叔本华美学随笔,9.4,(822人评价),作者/译者： [德] 叔本华 / 韦启昌 ,出版信息：  上海人民出版社 / 2014-4 / 40.00元,https://book.douban.com/subject/25867564/
中国古代文化常识（精装珍藏版）,9.3,(16人评价),作者/译者： 吕思勉 / 徐卫东 整理 ,出版信息：  中华书局 / 2020-4 / 68,https://book.douban.com/subject/35014836/
茶经述评:第二版,9.3,(186人评价),作者/译者： 吴觉农 ,出版信息：  中国农业出版社 / 2005-06-21 / 40,https://book.douban.com/subject/1455388/
单向度的人:发达工业社会意识形态研究,9.3,(52人评价),作者/译者： [美] 赫伯特·马尔库塞 / 刘继 ,出版信息：  重庆出版社 上海译文出版社 / 2016-12 / 46.00元,https://book.douban.com/subject/26935185/
乡土中国,9.3,(7963人评价),作者/译者： 费孝通 ,出版信息：  人民出版社 / 2008-10 / 16.00元,https://book.douban.com/subject/3283983/
娜塔莎之舞:俄罗斯文化史,9.3,(2720人评价),作者/译者： [英] 奥兰多·费吉斯 / 曾小楚、郭丹杰 ,出版信息：  四川人民出版社 / 2018-3 / 139.00元,https://book.douban.com/subject/27619602/
启迪:本雅明文选,9.3,(372人评价),作者/译者： [德] 汉娜·阿伦特 编 / 张旭东、王斑 ,出版信息：  生活·读书·新知三联书店 / 2014-8 / 38.00,https://book.douban.com/subject/25942150/
全球通史:从公元前500万年至今天,9.3,(137人评价),作者/译者： [美] 霍华德‧斯波德克（Howard Spodek） / 陈德民 ,出版信息：  上海社会科学出版社 / 2018-11 / 580,https://book.douban.com/subject/30398015/
文化理论与大众文化导论:第七版,9.3,(744人评价),作者/译者： [英] 约翰·斯道雷 / 常江 ,出版信息：  北京大学出版社 / 2019-1-1 / 68.00,https://book.douban.com/subject/30348025/
传习录,9.3,(2657人评价),作者/译者： [明] 王阳明撰 / 于自力、孔薇、杨骅骁 ,出版信息：  中州古籍出版社 / 2008-1 / 32.00元,https://book.douban.com/subject/3007268/
中国文化史,9.3,(77人评价),作者/译者： 柳诒徵 ,出版信息：  中华书局 / 2015-1 / 99.00元,https://book.douban.com/subject/26318981/
德国:一个国家的记忆,9.3,(350人评价),作者/译者： [英] 尼尔·麦格雷戈 / 博望 ,出版信息：  重庆大学出版社 / 2019-6-20 / 198.00元,https://book.douban.com/subject/30354900/
来自民间的叛逆:美国民歌传奇,9.3,(1465人评价),作者/译者： 袁越 ,出版信息：  南京大学出版社 / 2008-8 / 78.00元,https://book.douban.com/subject/3178741/
西周的灭亡:中国早期国家的地理和政治危机,9.3,(460人评价),作者/译者： 李峰 / 徐峰 ,出版信息：  上海古籍出版社 / 2016-11 / 68.00元,https://book.douban.com/subject/26907985/
西南联大国史课,9.3,(51人评价),作者/译者： 陈寅格等 ,出版信息：  天地出版社 / 2021-3-1 / 58,https://book.douban.com/subject/35174675/
象征交换与死亡,9.3,(240人评价),作者/译者： [法] 让·波德里亚、Jean Baudrillard / 车槿山 ,出版信息：  译林出版社 / 2012-6 / 45.00元,https://book.douban.com/subject/10575163/
人类简史（知识漫画）：人类的诞生:尤瓦尔·赫拉利新作,9.3,(376人评价),作者/译者： [以色列]尤瓦尔•赫拉利（Yuval Noah Harari）、[比利时]戴维•范德默伦（David Vandermeulen）、[法]达尼埃尔•卡萨纳韦 （Daniel Casanave） / 王卉 ,出版信息：  中信出版集团 / 2020-10-9 / 128,https://book.douban.com/subject/35217390/
穿墙透壁:剖视中国经典古建筑,9.3,(2022人评价),作者/译者： 李乾朗 ,出版信息：  广西师范大学出版社 / 2009-10 / 118.00元,https://book.douban.com/subject/4082434/
西方哲学史（第9版）:第9版,9.3,(888人评价),作者/译者： [美] 撒穆尔·伊诺克·斯通普夫、[美] 詹姆斯·菲泽 / 邓晓芒、匡宏、等 ,出版信息：  后浪丨北京联合出版公司 / 2019-8 / 99.80元,https://book.douban.com/subject/34447865/
想透彻:当代哲学导论,9.3,(165人评价),作者/译者： [美] 夸梅·安东尼·阿皮亚 / 姜昊骞 ,出版信息：  新华出版社 / 2017-7-31 / 68.00元,https://book.douban.com/subject/27167590/
中国历代政治得失,9.3,(8164人评价),作者/译者： 钱穆 ,出版信息：  九州出版社 / 2012-2-1 / 16.00元,https://book.douban.com/subject/10434849/
列宁选集第一卷,9.3,(87人评价),作者/译者： 中共中央马恩列斯著作编译局编 ,出版信息：  人民出版社 / 1998-10 / 44.00元,https://book.douban.com/subject/1271644/
昨日之我与今日之我:当代史学的反思与阐释,9.3,(21人评价),作者/译者： 杨念群 ,出版信息：  四川人民出版社 / 2020-11-15 / 86.00元,https://book.douban.com/subject/35128161/
