书名,评分,评价人数,作者,出版社,url
战争与和平,9.9,(78人评价),作者/译者： (俄罗斯) 列夫·托尔斯泰 / 草婴 ,出版信息：  人民文学出版社 / 2020-9 / 288.0元,https://book.douban.com/subject/34882670/
红楼梦,9.8,(7363人评价),作者/译者： 曹雪芹 ,出版信息：  人民文学出版社 / 2018-1-1 / CNY 260.00,https://book.douban.com/subject/30137806/
悲惨世界,9.7,(278人评价),作者/译者： 维克多·雨果 / 李玉民 ,出版信息：  中央编译 / 2010-11 / 66.00元,https://book.douban.com/subject/5958654/
摹仿论:西方文学中现实的再现,9.7,(593人评价),作者/译者： [德] 埃里希·奥尔巴赫 / 吴麟绶、周新建 ,出版信息：  商务印书馆 / 2014-5 / 55,https://book.douban.com/subject/25708977/
鲁迅全集,9.7,(2133人评价),作者/译者： 鲁迅 ,出版信息：  同心出版社 / 2014-5-1 / 388.00元,https://book.douban.com/subject/25898626/
卡拉马佐夫兄弟,9.7,(7843人评价),作者/译者： 陀思妥耶夫斯基 (Ф.М.Достоевский) / 荣如德 ,出版信息：  上海译文出版社 / 2015-2-1 / CNY 78.00,https://book.douban.com/subject/25887924/
三国演义,9.6,(352人评价),作者/译者： 罗贯中 ,出版信息：  人民文学出版社 / 2018-1 / 185.00元,https://book.douban.com/subject/30137812/
巴别塔之后:语言及翻译面面观,9.6,(49人评价),作者/译者： 乔治·斯坦纳 / 孟醒 ,出版信息：  浙江大学出版社 / 2020-9 / 138.00元,https://book.douban.com/subject/35127629/
坟,9.6,(6328人评价),作者/译者： 鲁迅 ,出版信息：  人民文学出版社 / 2006-12 / 16.00元,https://book.douban.com/subject/1974029/
浪漫的谎言与小说的真实,9.6,(48人评价),作者/译者： [法]勒内·基拉尔 / 罗芃 ,出版信息：  生活·读书·新知三联书店 / 2021-1-12 / 68,https://book.douban.com/subject/34969987/
一眨眼，算不算少年一辈子，算不算永远,9.6,(40人评价),作者/译者： 余光中 ,出版信息：  百花洲文艺出版社 / 2021-4 / 55.00元,https://book.douban.com/subject/35425659/
重走:在公路、河流和驿道上寻找西南联大,9.6,(77人评价),作者/译者： 杨潇 ,出版信息：  上海文艺出版社 / 2021-5 / 98.00元,https://book.douban.com/subject/35436901/
钢铁是怎样炼成的,9.6,(297人评价),作者/译者： (苏)尼古拉·奥斯特洛夫斯基 ,出版信息：  陈恒哲 / 天津人民出版社 / 2017-9,https://book.douban.com/subject/27144044/
孔乙己,9.6,(2074人评价),作者/译者： 鲁迅 原著 程十髮 繪畫 ,出版信息：  連環畫出版社 / 2011-8 / 38元,https://book.douban.com/subject/6872620/
达摩流浪者,9.5,(32人评价),作者/译者： [美] 杰克·凯鲁亚克 / 业之 ,出版信息：  湖南科学技术出版社 / 2021-5 / 52.00元,https://book.douban.com/subject/35369646/
